dates,cumulativecount_vaccine_covid_19_administered
2021-03-28,0
2021-04-17,1366
2021-05-12,74106
2021-05-18,121626
2021-05-26,159525
2021-06-08,180987
2021-06-14,186207
2021-06-24,255587
2021-08-09,425483
2021-08-16,485954
2021-08-23,490549
2021-09-22,512294
2021-09-29,533899
2021-10-10,646086
2021-10-15,803146
2021-10-27,896106
2021-11-14,963041
2021-11-28,971636
2022-01-10,1778173
2022-01-31,1798575
2022-02-16,1804760
2022-02-26,1840055
2022-03-08,2674381
2022-03-24,2681673
2022-04-08,2689995
2022-04-26,2692524
2022-05-01,2692524
2022-05-22,2694418
2022-06-05,2703493
2022-06-19,2703493
2022-06-26,3530154
2022-07-03,4364000
2022-07-17,4394310
2022-08-28,4531782
2022-09-11,4534313
2022-10-02,4534315
2022-10-16,4544735
2022-10-30,7042134
2022-12-11,7187711
2023-01-29,7241942
2023-03-12,7339299
