dates,covid19mobilitytrend_residence
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,-1
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,0
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,6
2020-03-23,7
2020-03-24,11
2020-03-25,11
2020-03-26,16
2020-03-27,19
2020-03-28,13
2020-03-29,15
2020-03-30,18
2020-03-31,28
2020-04-01,29
2020-04-02,28
2020-04-03,30
2020-04-04,20
2020-04-05,19
2020-04-06,29
2020-04-07,26
2020-04-08,27
2020-04-09,28
2020-04-10,31
2020-04-11,19
2020-04-12,19
2020-04-13,33
2020-04-14,29
2020-04-15,29
2020-04-16,29
2020-04-17,31
2020-04-18,21
2020-04-19,21
2020-04-20,31
2020-04-21,30
2020-04-22,29
2020-04-23,30
2020-04-24,32
2020-04-25,22
2020-04-26,22
2020-04-27,31
2020-04-28,28
2020-04-29,30
2020-04-30,30
2020-05-01,32
2020-05-02,21
2020-05-03,21
2020-05-04,24
2020-05-05,25
2020-05-06,23
2020-05-07,25
2020-05-08,25
2020-05-09,17
2020-05-10,20
2020-05-11,23
2020-05-12,23
2020-05-13,21
2020-05-14,21
2020-05-15,22
2020-05-16,15
2020-05-17,17
2020-05-18,22
2020-05-19,24
2020-05-20,21
2020-05-21,22
2020-05-22,20
2020-05-23,15
2020-05-24,15
2020-05-25,26
2020-05-26,24
2020-05-27,18
2020-05-28,22
2020-05-29,19
2020-05-30,14
2020-05-31,14
2020-06-01,19
2020-06-02,19
2020-06-03,16
2020-06-04,18
2020-06-05,17
2020-06-06,12
2020-06-07,13
2020-06-08,16
2020-06-09,18
2020-06-10,16
2020-06-11,17
2020-06-12,21
2020-06-13,12
