dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,9
2020-03-21,13
2020-03-22,26
2020-03-23,32
2020-03-24,39
2020-03-25,43
2020-03-26,50
2020-03-27,64
2020-03-28,80
2020-03-29,97
2020-03-30,111
2020-03-31,136
2020-04-01,151
2020-04-02,174
2020-04-03,184
2020-04-04,209
2020-04-05,214
2020-04-06,232
2020-04-07,238
2020-04-08,254
2020-04-09,276
2020-04-10,288
2020-04-11,305
2020-04-12,318
2020-04-13,323
2020-04-14,343
2020-04-15,373
2020-04-16,407
2020-04-17,442
2020-04-18,493
2020-04-19,541
2020-04-20,627
2020-04-21,665
2020-04-22,782
2020-04-23,873
2020-04-24,981
2020-04-25,1095
2020-04-26,1182
2020-04-27,1273
2020-04-28,1337
2020-04-29,1532
2020-04-30,1728
2020-05-01,1932
2020-05-02,2170
2020-05-03,2388
2020-05-04,2558
2020-05-05,2802
2020-05-06,2950
2020-05-07,3145
2020-05-08,3526
2020-05-09,3912
2020-05-10,4151
2020-05-11,4399
2020-05-12,4641
2020-05-13,4787
2020-05-14,4971
2020-05-15,5162
2020-05-16,5450
2020-05-17,5621
2020-05-18,5959
2020-05-19,6175
2020-05-20,6401
2020-05-21,6677
2020-05-22,7016
2020-05-23,7261
2020-05-24,7526
2020-05-25,7839
2020-05-26,8068
2020-05-27,8344
2020-05-28,8733
2020-05-29,8915
2020-05-30,9302
2020-05-31,9855
2020-06-01,10162
2020-06-02,10578
2020-06-03,10819
2020-06-04,11166
2020-06-05,11516
2020-06-06,11844
2020-06-07,12233
2020-06-08,12486
2020-06-09,12801
2020-06-10,13464
2020-06-11,13873
2020-06-12,14554
2020-06-13,15181
2020-06-14,15682
2020-06-15,16085
2020-06-16,16658
2020-06-17,17148
2020-06-18,17735
2020-06-19,18480
2020-06-20,19147
2020-06-21,19808
2020-06-22,20244
2020-06-23,20919
2020-06-24,21371
2020-06-25,22020
2020-06-26,22614
2020-06-27,23298
2020-06-28,24077
2020-06-29,24567
2020-06-30,25133
2020-07-01,25694
2020-07-02,26484
2020-07-03,27110
2020-07-04,27564
2020-07-05,28167
2020-07-06,28711
2020-07-07,29286
2020-07-08,29789
2020-07-09,30249
2020-07-10,30748
2020-07-11,31323
2020-07-12,31987
2020-07-13,32558
2020-07-14,33153
2020-07-15,33616
2020-07-16,34259
2020-07-17,34854
2020-07-18,35454
2020-07-19,36107
2020-07-20,36663
2020-07-21,37225
2020-07-22,37801
2020-07-23,38344
2020-07-24,38948
2020-07-25,39539
2020-07-26,39977
2020-07-27,40532
2020-07-28,41180
2020-07-29,41804
2020-07-30,42208
2020-07-31,42689
2020-08-01,43151
2020-08-02,43537
2020-08-03,43841
2020-08-04,44129
2020-08-05,44433
2020-08-06,44890
2020-08-07,45244
2020-08-08,45687
2020-08-09,46140
2020-08-10,46577
2020-08-11,46867
2020-08-12,47290
2020-08-13,47743
2020-08-14,48116
2020-08-15,48445
2020-08-16,48770
2020-08-17,49068
2020-08-18,49485
2020-08-19,49895
2020-08-20,50488
2020-08-21,50964
2020-08-22,51304
2020-08-23,51905
2020-08-24,52227
2020-08-25,52548
2020-08-26,52800
2020-08-27,53021
2020-08-28,53317
2020-08-29,53477
2020-08-30,53727
2020-08-31,53865
2020-09-01,54008
2020-09-02,54247
2020-09-03,54463
2020-09-04,54588
2020-09-05,54743
2020-09-06,54905
2020-09-07,55005
2020-09-08,55160
2020-09-09,55456
2020-09-10,55632
2020-09-11,55829
2020-09-12,56017
2020-09-13,56177
2020-09-14,56256
2020-09-15,56388
2020-09-16,56478
2020-09-17,56604
2020-09-18,56735
2020-09-19,56956
2020-09-20,57145
2020-09-21,57242
2020-09-22,57437
2020-09-23,57613
2020-09-24,57724
2020-09-25,57849
2020-09-26,58062
2020-09-27,58198
2020-09-28,58324
2020-09-29,58460
2020-09-30,58647
2020-10-01,58848
2020-10-02,59001
2020-10-03,59127
2020-10-04,59287
2020-10-05,59345
2020-10-06,59465
2020-10-07,59583
2020-10-08,59738
2020-10-09,59841
2020-10-10,59992
2020-10-11,60103
2020-10-12,60266
2020-10-13,60430
2020-10-14,60655
2020-10-15,60834
2020-10-16,60982
2020-10-17,61194
2020-10-18,61307
2020-10-19,61440
2020-10-20,61558
2020-10-21,61630
2020-10-22,61667
2020-10-23,61805
2020-10-24,61882
2020-10-25,61930
2020-10-26,61992
2020-10-27,62111
2020-10-28,62224
2020-10-29,62371
2020-10-30,62521
2020-10-31,62691
2020-11-01,62853
2020-11-02,62964
2020-11-03,63036
2020-11-04,63173
2020-11-05,63328
2020-11-06,63508
2020-11-07,63731
2020-11-08,63790
2020-11-09,64090
2020-11-10,64184
2020-11-11,64336
2020-11-12,64516
2020-11-13,64728
2020-11-14,64884
2020-11-15,64996
2020-11-16,65148
2020-11-17,65305
2020-11-18,65457
2020-11-19,65693
2020-11-20,65839
2020-11-21,65982
2020-11-22,66228
2020-11-23,66383
2020-11-24,66439
2020-11-25,66607
2020-11-26,66805
2020-11-27,66974
2020-11-28,67220
2020-11-29,67330
2020-11-30,67412
2020-12-01,67557
2020-12-02,67838
2020-12-03,67960
2020-12-04,68303
2020-12-05,68627
2020-12-06,68937
2020-12-07,69255
2020-12-08,69645
2020-12-09,70195
2020-12-10,70669
2020-12-11,71344
2020-12-12,72140
2020-12-13,72757
2020-12-14,73175
2020-12-15,73374
2020-12-16,74132
2020-12-17,75062
2020-12-18,76207
2020-12-19,77013
2020-12-20,77933
2020-12-21,78434
2020-12-22,78790
2020-12-23,79789
2020-12-24,80922
2020-12-25,81964
2020-12-26,82747
2020-12-27,83576
2020-12-28,84414
2020-12-29,84811
2020-12-30,85560
2020-12-31,86576
2021-01-01,87510
2021-01-02,88587
2021-01-03,89163
2021-01-04,90080
2021-01-05,91284
2021-01-06,92705
2021-01-07,94369
2021-01-08,95934
2021-01-09,97478
2021-01-10,99063
2021-01-11,100087
2021-01-12,101331
2021-01-13,102601
2021-01-14,103999
2021-01-15,105478
2021-01-16,107345
2021-01-17,108943
2021-01-18,110387
2021-01-19,112004
2021-01-20,113305
2021-01-21,114691
2021-01-22,116653
2021-01-23,118138
2021-01-24,120602
2021-01-25,121566
2021-01-26,122996
2021-01-27,124299
2021-01-28,126160
2021-01-29,127024
2021-01-30,128674
2021-01-31,130557
2021-02-01,131242
2021-02-02,131918
2021-02-03,133552
2021-02-04,134690
2021-02-05,136030
2021-02-06,137654
2021-02-07,139242
2021-02-08,139748
2021-02-09,140391
2021-02-10,141447
2021-02-11,142578
2021-02-12,143516
2021-02-13,144521
2021-02-14,145664
2021-02-15,146354
2021-02-16,146928
2021-02-17,148296
2021-02-18,149369
2021-02-19,150246
2021-02-20,150908
2021-02-21,151553
2021-02-22,152074
2021-02-23,152616
2021-02-24,153187
2021-02-25,153842
2021-02-26,154476
2021-02-27,155076
2021-02-28,155417
2021-03-01,155657
2021-03-02,156017
2021-03-03,156496
2021-03-04,156963
2021-03-05,157671
2021-03-06,158042
2021-03-07,158237
2021-03-08,158506
2021-03-09,158906
2021-03-10,159252
2021-03-11,159646
2021-03-12,159933
2021-03-13,160332
2021-03-14,160537
2021-03-15,160657
2021-03-16,160895
2021-03-17,161074
2021-03-18,161261
2021-03-19,161409
2021-03-20,161539
2021-03-21,161651
2021-03-22,161737
2021-03-23,161868
2021-03-24,162082
2021-03-25,162178
2021-03-26,162178
2021-03-27,162388
2021-03-28,162489
2021-03-29,162593
2021-03-30,162641
2021-03-31,162762
2021-04-01,162891
2021-04-02,162997
2021-04-03,163063
2021-04-04,163113
2021-04-05,163195
2021-04-06,163330
2021-04-07,163388
2021-04-08,163498
2021-04-09,163581
2021-04-10,163652
2021-04-11,163736
2021-04-12,163793
2021-04-13,163837
2021-04-14,163911
2021-04-15,164000
2021-04-16,164080
2021-04-17,164147
2021-04-18,164207
2021-04-19,164233
2021-04-20,164303
2021-04-21,164423
2021-04-22,164488
2021-04-23,164588
2021-04-24,164633
2021-04-25,164684
2021-04-26,164719
2021-04-27,164756
2021-04-28,164912
2021-04-29,164993
2021-04-30,165055
2021-05-01,165110
2021-05-02,165153
2021-05-03,165181
2021-05-04,165199
2021-05-05,165233
2021-05-06,165285
2021-05-07,165313
2021-05-08,165352
2021-05-09,165382
2021-05-10,165419
2021-05-11,165468
2021-05-12,165515
2021-05-13,165559
2021-05-14,165612
2021-05-15,165661
2021-05-16,165702
2021-05-17,165709
2021-05-18,165778
2021-05-19,165807
2021-05-20,165852
2021-05-21,165901
2021-05-22,165944
2021-05-23,165979
2021-05-24,166019
2021-05-25,166061
2021-05-26,166098
2021-05-27,166146
2021-05-28,166191
2021-05-29,166254
2021-05-30,166285
2021-05-31,166315
2021-06-01,166518
2021-06-02,166535
2021-06-03,166560
2021-06-04,166682
2021-06-05,166730
2021-06-06,166756
2021-06-07,166767
2021-06-08,166816
2021-06-09,166918
2021-06-10,166982
2021-06-11,167027
2021-06-12,167051
2021-06-13,167059
2021-06-14,167066
2021-06-15,167078
2021-06-16,167095
2021-06-17,167103
2021-06-18,167142
2021-06-19,167155
2021-06-20,167155
2021-06-21,167155
2021-06-22,167155
2021-06-23,167331
2021-06-24,167375
2021-06-25,167401
2021-06-26,167430
2021-06-27,167465
2021-06-28,167467
2021-06-29,167532
