dates,cumulativecount_medicaltest_conditioncovid_19
2020-04-08,5000
2020-04-16,6649
2020-04-17,7153
2020-04-23,10061
2020-04-25,10918
2020-04-28,12004
2020-04-29,12828
2020-05-01,15759
2020-05-03,16588
2020-05-04,18536
2020-05-05,19512
2020-05-06,21208
2020-05-07,22492
2020-05-08,23835
2020-05-11,27078
2020-05-12,28418
2020-05-13,29408
2020-05-14,30657
2020-05-16,32942
2020-05-17,33970
2020-05-18,35345
2020-05-19,36899
2020-05-20,38231
2020-05-22,41907
2020-05-23,43328
2020-05-24,44458
2020-05-25,45683
2020-05-26,46803
2020-05-27,48544
2020-05-28,49966
2020-05-29,58726
2020-05-30,60825
2020-06-01,63882
2020-06-02,65885
2020-06-03,69801
2020-06-04,71336
2020-06-05,73064
2020-06-06,74999
2020-06-07,76802
2020-06-08,78244
2020-06-09,79948
2020-06-10,82935
2020-06-11,85375
2020-06-13,90464
2020-06-14,92924
2020-06-15,94323
2020-06-16,96402
2020-06-18,106006
2020-06-19,108548
2020-06-20,111052
2020-06-21,113575
2020-06-22,115760
2020-06-23,117569
2020-06-24,120108
2020-06-25,122155
2020-06-27,127158
2020-06-28,130164
2020-06-29,132304
2020-06-30,134257
2020-07-01,138462
2020-07-02,141525
2020-07-03,144833
2020-07-04,148188
2020-07-05,151121
2020-07-06,152952
2020-07-08,169629
2020-07-09,171931
2020-07-10,175656
2020-07-11,178265
2020-07-12,181248
2020-07-13,183294
2020-07-15,199016
2020-07-16,202097
2020-07-17,206422
2020-07-18,209446
2020-07-19,212201
2020-07-21,218223
2020-07-22,247825
2020-07-23,251893
2020-07-24,256038
2020-07-25,259516
2020-07-26,262579
2020-07-27,267842
2020-07-28,272748
2020-07-29,276053
2020-07-30,279675
2020-08-01,286091
2020-08-02,287532
2020-08-03,289133
2020-08-04,304221
2020-08-06,306894
2020-08-07,310729
2020-08-08,314632
2020-08-09,317496
2020-08-10,319851
2020-08-12,338084
2020-08-13,341421
2020-08-14,344397
2020-08-16,350589
2020-08-17,352625
2020-08-18,355196
2020-08-19,363331
2020-08-20,366244
2020-08-21,369904
2020-08-22,374077
2020-08-23,378023
2020-08-24,379542
2020-08-25,383130
2020-08-26,388346
2020-08-27,391502
2020-08-28,394524
2020-08-29,398304
2020-08-30,402070
2020-08-31,403347
2020-09-02,411077
2020-09-03,413265
2020-09-05,417398
2020-09-06,420543
2020-09-07,424186
2020-09-08,426803
2020-09-09,430712
2020-09-10,433206
2020-09-11,436231
2020-09-12,438135
2020-09-13,440248
2020-09-14,442075
2020-09-15,443987
2020-09-18,472191
2020-09-21,480874
2020-09-23,484051
2020-09-25,494577
2020-09-26,502545
2020-09-28,507006
2020-09-29,509555
2020-10-03,520797
2020-10-04,532765
2020-10-05,536695
2020-10-07,543415
2020-10-08,545364
2020-10-10,551362
2020-10-11,553037
2020-10-12,554006
2020-10-13,558313
2020-10-14,564936
2020-10-15,567857
2020-10-16,572705
2020-10-17,576184
2020-10-18,578841
2020-10-20,590635
2020-10-21,595283
2020-10-23,602239
2020-10-25,603611
2020-10-26,612154
2020-10-27,614480
2020-10-28,617750
2020-10-29,620758
2020-10-31,625510
2020-11-01,627600
2020-11-04,668729
2020-11-05,673183
2020-11-07,681599
2020-11-08,686395
2020-11-09,687952
2020-11-12,697544
2020-11-14,705809
2020-11-18,721516
2020-11-19,724794
2020-11-20,728128
2020-11-21,739216
2020-11-22,743298
2020-11-24,749136
2020-11-26,756237
2020-12-01,779708
2020-12-04,791539
2020-12-07,803621
2020-12-08,817913
2020-12-09,822231
2020-12-10,829743
2020-12-11,833755
2020-12-12,838333
2020-12-13,845458
2020-12-14,848194
2020-12-16,859357
2020-12-17,864104
2020-12-18,869362
2020-12-19,874617
2020-12-21,893590
2020-12-22,903800
2020-12-24,912114
2020-12-26,925215
2020-12-28,932327
2020-12-29,937712
2020-12-30,938602
2020-12-31,948048
2021-01-02,952975
2021-01-03,955429
2021-01-04,958911
2021-01-05,980046
2021-01-07,1004915
2021-01-08,1011584
2021-01-09,1018061
2021-01-10,1025560
2021-01-11,1033858
2021-01-14,1135535
2021-01-15,1141147
2021-01-16,1147523
2021-01-17,1154138
2021-01-18,1172234
2021-01-19,1191866
2021-01-20,1198758
2021-01-21,1203113
2021-01-22,1225179
2021-01-23,1241230
2021-01-24,1258534
2021-01-25,1270523
2021-01-31,1302410
2021-02-08,1398630
2021-02-15,1441013
2021-02-22,1489103
2021-03-01,1544008
2021-03-08,1601396
2021-03-15,1684305
2021-03-22,1727467
2021-03-29,1767694
2021-04-05,1803177
2021-04-12,1838174
2021-04-19,1870915
2021-04-26,1912628
2021-05-03,1939165
2021-05-10,1977479
2021-05-17,2002653
2021-05-24,2093243
2021-05-31,2133061
2021-06-07,2180444
2021-06-14,2231409
2021-06-21,2266591
2021-06-28,2300266
2021-07-05,2331734
2021-07-12,2362757
2021-07-20,2401894
2021-07-27,2439850
2021-08-03,2542261
2021-08-09,2589130
2021-08-17,2648684
2021-08-23,2727834
2021-08-29,2779725
2021-09-06,2884034
2021-09-12,2942578
2021-09-19,2997060
2021-09-29,3043321
2021-10-03,3090114
2021-10-10,3142971
2021-10-19,3207523
2021-10-24,3298966
2021-10-31,3340313
2021-11-07,3392457
2021-11-15,3440172
2021-11-22,3479682
2021-11-29,3580510
2021-12-05,3629527
2021-12-12,3686403
2021-12-19,3751696
2021-12-26,3823309
2022-01-07,3863081
2022-01-09,3933209
2022-01-16,3992846
2022-01-23,4055877
2022-01-30,4116369
2022-02-06,4177940
2022-02-18,4233363
2022-02-23,4317621
2022-03-02,4442964
2022-03-07,4519905
2022-03-20,4589725
2022-03-24,4726096
2022-04-01,4841764
2022-04-07,4906535
2022-04-18,4977858
2022-04-24,5036813
2022-04-28,5075820
2022-05-08,5114703
2022-05-19,5152011
2022-05-29,5160280
2022-06-02,5188353
2022-06-08,5198572
2022-06-16,5219585
2022-06-22,5279608
