dates,cumulativecount_medicaltest_conditioncovid_19
2020-06-01,1551
2020-06-02,8372
2020-06-03,17252
2020-06-04,26604
2020-06-05,36082
2020-06-06,43934
2020-06-07,48864
2020-06-08,57991
2020-06-09,68175
2020-06-10,77934
2020-06-11,87336
2020-06-12,96016
2020-06-13,102072
2020-06-14,106005
2020-06-15,116248
2020-06-16,127173
2020-06-17,137590
2020-06-18,147782
2020-06-19,157310
2020-06-20,163386
2020-06-21,167671
2020-06-22,178954
2020-06-23,189985
2020-06-24,199556
2020-06-25,209948
2020-06-26,218902
2020-06-27,224784
2020-06-28,229002
2020-06-29,240726
2020-06-30,252815
2020-07-01,264605
2020-07-02,275694
2020-07-03,285809
2020-07-04,292137
2020-07-05,296509
2020-07-06,308556
2020-07-07,320770
2020-07-08,333787
2020-07-09,346873
2020-07-10,358930
2020-07-11,366663
2020-07-12,371675
2020-07-13,384498
2020-07-14,397733
2020-07-15,410864
2020-07-16,425165
2020-07-17,440255
2020-07-18,451479
2020-07-19,460146
2020-07-20,475281
2020-07-21,491414
2020-07-22,508788
2020-07-23,526641
2020-07-24,545106
2020-07-25,559533
2020-07-26,571535
2020-07-27,590132
2020-07-28,608502
2020-07-29,626367
2020-07-30,643147
2020-07-31,657362
2020-08-01,665804
2020-08-02,672928
2020-08-03,688621
2020-08-04,704951
2020-08-05,720927
2020-08-06,736047
2020-08-07,751631
2020-08-08,762370
2020-08-09,771436
2020-08-10,787008
2020-08-11,801917
2020-08-12,816952
2020-08-13,833013
2020-08-14,849350
2020-08-15,862046
2020-08-16,873467
2020-08-17,892170
2020-08-18,912071
2020-08-19,934234
2020-08-20,956699
2020-08-21,979532
2020-08-22,997670
2020-08-23,1013221
2020-08-24,1037083
2020-08-25,1062180
2020-08-26,1086583
2020-08-27,1111441
2020-08-28,1136471
2020-08-29,1156579
2020-08-30,1175178
2020-08-31,1199340
2020-09-01,1226355
2020-09-02,1253505
2020-09-03,1280601
2020-09-04,1308780
2020-09-05,1332819
2020-09-06,1355631
2020-09-07,1383406
2020-09-08,1412295
2020-09-09,1441644
2020-09-10,1471200
2020-09-11,1500568
2020-09-12,1525464
2020-09-13,1549443
2020-09-14,1577161
2020-09-15,1604935
2020-09-16,1634306
2020-09-17,1663738
2020-09-18,1692720
2020-09-19,1717669
2020-09-20,1741815
2020-09-21,1770214
2020-09-22,1799785
2020-09-23,1830483
2020-09-24,1862235
2020-09-25,1893779
2020-09-26,1921351
2020-09-27,1947862
2020-09-28,1978860
2020-09-29,2011126
2020-09-30,2044906
2020-10-01,2078863
2020-10-02,2112614
2020-10-03,2142661
2020-10-04,2170897
2020-10-05,2208603
2020-10-06,2249434
2020-10-07,2291282
2020-10-08,2334127
2020-10-09,2377098
2020-10-10,2415773
2020-10-11,2451349
2020-10-12,2493695
2020-10-13,2538354
2020-10-14,2584468
2020-10-15,2631322
2020-10-16,2678210
2020-10-17,2721431
2020-10-18,2761580
2020-10-19,2809638
2020-10-20,2859363
2020-10-21,2908069
2020-10-22,2956778
2020-10-23,3004106
2020-10-24,3045029
2020-10-25,3082228
2020-10-26,3128328
2020-10-27,3174959
2020-10-28,3221686
2020-10-29,3268167
2020-10-30,3311783
2020-10-31,3346571
2020-11-01,3375340
2020-11-02,3419801
2020-11-03,3459745
2020-11-04,3498994
2020-11-05,3536847
2020-11-06,3570830
2020-11-07,3596624
2020-11-08,3618593
2020-11-09,3659029
2020-11-10,3697329
2020-11-11,3733604
2020-11-12,3768683
2020-11-13,3800307
2020-11-14,3823571
2020-11-15,3843926
2020-11-16,3883676
2020-11-17,3922807
2020-11-18,3965230
2020-11-19,4006438
2020-11-20,4043495
2020-11-21,4071807
2020-11-22,4096860
2020-11-23,4141511
2020-11-24,4185025
2020-11-25,4226474
2020-11-26,4267219
2020-11-27,4304027
2020-11-28,4330996
2020-11-29,4354731
2020-11-30,4402087
2020-12-01,4453553
2020-12-02,4506127
2020-12-03,4558204
2020-12-04,4605584
2020-12-05,4637727
2020-12-06,4674691
2020-12-07,4735790
2020-12-08,4797233
2020-12-09,4867987
2020-12-10,4938028
2020-12-11,5006843
2020-12-12,5064549
2020-12-13,5115785
2020-12-14,5189281
2020-12-15,5262088
2020-12-16,5337300
2020-12-17,5408661
2020-12-18,5476102
2020-12-19,5536917
2020-12-20,5593286
2020-12-21,5669960
2020-12-22,5750541
2020-12-23,5830916
2020-12-24,5887902
2020-12-25,5922645
2020-12-26,5958915
2020-12-27,6001968
2020-12-28,6062901
2020-12-29,6128004
2020-12-30,6190570
2020-12-31,6230581
2021-01-01,6263853
2021-01-02,6310991
2021-01-03,6349826
2021-01-04,6404373
2021-01-05,6459741
2021-01-06,6514220
2021-01-07,6563912
2021-01-08,6609068
2021-01-09,6644253
2021-01-10,6672929
2021-01-11,6716558
2021-01-12,6757082
2021-01-13,6804286
2021-01-14,6852253
2021-01-15,6897892
2021-01-16,6934950
2021-01-17,6965999
2021-01-18,7013696
2021-01-19,7057235
2021-01-20,7102164
2021-01-21,7143112
2021-01-22,7179808
2021-01-23,7208792
2021-01-24,7233540
2021-01-25,7270273
2021-01-26,7303646
2021-01-27,7338423
2021-01-28,7369968
2021-01-29,7399146
2021-01-30,7422400
2021-01-31,7441668
2021-02-01,7475124
2021-02-02,7506921
2021-02-03,7541456
2021-02-04,7575559
2021-02-05,7607952
2021-02-06,7636628
2021-02-07,7636722
2021-02-08,7661190
2021-02-09,7692075
2021-02-10,7724472
2021-02-11,7755570
2021-02-12,7783280
2021-02-13,7805526
2021-02-14,7826903
2021-02-15,7849608
2021-02-16,7895227
2021-02-17,7941217
2021-02-18,7983172
2021-02-19,8022969
2021-02-20,8058537
2021-02-21,8090435
2021-02-22,8138731
2021-02-23,8185597
2021-02-24,8238452
2021-02-25,8286242
2021-02-26,8331356
2021-02-27,8370244
2021-02-28,8407658
2021-03-01,8464082
2021-03-02,8518417
2021-03-03,8573328
2021-03-04,8626262
2021-03-05,8675587
2021-03-06,8722031
2021-03-07,8769137
2021-03-08,8834149
2021-03-09,8903545
2021-03-10,8978956
2021-03-11,9046192
2021-03-12,9110864
2021-03-13,9170745
2021-03-14,9230248
2021-03-15,9310930
2021-03-16,9390929
2021-03-17,9473820
2021-03-18,9549095
2021-03-19,9620650
2021-03-20,9684368
2021-03-21,9747863
2021-03-22,9834101
2021-03-23,9922243
2021-03-24,10011396
2021-03-25,10094892
2021-03-26,10169865
2021-03-27,10235879
2021-03-28,10298194
2021-03-29,10385342
2021-03-30,10467531
2021-03-31,10546071
2021-04-01,10618470
2021-04-02,10684661
2021-04-03,10742845
