dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,1
2020-02-16,3
2020-02-17,0
2020-02-18,-1
2020-02-19,4
2020-02-20,-2
2020-02-21,-1
2020-02-22,-1
2020-02-23,9
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,3
2020-02-28,3
2020-02-29,-1
2020-03-01,2
2020-03-02,2
2020-03-03,1
2020-03-04,1
2020-03-05,4
2020-03-06,3
2020-03-07,0
2020-03-08,-2
2020-03-09,2
2020-03-10,2
2020-03-11,9
2020-03-12,51
2020-03-13,5
2020-03-14,-9
2020-03-15,-39
2020-03-16,-9
2020-03-17,-15
2020-03-18,-15
2020-03-19,-11
2020-03-20,-12
2020-03-21,-10
2020-03-22,-32
2020-03-23,-14
2020-03-24,-14
2020-03-25,-13
2020-03-26,-10
2020-03-27,-9
2020-03-28,-8
2020-03-29,-32
2020-03-30,-11
2020-03-31,-7
2020-04-01,-6
2020-04-02,-4
2020-04-03,-3
2020-04-04,-3
2020-04-05,-22
2020-04-06,9
2020-04-07,27
2020-04-08,40
2020-04-09,-80
2020-04-10,-80
2020-04-11,-2
2020-04-12,-31
2020-04-13,-80
2020-04-14,7
2020-04-15,-3
2020-04-16,-2
2020-04-17,3
2020-04-18,3
2020-04-20,1
2020-04-21,5
2020-04-22,4
2020-04-23,5
2020-04-24,2
2020-04-25,1
2020-04-27,-1
2020-04-28,3
2020-04-29,7
2020-04-30,39
2020-05-01,-78
2020-05-02,17
2020-05-04,4
2020-05-05,5
2020-05-06,6
2020-05-07,9
2020-05-08,4
2020-05-09,5
2020-05-10,0
2020-05-11,3
2020-05-12,9
2020-05-13,8
2020-05-14,15
2020-05-15,12
2020-05-16,16
2020-05-17,-22
2020-05-18,-8
2020-05-19,5
2020-05-20,41
2020-05-21,-70
2020-05-22,15
2020-05-23,2
2020-05-24,9
2020-05-25,10
2020-05-26,8
2020-05-27,11
2020-05-28,16
2020-05-29,18
2020-05-30,2
2020-05-31,49
2020-06-01,-66
2020-06-02,31
2020-06-03,13
2020-06-04,12
2020-06-05,7
2020-06-06,6
2020-06-07,7
2020-06-08,7
2020-06-09,8
2020-06-10,11
2020-06-11,18
2020-06-12,15
2020-06-13,9
2020-06-14,41
2020-06-15,19
2020-06-16,19
2020-06-17,19
2020-06-18,24
2020-06-19,13
2020-06-20,8
2020-06-21,32
2020-06-22,18
2020-06-23,20
2020-06-24,15
2020-06-25,19
2020-06-26,10
2020-06-27,5
2020-06-28,35
2020-06-29,16
2020-06-30,13
2020-07-01,12
2020-07-02,14
2020-07-03,4
2020-07-04,4
2020-07-05,31
2020-07-06,16
2020-07-07,13
2020-07-08,12
2020-07-09,12
2020-07-10,5
2020-07-11,3
2020-07-12,49
2020-07-13,16
2020-07-14,13
2020-07-15,14
2020-07-16,11
2020-07-17,3
2020-07-18,2
2020-07-19,47
2020-07-20,18
2020-07-21,13
2020-07-22,13
2020-07-23,12
2020-07-24,1
2020-07-25,0
2020-07-26,38
2020-07-27,15
2020-07-28,9
2020-07-29,10
2020-07-30,11
2020-07-31,0
2020-08-01,-2
2020-08-02,42
2020-08-03,14
2020-08-04,10
2020-08-05,8
2020-08-06,10
2020-08-07,1
2020-08-08,-1
2020-08-09,44
2020-08-10,11
2020-08-11,8
2020-08-12,11
2020-08-13,12
2020-08-14,3
2020-08-15,1
2020-08-16,35
2020-08-17,9
2020-08-18,6
2020-08-19,9
2020-08-20,7
2020-08-21,0
2020-08-22,1
2020-08-23,18
2020-08-24,2
2020-08-25,3
2020-08-26,3
2020-08-27,4
2020-08-28,2
2020-08-29,-1
2020-08-30,21
2020-08-31,3
2020-09-01,4
2020-09-02,3
2020-09-03,3
2020-09-04,2
2020-09-05,-2
2020-09-06,13
2020-09-07,0
2020-09-08,1
2020-09-09,0
2020-09-10,5
2020-09-11,2
2020-09-12,-1
2020-09-13,9
2020-09-14,1
2020-09-15,3
2020-09-16,1
2020-09-17,4
2020-09-18,3
2020-09-19,-1
2020-09-20,12
2020-09-21,1
2020-09-22,2
2020-09-23,0
2020-09-24,0
2020-09-25,1
2020-09-26,-1
2020-09-27,7
2020-09-28,0
2020-09-29,0
2020-09-30,4
2020-10-01,4
2020-10-02,1
2020-10-03,-2
2020-10-04,0
2020-10-05,4
2020-10-06,2
2020-10-07,3
2020-10-08,4
2020-10-09,0
2020-10-10,-3
2020-10-11,6
2020-10-12,3
2020-10-13,3
2020-10-14,3
2020-10-15,5
2020-10-16,3
