dates,incrementalcount_vaccine_covid_19_administered
2020-12-09,1
2020-12-10,1
2020-12-11,4
2020-12-12,1
2020-12-16,5
2020-12-17,9
2020-12-18,15
2020-12-19,5
2020-12-20,7
2020-12-21,14
2020-12-22,15
2020-12-23,17
2020-12-24,13
2020-12-27,17
2020-12-28,627
2020-12-29,1092
2020-12-30,473
2020-12-31,91
2021-01-01,27
2021-01-02,18
2021-01-03,42
2021-01-04,38
2021-01-05,3446
2021-01-06,9169
2021-01-07,6625
2021-01-08,1672
2021-01-09,174
2021-01-10,147
2021-01-11,503
2021-01-12,4375
2021-01-13,9975
2021-01-14,8601
2021-01-15,4623
2021-01-16,847
2021-01-17,396
2021-01-18,1642
2021-01-19,5494
2021-01-20,10876
2021-01-21,8783
2021-01-22,3464
2021-01-23,428
2021-01-24,108
2021-01-25,632
2021-01-26,4778
2021-01-27,19544
2021-01-28,17740
2021-01-29,6072
2021-01-30,433
2021-01-31,253
2021-02-01,627
2021-02-02,9794
2021-02-03,34242
2021-02-04,35213
2021-02-05,15922
2021-02-06,1650
2021-02-07,696
2021-02-08,1111
2021-02-09,9137
2021-02-10,32385
2021-02-11,30198
2021-02-12,11988
2021-02-13,1309
2021-02-14,162
2021-02-15,1673
2021-02-16,8550
2021-02-17,32776
2021-02-18,30333
2021-02-19,15834
2021-02-20,797
2021-02-21,274
2021-02-22,2832
2021-02-23,11537
2021-02-24,34524
2021-02-25,38133
2021-02-26,18781
2021-02-27,810
2021-02-28,745
2021-03-01,6223
2021-03-02,14815
2021-03-03,36994
2021-03-04,35557
2021-03-05,18966
2021-03-06,1050
2021-03-07,216
2021-03-08,5268
2021-03-09,17316
2021-03-10,39485
2021-03-11,29549
2021-03-12,11135
2021-03-13,517
2021-03-14,222
2021-03-15,690
2021-03-16,6779
2021-03-17,25619
2021-03-18,23115
2021-03-19,8174
2021-03-20,687
2021-03-21,377
2021-03-22,1828
2021-03-23,14545
2021-03-24,43762
2021-03-25,42002
2021-03-26,18996
2021-03-27,940
2021-03-28,465
2021-03-29,5154
2021-03-30,37367
2021-03-31,45565
2021-04-01,11390
2021-04-02,5294
2021-04-03,462
2021-04-04,551
2021-04-05,1724
2021-04-06,21910
2021-04-07,63605
2021-04-08,62518
2021-04-09,28658
2021-04-10,1363
2021-04-11,731
2021-04-12,4085
2021-04-13,26578
2021-04-14,69934
2021-04-15,67510
2021-04-16,30386
2021-04-17,2390
2021-04-18,1451
2021-04-19,6887
2021-04-20,20958
2021-04-21,63082
2021-04-22,54314
2021-04-23,20188
2021-04-24,663
2021-04-25,436
2021-04-26,3135
2021-04-27,25951
2021-04-28,84449
2021-04-29,76016
2021-04-30,34272
2021-05-01,2027
2021-05-02,1437
2021-05-03,4788
2021-05-04,22803
2021-05-05,80162
2021-05-06,71728
2021-05-07,32071
2021-05-08,1335
2021-05-09,752
2021-05-10,9144
2021-05-11,50140
2021-05-12,96432
2021-05-13,21836
2021-05-14,19816
2021-05-15,2947
2021-05-16,2464
2021-05-17,822
2021-05-18,28688
2021-05-19,81348
2021-05-20,78061
2021-05-21,36633
2021-05-22,2545
2021-05-23,1354
2021-05-24,3585
2021-05-25,33630
2021-05-26,94565
2021-05-27,84079
2021-05-28,37473
2021-05-29,2962
2021-05-30,1876
2021-05-31,10024
2021-06-01,42443
2021-06-02,124298
2021-06-03,114436
2021-06-04,51760
2021-06-05,4667
2021-06-06,3565
2021-06-07,18879
2021-06-08,47120
2021-06-09,101519
2021-06-10,95967
2021-06-11,43059
2021-06-12,4207
2021-06-13,3086
2021-06-14,22465
2021-06-15,40154
2021-06-16,106606
2021-06-17,92848
2021-06-18,44699
2021-06-19,7278
2021-06-20,4680
2021-06-21,20888
2021-06-22,50908
2021-06-23,111155
2021-06-24,113556
2021-06-25,54626
2021-06-26,10559
2021-06-27,5930
2021-06-28,33800
2021-06-29,51810
2021-06-30,112576
2021-07-01,110981
2021-07-02,54789
2021-07-03,9981
2021-07-04,6633
2021-07-05,27709
2021-07-06,45742
2021-07-07,86413
2021-07-08,78684
2021-07-09,30673
2021-07-10,4584
2021-07-11,3234
2021-07-12,15391
2021-07-13,33008
2021-07-14,78088
2021-07-15,72765
2021-07-16,26645
2021-07-17,1161
2021-07-18,618
2021-07-19,12474
2021-07-20,30479
2021-07-21,85598
2021-07-22,90506
2021-07-23,29379
2021-07-24,660
2021-07-25,370
2021-07-26,12092
2021-07-27,30509
2021-07-28,94277
2021-07-29,94227
2021-07-30,32958
2021-07-31,1294
2021-08-01,263
2021-08-02,18481
2021-08-03,33287
2021-08-04,85834
2021-08-05,84720
2021-08-06,32281
2021-08-07,1614
2021-08-08,995
2021-08-09,24671
2021-08-10,41324
2021-08-11,103519
2021-08-12,103975
2021-08-13,45140
2021-08-14,2610
2021-08-15,1237
2021-08-16,33492
2021-08-17,49589
2021-08-18,118189
2021-08-19,111464
2021-08-20,58500
2021-08-21,7275
2021-08-22,1976
2021-08-23,43893
2021-08-24,72283
2021-08-25,138637
2021-08-26,138686
2021-08-27,70572
2021-08-28,12479
2021-08-29,4945
2021-08-30,46431
2021-08-31,55112
2021-09-01,96585
2021-09-02,97024
2021-09-03,45348
2021-09-04,7140
2021-09-05,1297
2021-09-06,25235
2021-09-07,34065
2021-09-08,72848
2021-09-09,63900
2021-09-10,30031
2021-09-11,3890
2021-09-12,564
