dates,covid19mobilitytrend_transporthub
2020-02-15,2
2020-02-16,5
2020-02-17,6
2020-02-18,5
2020-02-19,4
2020-02-20,7
2020-02-21,-5
2020-02-22,1
2020-02-23,7
2020-02-24,4
2020-02-25,2
2020-02-26,2
2020-02-27,6
2020-02-28,8
2020-02-29,4
2020-03-01,7
2020-03-02,6
2020-03-03,2
2020-03-04,5
2020-03-05,7
2020-03-06,10
2020-03-07,-2
2020-03-08,5
2020-03-09,-6
2020-03-10,-5
2020-03-11,2
2020-03-12,2
2020-03-13,-2
2020-03-14,-5
2020-03-15,0
2020-03-16,0
2020-03-17,-2
2020-03-18,2
2020-03-19,4
2020-03-20,3
2020-03-21,-2
2020-03-22,-8
2020-03-23,-25
2020-03-24,-63
2020-03-25,-70
2020-03-26,-73
2020-03-27,-73
2020-03-28,-72
2020-03-29,-74
2020-03-30,-73
2020-03-31,-73
2020-04-01,-72
2020-04-02,-73
2020-04-03,-72
2020-04-04,-71
2020-04-05,-73
2020-04-06,-72
2020-04-07,-71
2020-04-08,-71
2020-04-09,-71
2020-04-10,-70
2020-04-11,-71
2020-04-12,-69
2020-04-13,-69
2020-04-14,-72
2020-04-15,-72
2020-04-16,-73
2020-04-17,-72
2020-04-18,-74
2020-04-19,-73
2020-04-20,-71
2020-04-21,-73
2020-04-22,-68
2020-04-23,-67
2020-04-24,-70
2020-04-25,-71
2020-04-26,-69
2020-04-27,-68
2020-04-28,-67
2020-04-29,-65
2020-04-30,-65
2020-05-01,-69
2020-05-02,-67
2020-05-03,-66
2020-05-04,-67
2020-05-05,-66
2020-05-06,-61
2020-05-07,-63
2020-05-08,-57
2020-05-09,-58
2020-05-10,-57
2020-05-11,-53
2020-05-12,-52
2020-05-13,-57
2020-05-14,-63
2020-05-15,-63
2020-05-16,-65
2020-05-17,-66
2020-05-18,-65
2020-05-19,-65
2020-05-20,-63
2020-05-21,-63
2020-05-22,-62
2020-05-23,-63
2020-05-24,-62
2020-05-25,-62
2020-05-26,-61
2020-05-27,-60
2020-05-28,-58
2020-05-29,-58
2020-05-30,-59
2020-05-31,-57
2020-06-01,-55
2020-06-02,-54
2020-06-03,-53
2020-06-04,-52
2020-06-05,-60
2020-06-06,-57
2020-06-07,-48
2020-06-08,-48
2020-06-09,-50
2020-06-10,-49
2020-06-11,-48
2020-06-12,-46
2020-06-13,-48
2020-06-14,-44
2020-06-15,-44
2020-06-16,-44
2020-06-17,-39
2020-06-18,-43
2020-06-19,-41
2020-06-20,-47
2020-06-21,-46
2020-06-22,-41
2020-06-23,-36
2020-06-24,-36
2020-06-25,-42
2020-06-26,-38
2020-06-27,-39
2020-06-28,-41
2020-06-29,-36
2020-06-30,-35
2020-07-01,-36
2020-07-02,-36
2020-07-03,-35
2020-07-04,-39
2020-07-05,-33
2020-07-06,-34
2020-07-07,-34
2020-07-08,-34
2020-07-09,-38
2020-07-10,-39
2020-07-11,-40
2020-07-12,-34
2020-07-13,-32
2020-07-14,-33
2020-07-15,-30
2020-07-16,-33
2020-07-17,-30
2020-07-18,-35
2020-07-19,-37
2020-07-20,-40
2020-07-21,-36
2020-07-22,-28
2020-07-23,-31
2020-07-24,-27
2020-07-25,-29
2020-07-26,-25
2020-07-27,-26
2020-07-28,-31
2020-07-29,-24
2020-07-30,-27
2020-07-31,-24
2020-08-01,-29
2020-08-02,-25
2020-08-03,-26
2020-08-04,-29
2020-08-05,-28
2020-08-06,-30
2020-08-07,-32
2020-08-08,-37
2020-08-09,-37
2020-08-10,-34
2020-08-11,-39
2020-08-12,-37
2020-08-13,-37
2020-08-14,-39
2020-08-15,-45
2020-08-16,-43
2020-08-17,-44
2020-08-18,-46
2020-08-19,-39
2020-08-20,-59
2020-08-21,-62
2020-08-22,-63
2020-08-23,-62
2020-08-24,-60
2020-08-25,-59
2020-08-26,-58
2020-08-27,-57
2020-08-28,-57
2020-08-29,-58
2020-08-30,-56
2020-08-31,-55
2020-09-01,-55
2020-09-02,-53
2020-09-03,-53
2020-09-04,-53
2020-09-05,-52
2020-09-06,-48
2020-09-07,-47
2020-09-08,-45
2020-09-09,-45
2020-09-10,-41
2020-09-11,-39
2020-09-12,-38
2020-09-13,-37
2020-09-14,-36
2020-09-15,-36
2020-09-16,-32
2020-09-17,-34
2020-09-18,-33
2020-09-19,-30
2020-09-20,-25
2020-09-21,-28
2020-09-22,-23
2020-09-23,-38
2020-09-24,-41
2020-09-25,-23
2020-09-26,-20
2020-09-27,-12
2020-09-28,-15
2020-09-29,-14
2020-09-30,-12
2020-10-01,-14
2020-10-02,-14
2020-10-03,-16
2020-10-04,-14
2020-10-05,-16
2020-10-06,-14
2020-10-07,-14
2020-10-08,-19
2020-10-09,-22
2020-10-10,-24
2020-10-11,-20
2020-10-12,-20
2020-10-13,-19
2020-10-14,-17
2020-10-15,-15
2020-10-16,-14
2020-10-17,-16
2020-10-18,-14
2020-10-19,-12
2020-10-20,-12
2020-10-21,-10
2020-10-22,-6
2020-10-23,-12
2020-10-24,-18
2020-10-25,-28
2020-10-26,-25
2020-10-27,-25
2020-10-28,-16
2020-10-29,-16
2020-10-30,-14
2020-10-31,-18
2020-11-01,-15
2020-11-02,-14
2020-11-03,-12
2020-11-04,-12
2020-11-05,-15
2020-11-06,-17
2020-11-07,-17
2020-11-08,-13
2020-11-09,-16
2020-11-10,-12
2020-11-11,-9
2020-11-12,-6
2020-11-13,3
2020-11-14,-4
2020-11-15,-11
2020-11-16,-24
2020-11-17,-16
2020-11-18,-6
2020-11-19,-6
2020-11-20,-10
2020-11-21,-9
2020-11-22,-1
2020-11-23,-6
2020-11-24,-3
2020-11-25,-4
2020-11-26,-5
2020-11-27,-9
2020-11-28,-5
2020-11-29,0
2020-11-30,-1
2020-12-01,4
2020-12-02,2
2020-12-03,1
2020-12-04,1
2020-12-05,2
2020-12-06,7
2020-12-07,3
2020-12-08,4
2020-12-09,6
2020-12-10,11
2020-12-11,12
2020-12-12,8
2020-12-13,15
2020-12-14,12
2020-12-15,12
2020-12-16,14
2020-12-17,11
2020-12-18,11
2020-12-19,9
2020-12-20,16
2020-12-21,11
2020-12-22,10
2020-12-23,12
2020-12-24,12
2020-12-25,14
2020-12-26,10
2020-12-27,17
2020-12-28,16
2020-12-29,12
2020-12-30,11
2020-12-31,17
2021-01-01,18
2021-01-02,11
2021-01-03,19
2021-01-04,12
2021-01-05,12
2021-01-06,15
2021-01-07,15
2021-01-08,15
2021-01-09,12
2021-01-10,16
2021-01-11,15
2021-01-12,12
2021-01-13,15
2021-01-14,-3
2021-01-15,-2
2021-01-16,-1
2021-01-17,7
2021-01-18,5
2021-01-19,2
2021-01-20,3
2021-01-21,2
2021-01-22,7
2021-01-23,0
2021-01-24,11
2021-01-25,8
2021-01-26,5
2021-01-27,6
2021-01-28,9
2021-01-29,13
2021-01-30,9
2021-01-31,15
2021-02-01,14
2021-02-02,12
2021-02-03,5
2021-02-04,-19
2021-02-05,5
2021-02-06,-1
2021-02-07,10
2021-02-08,8
2021-02-09,11
2021-02-10,11
2021-02-11,12
2021-02-12,8
2021-02-13,10
2021-02-14,19
2021-02-15,18
2021-02-16,22
2021-02-17,18
2021-02-18,18
2021-02-19,22
2021-02-20,19
2021-02-21,21
2021-02-22,19
2021-02-23,20
2021-02-24,22
2021-02-25,21
2021-02-26,22
2021-02-27,20
2021-02-28,23
2021-03-01,23
2021-03-02,24
2021-03-03,25
2021-03-04,24
2021-03-05,26
2021-03-06,23
2021-03-07,23
2021-03-08,22
2021-03-09,26
2021-03-10,30
2021-03-11,22
2021-03-12,27
2021-03-13,20
2021-03-14,29
2021-03-15,27
2021-03-16,26
2021-03-17,29
2021-03-18,29
2021-03-19,33
2021-03-20,28
2021-03-21,32
2021-03-22,32
2021-03-23,31
2021-03-24,32
2021-03-25,33
