dates,cumulativecount_vaccine_covid_19_administered
2021-01-26,0
2021-02-01,113175
2021-02-04,158487
2021-02-20,402264
2021-03-19,1600000
2021-04-05,1700000
2021-04-07,1806236
2021-04-08,1811658
2021-04-09,1835263
2021-04-10,1841124
2021-04-11,1850570
2021-04-13,1873377
2021-04-15,1885755
2021-04-16,1900583
2021-04-17,1910209
2021-04-18,1924703
2021-04-19,1938679
2021-04-20,1961992
2021-04-21,1966506
2021-04-22,1978239
2021-04-23,1989248
2021-04-25,2006436
2021-04-26,2019177
2021-04-27,2051440
2021-04-28,2091511
2021-05-07,2453512
2021-05-18,2539590
2021-05-20,2596711
2021-05-21,2627333
2021-05-22,2644648
2021-05-23,2666669
2021-05-24,2706835
2021-05-25,2727193
2021-05-26,2741964
2021-05-27,2761148
2021-05-28,2767931
2021-05-29,2800019
2021-05-30,2802596
2021-06-06,2804574
2021-06-09,2861314
2021-06-10,2936113
2021-06-12,3074592
2021-06-15,3129621
2021-06-16,3153419
2021-06-19,3231849
2021-06-26,3331960
2021-06-27,3333921
2021-06-28,3339983
2021-06-29,3354095
2021-06-30,3356335
2021-07-01,3361468
2021-07-03,3362828
2021-07-04,3364051
2021-07-05,3371761
2021-07-07,3463107
2021-07-09,3576315
2021-07-11,3653173
2021-07-12,3690999
2021-07-13,3714937
2021-07-14,3730344
2021-07-16,3885991
2021-07-17,4039720
2021-07-18,4129122
2021-07-20,4309086
2021-07-22,4589970
2021-07-23,4661963
2021-07-24,4743274
2021-07-25,4781216
2021-07-26,4828570
2021-07-27,4920010
2021-07-28,5047355
2021-07-29,5199536
2021-07-31,5682627
2021-08-01,5877759
2021-08-02,6163462
2021-08-03,6257243
2021-08-04,6372398
2021-08-05,6490177
2021-08-06,6611076
2021-08-07,6802415
2021-08-08,6986451
2021-08-09,7131481
2021-08-10,7263702
2021-08-11,7458913
2021-08-12,7515766
2021-08-14,7977896
2021-08-15,8048666
2021-08-16,8207001
2021-08-17,8351529
2021-08-18,8435662
