dates,covid19mobilitytrend_transporthub
2020-02-15,8
2020-02-16,7
2020-02-17,15
2020-02-18,8
2020-02-19,11
2020-02-20,11
2020-02-21,10
2020-02-22,1
2020-02-23,2
2020-02-24,18
2020-02-25,10
2020-02-26,12
2020-02-27,12
2020-02-28,13
2020-02-29,3
2020-03-01,8
2020-03-02,16
2020-03-03,8
2020-03-04,9
2020-03-05,10
2020-03-06,9
2020-03-07,3
2020-03-08,5
2020-03-09,12
2020-03-10,6
2020-03-11,7
2020-03-12,7
2020-03-13,6
2020-03-14,-2
2020-03-15,-2
2020-03-16,3
2020-03-17,-9
2020-03-18,-10
2020-03-19,-14
2020-03-20,-20
2020-03-21,-32
2020-03-22,-36
2020-03-23,-34
2020-03-24,-51
2020-03-25,-61
2020-03-26,-84
2020-03-27,-84
2020-03-28,-84
2020-03-29,-84
2020-03-30,-85
2020-03-31,-85
2020-04-01,-85
2020-04-02,-85
2020-04-03,-86
2020-04-04,-84
2020-04-05,-84
2020-04-06,-85
2020-04-07,-85
2020-04-08,-85
2020-04-09,-85
2020-04-10,-89
2020-04-11,-82
2020-04-12,-85
2020-04-13,-89
2020-04-14,-87
2020-04-15,-86
2020-04-16,-86
2020-04-17,-87
2020-04-18,-84
2020-04-19,-85
2020-04-20,-85
2020-04-21,-85
2020-04-22,-84
2020-04-23,-85
2020-04-24,-84
2020-04-25,-81
2020-04-26,-82
2020-04-27,-87
2020-04-28,-73
2020-04-29,-72
2020-04-30,-69
2020-05-01,-69
2020-05-02,-65
2020-05-03,-76
2020-05-04,-70
2020-05-05,-72
2020-05-06,-68
2020-05-07,-70
2020-05-08,-70
2020-05-09,-64
2020-05-10,-68
2020-05-11,-70
2020-05-12,-70
2020-05-13,-68
2020-05-14,-50
2020-05-15,-48
2020-05-16,-32
2020-05-17,-38
2020-05-18,-39
2020-05-19,-42
2020-05-20,-47
2020-05-21,-47
2020-05-22,-45
2020-05-23,-38
2020-05-24,-52
2020-05-25,-48
2020-05-26,-46
2020-05-27,-44
2020-05-28,-40
2020-05-29,-40
2020-05-30,-31
2020-05-31,-41
2020-06-01,-56
2020-06-02,-41
2020-06-03,-39
2020-06-04,-41
2020-06-05,-43
2020-06-06,-41
2020-06-07,-46
2020-06-08,-41
2020-06-09,-41
2020-06-10,-38
2020-06-11,-38
2020-06-12,-36
2020-06-13,-33
2020-06-14,-33
