dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,2
2020-03-05,3
2020-03-06,4
2020-03-07,5
2020-03-08,5
2020-03-09,5
2020-03-10,5
2020-03-11,5
2020-03-12,5
2020-03-13,5
2020-03-14,6
2020-03-15,8
2020-03-16,8
2020-03-17,12
2020-03-18,20
2020-03-19,28
2020-03-20,39
2020-03-21,52
2020-03-22,66
2020-03-23,102
2020-03-24,142
2020-03-25,189
2020-03-26,262
2020-03-27,338
2020-03-28,416
2020-03-29,476
2020-03-30,552
2020-03-31,600
2020-04-01,647
2020-04-02,723
2020-04-03,774
2020-04-04,824
2020-04-05,872
2020-04-06,911
2020-04-07,943
2020-04-08,969
2020-04-09,992
2020-04-10,1015
2020-04-11,1035
2020-04-12,1049
2020-04-13,1064
2020-04-14,1072
2020-04-15,1078
2020-04-16,1084
2020-04-17,1086
2020-04-18,1094
2020-04-19,1098
2020-04-20,1105
2020-04-21,1107
2020-04-22,1110
2020-04-23,1112
2020-04-24,1114
2020-04-25,1117
2020-04-26,1121
2020-04-27,1122
2020-04-28,1124
2020-04-29,1126
2020-04-30,1129
2020-05-01,1132
2020-05-02,1134
2020-05-03,1136
2020-05-04,1137
2020-05-05,1137
2020-05-06,1138
2020-05-07,1139
2020-05-08,1141
2020-05-09,1142
2020-05-10,1144
2020-05-11,1147
2020-05-12,1147
2020-05-13,1147
2020-05-14,1147
2020-05-15,1148
2020-05-16,1148
2020-05-17,1149
2020-05-18,1149
2020-05-19,1153
2020-05-20,1153
2020-05-21,1153
2020-05-22,1154
2020-05-23,1154
2020-05-24,1154
2020-05-25,1154
2020-05-26,1154
2020-05-27,1154
2020-05-28,1154
2020-05-29,1154
2020-05-30,1154
2020-05-31,1154
2020-06-01,1154
2020-06-02,1154
2020-06-03,1154
2020-06-04,1154
2020-06-05,1154
2020-06-06,1154
2020-06-07,1154
2020-06-08,1154
2020-06-09,1154
2020-06-10,1154
2020-06-11,1154
2020-06-12,1154
2020-06-13,1154
2020-06-14,1154
2020-06-15,1154
2020-06-16,1156
2020-06-17,1156
2020-06-18,1157
2020-06-19,1157
2020-06-20,1159
2020-06-21,1159
2020-06-22,1163
2020-06-23,1165
2020-06-24,1166
2020-06-25,1169
2020-06-26,1170
2020-06-27,1172
2020-06-28,1176
2020-06-29,1178
2020-06-30,1178
2020-07-01,1178
2020-07-02,1180
2020-07-03,1180
2020-07-04,1180
2020-07-05,1183
2020-07-06,1184
2020-07-07,1186
2020-07-08,1187
2020-07-09,1190
2020-07-10,1192
2020-07-11,1193
2020-07-12,1194
2020-07-13,1194
2020-07-14,1195
2020-07-15,1197
2020-07-16,1198
2020-07-17,1199
2020-07-18,1200
2020-07-19,1203
2020-07-20,1204
2020-07-21,1205
2020-07-22,1205
2020-07-23,1205
2020-07-24,1206
2020-07-25,1206
2020-07-26,1206
2020-07-27,1206
2020-07-28,1207
2020-07-29,1208
2020-07-30,1210
2020-07-31,1210
2020-08-01,1212
2020-08-02,1215
2020-08-03,1217
2020-08-04,1217
2020-08-05,1219
2020-08-06,1219
2020-08-07,1219
2020-08-08,1219
2020-08-09,1219
2020-08-10,1219
2020-08-11,1220
2020-08-12,1224
2020-08-13,1238
2020-08-14,1251
2020-08-15,1258
2020-08-16,1271
2020-08-17,1280
2020-08-18,1293
2020-08-19,1299
2020-08-20,1304
2020-08-21,1315
2020-08-22,1321
2020-08-23,1324
2020-08-24,1332
2020-08-25,1339
2020-08-26,1344
2020-08-27,1351
2020-08-28,1363
2020-08-29,1376
2020-08-30,1378
2020-08-31,1387
2020-09-01,1401
2020-09-02,1406
2020-09-03,1408
2020-09-04,1413
2020-09-05,1416
2020-09-06,1421
2020-09-07,1425
2020-09-08,1431
2020-09-09,1437
2020-09-10,1441
2020-09-11,1442
2020-09-12,1444
2020-09-13,1446
2020-09-14,1447
2020-09-15,1450
2020-09-16,1451
2020-09-17,1458
2020-09-18,1458
2020-09-19,1460
2020-09-20,1464
2020-09-21,1464
2020-09-22,1464
2020-09-23,1468
2020-09-24,1471
2020-09-25,1473
2020-09-26,1475
2020-09-27,1477
2020-09-28,1477
2020-09-29,1479
2020-09-30,1480
2020-10-01,1492
2020-10-02,1492
2020-10-03,1493
2020-10-04,1498
2020-10-05,1499
2020-10-06,1502
2020-10-07,1505
2020-10-08,1508
2020-10-09,1510
2020-10-10,1514
2020-10-11,1515
2020-10-12,1515
2020-10-13,1516
2020-10-14,1518
2020-10-15,1520
2020-10-16,1524
2020-10-17,1527
2020-10-18,1530
2020-10-19,1530
2020-10-20,1531
2020-10-21,1556
2020-10-22,1558
2020-10-23,1567
2020-10-24,1578
2020-10-25,1579
2020-10-26,1584
2020-10-27,1585
2020-10-28,1587
2020-10-29,1593
2020-10-30,1594
2020-10-31,1601
2020-11-01,1604
2020-11-02,1608
2020-11-03,1613
2020-11-04,1616
2020-11-05,1618
2020-11-06,1619
2020-11-07,1621
2020-11-08,1627
2020-11-09,1631
2020-11-10,1632
2020-11-11,1633
2020-11-12,1636
2020-11-13,1640
2020-11-14,1643
2020-11-15,1645
2020-11-16,1646
2020-11-17,1650
2020-11-18,1653
2020-11-19,1655
2020-11-20,1658
2020-11-21,1664
2020-11-22,1673
2020-11-23,1674
2020-11-24,1676
2020-11-25,1684
2020-11-26,1685
2020-11-27,1692
2020-11-28,1695
2020-11-29,1697
2020-11-30,1701
2020-12-01,1704
2020-12-02,1705
2020-12-03,1714
2020-12-04,1714
2020-12-05,1723
2020-12-06,1723
2020-12-07,1724
2020-12-08,1730
2020-12-09,1731
2020-12-10,1731
2020-12-11,1737
2020-12-12,1737
2020-12-13,1741
2020-12-14,1741
2020-12-15,1741
2020-12-16,1745
2020-12-17,1745
2020-12-18,1755
2020-12-19,1755
2020-12-20,1761
2020-12-21,1766
2020-12-22,1766
2020-12-23,1773
2020-12-24,1773
2020-12-25,1773
2020-12-26,1773
2020-12-27,1789
2020-12-28,1789
2020-12-29,1796
2020-12-30,1796
2020-12-31,1807
2021-01-01,1807
2021-01-02,1826
2021-01-03,1826
2021-01-04,1829
2021-01-05,1829
2021-01-06,1833
2021-01-07,1833
2021-01-08,1833
2021-01-09,1862
2021-01-10,1866
2021-01-11,1866
2021-01-12,1873
2021-01-13,1873
2021-01-14,1891
2021-01-15,1891
2021-01-16,1901
2021-01-17,1906
2021-01-18,1906
2021-01-19,1912
2021-01-20,1912
2021-01-21,1921
2021-01-22,1921
2021-01-23,1927
2021-01-24,1933
2021-01-25,1934
2021-01-26,1939
2021-01-27,1944
2021-01-28,1947
2021-01-29,1948
2021-01-30,1948
2021-01-31,1948
2021-02-01,1950
2021-02-02,1952
2021-02-03,1958
2021-02-04,1960
2021-02-05,1960
2021-02-06,1965
2021-02-07,1965
2021-02-08,1966
2021-02-09,1968
2021-02-10,1969
2021-02-11,1971
2021-02-12,1972
2021-02-13,1975
2021-02-14,1981
2021-02-15,1982
2021-02-16,1985
2021-02-17,1989
2021-02-18,1993
2021-02-19,1993
2021-02-20,1995
2021-02-21,2002
2021-02-22,2006
2021-02-23,2010
2021-02-24,2013
2021-02-25,2016
2021-02-26,2017
2021-02-27,2021
2021-02-28,2023
2021-03-01,2027
2021-03-02,2028
2021-03-03,2034
2021-03-04,2034
2021-03-05,2043
2021-03-06,2044
2021-03-07,2050
2021-03-08,2054
2021-03-09,2055
2021-03-10,2061
2021-03-11,2062
2021-03-12,2067
2021-03-13,2068
2021-03-14,2075
2021-03-15,2076
2021-03-16,2079
2021-03-17,2079
2021-03-18,2089
2021-03-19,2089
2021-03-20,2098
2021-03-21,2107
2021-03-22,2112
2021-03-23,2115
2021-03-24,2121
2021-03-25,2124
2021-03-26,2126
2021-03-27,2127
2021-03-28,2138
2021-03-29,2140
2021-03-30,2141
2021-03-31,2146
2021-04-01,2146
2021-04-02,2146
2021-04-03,2152
2021-04-04,2152
2021-04-05,2169
2021-04-06,2176
2021-04-07,2200
2021-04-08,2206
2021-04-09,2216
2021-04-10,2219
2021-04-11,2228
2021-04-12,2232
2021-04-13,2234
2021-04-14,2234
2021-04-15,2235
2021-04-16,2235
2021-04-17,2239
2021-04-18,2241
2021-04-19,2242
2021-04-20,2242
2021-04-21,2245
2021-04-22,2245
2021-04-23,2246
2021-04-24,2246
2021-04-25,2246
2021-04-26,2253
2021-04-27,2255
2021-04-28,2258
2021-04-29,2258
2021-04-30,2258
2021-05-01,2262
2021-05-02,2267
2021-05-03,2268
2021-05-04,2274
2021-05-05,2278
2021-05-06,2279
2021-05-07,2285
2021-05-08,2287
2021-05-09,2287
2021-05-10,2287
2021-05-11,2288
2021-05-12,2289
2021-05-13,2290
2021-05-14,2290
2021-05-15,2291
2021-05-16,2296
2021-05-17,2297
2021-05-18,2303
2021-05-19,2304
2021-05-20,2307
2021-05-21,2307
2021-05-22,2308
2021-05-23,2312
2021-05-24,2314
2021-05-25,2314
2021-05-26,2315
2021-05-27,2315
2021-05-28,2315
2021-05-29,2317
2021-05-30,2318
2021-05-31,2318
2021-06-01,2324
2021-06-02,2326
2021-06-03,2326
2021-06-04,2326
2021-06-05,2327
2021-06-06,2327
2021-06-07,2337
2021-06-08,2341
2021-06-09,2342
2021-06-10,2347
2021-06-11,2347
2021-06-12,2353
2021-06-13,2353
2021-06-14,2354
2021-06-15,2356
2021-06-16,2358
2021-06-17,2359
2021-06-18,2359
2021-06-19,2362
2021-06-20,2364
2021-06-21,2364
2021-06-22,2368
2021-06-23,2368
2021-06-24,2370
2021-06-25,2372
2021-06-26,2373
2021-06-27,2382
2021-06-28,2386
