dates,covid19mobilitytrend_transporthub
2020-02-15,0
2020-02-16,-1
2020-02-17,-1
2020-02-18,-2
2020-02-19,-3
2020-02-20,-1
2020-02-21,-2
2020-02-22,0
2020-02-23,-1
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-28,2
2020-02-29,1
2020-03-01,0
2020-03-02,-1
2020-03-03,-2
2020-03-04,-6
2020-03-05,-5
2020-03-06,-9
2020-03-07,-6
2020-03-08,-8
2020-03-09,-9
2020-03-10,-8
2020-03-11,-12
2020-03-12,-11
2020-03-13,-15
2020-03-14,-15
2020-03-15,-16
2020-03-16,-16
2020-03-17,-23
2020-03-18,-33
2020-03-19,-40
2020-03-20,-52
2020-03-21,-48
2020-03-22,-60
2020-03-23,-54
2020-03-24,-57
2020-03-25,-61
2020-03-26,-63
2020-03-27,-69
2020-03-28,-63
2020-03-29,-64
2020-03-30,-65
2020-03-31,-64
2020-04-01,-70
2020-04-02,-72
2020-04-03,-77
2020-04-04,-73
2020-04-05,-69
2020-04-06,-69
2020-04-07,-69
2020-04-08,-70
2020-04-09,-68
2020-04-10,-75
2020-04-11,-71
2020-04-12,-70
2020-04-13,-71
2020-04-14,-70
2020-04-15,-71
2020-04-16,-72
2020-04-17,-75
2020-04-18,-70
2020-04-19,-70
2020-04-20,-70
2020-04-21,-68
2020-04-22,-68
2020-04-23,-66
2020-04-24,-67
2020-04-25,-71
2020-04-26,-69
2020-04-27,-69
2020-04-28,-67
2020-04-29,-67
2020-04-30,-68
2020-05-01,-71
2020-05-02,-66
2020-05-03,-66
2020-05-04,-67
2020-05-05,-66
2020-05-06,-66
2020-05-07,-66
2020-05-08,-70
2020-05-09,-65
2020-05-10,-64
2020-05-11,-65
2020-05-12,-64
2020-05-13,-66
2020-05-14,-67
2020-05-15,-70
2020-05-16,-66
2020-05-17,-63
2020-05-18,-64
2020-05-19,-63
2020-05-20,-61
2020-05-21,-61
2020-05-22,-65
2020-05-23,-57
2020-05-24,-68
2020-05-25,-71
2020-05-26,-69
2020-05-27,-64
2020-05-28,-64
2020-05-29,-68
2020-05-30,-61
2020-05-31,-59
2020-06-01,-57
2020-06-02,-58
2020-06-03,-58
2020-06-04,-58
2020-06-05,-65
2020-06-06,-58
2020-06-07,-54
2020-06-08,-55
2020-06-09,-55
2020-06-10,-54
2020-06-11,-56
2020-06-12,-61
2020-06-13,-55
2020-06-14,-54
2020-06-15,-54
2020-06-16,-52
2020-06-17,-54
2020-06-18,-53
2020-06-19,-58
2020-06-20,-54
2020-06-21,-52
2020-06-22,-52
2020-06-23,-48
2020-06-24,-45
2020-06-25,-49
2020-06-26,-56
2020-06-27,-47
2020-06-28,-46
2020-06-29,-44
2020-06-30,-44
2020-07-01,-46
2020-07-02,-47
2020-07-03,-54
2020-07-04,-48
2020-07-05,-44
2020-07-06,-45
2020-07-07,-44
2020-07-08,-47
2020-07-09,-49
2020-07-10,-53
2020-07-11,-46
2020-07-12,-46
2020-07-13,-46
2020-07-14,-43
2020-07-15,-46
2020-07-16,-49
2020-07-17,-54
2020-07-18,-49
2020-07-19,-49
2020-07-20,-44
2020-07-21,-41
2020-07-22,-41
2020-07-23,-41
2020-07-24,-45
2020-07-25,-59
2020-07-26,-61
2020-07-27,-59
2020-07-28,-56
2020-07-29,-55
2020-07-30,-60
2020-07-31,-63
2020-08-01,-65
2020-08-02,-66
2020-08-03,-66
2020-08-04,-65
2020-08-05,-65
2020-08-06,-66
2020-08-07,-67
2020-08-08,-55
2020-08-09,-51
2020-08-10,-49
2020-08-11,-49
2020-08-12,-50
2020-08-13,-53
2020-08-14,-55
2020-08-15,-47
2020-08-16,-47
2020-08-17,-44
2020-08-18,-44
2020-08-19,-46
2020-08-20,-47
2020-08-21,-50
2020-08-22,-45
2020-08-23,-50
2020-08-24,-43
2020-08-25,-40
2020-08-26,-43
2020-08-27,-42
2020-08-28,-46
2020-08-29,-43
2020-08-30,-41
2020-08-31,-38
2020-09-01,-39
2020-09-02,-42
2020-09-03,-43
2020-09-04,-46
2020-09-05,-43
2020-09-06,-39
2020-09-07,-40
2020-09-08,-39
2020-09-09,-40
2020-09-10,-43
2020-09-11,-47
2020-09-12,-46
2020-09-13,-42
2020-09-14,-40
2020-09-15,-39
2020-09-16,-41
2020-09-17,-43
2020-09-18,-47
2020-09-19,-47
2020-09-20,-44
2020-09-21,-43
2020-09-22,-40
2020-09-23,-39
2020-09-24,-37
2020-09-25,-42
2020-09-26,-41
2020-09-27,-35
2020-09-28,-36
2020-09-29,-34
2020-09-30,-39
2020-10-01,-42
2020-10-02,-40
2020-10-03,-39
2020-10-04,-33
2020-10-05,-35
2020-10-06,-33
2020-10-07,-35
2020-10-08,-34
2020-10-09,-39
2020-10-10,-38
2020-10-11,-42
2020-10-12,-43
2020-10-13,-42
2020-10-14,-42
2020-10-15,-43
2020-10-16,-49
2020-10-17,-46
2020-10-18,-41
2020-10-19,-42
2020-10-20,-40
2020-10-21,-42
2020-10-22,-41
2020-10-23,-45
2020-10-24,-38
2020-10-25,-34
2020-10-26,-35
2020-10-27,-31
2020-10-28,-30
2020-10-29,-36
2020-10-30,-36
2020-10-31,-35
2020-11-01,-34
2020-11-02,-35
2020-11-03,-35
2020-11-04,-36
2020-11-05,-36
2020-11-06,-41
2020-11-07,-40
2020-11-08,-39
2020-11-09,-39
2020-11-10,-38
2020-11-11,-38
2020-11-12,-38
2020-11-13,-38
2020-11-14,-39
2020-11-15,-39
2020-11-16,-40
2020-11-17,-37
2020-11-18,-35
2020-11-19,-36
2020-11-20,-38
2020-11-21,-38
2020-11-22,-36
2020-11-23,-35
2020-11-24,-31
2020-11-25,-38
2020-11-26,-39
2020-11-27,-35
2020-11-28,-34
2020-11-29,-36
2020-11-30,-35
2020-12-01,-36
2020-12-02,-35
2020-12-03,-35
2020-12-04,-36
2020-12-05,-35
2020-12-06,-36
2020-12-07,-39
2020-12-08,-35
2020-12-09,-34
2020-12-10,-27
2020-12-11,-28
2020-12-12,-28
2020-12-13,-29
2020-12-14,-31
2020-12-15,-27
2020-12-16,-30
2020-12-17,-26
2020-12-18,-29
2020-12-19,-28
2020-12-20,-27
2020-12-21,-29
2020-12-22,-35
2020-12-23,-36
