dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,2
2020-03-22,2
2020-03-23,3
2020-03-24,3
2020-03-25,5
2020-03-26,6
2020-03-27,7
2020-03-28,8
2020-03-29,9
2020-03-30,11
2020-03-31,13
2020-04-01,18
2020-04-02,25
2020-04-03,26
2020-04-04,31
2020-04-05,35
2020-04-06,40
2020-04-07,45
2020-04-08,51
2020-04-09,54
2020-04-10,58
2020-04-11,63
2020-04-12,66
2020-04-13,86
2020-04-14,91
2020-04-15,93
2020-04-16,96
2020-04-17,111
2020-04-18,128
2020-04-19,135
2020-04-20,143
2020-04-21,168
2020-04-22,176
2020-04-23,201
2020-04-24,212
2020-04-25,235
2020-04-26,253
2020-04-27,268
2020-04-28,281
2020-04-29,292
2020-04-30,312
2020-05-01,343
2020-05-02,361
2020-05-03,408
2020-05-04,437
2020-05-05,457
2020-05-06,476
2020-05-07,514
2020-05-08,526
2020-05-09,585
2020-05-10,599
2020-05-11,636
2020-05-12,659
2020-05-13,667
2020-05-14,724
2020-05-15,761
2020-05-16,770
2020-05-17,803
2020-05-18,834
2020-05-19,873
2020-05-20,903
2020-05-21,939
2020-05-22,1017
2020-05-23,1017
2020-05-24,1101
2020-05-25,1133
2020-05-26,1167
2020-05-27,1197
2020-05-28,1225
2020-05-29,1260
2020-05-30,1317
2020-05-31,1395
2020-06-01,1483
2020-06-02,1543
2020-06-03,1621
2020-06-04,1688
2020-06-05,1770
2020-06-06,1838
2020-06-07,1935
2020-06-08,2002
2020-06-09,2067
2020-06-10,2172
2020-06-11,2255
2020-06-12,2356
2020-06-13,2463
2020-06-14,2551
2020-06-15,2632
2020-06-16,2729
2020-06-17,2839
2020-06-18,2975
2020-06-19,3093
2020-06-20,3229
2020-06-21,3382
2020-06-22,3501
2020-06-23,3590
2020-06-24,3695
2020-06-25,3755
2020-06-26,3903
2020-06-27,3962
2020-06-28,4035
2020-06-29,4118
2020-06-30,4167
2020-07-01,4304
2020-07-02,4395
2020-07-03,4473
2020-07-04,4551
2020-07-05,4619
2020-07-06,4712
2020-07-07,4762
2020-07-08,4839
2020-07-09,4922
2020-07-10,4983
2020-07-11,5058
2020-07-12,5123
2020-07-13,5197
2020-07-14,5270
2020-07-15,5319
2020-07-16,5386
2020-07-17,5426
2020-07-18,5475
2020-07-19,5522
2020-07-20,5568
2020-07-21,5599
2020-07-22,5639
2020-07-23,5677
2020-07-24,5709
2020-07-25,5763
2020-07-26,5787
2020-07-27,5822
2020-07-28,5842
2020-07-29,5865
2020-07-30,5892
2020-07-31,5924
2020-08-01,5951
2020-08-02,5970
2020-08-03,5976
2020-08-04,5984
2020-08-05,5999
2020-08-06,6014
2020-08-07,6035
2020-08-08,6054
2020-08-09,6074
2020-08-10,6082
2020-08-11,6097
2020-08-12,6112
2020-08-13,6129
2020-08-14,6139
2020-08-15,6153
2020-08-16,6162
2020-08-17,6168
2020-08-18,6175
2020-08-19,6190
2020-08-20,6201
2020-08-21,6209
2020-08-22,6219
2020-08-23,6231
2020-08-24,6235
2020-08-25,6244
2020-08-26,6255
2020-08-27,6267
2020-08-28,6274
2020-08-29,6283
2020-08-30,6284
2020-08-31,6288
2020-09-01,6294
2020-09-02,6298
2020-09-03,6318
2020-09-04,6328
2020-09-05,6335
2020-09-06,6340
2020-09-07,6342
2020-09-08,6345
2020-09-09,6350
2020-09-10,6359
2020-09-11,6365
2020-09-12,6370
2020-09-13,6373
2020-09-14,6379
2020-09-15,6383
2020-09-16,6389
2020-09-17,6393
2020-09-18,6399
2020-09-19,6408
2020-09-20,6415
2020-09-21,6416
2020-09-22,6420
2020-09-23,6424
2020-09-24,6432
2020-09-25,6437
2020-09-26,6444
2020-09-27,6451
2020-09-28,6457
2020-09-29,6466
2020-09-30,6474
2020-10-01,6479
2020-10-02,6484
2020-10-03,6499
2020-10-04,6507
2020-10-05,6513
2020-10-06,6517
2020-10-07,6523
2020-10-08,6535
2020-10-09,6544
2020-10-10,6552
2020-10-11,6558
2020-10-12,6570
2020-10-13,6580
2020-10-14,6588
2020-10-15,6601
2020-10-16,6614
2020-10-17,6621
2020-10-18,6638
2020-10-19,6654
2020-10-20,6659
2020-10-21,6673
2020-10-22,6692
2020-10-23,6702
2020-10-24,6715
2020-10-25,6727
2020-10-26,6736
2020-10-27,6739
2020-10-28,6745
2020-10-29,6759
2020-10-30,6775
2020-10-31,6795
2020-11-01,6806
2020-11-02,6823
2020-11-03,6835
2020-11-04,6849
2020-11-05,6867
2020-11-06,6893
2020-11-07,6923
2020-11-08,6943
2020-11-09,6968
2020-11-10,6977
2020-11-11,7000
2020-11-12,7021
2020-11-13,7055
2020-11-14,7092
2020-11-15,7109
2020-11-16,7141
2020-11-17,7160
2020-11-18,7193
2020-11-19,7230
2020-11-20,7248
2020-11-21,7561
2020-11-22,7603
2020-11-23,7662
2020-11-24,7696
2020-11-25,7744
2020-11-26,7803
2020-11-27,7843
2020-11-28,7897
2020-11-29,7942
2020-11-30,7985
2020-12-01,8025
2020-12-02,8091
2020-12-03,8166
2020-12-04,8205
2020-12-05,8260
2020-12-06,8303
2020-12-07,8361
2020-12-08,8398
2020-12-09,8487
2020-12-10,8547
2020-12-11,8603
2020-12-12,8653
2020-12-13,8724
2020-12-14,8796
2020-12-15,8832
2020-12-16,8905
2020-12-17,9010
2020-12-18,9081
2020-12-19,9164
2020-12-20,9250
2020-12-21,9330
2020-12-22,9392
2020-12-23,9474
2020-12-24,9557
2020-12-25,9668
2020-12-26,9753
2020-12-27,9816
2020-12-28,9874
2020-12-29,9929
2020-12-30,9992
2020-12-31,10047
2021-01-01,10105
2021-01-02,10176
2021-01-03,10258
2021-01-04,10311
2021-01-05,10350
2021-01-06,10409
2021-01-07,10461
2021-01-08,10511
2021-01-09,10558
2021-01-10,10598
2021-01-11,10644
2021-01-12,10676
2021-01-13,10717
2021-01-14,10772
2021-01-15,10818
2021-01-16,10863
2021-01-17,10908
2021-01-18,10951
2021-01-19,10997
2021-01-20,11055
2021-01-21,11103
2021-01-22,11157
2021-01-23,11204
2021-01-24,11247
2021-01-25,11295
2021-01-26,11318
2021-01-27,11376
2021-01-28,11450
2021-01-29,11514
2021-01-30,11560
2021-01-31,11623
2021-02-01,11657
2021-02-02,11683
2021-02-03,11746
2021-02-04,11802
2021-02-05,11833
2021-02-06,11886
2021-02-07,11914
2021-02-08,11967
2021-02-09,12026
2021-02-10,12066
2021-02-11,12128
2021-02-12,12185
2021-02-13,12218
2021-02-14,12276
2021-02-15,12307
2021-02-16,12333
2021-02-17,12380
2021-02-18,12436
2021-02-19,12488
2021-02-20,12527
2021-02-21,12563
2021-02-22,12601
2021-02-23,12617
2021-02-24,12658
2021-02-25,12708
2021-02-26,12772
2021-02-27,12804
2021-02-28,12837
2021-03-01,12860
2021-03-02,12896
2021-03-03,12938
2021-03-04,13013
2021-03-05,13076
2021-03-06,13128
2021-03-07,13166
2021-03-08,13205
2021-03-09,13227
2021-03-10,13281
2021-03-11,13324
2021-03-12,13377
2021-03-13,13430
2021-03-14,13476
2021-03-15,13508
2021-03-16,13537
2021-03-17,13595
2021-03-18,13656
2021-03-19,13717
2021-03-20,13757
2021-03-21,13799
2021-03-22,13843
2021-03-23,13863
2021-03-24,13935
2021-03-25,13965
2021-03-26,14028
2021-03-27,14091
2021-03-28,14158
2021-03-29,14215
2021-03-30,14256
2021-03-31,14356
2021-04-01,14434
2021-04-02,14530
2021-04-03,14613
2021-04-04,14697
2021-04-05,14778
2021-04-06,14821
2021-04-07,14924
2021-04-08,15026
2021-04-09,15124
2021-04-10,15229
2021-04-11,15329
2021-04-12,15443
2021-04-13,15501
2021-04-14,15619
2021-04-15,15754
2021-04-16,15872
2021-04-17,15982
2021-04-18,16094
2021-04-19,16243
2021-04-20,16316
2021-04-21,16453
2021-04-22,16600
2021-04-23,16698
2021-04-24,16842
2021-04-25,16999
2021-04-26,17117
2021-04-27,17187
2021-04-28,17329
2021-04-29,17530
2021-04-30,17680
2021-05-01,17811
2021-05-02,17957
2021-05-03,18070
2021-05-04,18149
2021-05-05,18310
2021-05-06,18429
2021-05-07,18537
2021-05-08,18677
2021-05-09,18797
2021-05-10,18915
2021-05-11,18993
2021-05-12,19106
2021-05-13,19210
2021-05-14,19336
2021-05-15,19384
2021-05-16,19467
2021-05-17,19543
2021-05-18,19617
2021-05-19,19752
2021-05-20,19856
2021-05-21,19987
2021-05-22,20089
2021-05-23,20177
2021-05-24,20251
2021-05-25,20308
2021-05-26,20400
2021-05-27,20465
2021-05-28,20540
2021-05-29,20607
2021-05-30,20680
2021-05-31,20736
2021-06-01,20779
2021-06-02,20850
2021-06-03,20930
2021-06-04,21022
2021-06-05,21105
2021-06-06,21189
2021-06-07,21265
2021-06-08,21323
2021-06-09,21376
2021-06-10,21453
2021-06-11,21526
2021-06-12,21573
2021-06-13,21630
2021-06-14,21686
2021-06-15,21720
2021-06-16,21779
2021-06-17,21825
2021-06-18,21871
2021-06-19,21910
2021-06-20,21937
2021-06-21,21974
2021-06-22,22004
2021-06-23,22031
2021-06-24,22070
2021-06-25,22108
2021-06-26,22152
2021-06-27,22188
2021-06-28,22211
2021-06-29,22231
2021-06-30,22254
2021-07-01,22281
2021-07-02,22321
