dates,covid19mobilitytrend_localbusiness
2020-02-15,10
2020-02-16,11
2020-02-17,4
2020-02-18,2
2020-02-19,1
2020-02-20,7
2020-02-21,4
2020-02-22,-7
2020-02-23,-8
2020-02-24,-21
2020-02-25,-35
2020-02-26,-14
2020-02-27,2
2020-02-28,5
2020-02-29,14
2020-03-01,16
2020-03-02,4
2020-03-03,1
2020-03-04,-3
2020-03-05,0
2020-03-06,-2
2020-03-07,2
2020-03-08,1
2020-03-09,-4
2020-03-10,-5
2020-03-11,-16
2020-03-12,-17
2020-03-13,-18
2020-03-14,-22
2020-03-15,-37
2020-03-16,-29
2020-03-17,-39
2020-03-18,-46
2020-03-19,-50
2020-03-20,-50
2020-03-21,-64
2020-03-22,-69
2020-03-23,-63
2020-03-24,-70
2020-03-25,-82
2020-03-26,-81
2020-03-27,-81
2020-03-28,-82
2020-03-29,-84
2020-03-30,-80
2020-03-31,-79
2020-04-01,-85
2020-04-02,-81
2020-04-03,-85
2020-04-04,-83
2020-04-05,-95
2020-04-06,-82
2020-04-07,-79
2020-04-08,-82
2020-04-09,-78
2020-04-10,-89
2020-04-11,-96
2020-04-12,-95
2020-04-13,-81
2020-04-14,-76
2020-04-15,-79
2020-04-16,-74
2020-04-17,-77
2020-04-18,-95
2020-04-19,-95
2020-04-20,-77
2020-04-21,-73
2020-04-22,-79
2020-04-23,-75
2020-04-24,-78
2020-04-25,-95
2020-04-26,-95
2020-04-27,-76
2020-04-28,-72
2020-04-29,-76
2020-04-30,-70
2020-05-01,-83
2020-05-02,-94
2020-05-03,-94
2020-05-04,-73
2020-05-05,-71
2020-05-06,-75
2020-05-07,-71
2020-05-08,-73
2020-05-09,-93
2020-05-10,-94
2020-05-11,-71
2020-05-12,-68
2020-05-13,-72
2020-05-14,-68
2020-05-15,-70
2020-05-16,-76
2020-05-17,-93
2020-05-18,-68
2020-05-19,-67
2020-05-20,-69
2020-05-21,-67
2020-05-22,-71
2020-05-23,-75
2020-05-24,-93
2020-05-25,-67
2020-05-26,-66
2020-05-27,-70
2020-05-28,-67
2020-05-29,-68
2020-05-30,-73
2020-05-31,-93
2020-06-01,-52
2020-06-02,-57
2020-06-03,-55
2020-06-04,-54
2020-06-05,-55
2020-06-06,-61
