dates,covid19mobilitytrend_park
2020-02-15,7
2020-02-16,2
2020-02-17,0
2020-02-18,2
2020-02-19,-1
2020-02-20,0
2020-02-21,7
2020-02-22,14
2020-02-23,34
2020-02-24,56
2020-02-25,34
2020-02-26,-8
2020-02-27,-6
2020-02-28,-6
2020-02-29,-5
2020-03-01,-12
2020-03-02,-3
2020-03-03,-2
2020-03-04,-2
2020-03-05,-4
2020-03-06,-2
2020-03-07,-7
2020-03-08,-11
2020-03-09,-4
2020-03-10,-6
2020-03-11,-15
2020-03-12,-20
2020-03-13,-20
2020-03-14,-29
2020-03-15,-43
2020-03-16,-28
2020-03-17,-36
2020-03-18,-39
2020-03-19,-45
2020-03-20,-48
2020-03-21,-61
2020-03-22,-67
2020-03-23,-56
2020-03-24,-62
2020-03-25,-71
2020-03-26,-71
2020-03-27,-71
2020-03-28,-75
2020-03-29,-78
2020-03-30,-69
2020-03-31,-69
2020-04-01,-73
2020-04-02,-70
2020-04-03,-74
2020-04-04,-75
2020-04-05,-86
2020-04-06,-72
2020-04-07,-68
2020-04-08,-71
2020-04-09,-68
2020-04-10,-79
2020-04-11,-86
2020-04-12,-87
2020-04-13,-72
2020-04-14,-68
2020-04-15,-70
2020-04-16,-67
2020-04-17,-69
2020-04-18,-85
2020-04-19,-86
2020-04-20,-69
2020-04-21,-66
2020-04-22,-70
2020-04-23,-67
2020-04-24,-70
2020-04-25,-85
2020-04-26,-86
2020-04-27,-68
2020-04-28,-63
2020-04-29,-65
2020-04-30,-61
2020-05-01,-74
2020-05-02,-84
2020-05-03,-86
2020-05-04,-65
2020-05-05,-62
2020-05-06,-65
2020-05-07,-63
2020-05-08,-65
2020-05-09,-83
2020-05-10,-85
2020-05-11,-64
2020-05-12,-60
2020-05-13,-64
2020-05-14,-61
2020-05-15,-63
2020-05-16,-70
2020-05-17,-84
2020-05-18,-62
2020-05-19,-59
2020-05-20,-57
2020-05-21,-55
2020-05-22,-61
2020-05-23,-64
2020-05-24,-83
2020-05-25,-56
2020-05-26,-55
2020-05-27,-60
2020-05-28,-57
2020-05-29,-59
2020-05-30,-65
2020-05-31,-82
2020-06-01,-39
2020-06-02,-49
2020-06-03,-43
2020-06-04,-44
2020-06-05,-44
2020-06-06,-54
2020-06-07,-78
