dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-09,107
2020-03-10,138
2020-03-11,180
2020-03-12,374
2020-03-13,613
2020-03-14,814
2020-03-15,921
2020-03-16,1004
2020-03-17,1245
2020-03-18,1455
2020-03-19,1768
2020-03-20,2169
2020-03-21,2472
2020-03-22,3099
2020-03-23,3385
2020-03-24,3690
2020-03-25,4248
2020-03-26,4856
2020-03-27,5222
2020-03-28,5762
2020-03-29,6160
2020-03-30,6582
2020-03-31,6944
2020-04-01,7333
2020-04-02,7941
2020-04-03,8694
2020-04-04,9256
2020-04-05,9749
2020-04-06,10297
2020-04-07,10681
2020-04-08,11776
2020-04-09,12452
2020-04-10,13498
2020-04-11,14360
2020-04-12,14985
2020-04-13,15397
2020-04-14,15883
2020-04-15,16668
2020-04-16,17630
2020-04-17,18341
2020-04-18,18838
2020-04-19,19851
2020-04-20,20681
2020-04-21,21552
2020-04-22,22702
2020-04-23,23144
2020-04-24,23903
2020-04-25,24924
2020-04-26,26123
2020-04-27,27221
2020-04-28,28134
2020-04-29,29145
2020-04-30,30029
2020-05-01,31077
2020-05-02,32544
2020-05-03,33540
2020-05-04,34532
2020-05-05,35447
2020-05-06,36859
2020-05-07,37903
2020-05-08,39100
2020-05-09,40365
2020-05-10,41192
2020-05-11,42172
2020-05-12,44561
2020-05-14,45221
2020-05-15,46089
2020-05-16,47384
2020-05-17,48599
2020-05-18,49312
2020-05-19,50009
2020-05-20,50798
2020-05-21,52048
2020-05-22,53073
2020-05-23,54742
2020-05-24,56198
2020-05-25,57254
2020-05-26,58467
2020-05-27,59720
2020-05-28,60973
2020-05-29,62380
2020-05-30,63867
2020-05-31,65337
2020-06-01,66265
2020-06-02,67095
2020-06-03,68714
2020-06-04,70245
2020-06-05,71740
2020-06-06,73484
2020-06-07,75057
2020-06-08,76713
2020-06-09,78132
2020-06-10,80173
2020-06-11,82391
2020-06-12,84420
2020-06-13,87086
2020-06-14,88966
2020-06-15,90950
2020-06-16,92595
2020-06-17,94681
2020-06-18,97130
2020-06-19,99950
2020-06-20,102716
2020-06-21,105126
2020-06-22,107201
2020-06-23,108902
2020-06-24,111197
2020-06-25,114421
2020-06-26,117450
2020-06-27,119801
2020-06-28,122709
2020-06-29,125909
2020-06-30,127886
2020-07-01,130556
2020-07-02,132903
2020-07-03,135164
2020-07-04,140801
2020-07-05,141967
2020-07-06,145139
2020-07-07,147560
2020-07-08,150144
2020-07-09,152642
2020-07-10,155664
2020-07-11,158570
2020-07-12,162005
2020-07-13,165589
2020-07-14,168164
2020-07-15,171442
2020-07-16,174877
2020-07-17,177819
2020-07-18,180296
2020-07-19,184066
2020-07-20,186986
2020-07-21,189199
2020-07-22,191752
2020-07-23,194773
2020-07-24,198245
2020-07-25,200935
2020-07-26,205209
2020-07-27,208659
2020-07-28,210938
2020-07-29,214105
2020-07-30,217323
2020-07-31,220421
2020-08-01,224089
2020-08-02,227309
2020-08-03,229958
2020-08-04,232517
2020-08-05,235074
2020-08-06,238682
2020-08-07,242055
2020-08-08,245229
2020-08-09,248090
2020-08-10,250578
2020-08-11,253707
2020-08-12,256449
2020-08-13,259583
2020-08-14,262275
2020-08-15,265942
2020-08-16,269694
2020-08-17,271892
2020-08-18,274313
2020-08-19,280024
2020-08-20,284345
2020-08-21,288665
2020-08-22,293977
2020-08-23,301561
2020-08-24,304710
2020-08-25,309617
2020-08-26,313229
2020-08-27,317934
2020-08-28,323049
2020-08-29,327835
2020-08-30,330749
2020-08-31,336345
2020-09-01,339859
2020-09-02,343599
2020-09-03,347121
2020-09-04,352221
2020-09-05,357633
2020-09-06,362582
2020-09-07,365872
2020-09-08,371049
2020-09-09,375900
2020-09-10,380975
2020-09-11,385982
2020-09-12,391178
2020-09-13,395647
2020-09-14,398522
2020-09-15,403262
2020-09-16,408715
2020-09-17,414070
2020-09-18,419504
2020-09-19,425292
2020-09-20,430258
2020-09-21,434156
2020-09-22,438699
2020-09-23,444219
2020-09-24,450369
2020-09-25,455901
2020-09-26,461189
2020-09-27,464773
2020-09-28,469249
2020-09-29,473483
2020-09-30,478695
2020-10-01,484498
2020-10-02,489927
2020-10-03,495500
2020-10-04,500749
2020-10-05,504892
2020-10-06,510817
2020-10-07,517032
2020-10-08,522868
2020-10-09,529596
2020-10-10,536625
2020-10-11,541185
2020-10-12,545257
2020-10-13,550392
2020-10-14,557014
2020-10-15,563990
2020-10-16,570462
2020-10-17,574650
2020-10-18,579424
2020-10-19,582271
2020-10-20,587954
2020-10-21,596468
2020-10-22,604216
2020-10-23,611125
2020-10-24,617568
2020-10-25,624225
2020-10-26,627880
2020-10-27,634879
2020-10-28,642775
2020-10-29,650714
2020-10-30,658817
2020-10-31,666263
2020-11-01,672745
2020-11-02,677358
2020-11-03,683148
2020-11-04,686349
2020-11-05,690678
2020-11-06,698087
2020-11-07,704535
2020-11-08,711544
2020-11-09,716891
2020-11-10,723970
2020-11-11,730258
2020-11-12,737351
2020-11-13,746505
2020-11-14,752026
2020-11-15,761932
2020-11-16,769152
2020-11-17,778100
2020-11-18,787305
2020-11-19,797920
2020-11-20,807773
2020-11-21,818863
2020-11-22,828529
2020-11-23,835431
2020-11-24,845051
2020-11-25,855029
2020-11-26,866002
2020-11-27,877040
2020-11-28,887976
2020-11-29,896674
2020-11-30,903735
2020-12-01,914378
2020-12-02,923765
2020-12-03,938712
2020-12-04,952114
2020-12-05,967041
2020-12-06,976539
2020-12-07,984509
2020-12-08,995763
2020-12-09,1004049
2020-12-10,1017348
2020-12-11,1031117
2020-12-12,1047517
2020-12-13,1059549
2020-12-14,1069119
2020-12-15,1082543
2020-12-16,1096524
2020-12-17,1112686
2020-12-18,1128949
2020-12-19,1146433
2020-12-20,1160263
2020-12-21,1170609
2020-12-22,1186950
2020-12-23,1201189
2020-12-24,1217564
2020-12-25,1228944
2020-12-26,1238725
2020-12-27,1248556
2020-12-28,1256278
2020-12-29,1272269
2020-12-30,1288060
2020-12-31,1302483
2021-01-01,1313780
2021-01-02,1320635
2021-01-03,1328473
2021-01-04,1339495
2021-01-05,1351763
2021-01-06,1371593
2021-01-07,1387729
2021-01-08,1403899
2021-01-09,1420724
2021-01-10,1431113
2021-01-11,1440225
2021-01-12,1457362
2021-01-13,1473629
2021-01-14,1486898
2021-01-15,1500009
2021-01-16,1516139
2021-01-17,1525802
2021-01-18,1533505
2021-01-19,1546551
2021-01-20,1560135
2021-01-21,1573332
2021-01-22,1586634
2021-01-23,1599811
2021-01-24,1609090
2021-01-25,1615475
2021-01-26,1626265
2021-01-27,1637542
2021-01-28,1648572
2021-01-29,1660557
2021-01-30,1670473
2021-01-31,1677165
2021-02-01,1682222
2021-02-02,1691227
2021-02-03,1701106
2021-02-04,1710865
2021-02-05,1720654
2021-02-06,1730100
2021-02-07,1736416
2021-02-08,1741937
2021-02-09,1749967
2021-02-10,1758950
2021-02-11,1767243
2021-02-12,1778868
2021-02-13,1787833
2021-02-14,1792857
2021-02-15,1797021
2021-02-16,1804260
2021-02-17,1808373
2021-02-18,1817131
2021-02-19,1827780
2021-02-20,1836811
2021-02-21,1842692
2021-02-22,1852883
2021-02-23,1862159
2021-02-24,1872237
2021-02-25,1882146
2021-02-26,1888088
2021-02-27,1899789
2021-02-28,1904898
2021-03-01,1910019
2021-03-02,1918437
2021-03-03,1928517
2021-03-04,1937022
2021-03-05,1945922
2021-03-06,1955516
2021-03-07,1960421
2021-03-08,1964646
2021-03-09,1973648
2021-03-10,1982545
2021-03-11,1991820
2021-03-12,2000251
2021-03-13,2008561
2021-03-14,2013781
2021-03-15,2017355
2021-03-16,2026503
2021-03-17,2035210
2021-03-18,2044156
2021-03-19,2054736
2021-03-20,2063565
2021-03-21,2068594
2021-03-22,2073080
2021-03-23,2082067
2021-03-24,2091666
2021-03-25,2101358
2021-03-26,2110498
2021-03-27,2119459
2021-03-28,2125382
2021-03-29,2129873
2021-03-30,2140091
2021-03-31,2151408
2021-04-01,2161138
2021-04-02,2168025
2021-04-03,2171901
2021-04-04,2176835
2021-04-05,2181691
2021-04-06,2192072
2021-04-07,2202053
2021-04-08,2211290
2021-04-09,2221659
2021-04-10,2230531
2021-04-11,2235976
2021-04-12,2240227
2021-04-13,2249393
2021-04-14,2258477
2021-04-15,2269317
2021-04-16,2280044
2021-04-17,2289389
2021-04-18,2295481
2021-04-19,2300035
2021-04-20,2308813
2021-04-21,2317885
2021-04-22,2326906
2021-04-23,2335942
2021-04-24,2344711
2021-04-25,2350345
2021-04-26,2354333
2021-04-27,2363392
2021-04-28,2372526
2021-04-29,2381082
2021-04-30,2391210
2021-05-01,2399189
2021-05-02,2404887
2021-05-03,2409130
2021-05-04,2418354
2021-05-05,2427078
2021-05-06,2435786
2021-05-07,2444592
2021-05-08,2454584
2021-05-09,2460508
2021-05-10,2465185
2021-05-11,2473801
2021-05-12,2483460
2021-05-14,2503730
2021-05-15,2512472
2021-05-16,2519098
2021-05-17,2524456
2021-05-18,2534295
2021-05-19,2544677
2021-05-20,2554715
2021-05-21,2564262
2021-05-22,2574238
2021-05-23,2580704
2021-05-24,2585524
2021-05-25,2596891
2021-05-26,2607020
2021-05-27,2618030
2021-05-28,2629372
2021-05-29,2639502
2021-05-30,2646322
2021-05-31,2652158
2021-06-01,2663126
2021-06-02,2673992
2021-06-03,2685630
2021-06-04,2698191
2021-06-05,2710430
2021-06-06,2718106
2021-06-07,2724386
2021-06-08,2735982
2021-06-09,2748101
2021-06-10,2759692
2021-06-11,2772547
2021-06-13,2794885
2021-06-14,2801663
2021-06-15,2813831
2021-06-16,2827774
2021-06-17,2840072
2021-06-18,2853302
2021-06-19,2866378
2021-06-20,2874375
2021-06-21,2880340
2021-06-22,2894559
2021-06-23,2908676
2021-06-24,2922623
2021-06-25,2935327
2021-06-26,2949153
2021-06-27,2958619
2021-06-28,2966061
2021-06-29,2980305
2021-06-30,2994595
2021-07-01,3008829
2021-07-02,3022882
2021-07-03,3036995
2021-07-04,3046155
2021-07-05,3052862
2021-07-06,3067765
2021-07-07,3081663
2021-07-08,3095279
2021-07-09,3109001
2021-07-10,3122937
2021-07-11,3132685
2021-07-12,3140130
2021-07-13,3150044
2021-07-14,3165648
2021-07-15,3181151
2021-07-16,3194125
2021-07-17,3207821
2021-07-18,3217143
2021-07-19,3224360
2021-07-20,3237856
2021-07-21,3251744
2021-07-22,3265164
2021-07-23,3279382
2021-07-24,3291898
2021-07-25,3301418
2021-07-26,3307360
2021-07-27,3319884
2021-07-28,3330259
2021-07-29,3342905
2021-07-30,3353759
2021-07-31,3366865
2021-08-01,3377170
2021-08-02,3380773
2021-08-03,3391578
2021-08-04,3404055
2021-08-05,3414224
2021-08-06,3424039
2021-08-07,3434308
2021-08-08,3445271
2021-08-09,3451076
2021-08-10,3462664
2021-08-11,3474388
2021-08-12,3485741
2021-08-13,3495667
2021-08-14,3507984
2021-08-15,3516215
2021-08-16,3521696
2021-08-17,3531983
2021-08-18,3543469
2021-08-21,3575608
2021-08-22,3583563
2021-08-23,3588991
2021-08-24,3597857
2021-08-25,3609794
2021-08-26,3620041
2021-08-29,3649140
2021-08-30,3654173
2021-08-31,3663596
2021-09-01,3673799
2021-09-03,3690973
2021-09-04,3699807
2021-09-05,3705382
2021-09-06,3709016
2021-09-07,3717547
2021-09-08,3724780
2021-09-09,3732084
2021-09-10,3740000
2021-09-11,3747252
2021-09-12,3752298
2021-09-13,3756327
2021-09-14,3763919
2021-09-15,3772110
2021-09-17,3786956
2021-09-18,3794210
2021-09-19,3799405
2021-09-20,3802941
2021-09-21,3811368
2021-09-22,3821883
2021-09-23,3830296
2021-09-24,3837664
2021-09-25,3846073
2021-09-26,3851353
2021-09-27,3854818
2021-09-28,3862060
2021-09-29,3869426
2021-09-30,3877074
2021-10-01,3885075
2021-10-02,3892128
2021-10-03,3896810
2021-10-04,3899815
2021-10-05,3906709
2021-10-06,3914254
2021-10-07,3921640
2021-10-08,3928884
2021-10-09,3935237
2021-10-10,3939340
2021-10-11,3942512
2021-10-12,3949698
2021-10-13,3954874
2021-10-15,3963469
2021-10-16,3976308
2021-10-17,3981088
2021-10-18,3984184
2021-10-19,3991430
2021-10-20,4000733
2021-10-21,4007476
2021-10-22,4015113
2021-10-23,4021675
2021-10-24,4026167
2021-10-25,4029493
2021-10-26,4036451
2021-10-27,4044184
2021-10-28,4051235
2021-10-29,4059231
2021-10-30,4066643
2021-10-31,4071463
2021-11-01,4074715
2021-11-02,4082045
2021-11-03,4087164
2021-11-04,4090178
2021-11-05,4093203
2021-11-07,4099941
2021-11-08,4102737
