dates,incrementalcount_vaccine_covid_19_administered
2021-01-21,2087
2021-01-22,2353
2021-01-23,513
2021-01-24,826
2021-01-25,177
2021-01-26,900
2021-01-27,1049
2021-01-28,177
2021-01-29,49
2021-02-02,1464
2021-02-03,349
2021-02-04,66
2021-02-05,13
2021-02-19,10054
2021-02-20,4705
2021-02-21,2313
2021-02-22,13320
2021-02-23,3468
2021-02-24,15353
2021-02-25,9430
2021-02-26,17248
2021-02-27,7862
2021-02-28,4647
2021-03-01,3013
2021-03-02,10421
2021-03-03,3733
2021-03-04,14068
2021-03-05,16520
2021-03-06,27784
2021-03-07,13700
2021-03-08,3336
2021-03-09,2741
2021-03-10,10273
2021-03-11,8600
2021-03-26,12894
2022-03-11,5925
2022-07-08,26682
