dates,covid19mobilitytrend_transporthub
2020-02-15,3
2020-02-16,2
2020-02-17,2
2020-02-18,1
2020-02-19,0
2020-02-20,3
2020-02-21,1
2020-02-22,4
2020-02-23,0
2020-02-24,1
2020-02-25,0
2020-02-26,-1
2020-02-27,2
2020-02-28,2
2020-02-29,6
2020-03-01,3
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,0
2020-03-06,1
2020-03-07,3
2020-03-08,-3
2020-03-09,-1
2020-03-10,-2
2020-03-11,-5
2020-03-12,-7
2020-03-13,-9
2020-03-14,-10
2020-03-15,-16
2020-03-16,-36
2020-03-17,-76
2020-03-18,-82
2020-03-19,-83
2020-03-20,-84
2020-03-21,-84
2020-03-22,-84
2020-03-23,-84
2020-03-24,-85
2020-03-25,-85
2020-03-26,-84
2020-03-27,-83
2020-03-28,-82
2020-03-29,-83
2020-03-30,-82
2020-03-31,-83
2020-04-01,-84
2020-04-02,-84
2020-04-03,-85
2020-04-04,-86
2020-04-05,-93
2020-04-06,-83
2020-04-07,-85
2020-04-08,-81
2020-04-09,-94
2020-04-10,-95
2020-04-11,-81
2020-04-12,-93
2020-04-13,-80
2020-04-14,-83
2020-04-15,-83
2020-04-16,-83
2020-04-17,-83
2020-04-18,-80
2020-04-19,-93
2020-04-20,-80
2020-04-21,-84
2020-04-22,-82
2020-04-23,-82
2020-04-24,-82
2020-04-25,-79
2020-04-26,-93
2020-04-27,-79
2020-04-28,-80
2020-04-29,-79
2020-04-30,-78
2020-05-01,-84
2020-05-02,-78
2020-05-03,-93
2020-05-04,-76
2020-05-05,-78
2020-05-06,-78
2020-05-07,-76
2020-05-08,-76
2020-05-09,-70
2020-05-10,-93
2020-05-11,-74
2020-05-12,-74
2020-05-13,-74
2020-05-14,-75
2020-05-15,-74
2020-05-16,-71
2020-05-17,-93
2020-05-18,-70
2020-05-19,-72
2020-05-20,-71
2020-05-21,-71
2020-05-22,-72
2020-05-23,-66
2020-05-24,-92
2020-05-25,-64
2020-05-26,-67
2020-05-27,-67
2020-05-28,-67
