dates,incrementalcount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,0
2020-03-16,0
2020-03-17,2
2020-03-18,0
2020-03-19,4
2020-03-20,6
2020-03-21,5
2020-03-22,6
2020-03-23,4
2020-03-24,4
2020-03-25,5
2020-03-26,6
2020-03-27,12
2020-03-28,6
2020-03-29,8
2020-03-30,15
2020-03-31,9
2020-04-01,18
2020-04-02,25
2020-04-03,23
2020-04-04,22
2020-04-05,26
2020-04-06,49
2020-04-07,59
2020-04-08,43
2020-04-09,63
2020-04-10,48
2020-04-11,98
2020-04-12,81
2020-04-13,103
2020-04-14,93
2020-04-15,106
2020-04-16,109
2020-04-17,139
2020-04-18,133
2020-04-19,157
2020-04-20,138
2020-04-21,158
2020-04-22,204
2020-04-23,209
2020-04-24,219
2020-04-25,246
2020-04-26,246
2020-04-27,288
2020-04-28,290
2020-04-29,305
2020-04-30,313
2020-05-01,344
2020-05-02,332
2020-05-03,399
2020-05-04,408
2020-05-05,415
2020-05-06,438
2020-05-07,429
2020-05-08,457
2020-05-09,481
2020-05-10,454
2020-05-11,477
2020-05-12,518
2020-05-13,520
2020-05-14,516
2020-05-15,466
2020-05-16,517
2020-05-17,547
2020-05-18,509
2020-05-19,502
2020-05-20,534
2020-05-21,615
2020-05-22,528
2020-05-23,544
2020-05-24,527
2020-05-25,518
2020-05-26,543
2020-05-27,572
2020-05-28,580
2020-05-29,544
2020-05-30,589
2020-05-31,554
2020-06-01,633
2020-06-02,599
2020-06-03,569
2020-06-04,662
2020-06-05,539
2020-06-06,549
2020-06-07,617
2020-06-08,588
2020-06-09,612
2020-06-10,570
2020-06-11,619
2020-06-12,597
2020-06-13,617
2020-06-14,602
2020-06-15,564
2020-06-16,627
2020-06-17,598
2020-06-18,630
2020-06-19,614
2020-06-20,606
2020-06-21,525
2020-06-22,617
2020-06-23,588
2020-06-24,545
2020-06-25,541
2020-06-26,553
2020-06-27,530
2020-06-28,518
2020-06-29,527
2020-06-30,535
2020-07-01,538
2020-07-02,499
2020-07-03,557
2020-07-04,533
2020-07-05,536
2020-07-06,568
2020-07-07,523
2020-07-08,582
2020-07-09,560
2020-07-10,544
2020-07-11,571
2020-07-12,522
2020-07-13,578
2020-07-14,582
2020-07-15,591
2020-07-16,598
2020-07-17,597
2020-07-18,618
2020-07-19,572
2020-07-20,599
2020-07-21,600
2020-07-22,592
2020-07-23,630
2020-07-24,601
2020-07-25,618
2020-07-26,619
2020-07-27,581
2020-07-28,617
2020-07-29,623
2020-07-30,656
2020-07-31,616
2020-08-01,589
2020-08-02,604
2020-08-03,634
2020-08-04,671
2020-08-05,579
2020-08-06,663
2020-08-07,658
2020-08-08,603
2020-08-09,631
2020-08-10,669
2020-08-11,653
2020-08-12,585
2020-08-13,636
2020-08-14,588
2020-08-15,623
2020-08-16,655
2020-08-17,651
2020-08-18,585
2020-08-19,551
2020-08-20,614
2020-08-21,576
2020-08-22,517
2020-08-23,506
2020-08-24,521
2020-08-25,515
2020-08-26,525
2020-08-27,514
2020-08-28,525
2020-08-29,446
2020-08-30,491
2020-08-31,486
2020-09-01,428
2020-09-02,385
2020-09-03,428
2020-09-04,377
2020-09-05,401
2020-09-06,360
2020-09-07,366
2020-09-08,361
2020-09-09,354
2020-09-10,333
2020-09-11,321
2020-09-12,323
2020-09-13,303
2020-09-14,294
2020-09-15,291
2020-09-16,279
2020-09-17,288
2020-09-18,281
2020-09-19,260
2020-09-20,253
2020-09-21,247
2020-09-22,283
2020-09-23,241
2020-09-24,234
2020-09-25,234
2020-09-26,222
2020-09-27,214
2020-09-28,219
2020-09-29,231
2020-09-30,166
2020-10-01,200
2020-10-02,176
2020-10-03,160
2020-10-04,183
2020-10-05,161
2020-10-06,171
2020-10-07,183
2020-10-08,167
2020-10-09,175
2020-10-10,181
2020-10-11,152
2020-10-12,159
2020-10-13,153
2020-10-14,136
2020-10-15,149
2020-10-16,149
2020-10-17,136
2020-10-18,132
2020-10-19,148
2020-10-20,127
2020-10-21,122
2020-10-22,143
2020-10-23,136
2020-10-24,128
2020-10-25,113
2020-10-26,116
2020-10-27,105
2020-10-28,93
2020-10-29,124
2020-10-30,111
2020-10-31,121
2020-11-01,107
2020-11-02,127
2020-11-03,93
2020-11-04,114
2020-11-05,106
2020-11-06,98
2020-11-07,126
2020-11-08,97
2020-11-09,107
2020-11-10,92
2020-11-11,104
2020-11-12,110
2020-11-13,104
2020-11-14,93
2020-11-15,95
2020-11-16,123
2020-11-17,103
2020-11-18,68
2020-11-19,93
2020-11-20,103
2020-11-21,92
2020-11-22,82
2020-11-23,103
2020-11-24,105
2020-11-25,87
2020-11-26,101
2020-11-27,103
2020-11-28,91
2020-11-29,101
2020-11-30,86
2020-12-01,93
2020-12-02,85
2020-12-03,112
2020-12-04,102
2020-12-05,110
2020-12-06,81
2020-12-07,103
2020-12-08,93
2020-12-09,105
2020-12-10,110
2020-12-11,90
2020-12-12,100
2020-12-13,102
2020-12-14,121
2020-12-15,121
2020-12-16,105
2020-12-17,121
2020-12-18,101
2020-12-19,110
2020-12-20,132
2020-12-21,118
2020-12-22,131
2020-12-23,124
2020-12-24,120
2020-12-25,127
2020-12-26,128
2020-12-27,118
2020-12-28,124
2020-12-29,141
2020-12-30,135
2020-12-31,143
2021-01-01,126
2021-01-02,174
2021-01-03,162
2021-01-04,147
2021-01-05,197
2021-01-06,173
2021-01-07,210
2021-01-08,182
2021-01-09,178
2021-01-10,208
2021-01-11,231
2021-01-12,220
2021-01-13,257
2021-01-14,254
2021-01-15,244
2021-01-16,317
2021-01-17,275
2021-01-18,332
2021-01-19,351
2021-01-20,325
2021-01-21,394
2021-01-22,419
2021-01-23,392
2021-01-24,441
2021-01-25,446
2021-01-26,501
2021-01-27,469
2021-01-28,583
2021-01-29,508
2021-01-30,521
2021-01-31,556
2021-02-01,537
2021-02-02,561
2021-02-03,631
2021-02-04,611
2021-02-05,561
2021-02-06,566
2021-02-07,626
2021-02-08,646
2021-02-09,583
2021-02-10,655
2021-02-11,665
2021-02-12,683
2021-02-13,661
2021-02-14,685
2021-02-15,738
2021-02-16,678
2021-02-17,688
2021-02-18,681
2021-02-19,731
2021-02-20,713
2021-02-21,683
2021-02-22,716
2021-02-23,693
2021-02-24,705
2021-02-25,699
2021-02-26,650
2021-02-27,677
2021-02-28,678
2021-03-01,680
2021-03-02,692
2021-03-03,668
2021-03-04,732
2021-03-05,686
2021-03-06,710
2021-03-07,664
2021-03-08,666
2021-03-09,631
2021-03-10,591
2021-03-11,666
2021-03-12,682
2021-03-13,623
2021-03-14,663
2021-03-15,623
2021-03-16,646
2021-03-17,640
2021-03-18,674
2021-03-19,675
2021-03-20,667
2021-03-21,702
2021-03-22,664
2021-03-23,620
2021-03-24,659
2021-03-25,677
2021-03-26,712
2021-03-27,710
2021-03-28,682
2021-03-29,704
2021-03-30,763
2021-03-31,738
2021-04-01,694
2021-04-02,749
2021-04-03,746
2021-04-04,748
2021-04-05,740
2021-04-06,745
2021-04-07,766
2021-04-08,795
2021-04-09,765
2021-04-10,748
2021-04-11,782
2021-04-12,837
2021-04-13,803
2021-04-14,811
2021-04-15,821
2021-04-16,831
2021-04-17,779
2021-04-18,752
2021-04-19,830
2021-04-20,779
2021-04-21,820
2021-04-22,832
2021-04-23,843
2021-04-24,794
2021-04-25,829
2021-04-26,821
2021-04-27,754
2021-04-28,761
2021-04-29,754
2021-04-30,729
2021-05-01,754
2021-05-02,790
2021-05-03,700
2021-05-04,721
2021-05-05,707
2021-05-06,711
2021-05-07,669
2021-05-08,703
2021-05-09,658
2021-05-10,656
2021-05-11,609
2021-05-12,620
2021-05-13,613
2021-05-14,591
2021-05-15,591
2021-05-16,563
2021-05-17,539
2021-05-18,547
2021-05-19,556
2021-05-20,502
2021-05-21,511
2021-05-22,529
2021-05-23,444
2021-05-24,494
2021-05-25,440
2021-05-26,460
2021-05-27,426
2021-05-28,427
2021-05-29,445
2021-05-30,439
2021-05-31,427
2021-06-01,409
2021-06-02,390
2021-06-03,238
2021-06-04,435
2021-06-05,438
2021-06-06,433
2021-06-07,260
2021-06-08,438
2021-06-09,246
2021-06-10,400
2021-06-11,322
2021-06-12,368
2021-06-13,253
2021-06-14,343
2021-06-15,265
2021-06-16,213
2021-06-17,340
2021-06-18,261
2021-06-19,235
2021-06-20,176
2021-06-21,269
2021-06-22,223
2021-06-23,220
2021-06-24,261
2021-06-25,167
2021-06-26,213
2021-06-27,161
2021-06-28,137
2021-06-29,315
2021-06-30,264
2021-07-01,168
2021-07-02,36
2021-07-03,320
2021-07-04,215
2021-07-05,167
2021-07-06,161
2021-07-07,159
2021-07-08,199
2021-07-09,155
2021-07-10,166
2021-07-11,0
2021-07-12,340
2021-07-13,138
2021-07-14,101
2021-07-15,118
2021-07-16,146
2021-07-17,93
2021-07-18,90
2021-07-19,112
2021-07-20,99
2021-07-21,97
2021-07-22,89
2021-07-23,97
2021-07-24,118
2021-07-25,149
2021-07-26,99
2021-07-27,95
2021-07-28,83
2021-07-29,85
2021-07-30,80
2021-07-31,76
2021-08-01,77
2021-08-02,62
2021-08-03,85
2021-08-04,80
2021-08-05,80
2021-08-06,75
2021-08-07,87
2021-08-08,58
2021-08-09,55
2021-08-10,77
2021-08-11,79
2021-08-12,73
2021-08-13,44
2021-08-14,63
2021-08-15,70
2021-08-16,61
