dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,3
2020-03-07,5
2020-03-08,6
2020-03-09,10
2020-03-10,20
2020-03-11,33
2020-03-12,49
2020-03-13,52
2020-03-14,64
2020-03-15,111
2020-03-16,140
2020-03-17,142
2020-03-18,187
2020-03-19,202
2020-03-20,217
2020-03-21,230
2020-03-22,307
2020-03-23,380
2020-03-24,462
2020-03-25,552
2020-03-26,636
2020-03-27,707
2020-03-28,803
2020-03-29,1075
2020-03-30,1418
2020-03-31,1546
2020-04-01,2084
2020-04-02,2311
2020-04-03,2633
2020-04-04,3018
2020-04-05,3094
2020-04-06,3246
2020-04-07,3660
2020-04-08,3764
2020-04-09,3870
2020-04-10,4076
2020-04-11,4195
2020-04-12,4428
2020-04-13,4648
2020-04-14,4932
2020-04-15,5223
2020-04-16,5453
2020-04-17,5660
2020-04-18,5878
2020-04-19,6087
2020-04-20,6259
2020-04-21,6459
2020-04-22,6599
2020-04-23,6710
2020-04-24,6981
2020-04-25,7192
2020-04-26,7294
2020-04-27,7579
2020-04-28,7777
2020-04-29,7958
2020-04-30,8212
2020-05-01,8488
2020-05-02,8772
2020-05-03,8928
2020-05-04,9223
2020-05-05,9485
2020-05-06,9684
2020-05-07,10004
2020-05-08,10343
2020-05-09,10463
2020-05-10,10610
2020-05-11,10794
2020-05-12,11086
2020-05-13,11350
2020-05-14,11618
2020-05-15,11876
2020-05-16,12091
2020-05-17,12305
2020-05-18,12513
2020-05-19,12718
2020-05-20,12942
2020-05-21,13221
2020-05-22,13434
2020-05-23,13597
2020-05-24,13777
2020-05-25,14035
2020-05-26,14319
2020-05-27,14669
2020-05-28,15049
2020-05-29,15588
2020-05-30,16634
2020-05-31,17224
2020-06-01,18086
2020-06-02,18638
2020-06-03,18997
2020-06-04,19748
2020-06-05,20382
2020-06-06,20626
2020-06-07,21340
2020-06-08,21895
2020-06-09,22474
2020-06-10,22992
2020-06-11,23732
2020-06-12,24172
2020-06-13,24785
2020-06-14,25391
2020-06-15,25930
2020-06-16,26417
2020-06-17,26781
2020-06-18,27237
2020-06-19,27798
2020-06-20,28457
2020-06-21,29399
2020-06-22,30051
2020-06-23,30675
2020-06-24,31825
2020-06-25,32291
2020-06-26,33067
2020-06-27,34065
2020-06-28,34802
2020-06-29,35449
2020-06-30,36438
2020-07-01,37514
2020-07-02,38511
2020-07-03,38805
2020-07-04,40336
2020-07-05,41830
2020-07-06,44254
2020-07-07,46333
2020-07-08,47820
2020-07-09,50322
2020-07-10,51681
2020-07-11,52835
2020-07-12,54135
2020-07-13,56259
2020-07-14,56911
2020-07-15,57458
2020-07-16,58850
2020-07-17,61160
2020-07-18,62947
2020-07-19,65215
2020-07-20,67377
2020-07-21,68813
2020-07-22,70764
2020-07-23,72190
2020-07-24,74341
2020-07-25,76393
2020-07-26,78338
2020-07-27,80383
2020-07-28,81995
2020-07-29,83673
2020-07-30,85420
2020-07-31,89291
2020-08-01,93271
2020-08-02,98153
2020-08-03,103104
2020-08-04,106330
2020-08-05,112518
2020-08-06,115899
2020-08-07,119375
2020-08-08,122659
2020-08-09,126804
2020-08-10,129913
2020-08-11,136551
2020-08-12,139307
2020-08-13,143524
2020-08-14,147445
2020-08-15,153567
2020-08-16,157918
2020-08-17,161160
2020-08-18,164377
2020-08-19,169124
2020-08-20,173683
2020-08-21,178022
2020-08-22,182365
2020-08-23,187223
2020-08-24,189566
2020-08-25,194199
2020-08-26,197084
2020-08-27,202332
2020-08-28,205545
2020-08-29,209494
2020-08-30,213112
2020-08-31,217377
2020-09-01,220781
2020-09-02,224222
2020-09-03,226416
2020-09-04,228403
2020-09-05,232041
2020-09-06,234526
2020-09-07,237344
2020-09-08,238706
2020-09-09,241987
2020-09-10,245126
2020-09-11,248924
2020-09-12,252932
2020-09-13,257863
2020-09-14,261189
2020-09-15,265863
2020-09-16,269407
2020-09-17,272914
2020-09-18,276269
2020-09-19,279526
2020-09-20,283431
2020-09-21,286715
2020-09-22,290154
2020-09-23,291758
2020-09-24,294591
2020-09-25,296739
2020-09-26,299345
2020-09-27,301231
2020-09-28,304215
2020-09-29,307278
2020-09-30,309268
2020-10-01,311664
2020-10-02,314067
2020-10-03,316656
2020-10-04,319307
2020-10-05,322471
2020-10-06,324740
2020-10-07,326812
2020-10-08,329637
2020-10-09,331869
2020-10-10,334677
2020-10-11,336839
2020-10-12,339252
2020-10-13,342723
2020-10-14,344626
2020-10-15,346437
2020-10-16,348611
2020-10-17,351663
2020-10-18,354253
2020-10-19,356519
2020-10-20,359169
2020-10-21,360734
2020-10-22,362224
2020-10-23,363876
2020-10-24,365762
2020-10-25,367805
2020-10-26,370023
2020-10-27,371630
2020-10-28,373127
2020-10-29,375180
2020-10-30,376927
2020-10-31,378926
2020-11-01,380717
2020-11-02,383102
2020-11-03,385389
2020-11-04,387161
2020-11-05,388126
2020-11-06,389717
2020-11-07,391804
2020-11-08,393953
2020-11-09,396391
2020-11-10,398449
2020-11-11,399744
2020-11-12,401411
2020-11-13,402820
2020-11-14,404687
2020-11-15,406308
2020-11-16,407836
2020-11-17,409574
2020-11-18,410714
2020-11-19,412093
2020-11-20,413428
2020-11-21,415061
2020-11-22,416850
2020-11-23,418815
2020-11-24,420604
2020-11-25,421722
2020-11-26,422905
2020-11-27,424287
2020-11-28,425904
2020-11-29,427790
2020-11-30,429857
2020-12-01,431627
2020-12-02,432919
2020-12-03,434352
2020-12-04,435411
2020-12-05,436336
2020-12-06,438066
2020-12-07,439825
2020-12-08,441385
2020-12-09,442777
2020-12-10,444156
2020-12-11,445535
2020-12-12,447030
2020-12-13,448331
2020-12-14,449394
2020-12-15,450704
2020-12-16,451832
2020-12-17,452977
2020-12-18,454440
2020-12-19,456553
2020-12-20,458035
2020-12-21,459784
2020-12-22,461501
2020-12-23,462815
2020-12-24,463948
2020-12-25,465716
2020-12-26,467599
2020-12-27,469003
2020-12-28,469884
2020-12-29,470640
2020-12-30,471518
2020-12-31,472523
2021-01-01,475819
2021-01-02,476916
2021-01-03,477802
2021-01-04,478756
2021-01-05,479690
2021-01-06,480737
2021-01-07,482076
2021-01-08,483845
2021-01-09,485784
2021-01-10,487684
2021-01-11,489734
2021-01-12,491247
2021-01-13,492693
2021-01-14,494598
2021-01-15,496633
2021-01-16,498682
2021-01-17,500573
2021-01-18,502732
2021-01-19,504077
2021-01-20,505934
2021-01-21,507709
2021-01-22,509882
2021-01-23,511670
2021-01-24,513619
2021-01-25,514993
2021-01-26,516162
2021-01-27,518406
2021-01-28,519564
2021-01-29,521407
2021-01-30,523515
2021-01-31,525614
2021-02-01,527270
2021-02-02,528852
2021-02-03,530109
2021-02-04,531693
2021-02-05,533580
2021-02-06,535520
2021-02-07,537305
2021-02-08,538992
2021-02-09,540215
2021-02-10,541548
2021-02-11,543278
2021-02-12,545295
2021-02-13,547248
2021-02-14,549175
2021-02-15,550855
2021-02-16,552240
2021-02-17,553419
2021-02-18,555158
2021-02-19,557058
2021-02-20,559281
2021-02-21,561168
2021-02-22,563451
2021-02-23,564863
2021-02-24,566412
2021-02-25,568676
2021-02-26,571326
2021-02-27,574239
2021-02-28,576344
2021-03-01,578375
2021-03-02,580440
2021-03-03,582215
2021-03-04,584659
2021-03-05,587699
2021-03-06,591136
2021-03-07,594407
2021-03-08,597760
2021-03-09,600422
2021-03-10,603299
2021-03-11,607040
2021-03-12,611611
2021-03-13,616599
2021-03-14,621489
2021-03-15,626883
2021-03-16,631311
2021-03-17,635694
2021-03-18,640963
2021-03-19,648057
2021-03-20,656037
2021-03-21,663773
2021-03-22,671786
2021-03-23,677647
2021-03-24,684275
2021-03-25,693018
2021-03-26,702847
2021-03-27,712417
2021-03-28,721878
2021-03-29,731885
2021-03-30,741160
2021-03-31,747267
2021-04-01,756187
2021-04-02,771467
2021-04-03,784023
2021-04-04,795043
2021-04-05,803387
2021-04-06,812750
2021-04-07,819150
2021-04-08,828329
2021-04-09,840535
2021-04-10,853187
2021-04-11,864847
2021-04-12,876212
2021-04-13,884758
2021-04-14,892856
2021-04-15,904245
2021-04-16,914951
2021-04-17,926035
2021-04-18,936117
2021-04-19,945727
2021-04-20,953080
2021-04-21,962282
2021-04-22,971021
2021-04-23,979719
2021-04-24,989399
2021-04-25,997499
2021-04-26,1006414
2021-04-27,1013600
2021-04-28,1020462
2021-04-29,1028712
2021-04-30,1037427
2021-05-01,1046637
2021-05-02,1054970
2021-05-03,1062210
2021-05-04,1067870
2021-05-05,1073535
2021-05-06,1080152
2021-05-07,1087870
2021-05-08,1094834
2021-05-09,1101980
2021-05-10,1108813
2021-05-11,1113517
2021-05-12,1118339
2021-05-13,1124683
2021-05-14,1131448
2021-05-15,1138173
2021-05-16,1143946
2021-05-17,1149901
2021-05-18,1154371
2021-05-19,1159055
2021-05-20,1165138
2021-05-21,1171386
2021-05-22,1178207
2021-05-23,1179791
2021-05-24,1184700
2021-05-25,1188666
2021-05-26,1193947
2021-05-27,1200406
2021-05-28,1209139
2021-05-29,1216569
2021-05-30,1223617
2021-05-31,1230290
2021-06-01,1235459
2021-06-02,1240682
2021-06-03,1247887
2021-06-04,1255318
2021-06-05,1262250
2021-06-06,1269465
2021-06-07,1275996
2021-06-08,1280755
2021-06-09,1286202
2021-06-10,1293663
2021-06-11,1300325
2021-06-12,1308337
2021-06-13,1315627
2021-06-14,1322042
2021-06-15,1327418
2021-06-16,1332820
2021-06-17,1339443
2021-06-18,1346261
2021-06-19,1353212
2021-06-20,1358990
2021-06-21,1364228
