dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,7
2020-02-16,12
2020-02-17,4
2020-02-18,4
2020-02-19,-4
2020-02-20,-4
2020-02-21,6
2020-02-22,5
2020-02-23,9
2020-02-24,0
2020-02-25,5
2020-02-26,8
2020-02-27,6
2020-02-28,11
2020-02-29,14
2020-03-01,19
2020-03-02,3
2020-03-03,7
2020-03-04,3
2020-03-05,1
2020-03-06,5
2020-03-07,9
2020-03-08,14
2020-03-09,0
2020-03-10,7
2020-03-11,13
2020-03-12,12
2020-03-13,13
2020-03-14,20
2020-03-15,14
2020-03-16,7
2020-03-17,12
2020-03-18,7
2020-03-19,2
2020-03-20,5
2020-03-21,9
2020-03-22,13
2020-03-23,26
2020-03-24,-11
2020-03-25,-14
2020-03-26,-13
2020-03-27,-14
2020-03-28,-21
2020-03-29,-9
2020-03-30,-18
2020-03-31,-11
2020-04-01,-16
2020-04-02,-19
2020-04-03,-9
2020-04-04,-8
2020-04-05,-6
2020-04-06,-3
2020-04-07,2
2020-04-08,-1
2020-04-09,11
2020-04-10,-18
2020-04-11,-9
2020-04-12,-9
2020-04-13,-26
2020-04-14,2
2020-04-15,-3
2020-04-16,-6
2020-04-17,-2
2020-04-18,1
2020-04-19,-2
2020-04-20,-4
2020-04-21,-2
2020-04-22,-5
2020-04-23,6
2020-04-24,7
2020-04-25,6
2020-04-26,9
2020-04-27,5
2020-04-28,7
2020-04-29,3
2020-04-30,4
2020-05-01,11
2020-05-02,12
2020-05-03,13
2020-05-04,1
2020-05-05,10
2020-05-06,19
2020-05-07,20
2020-05-08,23
2020-05-09,28
2020-05-10,31
2020-05-11,12
2020-05-12,21
2020-05-13,13
2020-05-14,13
2020-05-15,23
2020-05-16,21
2020-05-17,23
2020-05-18,13
2020-05-19,17
2020-05-20,28
2020-05-21,24
2020-05-22,26
2020-05-23,26
2020-05-24,26
2020-05-25,21
2020-05-26,20
2020-05-27,17
2020-05-28,15
2020-05-29,21
2020-05-30,19
2020-05-31,29
2020-06-01,17
2020-06-02,20
2020-06-03,26
2020-06-04,29
2020-06-05,32
2020-06-06,30
2020-06-07,32
2020-06-08,4
2020-06-09,24
2020-06-10,19
2020-06-11,19
2020-06-12,22
2020-06-13,22
2020-06-14,28
2020-06-15,18
2020-06-16,24
2020-06-17,25
2020-06-18,16
2020-06-19,30
2020-06-20,33
2020-06-21,34
2020-06-22,21
2020-06-23,29
2020-06-24,23
2020-06-25,21
2020-06-26,24
2020-06-27,29
2020-06-28,32
2020-06-29,20
2020-06-30,25
2020-07-01,24
2020-07-02,24
2020-07-03,42
2020-07-04,34
2020-07-05,35
2020-07-06,27
2020-07-07,31
2020-07-08,22
2020-07-09,24
2020-07-10,32
2020-07-11,30
2020-07-12,31
2020-07-13,26
2020-07-14,30
2020-07-15,35
2020-07-16,33
2020-07-17,38
2020-07-18,33
2020-07-19,39
2020-07-20,31
2020-07-21,32
2020-07-22,28
2020-07-23,10
2020-07-24,29
2020-07-25,29
2020-07-26,29
2020-07-27,24
2020-07-28,27
2020-07-29,17
2020-07-30,27
2020-07-31,30
2020-08-01,24
2020-08-02,22
2020-08-03,17
2020-08-04,24
2020-08-05,16
2020-08-06,14
2020-08-07,23
2020-08-08,19
2020-08-09,19
2020-08-10,18
2020-08-11,18
2020-08-12,22
2020-08-13,24
2020-08-14,30
2020-08-15,27
2020-08-16,26
2020-09-11,37
2020-09-12,40
2020-09-13,35
2020-09-14,39
2020-09-15,60
2020-09-16,26
2020-09-17,14
2020-09-18,21
2020-09-19,27
2020-09-20,27
2020-09-21,22
2020-09-22,27
2020-09-23,33
2020-09-24,25
2020-09-25,30
2020-09-26,28
2020-09-27,25
2020-09-28,21
2020-09-29,30
2020-09-30,24
2020-10-01,20
2020-10-02,20
2020-10-03,25
2020-10-04,28
2020-10-05,20
2020-10-06,26
2020-10-07,27
2020-10-08,33
2020-10-09,33
2020-10-10,32
2020-10-11,28
2020-10-12,24
2020-10-13,32
2020-10-14,21
2020-10-15,19
2020-10-16,26
2020-10-17,24
2020-10-18,21
2020-10-19,19
2020-10-20,21
2020-10-21,25
2020-10-22,24
2020-10-23,33
2020-10-24,29
2020-10-25,31
2020-10-26,23
2020-10-27,25
2020-10-28,18
2020-10-29,17
2020-10-30,25
2020-10-31,24
2020-11-01,24
2020-11-02,22
2020-11-03,27
2020-11-04,35
2020-11-05,25
2020-11-06,27
2020-11-07,21
2020-11-08,24
2020-11-09,22
2020-11-10,32
2020-11-11,30
2020-11-12,22
2020-11-13,29
2020-11-14,25
2020-11-15,22
2020-11-16,19
2020-11-17,28
2020-11-18,40
2020-11-19,31
2020-11-20,27
2020-11-21,27
2020-11-22,26
2020-11-23,25
2020-11-24,34
2020-11-25,26
2020-11-26,22
2020-11-27,26
2020-11-28,24
2020-11-29,29
2020-11-30,25
2020-12-01,34
2020-12-02,44
2020-12-03,39
2020-12-04,42
2020-12-05,31
2020-12-06,29
2020-12-07,27
2020-12-08,41
2020-12-09,29
2020-12-10,30
2020-12-11,38
2020-12-12,38
2020-12-13,37
2020-12-14,41
2020-12-15,45
2020-12-16,55
2020-12-17,45
2020-12-18,47
2020-12-19,47
2020-12-20,42
2020-12-21,55
2020-12-22,56
2020-12-23,57
2020-12-24,68
2020-12-25,-1
2020-12-26,4
2020-12-27,22
2020-12-28,40
2020-12-29,42
2020-12-30,50
2020-12-31,58
2021-01-01,-40
2021-01-02,14
2021-01-03,18
2021-01-04,35
2021-01-05,36
2021-01-06,33
2021-01-07,36
2021-01-08,8
2021-01-09,25
2021-01-10,27
2021-01-11,36
2021-01-12,40
2021-01-13,40
2021-01-14,26
2021-01-15,21
2021-01-16,12
2021-01-17,20
2021-01-18,25
2021-01-19,22
2021-01-20,17
2021-01-21,19
2021-01-22,29
2021-01-23,24
2021-01-24,27
2021-01-25,37
2021-01-26,37
2021-01-27,43
2021-01-28,38
2021-01-29,45
2021-01-30,37
2021-01-31,37
2021-02-01,51
2021-02-02,49
2021-02-03,41
2021-02-04,32
2021-02-05,39
2021-02-06,38
2021-02-07,39
2021-02-08,40
2021-02-09,49
2021-02-10,52
2021-02-11,47
2021-02-12,49
2021-02-13,47
2021-02-14,52
2021-02-15,42
2021-02-16,50
2021-02-17,40
2021-02-18,36
2021-02-19,38
2021-02-20,41
2021-02-21,48
2021-02-22,36
2021-02-23,44
2021-02-24,47
2021-02-25,47
2021-02-26,55
2021-02-27,53
2021-02-28,49
2021-03-01,-55
2021-03-02,61
2021-03-03,40
2021-03-04,32
2021-03-05,44
2021-03-06,42
2021-03-07,47
2021-03-08,39
2021-03-09,42
2021-03-10,57
2021-03-11,60
2021-03-12,-64
2021-03-13,51
2021-03-14,41
2021-03-15,44
2021-03-16,17
2021-03-17,46
2021-03-18,40
2021-03-19,48
2021-03-20,43
2021-03-21,41
2021-03-22,40
2021-03-23,43
2021-03-24,52
2021-03-25,42
2021-03-26,49
2021-03-27,40
2021-03-28,40
2021-03-29,43
2021-03-30,45
2021-03-31,43
2021-04-01,55
2021-04-02,5
2021-04-03,29
2021-04-04,33
2021-04-05,6
2021-04-06,50
2021-04-07,56
2021-04-08,43
2021-04-09,52
2021-04-10,48
2021-04-11,40
2021-04-12,44
2021-04-13,51
2021-04-14,45
2021-04-15,43
2021-04-16,48
2021-04-17,46
2021-04-18,47
2021-04-19,49
2021-04-20,56
2021-04-21,66
2021-04-22,60
2021-04-23,59
2021-04-24,56
2021-04-25,58
2021-04-26,53
2021-04-27,60
2021-04-28,50
2021-04-29,46
2021-04-30,57
2021-05-01,58
2021-05-02,57
2021-05-03,53
2021-05-04,63
2021-05-05,69
2021-05-06,61
2021-05-07,71
2021-05-08,75
2021-05-09,79
2021-05-10,58
2021-05-11,68
2021-05-12,62
2021-05-13,60
2021-05-14,66
2021-05-15,66
2021-05-16,65
2021-05-17,62
2021-05-18,68
2021-05-19,77
2021-05-20,70
2021-05-21,73
2021-05-22,72
2021-05-23,67
2021-05-24,66
2021-05-25,71
2021-05-26,67
2021-05-27,66
2021-05-28,74
2021-05-29,76
2021-05-30,80
2021-05-31,73
2021-06-01,80
2021-06-02,95
2021-06-03,88
2021-06-04,89
2021-06-05,82
2021-06-06,86
2021-06-07,77
2021-06-08,88
2021-06-09,83
2021-06-10,71
2021-06-11,81
2021-06-12,76
2021-06-13,74
2021-06-14,43
2021-06-15,78
2021-06-16,87
2021-06-17,80
2021-06-18,84
2021-06-19,80
2021-06-20,77
2021-06-21,72
2021-06-22,81
2021-06-23,68
2021-06-24,70
2021-06-25,78
2021-06-26,80
2021-06-27,90
2021-06-28,76
2021-06-29,83
2021-06-30,90
2021-07-01,95
2021-07-02,92
2021-07-03,89
2021-07-04,93
2021-07-05,91
2021-07-06,99
2021-07-07,86
2021-07-08,83
2021-07-09,92
2021-07-10,85
2021-07-11,87
2021-07-12,84
2021-07-13,87
2021-07-14,100
2021-07-15,84
2021-07-16,92
2021-07-17,82
2021-07-18,83
2021-07-19,83
2021-07-20,92
2021-07-21,84
2021-07-22,94
2021-07-23,59
2021-07-24,72
2021-07-25,78
2021-07-26,81
2021-07-27,96
2021-07-28,101
2021-07-29,95
2021-07-30,101
2021-07-31,88
2021-08-01,94
2021-08-02,87
2021-08-03,94
2021-08-04,88
2021-08-05,79
2021-08-06,86
2021-08-07,81
2021-08-08,89
2021-08-09,78
2021-08-10,92
2021-08-11,100
2021-08-12,93
2021-08-13,94
2021-08-14,91
2021-08-15,93
2021-08-16,88
2021-08-17,95
2021-08-18,84
2021-08-19,86
2021-08-20,92
2021-08-21,87
2021-08-22,89
2021-08-23,81
2021-08-24,92
2021-08-25,110
2021-08-26,72
2021-08-27,100
2021-08-28,87
2021-08-29,93
2021-08-30,86
2021-08-31,91
2021-09-01,89
2021-09-02,90
2021-09-03,94
2021-09-04,90
2021-09-05,98
2021-09-06,86
2021-09-07,98
2021-09-08,109
2021-09-09,97
2021-09-10,96
2021-09-11,92
2021-09-12,96
2021-09-13,95
2021-09-14,111
2021-09-15,114
2021-09-16,57
2021-09-17,79
2021-09-18,74
2021-09-19,71
2021-09-20,81
2021-09-21,92
2021-09-22,102
2021-09-23,95
2021-09-24,99
2021-09-25,88
2021-09-26,96
2021-09-27,95
2021-09-28,97
2021-09-29,90
2021-09-30,88
2021-10-01,97
2021-10-02,90
2021-10-03,90
2021-10-04,88
2021-10-05,94
2021-10-06,104
2021-10-07,98
2021-10-08,101
2021-10-09,94
2021-10-10,94
2021-10-11,85
2021-10-12,95
2021-10-13,86
2021-10-14,80
2021-10-15,94
2021-10-16,87
2021-10-17,79
2021-10-18,87
2021-10-19,89
2021-10-20,107
2021-10-21,101
2021-10-22,100
2021-10-23,91
2021-10-24,93
2021-10-25,94
2021-10-26,100
2021-10-27,90
2021-10-28,85
2021-10-29,87
2021-10-30,85
2021-10-31,82
2021-11-01,87
2021-11-02,103
2021-11-03,113
2021-11-04,97
2021-11-05,98
2021-11-06,88
2021-11-07,93
2021-11-08,96
2021-11-09,102
2021-11-10,89
2021-11-11,87
2021-11-12,91
2021-11-13,86
2021-11-14,87
2021-11-15,87
2021-11-16,93
2021-11-17,116
2021-11-18,102
2021-11-19,101
2021-11-20,92
2021-11-21,90
