dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,1
2020-07-31,2
2020-08-01,2
2020-08-02,2
2020-08-03,2
2020-08-04,2
2020-08-05,2
2020-08-06,2
2020-08-07,3
2020-08-08,3
2020-08-09,3
2020-08-10,3
2020-08-11,3
2020-08-12,3
2020-08-13,3
2020-08-14,3
2020-08-15,3
2020-08-16,3
2020-08-17,3
2020-08-18,3
2020-08-19,3
2020-08-20,3
2020-08-21,4
2020-08-22,4
2020-08-23,4
2020-08-24,4
2020-08-25,4
2020-08-26,4
2020-08-27,4
2020-08-28,4
2020-08-29,5
2020-08-30,5
2020-08-31,5
2020-09-01,5
2020-09-02,5
2020-09-03,5
2020-09-04,5
2020-09-05,5
2020-09-06,5
2020-09-07,5
2020-09-08,5
2020-09-09,5
2020-09-10,5
2020-09-11,5
2020-09-12,5
2020-09-13,5
2020-09-14,6
2020-09-15,6
2020-09-16,6
2020-09-17,6
2020-09-18,6
2020-09-19,6
2020-09-20,6
2020-09-21,7
2020-09-22,7
2020-09-23,7
2020-09-24,7
2020-09-25,7
2020-09-26,7
2020-09-27,7
2020-09-28,7
2020-09-29,7
2020-09-30,7
2020-10-01,7
2020-10-02,7
2020-10-03,7
2020-10-04,7
2020-10-05,7
2020-10-06,7
2020-10-07,7
2020-10-08,7
2020-10-09,7
2020-10-10,7
2020-10-11,7
2020-10-12,7
2020-10-13,7
2020-10-14,7
2020-10-15,7
2020-10-16,7
2020-10-17,7
2020-10-18,7
2020-10-19,7
2020-10-20,7
2020-10-21,7
2020-10-22,7
2020-10-23,7
2020-10-24,7
2020-10-25,7
2020-10-26,7
2020-10-27,7
2020-10-28,7
2020-10-29,7
2020-10-30,7
2020-10-31,7
2020-11-01,7
2020-11-02,7
2020-11-03,7
2020-11-04,7
2020-11-05,7
2020-11-06,7
2020-11-07,7
2020-11-08,7
2020-11-09,7
2020-11-10,7
2020-11-11,7
2020-11-12,7
2020-11-13,7
2020-11-14,7
2020-11-15,7
2020-11-16,7
2020-11-17,7
2020-11-18,7
2020-11-19,7
2020-11-20,7
2020-11-21,7
2020-11-22,7
2020-11-23,7
2020-11-24,7
2020-11-25,7
2020-11-26,7
2020-11-27,7
2020-11-28,7
2020-11-29,7
2020-11-30,7
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,7
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,7
2020-12-09,7
2020-12-10,7
2020-12-11,7
2020-12-12,8
2020-12-13,8
2020-12-14,8
2020-12-15,8
2020-12-16,8
2020-12-17,8
2020-12-18,8
2020-12-19,8
2020-12-20,8
2020-12-21,8
2020-12-22,9
2020-12-23,9
2020-12-24,9
2020-12-25,9
2020-12-26,9
2020-12-27,9
2020-12-28,9
2020-12-29,9
2020-12-30,9
2020-12-31,9
2021-01-01,9
2021-01-02,9
2021-01-03,9
2021-01-04,9
2021-01-05,9
2021-01-06,9
2021-01-07,9
2021-01-08,9
2021-01-09,9
2021-01-10,9
2021-01-11,9
2021-01-12,9
2021-01-13,9
2021-01-14,9
2021-01-15,9
2021-01-16,9
2021-01-17,9
2021-01-18,9
2021-01-19,9
2021-01-20,9
2021-01-21,9
2021-01-22,9
2021-01-23,9
2021-01-24,9
2021-01-25,9
2021-01-26,9
2021-01-27,9
2021-01-28,9
2021-01-29,9
2021-01-30,9
2021-01-31,9
2021-02-01,9
2021-02-02,9
2021-02-03,9
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,105
2021-04-30,105
2021-05-01,105
2021-05-02,105
2021-05-03,121
2021-05-04,121
2021-05-05,121
2021-05-06,121
2021-05-07,121
2021-05-08,121
2021-05-09,121
2021-05-10,121
2021-05-11,121
2021-05-12,121
2021-05-13,121
2021-05-14,121
2021-05-15,121
2021-05-16,121
2021-05-17,136
2021-05-18,136
2021-05-19,136
2021-05-20,136
2021-05-21,136
2021-05-22,136
2021-05-23,136
2021-05-24,156
2021-05-25,156
2021-05-26,156
2021-05-27,156
2021-05-28,156
2021-05-29,162
2021-05-30,162
2021-05-31,162
2021-06-01,162
2021-06-02,162
2021-06-03,164
2021-06-04,164
2021-06-05,164
2021-06-06,164
2021-06-07,164
2021-06-08,164
2021-06-09,164
2021-06-10,164
2021-06-11,165
2021-06-12,165
2021-06-13,165
2021-06-14,165
2021-06-15,167
2021-06-16,173
2021-06-17,173
2021-06-18,173
2021-06-19,173
2021-06-20,173
2021-06-21,173
2021-06-22,173
2021-06-23,173
2021-06-24,173
2021-06-25,173
2021-06-26,174
2021-06-27,174
2021-06-28,174
2021-06-29,174
2021-06-30,174
2021-07-01,174
2021-07-02,174
2021-07-03,174
2021-07-04,174
2021-07-05,174
2021-07-06,174
2021-07-07,175
2021-07-08,179
2021-07-09,179
2021-07-10,179
2021-07-11,179
2021-07-12,179
2021-07-13,179
2021-07-14,179
2021-07-15,186
2021-07-16,187
2021-07-17,187
2021-07-18,187
2021-07-19,187
2021-07-20,192
2021-07-21,192
2021-07-22,192
2021-07-23,192
2021-07-24,192
2021-07-25,192
2021-07-26,192
2021-07-27,192
2021-07-28,192
2021-07-29,192
2021-07-30,192
2021-07-31,192
2021-08-01,192
2021-08-02,192
2021-08-03,192
2021-08-04,192
2021-08-05,192
2021-08-06,192
2021-08-07,192
2021-08-08,192
2021-08-09,192
2021-08-10,192
2021-08-11,192
2021-08-12,192
2021-08-13,192
2021-08-14,192
2021-08-15,192
2021-08-16,192
