dates,covid19mobilitytrend_transporthub
2020-02-15,4
2020-02-16,6
2020-02-17,1
2020-02-18,-1
2020-02-19,-1
2020-02-20,3
2020-02-21,-3
2020-02-22,2
2020-02-23,-2
2020-02-24,3
2020-02-25,5
2020-02-26,3
2020-02-27,5
2020-02-28,5
2020-02-29,1
2020-03-01,10
2020-03-02,3
2020-03-03,2
2020-03-04,4
2020-03-05,7
2020-03-06,3
2020-03-07,0
2020-03-08,13
2020-03-09,3
2020-03-10,3
2020-03-11,-2
2020-03-12,-21
2020-03-13,-34
2020-03-14,-39
2020-03-15,-52
2020-03-16,-52
2020-03-17,-53
2020-03-18,-52
2020-03-19,-54
2020-03-20,-58
2020-03-21,-59
2020-03-22,-66
2020-03-23,-59
2020-03-24,-58
2020-03-25,-62
2020-03-26,-62
2020-03-27,-62
2020-03-28,-56
2020-03-29,-71
2020-03-30,-64
2020-03-31,-63
2020-04-01,-64
2020-04-02,-64
2020-04-03,-65
2020-04-04,-63
2020-04-05,-68
2020-04-06,-62
2020-04-07,-60
2020-04-08,-60
2020-04-09,-58
2020-04-10,-61
2020-04-11,-64
2020-04-12,-75
2020-04-13,-86
2020-04-14,-65
2020-04-15,-61
2020-04-16,-60
2020-04-17,-61
2020-04-18,-57
2020-04-19,-67
2020-04-20,-56
2020-04-21,-55
2020-04-22,-55
2020-04-23,-53
2020-04-24,-54
2020-04-25,-52
2020-04-26,-53
2020-04-27,-53
2020-04-28,-50
2020-04-29,-53
2020-04-30,-44
2020-05-01,-74
2020-05-02,-50
2020-05-03,-57
2020-05-04,-49
2020-05-05,-52
2020-05-06,-51
2020-05-07,-46
2020-05-08,-44
2020-05-09,-32
2020-05-10,-34
2020-05-11,-48
2020-05-12,-47
2020-05-13,-46
2020-05-14,-46
2020-05-15,-45
2020-05-16,-36
2020-05-17,-37
2020-05-18,-43
2020-05-19,-43
2020-05-20,-39
2020-05-21,-38
2020-05-22,-39
2020-05-23,-36
2020-05-24,-39
2020-05-25,-42
2020-05-26,-36
2020-05-27,-36
2020-05-28,-38
2020-05-29,-36
2020-05-30,-32
2020-05-31,-35
2020-06-01,-29
2020-06-02,-34
2020-06-03,-33
2020-06-04,-30
2020-06-05,-36
2020-06-06,-21
2020-06-07,-27
2020-06-08,-35
2020-06-09,-30
2020-06-10,-21
2020-06-11,-51
2020-06-12,-35
2020-06-13,-23
2020-06-14,-10
2020-06-15,-27
2020-06-16,-27
2020-06-17,-28
2020-06-18,-28
2020-06-19,-30
2020-06-20,-24
2020-06-21,-24
2020-06-22,-30
2020-06-23,-23
2020-06-24,-27
2020-06-25,-22
2020-06-26,-21
2020-06-27,-13
2020-06-28,3
2020-06-29,-28
2020-06-30,-20
2020-07-01,-19
2020-07-02,-21
2020-07-03,-22
2020-07-04,-9
2020-07-05,-2
2020-07-06,-23
2020-07-07,-21
2020-07-08,-23
2020-07-09,-21
2020-07-10,-20
2020-07-11,-15
2020-07-12,9
2020-07-13,-21
2020-07-14,-19
2020-07-15,-18
2020-07-16,-22
2020-07-17,-20
2020-07-18,-4
2020-07-19,5
2020-07-20,-21
2020-07-21,-19
2020-07-22,-18
2020-07-23,-19
2020-07-24,-18
2020-07-25,-2
2020-07-26,4
2020-07-27,-19
2020-07-28,-20
2020-07-29,-17
2020-07-30,-16
2020-07-31,-17
2020-08-01,1
2020-08-02,8
2020-08-03,-21
2020-08-04,-23
2020-08-05,-17
2020-08-06,-16
2020-08-07,-19
2020-08-08,-3
2020-08-09,3
2020-08-10,-18
2020-08-11,-18
2020-08-12,-16
2020-08-13,-15
2020-08-14,-17
2020-08-15,-16
2020-08-16,9
2020-08-17,-16
2020-08-18,-20
2020-08-19,-19
2020-08-20,-17
2020-08-21,-19
2020-08-22,-10
2020-08-23,2
2020-08-24,-18
2020-08-25,-17
2020-08-26,-19
2020-08-27,-19
2020-08-28,-17
2020-08-29,-8
2020-08-30,2
2020-08-31,-18
2020-09-01,-13
2020-09-02,-12
2020-09-03,-10
2020-09-04,-11
2020-09-05,-11
2020-09-06,-6
2020-09-07,-12
2020-09-08,-11
2020-09-09,-11
2020-09-10,-9
2020-09-11,-7
2020-09-12,-1
2020-09-13,6
2020-09-14,-10
2020-09-15,-10
2020-09-16,-9
2020-09-17,-12
2020-09-18,-10
2020-09-19,-5
2020-09-20,2
2020-09-21,-11
2020-09-22,-9
2020-09-23,-9
2020-09-24,-10
2020-09-25,-11
2020-09-26,-14
2020-09-27,-18
2020-09-28,-12
2020-09-29,-12
2020-09-30,-10
2020-10-01,-12
2020-10-02,-10
2020-10-03,-4
2020-10-04,-5
2020-10-05,-11
2020-10-06,-11
2020-10-07,-12
2020-10-08,-13
2020-10-09,-12
2020-10-10,-15
2020-10-11,-18
2020-10-12,-21
2020-10-13,-22
2020-10-14,-29
2020-10-15,-20
2020-10-16,-23
2020-10-17,-30
2020-10-18,-33
2020-10-19,-31
2020-10-20,-30
2020-10-21,-30
2020-10-22,-27
2020-10-23,-28
2020-10-24,-30
2020-10-25,-25
2020-10-26,-29
2020-10-27,-33
2020-10-28,-28
2020-10-29,-36
2020-10-30,-33
2020-10-31,-37
2020-11-01,-45
2020-11-02,-41
2020-11-03,-38
2020-11-04,-41
2020-11-05,-38
2020-11-06,-38
2020-11-07,-40
2020-11-08,-37
2020-11-09,-44
2020-11-10,-39
2020-11-11,-64
2020-11-12,-43
2020-11-13,-43
2020-11-14,-39
2020-11-15,-33
2020-11-16,-42
2020-11-17,-41
2020-11-18,-40
2020-11-19,-41
2020-11-20,-41
2020-11-21,-39
2020-11-22,-43
2020-11-23,-43
2020-11-24,-41
2020-11-25,-41
2020-11-26,-41
2020-11-27,-41
2020-11-28,-32
2020-11-29,-42
2020-11-30,-38
2020-12-01,-37
2020-12-02,-39
2020-12-03,-37
2020-12-04,-36
2020-12-05,-29
2020-12-06,-25
2020-12-07,-39
2020-12-08,-39
2020-12-09,-39
2020-12-10,-35
2020-12-11,-35
2020-12-12,-29
2020-12-13,-26
2020-12-14,-36
2020-12-15,-34
2020-12-16,-33
2020-12-17,-31
2020-12-18,-30
2020-12-19,-22
2020-12-20,-20
2020-12-21,-30
2020-12-22,-31
2020-12-23,-29
2020-12-24,-59
2020-12-25,-76
2020-12-26,-62
2020-12-27,-40
2020-12-28,-45
2020-12-29,-44
2020-12-30,-40
2020-12-31,-52
2021-01-01,-76
2021-01-02,-50
2021-01-03,-43
2021-01-04,-42
2021-01-05,-42
2021-01-06,-67
2021-01-07,-41
2021-01-08,-42
2021-01-09,-41
2021-01-10,-40
2021-01-11,-39
2021-01-12,-41
2021-01-13,-40
2021-01-14,-40
2021-01-15,-43
2021-01-16,-44
2021-01-17,-44
2021-01-18,-44
2021-01-19,-43
2021-01-20,-41
2021-01-21,-39
2021-01-22,-39
2021-01-23,-41
2021-01-24,-45
2021-01-25,-42
2021-01-26,-42
2021-01-27,-41
2021-01-28,-40
2021-01-29,-38
2021-01-30,-39
2021-01-31,-33
2021-02-01,-38
2021-02-02,-38
2021-02-03,-37
2021-02-04,-38
2021-02-05,-36
2021-02-06,-35
2021-02-07,-47
2021-02-08,-34
2021-02-09,-35
2021-02-10,-35
2021-02-11,-34
2021-02-12,-37
2021-02-13,-33
2021-02-14,-34
2021-02-15,-37
2021-02-16,-36
2021-02-17,-37
2021-02-18,-34
2021-02-19,-35
2021-02-20,-27
2021-02-21,-23
2021-02-22,-32
2021-02-23,-33
2021-02-24,-29
2021-02-25,-27
2021-02-26,-31
2021-02-27,-27
2021-02-28,-29
2021-03-01,-34
2021-03-02,-32
2021-03-03,-30
2021-03-04,-33
2021-03-05,-33
2021-03-06,-29
2021-03-07,-36
2021-03-08,-31
2021-03-09,-34
2021-03-10,-31
2021-03-11,-35
2021-03-12,-33
2021-03-13,-29
2021-03-14,-34
2021-03-15,-34
2021-03-16,-35
2021-03-17,-34
2021-03-18,-33
2021-03-19,-33
2021-03-20,-37
2021-03-21,-43
2021-03-22,-38
2021-03-23,-39
2021-03-24,-37
2021-03-25,-34
2021-03-26,-33
2021-03-27,-35
2021-03-28,-33
2021-03-29,-41
2021-03-30,-36
2021-03-31,-28
2021-04-01,-31
2021-04-02,-40
2021-04-03,-50
2021-04-04,-53
2021-04-05,-68
2021-04-06,-40
2021-04-07,-41
2021-04-08,-40
2021-04-09,-36
2021-04-10,-27
2021-04-11,-15
2021-04-12,-36
2021-04-13,-39
2021-04-14,-39
2021-04-15,-39
2021-04-16,-39
2021-04-17,-34
2021-04-18,-26
2021-04-19,-31
2021-04-20,-28
2021-04-21,-28
2021-04-22,-32
2021-04-23,-32
2021-04-24,-25
2021-04-25,-23
2021-04-26,-31
2021-04-27,-27
2021-04-28,-24
2021-04-29,-23
2021-04-30,-19
2021-05-01,-37
2021-05-02,-44
2021-05-03,-57
2021-05-04,-20
2021-05-05,-22
2021-05-06,-20
2021-05-07,-24
2021-05-08,-14
2021-05-09,1
2021-05-10,-16
2021-05-11,-14
2021-05-12,-14
2021-05-13,-15
2021-05-14,-18
2021-05-15,-3
2021-05-16,-10
2021-05-17,-16
2021-05-18,-17
2021-05-19,-15
2021-05-20,-15
2021-05-21,-11
2021-05-22,-11
2021-05-23,-7
2021-05-24,-10
2021-05-25,-16
2021-05-26,-8
2021-05-27,-10
2021-05-28,-10
2021-05-29,-5
2021-05-30,0
2021-05-31,-6
