dates,cumulativecount_vaccine_covid_19_administered
2020-12-28,2000
2020-12-29,6300
2020-12-30,36300
2020-12-31,47600
2021-01-02,50391
2021-01-03,50833
2021-01-04,92220
2021-01-05,140226
2021-01-06,160359
2021-01-07,188956
2021-01-08,198787
2021-01-09,200022
2021-01-10,203053
2021-01-11,257834
2021-01-12,309620
2021-01-13,369212
2021-01-14,410480
2021-01-15,436963
2021-01-16,457303
2021-01-17,469466
2021-01-18,495164
2021-01-19,541229
2021-01-20,591785
2021-01-21,644999
2021-01-22,684277
2021-01-23,701164
2021-01-24,707474
2021-01-25,776987
2021-01-26,905457
2021-01-27,1008253
2021-01-28,1097036
2021-01-29,1141081
2021-01-30,1156931
2021-01-31,1176904
2021-02-01,1231716
2021-02-02,1342435
2021-02-03,1461578
2021-02-04,1566604
2021-02-05,1617764
2021-02-06,1641158
2021-02-07,1656708
2021-02-09,1773715
2021-02-11,1993739
2021-02-12,2071009
2021-02-13,2107089
2021-02-14,2122245
2021-02-15,2159146
2021-02-16,2230117
2021-02-17,2384794
2021-02-18,2556999
2021-02-19,2660776
2021-02-20,2697815
2021-02-21,2715159
2021-02-22,2759436
2021-02-24,2990683
2021-02-26,3269812
2021-02-28,3336354
2021-03-01,3383426
2021-03-03,3619316
2021-03-04,3791577
2021-03-06,3951104
2021-03-08,4004734
2021-03-09,4086863
2021-03-11,4391256
2021-03-12,4487273
2021-03-13,4517537
2021-03-14,4530783
2021-03-15,4557060
2021-03-16,4605929
2021-03-17,4738902
2021-03-18,4893320
2021-03-19,4983494
2021-03-20,5014167
2021-03-21,5026182
2021-03-22,5077928
2021-03-23,5193835
2021-03-24,5381726
2021-03-26,5755551
2021-03-28,5882581
2021-03-30,6081824
2021-03-31,6270976
2021-04-01,6462769
2021-04-02,6614819
2021-04-04,6658909
2021-04-05,6665384
2021-04-07,6999652
2021-04-08,7263426
2021-04-10,7635264
2021-04-11,7687617
2021-04-12,7784384
2021-04-13,7970164
2021-04-15,8484815
2021-04-19,9006539
2021-04-20,9210419
2021-04-21,9495317
2021-04-22,9806966
2021-04-23,10069710
2021-04-25,10343967
2021-04-27,10740169
2021-04-28,11081369
2021-04-29,11470800
2021-05-01,11877060
2021-05-03,11995786
2021-05-05,12614827
2021-05-06,13034348
2021-05-07,13409463
2021-05-08,13670541
2021-05-09,13764238
2021-05-10,13957627
2021-05-11,14274291
2021-05-13,15144771
2021-05-14,15509013
2021-05-15,15776030
2021-05-16,15879467
2021-05-17,16043547
2021-05-18,16372436
2021-05-20,17254902
2021-05-21,17620338
2021-05-22,17866586
2021-05-23,17941112
2021-05-24,18085811
2021-05-25,18389807
2021-05-26,18785240
2021-05-27,19175171
2021-05-28,19525032
2021-05-29,19807955
2021-05-30,19909052
2021-05-31,20084619
2021-06-01,20536042
2021-06-02,21174546
2021-06-03,21326996
2021-06-04,21753938
2021-06-05,22025871
2021-06-06,22134362
2021-06-07,22340624
2021-06-08,22737088
2021-06-09,23240142
2021-06-10,23628450
2021-06-11,24045826
2021-06-12,24360781
2021-06-13,24470301
2021-06-14,24687629
2021-06-16,25482985
2021-06-17,25884468
2021-06-18,26206854
2021-06-19,26422469
2021-06-20,26494562
2021-06-21,26665528
2021-06-22,27078372
2021-06-23,27467853
2021-06-24,27621910
2021-06-26,28354710
2021-06-27,28447379
2021-06-28,28601320
2021-06-29,28888753
2021-06-30,29242214
2021-07-01,29544033
2021-07-02,29791445
2021-07-03,29965841
2021-07-04,30024149
2021-07-05,30148610
2021-07-06,30397872
2021-07-07,30739367
2021-07-08,31004510
2021-07-09,31258249
2021-07-11,31535478
2021-07-12,31653505
2021-07-13,31863546
2021-07-14,32158852
2021-07-15,32413199
2021-07-17,32788403
2021-07-19,32923412
2021-07-20,33083693
2021-07-21,33280946
2021-07-22,33482067
2021-07-23,33641540
2021-07-25,33770147
2021-07-26,33843941
2021-07-27,33945590
2021-07-28,34096548
2021-07-29,34221338
2021-07-30,34334259
2021-07-31,34429956
2021-08-01,34463736
2021-08-02,34521740
2021-08-03,34597705
2021-08-04,34702058
2021-08-05,34806538
2021-08-07,34986764
2021-08-09,35050510
2021-08-10,35114129
2021-08-11,35189762
2021-08-12,35281208
2021-08-14,35409730
2021-08-15,35430974
2021-08-16,35474489
2021-08-17,35528975
2021-08-18,35621237
2021-08-19,35690920
2021-08-20,35763435
2021-08-21,35805427
2021-08-22,35824579
2021-08-24,35917007
2021-08-26,36053472
2021-08-27,36127090
2021-08-28,36171384
2021-08-29,36194405
2021-08-30,36232370
2021-08-31,36286614
2021-09-01,36335572
2021-09-02,36391474
2021-09-03,36452021
2021-09-04,36485044
2021-09-05,36499891
2021-09-06,36525458
2021-09-07,36561654
2021-09-08,36604902
2021-09-10,36709898
2021-09-11,36737087
2021-09-12,36749445
2021-09-14,36803305
2021-09-15,36841191
2021-09-16,36878694
2021-09-17,36922081
2021-09-19,36956930
2021-09-20,36977687
2021-09-21,37007048
2021-09-22,37073097
2021-09-23,37104651
2021-09-24,37144805
2021-09-25,37147012
2021-09-27,37158644
2021-09-28,37186150
2021-09-29,37212955
2021-10-01,37317759
2021-10-02,37331309
2021-10-03,37377609
2021-10-04,37666261
2021-10-12,38043351
2021-10-13,38051598
2021-10-15,38252125
2021-10-16,38280933
2021-10-17,38286490
2021-10-19,38373412
2021-10-20,38439839
2021-10-21,38510829
2021-10-23,38621872
2021-10-24,38629517
2021-10-25,38671357
2021-10-26,38802190
2021-10-28,38951997
2021-10-29,39031279
2021-10-31,39064978
2021-11-01,39067239
2021-11-02,39120916
2021-11-03,39207074
2021-11-04,39299459
2021-11-05,39408902
2021-11-06,39459792
2021-11-07,39469339
2021-11-08,39528986
2021-11-09,39622998
2021-11-11,39757822
2021-11-12,39854041
2021-11-14,39905294
2021-11-15,39971172
2021-11-16,40075742
2021-11-17,40203203
2021-11-18,40334156
2021-11-19,40486708
2021-11-20,40571910
2021-11-21,40587690
2021-11-22,40686596
2021-11-23,40827691
2021-11-25,41183099
2021-11-27,41536389
2021-11-28,41568021
2021-11-29,41675389
2021-12-01,42033071
2021-12-02,42226766
2021-12-03,42488461
2021-12-04,42672883
2021-12-05,42714925
2021-12-06,43054863
2021-12-08,43524495
2021-12-10,44015507
2021-12-11,44200031
2021-12-12,44239198
2021-12-13,44404322
2021-12-14,44616673
2021-12-15,44848389
2021-12-16,45081352
2021-12-17,45334408
2021-12-18,45511239
2021-12-19,45552262
2021-12-20,45724991
2021-12-21,45878657
2021-12-22,46054360
2021-12-23,46146622
2021-12-24,46155930
2021-12-25,46157174
2021-12-26,46158012
2021-12-28,46549512
2021-12-30,46962321
2021-12-31,46987401
2022-01-01,46989488
2022-01-02,47005555
2022-01-03,47167673
2022-01-04,47448217
2022-01-05,47740564
2022-01-06,47775010
2022-01-07,48002829
2022-01-08,48179792
2022-01-09,48215692
2022-01-10,48394222
2022-01-11,48643742
2022-01-12,48893428
2022-01-13,49115019
2022-01-14,49362965
2022-01-16,49558781
2022-01-17,49715916
2022-01-18,49904088
2022-01-20,50298537
2022-01-21,50500491
2022-01-22,50630585
2022-01-23,50671742
2022-01-24,50795046
2022-01-25,50952034
2022-01-26,51119917
2022-01-27,51254788
2022-01-28,51426061
2022-01-30,51564403
2022-01-31,51658515
2022-02-01,51768860
2022-02-02,51887620
2022-02-03,51996078
2022-02-04,52116952
2022-02-05,52197329
2022-02-06,52209949
2022-02-07,52280338
2022-02-08,52363064
2022-02-09,52450913
2022-02-10,52531873
2022-02-11,52625394
2022-02-12,52681624
2022-02-13,52691015
2022-02-14,52735700
2022-02-15,52783844
2022-02-16,52861561
2022-02-18,53003321
2022-02-19,53042513
2022-02-20,53049693
2022-02-21,53088071
2022-02-22,53133734
2022-02-23,53183011
2022-02-24,53229874
2022-02-25,53289571
2022-02-26,53318913
2022-02-27,53324129
2022-03-01,53382707
2022-03-02,53414424
2022-03-03,53444278
2022-03-04,53487084
2022-03-05,53504033
2022-03-07,53526887
2022-03-08,53547442
2022-03-10,53596915
2022-03-11,53632473
2022-03-13,53651153
2022-03-15,53689500
2022-03-16,53711008
2022-03-17,53731568
2022-03-19,53776917
2022-03-20,53779125
2022-03-21,53794002
2022-03-22,53809376
2022-03-23,53826886
2022-03-24,53843927
2022-03-25,53870219
2022-03-26,53880551
2022-03-27,53882175
2022-03-29,53908363
2022-03-30,53924321
2022-03-31,53939224
2022-04-03,53976007
