dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,0
2020-02-16,-2
2020-02-17,-5
2020-02-18,2
2020-02-19,-3
2020-02-20,0
2020-02-21,-1
2020-02-22,-2
2020-02-23,-5
2020-02-24,-4
2020-02-25,-8
2020-02-26,-3
2020-02-27,1
2020-02-28,2
2020-02-29,-1
2020-03-01,0
2020-03-02,3
2020-03-03,10
2020-03-04,4
2020-03-05,1
2020-03-06,3
2020-03-07,0
2020-03-08,1
2020-03-09,-1
2020-03-10,6
2020-03-11,2
2020-03-12,27
2020-03-13,25
2020-03-14,26
2020-03-15,19
2020-03-16,0
2020-03-17,-19
2020-03-18,-24
2020-03-19,-28
2020-03-20,-20
2020-03-21,-21
2020-03-22,-42
2020-03-23,-38
2020-03-24,-39
2020-03-25,-39
2020-03-26,-36
2020-03-27,-30
2020-03-28,-38
2020-03-29,-51
2020-03-30,-34
2020-03-31,-45
2020-04-01,-48
2020-04-02,-41
2020-04-03,-37
2020-04-04,-38
2020-04-05,-95
2020-04-06,-32
2020-04-07,-33
2020-04-08,-33
2020-04-09,-24
2020-04-10,-95
2020-04-11,-87
2020-04-12,-92
2020-04-13,-17
2020-04-14,-26
2020-04-15,-33
2020-04-16,-30
2020-04-17,-31
2020-04-18,-37
2020-04-19,-90
2020-04-20,-29
2020-04-21,-40
2020-04-22,-34
2020-04-23,-35
2020-04-24,-33
2020-04-25,-35
2020-04-26,-89
2020-04-27,-29
2020-04-28,-35
2020-04-29,-35
2020-04-30,-33
2020-05-01,-27
2020-05-02,-30
2020-05-03,-84
2020-05-04,-21
2020-05-05,-26
2020-05-06,-25
2020-05-07,-23
2020-05-08,-17
2020-05-09,-11
2020-05-10,-73
2020-05-11,-27
2020-05-12,-25
2020-05-13,-27
2020-05-14,-23
2020-05-15,-21
2020-05-16,-21
2020-05-17,-72
2020-05-18,-14
2020-05-19,-19
2020-05-20,-21
2020-05-21,-22
2020-05-22,-19
2020-05-23,-19
2020-05-24,-69
2020-05-25,-22
2020-05-26,-21
2020-05-27,-24
2020-05-28,-24
2020-05-29,-18
2020-05-30,-18
2020-05-31,-64
2020-06-01,-14
2020-06-02,-19
2020-06-03,-21
2020-06-04,-18
2020-06-05,-17
2020-06-06,-16
2020-06-07,-62
2020-06-08,-12
2020-06-09,-19
2020-06-10,-20
2020-06-11,-21
2020-06-12,-14
2020-06-13,-10
2020-06-14,-56
2020-06-15,-8
2020-06-16,-8
2020-06-17,-14
2020-06-18,-10
2020-06-19,-6
2020-06-20,2
2020-06-21,-45
2020-06-22,-15
2020-06-23,-16
2020-06-24,-19
2020-06-25,-15
2020-06-26,-15
2020-06-27,-14
2020-06-28,-28
2020-06-29,-12
2020-06-30,-14
2020-07-01,-15
2020-07-02,-12
2020-07-03,-4
2020-07-04,-22
2020-07-05,-26
2020-07-06,-8
2020-07-07,-15
2020-07-08,-13
2020-07-09,-14
2020-07-10,-11
2020-07-11,-12
2020-07-12,-23
2020-07-13,-10
2020-07-14,-9
2020-07-15,-12
2020-07-16,-12
2020-07-17,-12
2020-07-18,-14
2020-07-19,-28
2020-07-20,-10
2020-07-21,-15
2020-07-22,-16
2020-07-23,-15
2020-07-24,-14
2020-07-25,-15
2020-07-26,-34
2020-07-27,-1
2020-07-28,2
2020-07-29,-14
2020-07-30,-67
2020-07-31,-17
2020-08-01,-14
2020-08-02,-36
2020-08-03,-10
2020-08-04,-12
2020-08-05,-18
2020-08-06,-16
2020-08-07,-16
2020-08-08,-10
2020-08-09,-37
2020-08-10,-12
2020-08-11,-15
2020-08-12,-19
2020-08-13,-14
2020-08-14,-10
2020-08-15,-7
2020-08-16,-36
2020-08-17,-13
2020-08-18,-13
2020-08-19,-15
2020-08-20,-15
2020-08-21,1
2020-08-22,-67
2020-08-23,-43
2020-08-24,-14
2020-08-25,-18
2020-08-26,-20
2020-08-27,-19
2020-08-28,-14
2020-08-29,-13
2020-08-30,-38
2020-08-31,-15
2020-09-01,-19
2020-09-02,-21
2020-09-03,-21
2020-09-04,-14
2020-09-05,-13
2020-09-06,-36
2020-09-07,-23
2020-09-08,-18
2020-09-09,-21
2020-09-10,-18
2020-09-11,-15
2020-09-12,-14
2020-09-13,-24
2020-09-14,-13
2020-09-15,-17
2020-09-16,-19
2020-09-17,-20
2020-09-18,-15
2020-09-19,-17
2020-09-20,-24
2020-09-21,-17
2020-09-22,-18
2020-09-23,-22
2020-09-24,-20
2020-09-25,-16
2020-09-26,-17
2020-09-27,-25
2020-09-28,-15
2020-09-29,-14
2020-09-30,-16
2020-10-01,-17
2020-10-02,-15
2020-10-03,-15
2020-10-04,-23
2020-10-05,-18
2020-10-06,-16
2020-10-07,-21
2020-10-08,-20
2020-10-09,-15
2020-10-10,-18
2020-10-11,-24
2020-10-12,-19
2020-10-13,-20
2020-10-14,-16
2020-10-15,-17
2020-10-16,-15
2020-10-17,-13
2020-10-18,-22
2020-10-19,-15
2020-10-20,-17
2020-10-21,-18
2020-10-22,-16
2020-10-23,-14
2020-10-24,-16
2020-10-25,-22
2020-10-26,-15
2020-10-27,-19
2020-10-28,-18
2020-10-29,-18
2020-10-30,-11
2020-10-31,-10
2020-11-01,-21
2020-11-02,-3
2020-11-03,-42
2020-11-04,-19
2020-11-05,-16
2020-11-06,-13
2020-11-07,-15
2020-11-08,-25
2020-11-09,-14
2020-11-10,-17
2020-11-11,-21
2020-11-12,-14
2020-11-13,-11
2020-11-14,-13
2020-11-15,-19
2020-11-16,-12
2020-11-17,-16
2020-11-18,-15
2020-11-19,-18
2020-11-20,-10
2020-11-21,-13
2020-11-22,-19
2020-11-23,-6
2020-11-24,-8
2020-11-25,10
2020-11-26,-59
2020-11-27,-15
2020-11-28,-18
2020-11-29,-23
2020-11-30,-11
2020-12-01,-14
2020-12-02,-14
2020-12-03,-10
2020-12-04,-8
2020-12-05,-12
2020-12-06,-21
2020-12-07,-16
2020-12-08,-17
2020-12-09,-19
2020-12-10,-15
2020-12-11,-11
2020-12-12,-12
2020-12-13,-46
2020-12-14,-6
2020-12-15,-13
2020-12-16,-11
2020-12-17,-11
2020-12-18,-5
2020-12-19,-8
2020-12-20,-36
2020-12-21,5
2020-12-22,5
2020-12-23,13
2020-12-24,11
2020-12-25,-64
2020-12-26,-19
2020-12-27,-40
2020-12-28,-4
2020-12-29,-6
2020-12-30,1
2020-12-31,7
2021-01-01,-68
2021-01-02,-16
2021-01-03,-32
2021-01-04,4
2021-01-05,15
2021-01-06,-55
2021-01-07,-16
2021-01-08,-14
2021-01-09,-16
2021-01-10,-24
2021-01-11,-15
2021-01-12,-17
2021-01-13,-19
2021-01-14,-19
2021-01-15,-17
2021-01-16,-16
2021-01-17,-26
2021-01-18,-17
2021-01-19,-21
2021-01-20,-19
2021-01-21,-20
2021-01-22,-15
2021-01-23,-16
2021-01-24,-21
2021-01-25,-15
2021-01-26,-19
2021-01-27,-20
2021-01-28,-17
2021-01-29,-13
2021-01-30,-16
2021-01-31,-22
2021-02-01,-11
2021-02-02,-14
2021-02-03,-17
2021-02-04,-16
2021-02-05,-12
2021-02-06,-12
2021-02-07,-17
2021-02-08,-9
2021-02-09,-12
2021-02-10,-12
2021-02-11,-8
2021-02-12,0
2021-02-13,10
2021-02-14,-8
2021-02-15,-14
2021-02-16,-12
2021-02-17,-17
2021-02-18,-14
2021-02-19,-11
2021-02-20,-13
2021-02-21,-18
2021-02-22,-11
2021-02-23,-13
2021-02-24,-14
2021-02-25,-12
2021-02-26,-9
2021-02-27,-12
2021-02-28,-16
2021-03-01,-10
2021-03-02,-10
2021-03-03,-13
2021-03-04,-12
2021-03-05,-9
2021-03-06,-10
2021-03-07,-15
2021-03-08,-9
2021-03-09,-13
2021-03-10,-12
2021-03-11,-12
2021-03-12,-8
2021-03-13,-7
2021-03-14,-11
2021-03-15,-7
2021-03-16,-8
2021-03-17,-11
2021-03-18,-9
2021-03-19,-7
2021-03-20,-9
2021-03-21,-12
2021-03-22,-6
2021-03-23,-7
2021-03-24,-11
2021-03-25,-8
2021-03-26,-6
2021-03-27,-6
2021-03-28,-12
2021-03-29,0
2021-03-30,-2
2021-03-31,2
2021-04-01,16
2021-04-02,-61
2021-04-03,2
2021-04-04,-35
2021-04-05,3
2021-04-06,-4
2021-04-07,-10
2021-04-08,-8
2021-04-09,-6
2021-04-10,-8
2021-04-11,-14
2021-04-12,-4
2021-04-13,-8
2021-04-14,-4
2021-04-15,-4
2021-04-16,-2
2021-04-17,-5
2021-04-18,-12
2021-04-19,-3
2021-04-20,-4
2021-04-21,-6
2021-04-22,-6
2021-04-23,-4
2021-04-24,-7
2021-04-25,-13
2021-04-26,-5
2021-04-27,-9
2021-04-28,-12
2021-04-29,-8
2021-04-30,-5
2021-05-01,-8
2021-05-02,-13
2021-05-03,-3
2021-05-04,-2
2021-05-05,-4
2021-05-06,-1
2021-05-07,8
2021-05-08,21
2021-05-09,-26
2021-05-10,-4
2021-05-11,-7
2021-05-12,-5
2021-05-13,-6
2021-05-14,-2
2021-05-15,-4
2021-05-16,-11
2021-05-17,-2
2021-05-18,-4
2021-05-19,-5
2021-05-20,-5
2021-05-21,-4
2021-05-22,-7
2021-05-23,-14
2021-05-24,-2
2021-05-25,-5
2021-05-26,-6
2021-05-27,-7
2021-05-28,-2
2021-05-29,-4
2021-05-30,-10
2021-05-31,-6
2021-06-01,-2
2021-06-02,-6
2021-06-03,-6
2021-06-04,-1
2021-06-05,-7
2021-06-06,-12
2021-06-07,-2
2021-06-08,-7
2021-06-09,-9
2021-06-10,-4
2021-06-11,-6
2021-06-12,-5
2021-06-13,-11
2021-06-14,2
2021-06-15,-3
2021-06-16,-2
2021-06-17,-4
2021-06-18,4
2021-06-19,9
2021-06-20,-30
2021-06-21,-5
2021-06-22,-7
2021-06-23,-6
2021-06-24,-9
2021-06-25,-6
2021-06-26,-11
2021-06-27,-14
2021-06-28,-3
2021-06-29,-7
2021-06-30,-4
2021-07-01,-5
2021-07-02,1
2021-07-03,-6
2021-07-04,-14
2021-07-05,-9
2021-07-06,-1
2021-07-07,-5
2021-07-08,-4
2021-07-09,-3
2021-07-10,-6
2021-07-11,-14
2021-07-12,0
2021-07-13,-5
2021-07-14,-4
2021-07-15,-3
2021-07-16,2
2021-07-17,-2
2021-07-18,-12
2021-07-19,2
2021-07-20,0
2021-07-21,-2
2021-07-22,0
2021-07-23,-4
2021-07-24,-10
2021-07-25,-15
2021-07-26,-7
2021-07-27,-5
2021-07-28,-7
2021-07-29,-4
2021-07-30,-2
2021-07-31,-7
2021-08-01,-12
2021-08-02,-2
2021-08-03,-2
2021-08-04,-5
2021-08-05,-6
2021-08-06,-2
2021-08-07,-5
2021-08-08,-10
2021-08-09,8
2021-08-10,3
2021-08-11,-13
2021-08-12,-3
2021-08-13,1
2021-08-14,10
2021-08-15,-30
2021-08-16,-1
2021-08-17,-3
2021-08-18,-3
2021-08-19,-4
2021-08-20,-2
2021-08-21,-5
2021-08-22,-9
2021-08-23,1
2021-08-24,-5
2021-08-25,-5
2021-08-26,-5
2021-08-27,-1
2021-08-28,-6
2021-08-29,-9
2021-08-30,1
2021-08-31,-6
2021-09-01,-8
2021-09-02,-7
2021-09-03,-3
2021-09-04,-5
2021-09-05,-12
2021-09-06,-10
2021-09-07,-3
2021-09-08,-6
2021-09-09,-7
2021-09-10,-3
2021-09-11,-7
2021-09-12,-13
2021-09-13,-2
2021-09-14,-4
2021-09-15,-6
2021-09-16,-4
2021-09-17,-4
2021-09-18,-4
2021-09-19,-11
2021-09-20,0
2021-09-21,-9
2021-09-22,-4
2021-09-23,-6
2021-09-24,-5
2021-09-25,-9
2021-09-26,-13
2021-09-27,-3
2021-09-28,-6
2021-09-29,-6
2021-09-30,-4
2021-10-01,-1
2021-10-02,-6
2021-10-03,-9
2021-10-04,2
2021-10-05,-5
2021-10-06,-7
2021-10-07,-8
2021-10-08,-4
2021-10-09,-7
2021-10-10,-15
2021-10-11,-13
2021-10-12,-4
2021-10-13,-9
2021-10-14,-3
2021-10-15,-2
2021-10-16,-4
2021-10-17,-10
2021-10-18,1
2021-10-19,-4
2021-10-20,-6
2021-10-21,-5
2021-10-22,-1
2021-10-23,-7
2021-10-24,-12
2021-10-25,0
2021-10-26,-4
2021-10-27,-4
2021-10-28,-3
2021-10-29,0
2021-10-30,-4
2021-10-31,-7
2021-11-01,1
2021-11-02,-3
2021-11-03,-5
2021-11-04,-3
2021-11-05,-3
2021-11-06,-4
2021-11-07,-9
2021-11-08,3
2021-11-09,-3
2021-11-10,-2
2021-11-11,-5
2021-11-12,1
2021-11-13,-4
2021-11-14,-7
2021-11-15,5
2021-11-16,2
2021-11-17,0
2021-11-18,-2
2021-11-19,-2
2021-11-20,-3
2021-11-21,-7
2021-11-22,12
2021-11-23,11
2021-11-24,25
2021-11-25,-50
2021-11-26,-2
2021-11-27,-8
2021-11-28,-12
2021-11-29,4
2021-11-30,-1
2021-12-01,-3
2021-12-02,-1
2021-12-03,0
2021-12-04,-3
2021-12-05,-6
2021-12-06,7
2021-12-07,1
2021-12-08,1
2021-12-09,-1
2021-12-10,0
2021-12-11,-3
2021-12-12,-7
2021-12-13,7
2021-12-14,5
2021-12-15,5
2021-12-16,8
2021-12-17,6
2021-12-18,3
2021-12-19,-3
2021-12-20,15
2021-12-21,14
2021-12-22,20
2021-12-23,30
2021-12-24,26
2021-12-25,-56
2021-12-26,-8
2021-12-27,10
2021-12-28,4
2021-12-29,7
2021-12-30,16
2021-12-31,14
2022-01-01,-62
2022-01-02,-9
2022-01-03,9
2022-01-04,10
2022-01-05,26
2022-01-06,-49
2022-01-07,1
2022-01-08,-9
2022-01-09,-14
2022-01-10,4
2022-01-11,-5
2022-01-12,-3
2022-01-13,-4
2022-01-14,1
2022-01-15,-6
2022-01-16,-11
2022-01-17,-3
2022-01-18,-3
2022-01-19,-6
2022-01-20,-5
2022-01-21,-4
2022-01-22,-6
2022-01-23,-11
2022-01-24,-1
2022-01-25,-7
2022-01-26,-6
2022-01-27,-7
2022-01-28,-3
2022-01-29,-7
2022-01-30,-11
2022-01-31,-3
2022-02-01,-3
2022-02-02,-6
2022-02-03,-7
2022-02-04,-4
2022-02-05,-12
2022-02-06,-17
2022-02-07,1
2022-02-08,-1
2022-02-09,-4
2022-02-10,0
2022-02-11,4
2022-02-12,6
2022-02-13,20
2022-02-14,24
