dates,covid19mobilitytrend_transporthub
2020-02-15,-4
2020-02-16,-2
2020-02-17,-8
2020-02-18,5
2020-02-19,7
2020-02-20,-1
2020-02-21,-3
2020-02-22,-6
2020-02-23,-1
2020-02-24,-2
2020-02-25,-5
2020-02-26,1
2020-02-27,2
2020-02-28,1
2020-02-29,-3
2020-03-01,5
2020-03-02,-1
2020-03-03,4
2020-03-04,4
2020-03-05,1
2020-03-06,-4
2020-03-07,-4
2020-03-08,-3
2020-03-09,-1
2020-03-10,1
2020-03-11,-2
2020-03-12,-9
2020-03-13,-11
2020-03-14,-21
2020-03-15,-27
2020-03-16,-36
2020-03-17,-44
2020-03-18,-52
2020-03-19,-61
2020-03-20,-63
2020-03-21,-69
2020-03-22,-70
2020-03-23,-70
2020-03-24,-72
2020-03-25,-72
2020-03-26,-75
2020-03-27,-75
2020-03-28,-78
2020-03-29,-79
2020-03-30,-75
2020-03-31,-75
2020-04-01,-77
2020-04-02,-78
2020-04-03,-78
2020-04-04,-81
2020-04-05,-88
2020-04-06,-77
2020-04-07,-77
2020-04-08,-77
2020-04-09,-76
2020-04-10,-89
2020-04-11,-86
2020-04-12,-88
2020-04-13,-74
2020-04-14,-74
2020-04-15,-74
2020-04-16,-75
2020-04-17,-75
2020-04-18,-78
2020-04-19,-86
2020-04-20,-73
2020-04-21,-75
2020-04-22,-72
2020-04-23,-75
2020-04-24,-74
2020-04-25,-76
2020-04-26,-83
2020-04-27,-70
2020-04-28,-72
2020-04-29,-70
2020-04-30,-71
2020-05-01,-70
2020-05-02,-72
2020-05-03,-80
2020-05-04,-66
2020-05-05,-67
2020-05-06,-66
2020-05-07,-67
2020-05-08,-65
2020-05-09,-69
2020-05-10,-70
2020-05-11,-65
2020-05-12,-67
2020-05-13,-65
2020-05-14,-66
2020-05-15,-65
2020-05-16,-69
2020-05-17,-75
2020-05-18,-62
2020-05-19,-65
2020-05-20,-63
2020-05-21,-63
2020-05-22,-62
2020-05-23,-66
2020-05-24,-69
2020-05-25,-66
2020-05-26,-63
2020-05-27,-62
2020-05-28,-62
2020-05-29,-58
2020-05-30,-64
2020-05-31,-65
2020-06-01,-56
2020-06-02,-59
2020-06-03,-56
2020-06-04,-57
2020-06-05,-54
2020-06-06,-58
2020-06-07,-59
2020-06-08,-53
2020-06-09,-55
2020-06-10,-54
2020-06-11,-55
2020-06-12,-52
2020-06-13,-56
2020-06-14,-55
2020-06-15,-48
2020-06-16,-50
2020-06-17,-50
2020-06-18,-48
2020-06-19,-48
2020-06-20,-52
2020-06-21,-48
2020-06-22,-48
2020-06-23,-51
2020-06-24,-49
2020-06-25,-48
2020-06-26,-47
2020-06-27,-48
2020-06-28,-48
2020-06-29,-42
2020-06-30,-43
2020-07-01,-41
2020-07-02,-39
2020-07-03,-38
2020-07-04,-43
2020-07-05,-37
2020-07-06,-32
2020-07-07,-34
2020-07-08,-35
2020-07-09,-37
2020-07-10,-35
2020-07-11,-34
2020-07-12,-34
2020-07-13,-29
2020-07-14,-31
2020-07-15,-34
2020-07-16,-39
2020-07-17,-41
2020-07-18,-44
2020-07-19,-47
2020-07-20,-43
2020-07-21,-45
2020-07-22,-44
2020-07-23,-46
2020-07-24,-48
2020-07-25,-47
2020-07-26,-57
2020-07-27,-42
2020-07-28,-42
2020-07-29,-53
2020-07-30,-73
2020-07-31,-47
2020-08-01,-50
2020-08-02,-57
2020-08-03,-43
2020-08-04,-46
2020-08-05,-49
2020-08-06,-49
2020-08-07,-47
2020-08-08,-50
2020-08-09,-56
2020-08-10,-48
2020-08-11,-50
2020-08-12,-52
2020-08-13,-49
2020-08-14,-48
2020-08-15,-50
2020-08-16,-56
2020-08-17,-47
2020-08-18,-48
2020-08-19,-50
2020-08-20,-49
2020-08-21,-51
2020-08-22,-76
2020-08-23,-61
2020-08-24,-49
2020-08-25,-51
2020-08-26,-51
2020-08-27,-50
2020-08-28,-47
2020-08-29,-49
2020-08-30,-58
2020-08-31,-45
2020-09-01,-49
2020-09-02,-49
2020-09-03,-50
2020-09-04,-45
2020-09-05,-47
2020-09-06,-59
2020-09-07,-54
2020-09-08,-51
2020-09-09,-50
2020-09-10,-48
2020-09-11,-48
2020-09-12,-50
2020-09-13,-51
2020-09-14,-47
2020-09-15,-51
2020-09-16,-49
2020-09-17,-49
2020-09-18,-47
2020-09-19,-49
2020-09-20,-47
2020-09-21,-46
2020-09-22,-50
2020-09-23,-50
2020-09-24,-51
2020-09-25,-47
2020-09-26,-49
2020-09-27,-49
2020-09-28,-48
2020-09-29,-51
2020-09-30,-47
2020-10-01,-48
2020-10-02,-44
2020-10-03,-45
2020-10-04,-47
2020-10-05,-45
2020-10-06,-49
2020-10-07,-47
2020-10-08,-47
2020-10-09,-43
2020-10-10,-49
2020-10-11,-46
2020-10-12,-45
2020-10-13,-49
2020-10-14,-47
2020-10-15,-48
2020-10-16,-46
2020-10-17,-47
2020-10-18,-44
2020-10-19,-44
2020-10-20,-48
2020-10-21,-47
2020-10-22,-44
2020-10-23,-41
2020-10-24,-43
2020-10-25,-39
2020-10-26,-37
2020-10-27,-41
2020-10-28,-41
2020-10-29,-40
2020-10-30,-36
2020-10-31,-40
2020-11-01,-39
2020-11-02,-35
2020-11-03,-54
2020-11-04,-40
2020-11-05,-40
2020-11-06,-40
2020-11-07,-40
2020-11-08,-41
2020-11-09,-37
2020-11-10,-43
2020-11-11,-43
2020-11-12,-40
2020-11-13,-35
2020-11-14,-39
2020-11-15,-39
2020-11-16,-35
2020-11-17,-41
2020-11-18,-38
2020-11-19,-39
2020-11-20,-36
2020-11-21,-38
2020-11-22,-39
2020-11-23,-34
2020-11-24,-36
2020-11-25,-32
2020-11-26,-63
2020-11-27,-41
2020-11-28,-41
2020-11-29,-34
2020-11-30,-30
2020-12-01,-36
2020-12-02,-41
2020-12-03,-41
2020-12-04,-39
2020-12-05,-41
2020-12-06,-39
2020-12-07,-39
2020-12-08,-46
2020-12-09,-44
2020-12-10,-45
2020-12-11,-42
2020-12-12,-44
2020-12-13,-55
2020-12-14,-37
2020-12-15,-40
2020-12-16,-39
2020-12-17,-36
2020-12-18,-30
2020-12-19,-26
2020-12-20,-46
2020-12-21,-20
2020-12-22,-20
2020-12-23,-15
2020-12-24,-32
2020-12-25,-58
2020-12-26,-33
2020-12-27,-43
2020-12-28,-24
2020-12-29,-26
2020-12-30,-20
2020-12-31,-35
2021-01-01,-51
2021-01-02,-25
2021-01-03,-30
2021-01-04,-13
2021-01-05,-21
2021-01-06,-46
2021-01-07,-33
2021-01-08,-30
2021-01-09,-30
2021-01-10,-27
2021-01-11,-29
2021-01-12,-38
2021-01-13,-42
2021-01-14,-41
2021-01-15,-36
2021-01-16,-39
2021-01-17,-36
2021-01-18,-36
2021-01-19,-42
2021-01-20,-43
2021-01-21,-43
2021-01-22,-38
2021-01-23,-38
2021-01-24,-31
2021-01-25,-36
2021-01-26,-43
2021-01-27,-44
2021-01-28,-39
2021-01-29,-39
2021-01-30,-40
2021-01-31,-43
2021-02-01,-39
2021-02-02,-44
2021-02-03,-42
2021-02-04,-42
2021-02-05,-39
2021-02-06,-40
2021-02-07,-35
2021-02-08,-37
2021-02-09,-42
2021-02-10,-41
2021-02-11,-37
2021-02-12,-34
2021-02-13,-33
2021-02-14,-29
2021-02-15,-36
2021-02-16,-35
2021-02-17,-38
2021-02-18,-40
2021-02-19,-35
2021-02-20,-36
2021-02-21,-30
2021-02-22,-32
2021-02-23,-37
2021-02-24,-38
2021-02-25,-37
2021-02-26,-33
2021-02-27,-36
2021-02-28,-29
2021-03-01,-33
2021-03-02,-36
2021-03-03,-36
2021-03-04,-37
2021-03-05,-33
2021-03-06,-34
2021-03-07,-28
2021-03-08,-30
2021-03-09,-33
2021-03-10,-31
2021-03-11,-34
2021-03-12,-30
2021-03-13,-29
2021-03-14,-25
2021-03-15,-26
2021-03-16,-27
2021-03-17,-27
2021-03-18,-30
2021-03-19,-25
2021-03-20,-26
2021-03-21,-22
2021-03-22,-24
2021-03-23,-24
2021-03-24,-22
2021-03-25,-27
2021-03-26,-25
2021-03-27,-28
2021-03-28,-25
2021-03-29,-23
2021-03-30,-24
2021-03-31,-22
2021-04-01,-22
2021-04-02,-47
2021-04-03,-28
2021-04-04,-25
2021-04-05,-21
2021-04-06,-24
2021-04-07,-26
2021-04-08,-26
2021-04-09,-27
2021-04-10,-26
2021-04-11,-26
2021-04-12,-23
2021-04-13,-28
2021-04-14,-25
2021-04-15,-26
2021-04-16,-24
2021-04-17,-27
2021-04-18,-28
2021-04-19,-25
2021-04-20,-27
2021-04-21,-26
2021-04-22,-27
2021-04-23,-27
2021-04-24,-27
2021-04-25,-24
2021-04-26,-22
2021-04-27,-28
2021-04-28,-26
2021-04-29,-28
2021-04-30,-24
2021-05-01,-21
2021-05-02,-21
2021-05-03,-21
2021-05-04,-24
2021-05-05,-20
2021-05-06,-20
2021-05-07,-15
2021-05-08,-15
