dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,5
2020-03-16,8
2020-03-17,8
2020-03-18,17
2020-03-19,24
2020-03-20,30
2020-03-21,35
2020-03-22,49
2020-03-23,61
2020-03-24,71
2020-03-25,105
2020-03-26,153
2020-03-27,196
2020-03-28,256
2020-03-29,306
2020-03-30,330
2020-03-31,342
2020-04-01,430
2020-04-02,488
2020-04-03,563
2020-04-04,615
2020-04-05,665
2020-04-06,680
2020-04-07,683
2020-04-08,732
2020-04-09,765
2020-04-10,792
2020-04-11,826
2020-04-12,829
2020-04-13,841
2020-04-14,845
2020-04-15,872
2020-04-16,895
2020-04-17,927
2020-04-18,953
2020-04-19,974
2020-04-20,983
2020-04-21,985
2020-04-22,1004
2020-04-23,1026
2020-04-24,1053
2020-04-25,1070
2020-04-26,1087
2020-04-27,1088
2020-04-28,1091
2020-04-29,1107
2020-04-30,1124
2020-05-01,1143
2020-05-02,1164
2020-05-03,1175
2020-05-04,1181
2020-05-05,1184
2020-05-06,1189
2020-05-07,1212
2020-05-08,1231
2020-05-09,1247
2020-05-10,1272
2020-05-11,1276
2020-05-12,1276
2020-05-13,1291
2020-05-14,1304
2020-05-15,1314
2020-05-16,1323
2020-05-17,1334
2020-05-18,1336
2020-05-19,1338
2020-05-20,1346
2020-05-21,1354
2020-05-22,1367
2020-05-23,1373
2020-05-24,1384
2020-05-25,1387
2020-05-26,1389
2020-05-27,1394
2020-05-28,1399
2020-05-29,1408
2020-05-30,1428
2020-05-31,1456
2020-06-01,1458
2020-06-02,1459
2020-06-03,1485
2020-06-04,1503
2020-06-05,1512
2020-06-06,1523
2020-06-07,1533
2020-06-08,1539
2020-06-09,1541
2020-06-10,1553
2020-06-11,1565
2020-06-12,1579
2020-06-13,1591
2020-06-14,1608
2020-06-15,1619
2020-06-16,1626
2020-06-17,1643
2020-06-18,1664
2020-06-19,1679
2020-06-20,1700
2020-06-21,1715
2020-06-22,1719
2020-06-23,1720
2020-06-24,1746
2020-06-25,1790
2020-06-26,1821
2020-06-27,1870
2020-06-28,1915
2020-06-29,1930
2020-06-30,1933
2020-07-01,2018
2020-07-02,2108
2020-07-03,2188
2020-07-04,2307
2020-07-05,2450
2020-07-06,2464
2020-07-07,2479
2020-07-08,2674
2020-07-09,2918
2020-07-10,3130
2020-07-11,3370
2020-07-12,3693
2020-07-13,3823
2020-07-14,3871
2020-07-15,4324
2020-07-16,4692
2020-07-17,5114
2020-07-18,5452
2020-07-19,5739
2020-07-20,5836
2020-07-21,5900
2020-07-22,6222
2020-07-23,6518
2020-07-24,6822
2020-07-25,7126
2020-07-26,7399
2020-07-27,7472
2020-07-28,7528
2020-07-29,7838
2020-07-30,8130
2020-07-31,8382
2020-08-01,8472
2020-08-02,8835
2020-08-03,8956
2020-08-04,8999
2020-08-05,9412
2020-08-06,9886
2020-08-07,10276
2020-08-08,10655
2020-08-09,11110
2020-08-10,11276
2020-08-11,11315
2020-08-12,11737
2020-08-13,12168
2020-08-14,12610
2020-08-15,12991
2020-08-16,13419
2020-08-17,13606
2020-08-18,13633
2020-08-19,14040
2020-08-20,14363
2020-08-21,14790
2020-08-22,15110
2020-08-23,15391
2020-08-24,15421
2020-08-25,15460
2020-08-26,15782
2020-08-27,16070
2020-08-28,16286
2020-08-29,16499
2020-08-30,16701
2020-08-31,16790
2020-09-01,16815
2020-09-02,17068
2020-09-03,17336
2020-09-04,17613
2020-09-05,17926
2020-09-06,18189
2020-09-07,18290
2020-09-08,18324
2020-09-09,18431
2020-09-10,18810
2020-09-11,19260
2020-09-12,19878
2020-09-13,20432
2020-09-14,20583
2020-09-15,20617
2020-09-16,21099
2020-09-17,21511
2020-09-18,22206
2020-09-19,22740
2020-09-20,23173
2020-09-21,23309
2020-09-22,23342
2020-09-23,23708
2020-09-24,24077
2020-09-25,24407
2020-09-26,24748
2020-09-27,25058
2020-09-28,25186
2020-09-29,25212
2020-09-30,25541
2020-10-01,25874
2020-10-02,26193
2020-10-03,26535
2020-10-04,26874
2020-10-05,27015
2020-10-06,27051
2020-10-07,27453
2020-10-08,27866
2020-10-09,28318
2020-10-10,28817
2020-10-11,29261
2020-10-12,29463
2020-10-13,29490
2020-10-14,29782
2020-10-15,30280
2020-10-16,30837
2020-10-17,31298
2020-10-18,31821
2020-10-19,32071
2020-10-20,32116
2020-10-21,32656
2020-10-22,33200
2020-10-23,33772
2020-10-24,34412
2020-10-25,35021
2020-10-26,35340
2020-10-27,35392
2020-10-28,36105
2020-10-29,36765
2020-10-30,37501
2020-10-31,38173
2020-11-01,38940
2020-11-02,39265
2020-11-03,39339
2020-11-04,40138
2020-11-05,40249
2020-11-06,41220
2020-11-07,42264
2020-11-08,43224
2020-11-09,43651
2020-11-10,43818
2020-11-11,44891
2020-11-12,45898
2020-11-13,46676
2020-11-14,47662
2020-11-15,48647
2020-11-16,49160
2020-11-17,49338
2020-11-18,50575
2020-11-19,51787
2020-11-20,53029
2020-11-21,53896
2020-11-22,54967
2020-11-23,55437
2020-11-24,55562
2020-11-25,56895
2020-11-26,58134
2020-11-27,59021
2020-11-28,59114
2020-11-29,59571
2020-11-30,59993
2020-12-01,60111
2020-12-02,61326
2020-12-03,62503
2020-12-04,63722
2020-12-05,64858
2020-12-06,65934
2020-12-07,66419
2020-12-08,66641
2020-12-09,67719
2020-12-10,68715
2020-12-11,69640
2020-12-12,70700
2020-12-13,71614
2020-12-14,72039
2020-12-15,72231
2020-12-16,73194
2020-12-17,74077
2020-12-18,74882
2020-12-19,75630
2020-12-20,76381
2020-12-21,76704
2020-12-22,76808
2020-12-23,77595
2020-12-24,78291
2020-12-25,78881
2020-12-26,79173
2020-12-27,79219
2020-12-28,79411
2020-12-29,79492
2020-12-30,80293
2020-12-31,81082
2021-01-01,81737
2021-01-02,82152
2021-01-03,82199
2021-01-04,82392
2021-01-05,82462
2021-01-06,83245
2021-01-07,83908
2021-01-08,83976
2021-01-09,84792
2021-01-10,85518
2021-01-11,85800
2021-01-12,85881
2021-01-13,86693
2021-01-14,87340
2021-01-15,88038
2021-01-16,88656
2021-01-17,89302
2021-01-18,89599
2021-01-19,89655
2021-01-20,90124
2021-01-21,90744
2021-01-22,91294
2021-01-23,91818
2021-01-24,92299
2021-01-25,92482
2021-01-26,92522
2021-01-27,93071
2021-01-28,93507
2021-01-29,93907
2021-01-30,94258
2021-01-31,94596
2021-02-01,94753
2021-02-02,94790
2021-02-03,95191
2021-02-04,95551
2021-02-05,95847
2021-02-06,96154
2021-02-07,96504
2021-02-08,96644
2021-02-09,96681
2021-02-10,97017
2021-02-11,97296
2021-02-12,97602
2021-02-13,97847
2021-02-14,98085
2021-02-15,98179
2021-02-16,98203
2021-02-17,98357
2021-02-18,98672
2021-02-19,98934
2021-02-20,99113
2021-02-21,99341
2021-02-22,99443
2021-02-23,99471
2021-02-24,99721
2021-02-25,99945
2021-02-26,100144
2021-02-27,100345
2021-02-28,100640
2021-03-01,100713
2021-03-02,100737
2021-03-03,100989
2021-03-04,101208
2021-03-05,101447
2021-03-06,101612
2021-03-07,101806
2021-03-08,101871
2021-03-09,101888
2021-03-10,102089
2021-03-11,102287
2021-03-12,102495
2021-03-13,102717
2021-03-14,102913
2021-03-15,103006
2021-03-16,103023
2021-03-17,103345
2021-03-18,103653
2021-03-19,103965
2021-03-20,104264
2021-03-21,104554
2021-03-22,104705
2021-03-23,104746
2021-03-24,105043
2021-03-25,105476
2021-03-26,105863
2021-03-27,106212
2021-03-28,106624
2021-03-29,106894
2021-03-30,106985
2021-03-31,107695
2021-04-01,108369
2021-04-02,109101
2021-04-03,109633
2021-04-04,109743
2021-04-05,110027
2021-04-06,110168
2021-04-07,111695
2021-04-08,112918
2021-04-09,114017
2021-04-10,115388
2021-04-11,116740
2021-04-12,117356
2021-04-13,117546
2021-04-14,119107
2021-04-15,120345
2021-04-16,121581
2021-04-17,122941
2021-04-18,124049
2021-04-19,124538
2021-04-20,124675
2021-04-21,125947
2021-04-22,127020
2021-04-23,127990
2021-04-24,128859
2021-04-25,129645
2021-04-26,129968
2021-04-27,130057
2021-04-28,130883
2021-04-29,131585
2021-04-30,132125
2021-05-01,132704
2021-05-02,133270
2021-05-03,133487
2021-05-04,133536
2021-05-05,134014
2021-05-06,134411
2021-05-07,134787
2021-05-08,135129
2021-05-09,135410
2021-05-10,135536
2021-05-11,135563
2021-05-12,135869
2021-05-13,136125
2021-05-14,136358
2021-05-15,136572
2021-05-16,136773
2021-05-17,136851
2021-05-18,136866
2021-05-19,137077
2021-05-20,137261
2021-05-21,137465
2021-05-22,137615
2021-05-23,137779
2021-05-24,137840
2021-05-25,137850
2021-05-26,138013
2021-05-27,138134
2021-05-28,138245
2021-05-29,138349
2021-05-30,138438
2021-05-31,138490
2021-06-01,138499
2021-06-02,138558
2021-06-03,138644
2021-06-04,138703
2021-06-05,138773
2021-06-06,138846
2021-06-07,138877
2021-06-08,138887
2021-06-09,138949
2021-06-10,139012
2021-06-11,139067
2021-06-12,139116
2021-06-13,139174
2021-06-14,139209
2021-06-15,139218
2021-06-16,139300
2021-06-17,139368
2021-06-18,139420
2021-06-19,139459
2021-06-20,139503
2021-06-21,139523
2021-06-22,139531
2021-06-23,139591
2021-06-24,139643
2021-06-25,139686
2021-06-26,139738
2021-06-27,139780
2021-06-28,139800
2021-06-29,139809
