dates,count_medicalconditionincident_covid_19_patientinicu
2020-03-14,10
2020-03-15,9
2020-03-16,18
2020-03-17,17
2020-03-18,20
2020-03-19,20
2020-03-20,26
2020-03-21,35
2020-03-22,41
2020-03-23,47
2020-03-24,48
2020-03-25,61
2020-03-26,61
2020-03-27,71
2020-03-28,89
2020-03-29,138
2020-03-30,164
2020-03-31,188
2020-04-01,230
2020-04-02,240
2020-04-03,245
2020-04-04,251
2020-04-05,267
2020-04-06,270
2020-04-07,271
2020-04-08,245
2020-04-09,241
2020-04-10,226
2020-04-11,233
2020-04-12,228
2020-04-13,188
2020-04-14,218
2020-04-15,208
2020-04-16,229
2020-04-17,222
2020-04-18,228
2020-04-19,224
2020-04-20,215
2020-04-21,213
2020-04-22,207
2020-04-23,204
2020-04-24,188
2020-04-25,186
2020-04-26,182
2020-04-27,176
2020-04-28,172
2020-04-29,169
2020-04-30,172
2020-05-01,154
2020-05-02,150
2020-05-03,144
2020-05-04,143
2020-05-05,134
2020-05-06,136
2020-05-07,135
2020-05-08,127
2020-05-09,120
2020-05-10,112
2020-05-11,112
2020-05-12,113
2020-05-13,103
2020-05-14,108
2020-05-15,112
2020-05-16,115
2020-05-17,108
2020-05-18,105
2020-05-19,101
2020-05-20,93
2020-05-21,92
2020-05-22,84
2020-05-23,80
2020-05-24,78
2020-05-25,72
2020-05-26,71
2020-05-27,66
2020-05-28,65
2020-05-29,66
2020-05-30,63
2020-05-31,64
2020-06-01,64
2020-06-02,58
2020-06-03,56
2020-06-04,58
2020-06-05,58
2020-06-06,57
2020-06-07,58
2020-06-08,55
2020-06-09,65
2020-06-10,70
2020-06-11,70
2020-06-12,73
2020-06-13,77
2020-06-14,73
2020-06-15,73
2020-06-16,71
2020-06-17,69
2020-06-18,67
2020-06-19,67
2020-06-20,70
2020-06-21,69
2020-06-22,72
2020-06-23,72
2020-06-24,73
2020-06-25,67
2020-06-26,67
2020-06-27,70
2020-06-28,75
2020-06-29,71
2020-06-30,73
2020-07-01,79
2020-07-02,77
2020-07-03,72
2020-07-04,73
2020-07-05,73
2020-07-06,74
2020-07-07,76
2020-07-08,74
2020-07-09,73
2020-07-10,66
2020-07-11,68
2020-07-12,64
2020-07-13,63
2020-07-14,69
2020-07-15,68
2020-07-16,72
2020-07-17,67
2020-07-18,65
2020-07-19,61
2020-07-20,61
2020-07-21,62
2020-07-22,59
2020-07-23,59
2020-07-24,52
2020-07-25,50
2020-07-26,48
2020-07-27,45
2020-07-28,41
2020-07-29,43
2020-07-30,42
2020-07-31,41
2020-08-01,40
2020-08-02,41
2020-08-03,42
2020-08-04,44
2020-08-05,41
2020-08-06,42
2020-08-07,36
2020-08-08,33
2020-08-09,33
2020-08-10,29
2020-08-11,35
2020-08-12,40
2020-08-13,39
2020-08-14,41
2020-08-15,37
2020-08-16,39
2020-08-17,39
2020-08-18,38
2020-08-19,35
2020-08-20,39
2020-08-21,41
2020-08-22,42
2020-08-23,47
2020-08-24,44
2020-08-25,41
2020-08-26,38
2020-08-27,35
2020-08-28,38
2020-08-29,40
2020-08-30,41
2020-08-31,41
2020-09-01,44
2020-09-02,41
2020-09-03,44
2020-09-04,40
2020-09-05,41
2020-09-06,43
2020-09-07,49
2020-09-08,50
2020-09-09,52
2020-09-10,57
2020-09-11,54
2020-09-12,59
2020-09-13,57
2020-09-14,61
2020-09-15,59
2020-09-16,61
2020-09-17,59
2020-09-18,57
2020-09-19,64
2020-09-20,63
2020-09-21,61
2020-09-22,70
2020-09-23,77
2020-09-24,85
2020-09-25,86
2020-09-26,85
2020-09-27,89
2020-09-28,98
2020-09-29,99
2020-09-30,105
2020-10-01,107
2020-10-02,107
2020-10-03,106
2020-10-04,105
2020-10-05,106
2020-10-06,104
2020-10-07,104
2020-10-08,115
2020-10-09,125
2020-10-10,122
2020-10-11,124
2020-10-12,128
2020-10-13,132
2020-10-14,135
2020-10-15,139
2020-10-16,144
2020-10-17,148
2020-10-18,155
2020-10-19,165
2020-10-20,176
2020-10-21,187
2020-10-22,200
2020-10-23,198
2020-10-24,221
2020-10-25,230
2020-10-26,240
2020-10-27,253
2020-10-28,262
2020-10-29,269
2020-10-30,275
2020-10-31,286
2020-11-01,284
2020-11-02,294
2020-11-03,320
2020-11-04,325
2020-11-05,320
2020-11-06,340
2020-11-07,366
2020-11-08,378
2020-11-09,391
2020-11-10,382
2020-11-11,391
2020-11-12,383
2020-11-13,388
2020-11-14,413
2020-11-15,415
2020-11-16,426
2020-11-17,431
2020-11-18,432
2020-11-19,458
2020-11-20,481
2020-11-21,485
2020-11-22,491
2020-11-23,498
2020-11-24,506
2020-11-25,517
2020-11-26,516
2020-11-27,526
2020-11-28,529
2020-11-29,536
2020-11-30,525
2020-12-01,521
2020-12-02,525
2020-12-03,525
2020-12-04,526
2020-12-05,517
2020-12-06,514
2020-12-07,513
2020-12-08,499
2020-12-09,504
2020-12-10,509
2020-12-11,507
2020-12-12,503
2020-12-13,513
2020-12-14,513
2020-12-15,506
2020-12-16,486
2020-12-17,494
2020-12-18,484
2020-12-19,485
2020-12-20,483
2020-12-21,502
2020-12-22,508
2020-12-23,511
2020-12-24,505
2020-12-25,504
2020-12-26,513
2020-12-27,504
2020-12-28,503
2020-12-29,486
2020-12-30,487
2020-12-31,482
2021-01-01,483
2021-01-02,492
2021-01-03,500
2021-01-04,510
2021-01-05,512
2021-01-06,513
2021-01-07,514
2021-01-08,536
2021-01-09,540
2021-01-10,558
2021-01-11,567
2021-01-12,599
2021-01-13,596
2021-01-14,611
2021-01-15,622
2021-01-16,638
2021-01-17,647
2021-01-18,664
2021-01-19,670
2021-01-20,681
2021-01-21,702
2021-01-22,715
2021-01-23,720
2021-01-24,742
2021-01-25,767
2021-01-26,765
2021-01-27,783
2021-01-28,782
2021-01-29,806
2021-01-30,843
2021-01-31,858
2021-02-01,865
2021-02-02,852
2021-02-03,877
2021-02-04,863
2021-02-05,904
2021-02-06,891
2021-02-07,865
2021-02-08,877
2021-02-09,862
2021-02-10,853
2021-02-11,836
2021-02-12,846
2021-02-13,803
2021-02-14,795
2021-02-15,784
2021-02-16,752
2021-02-17,719
2021-02-18,688
2021-02-19,669
2021-02-20,656
2021-02-21,638
2021-02-22,627
2021-02-23,597
2021-02-24,567
2021-02-25,536
2021-02-26,522
2021-02-27,492
2021-02-28,484
2021-03-01,469
2021-03-02,446
2021-03-03,415
2021-03-04,399
2021-03-05,383
2021-03-06,363
2021-03-07,354
2021-03-08,342
2021-03-09,312
2021-03-10,283
2021-03-11,273
2021-03-12,266
2021-03-13,253
2021-03-14,242
2021-03-15,231
2021-03-16,213
2021-03-17,205
2021-03-18,187
2021-03-19,182
2021-03-20,170
2021-03-21,170
2021-03-22,165
2021-03-23,159
2021-03-24,155
2021-03-25,154
2021-03-26,155
2021-03-27,148
2021-03-28,142
2021-03-29,136
2021-03-30,129
2021-03-31,127
2021-04-01,129
2021-04-02,131
2021-04-03,126
2021-04-04,117
2021-04-05,112
2021-04-06,113
2021-04-07,116
2021-04-08,122
2021-04-09,128
2021-04-10,119
2021-04-11,113
2021-04-12,119
2021-04-13,118
2021-04-14,116
2021-04-15,109
2021-04-16,101
2021-04-17,103
2021-04-18,109
2021-04-19,112
2021-04-20,113
2021-04-21,110
2021-04-22,104
2021-04-23,98
2021-04-24,98
2021-04-25,98
2021-04-26,91
2021-04-27,86
2021-04-28,88
2021-04-29,89
2021-04-30,89
2021-05-01,84
2021-05-02,85
2021-05-03,90
2021-05-04,87
2021-05-05,83
2021-05-06,77
2021-05-07,75
2021-05-08,74
2021-05-09,74
2021-05-10,73
2021-05-11,71
2021-05-12,71
2021-05-13,70
2021-05-14,72
2021-05-15,71
2021-05-16,76
2021-05-17,72
2021-05-18,66
2021-05-19,56
2021-05-20,58
2021-05-21,55
2021-05-22,59
2021-05-23,58
2021-05-24,57
2021-05-25,52
2021-05-26,53
2021-05-27,53
2021-05-28,52
2021-05-29,49
2021-05-30,54
2021-05-31,52
2021-06-01,50
2021-06-02,53
2021-06-03,52
2021-06-04,53
2021-06-05,51
2021-06-06,52
2021-06-07,59
2021-06-08,66
2021-06-09,70
2021-06-10,72
2021-06-11,72
2021-06-12,77
2021-06-13,82
2021-06-14,77
2021-06-15,79
2021-06-16,83
2021-06-17,88
2021-06-18,94
2021-06-19,99
2021-06-20,97
2021-06-21,97
2021-06-22,101
2021-06-23,100
2021-06-24,106
2021-06-25,108
2021-06-26,113
2021-06-27,116
2021-06-28,115
2021-06-29,119
2021-06-30,120
2021-07-01,113
2021-07-02,118
2021-07-03,122
2021-07-04,128
2021-07-05,136
2021-07-06,133
2021-07-07,130
2021-07-08,136
2021-07-09,141
2021-07-10,144
2021-07-11,153
2021-07-12,163
2021-07-13,161
2021-07-14,171
2021-07-15,174
2021-07-16,171
2021-07-17,173
2021-07-18,176
2021-07-19,181
2021-07-20,177
2021-07-21,171
2021-07-22,178
2021-07-23,178
2021-07-24,181
2021-07-25,193
2021-07-26,198
2021-07-27,200
2021-07-28,200
2021-07-29,208
2021-07-30,199
2021-07-31,195
2021-08-01,200
2021-08-02,203
2021-08-03,204
2021-08-04,204
2021-08-05,196
2021-08-06,194
2021-08-07,186
2021-08-08,184
2021-08-09,189
2021-08-10,186
2021-08-11,181
2021-08-12,169
2021-08-13,162
2021-08-14,161
2021-08-15,157
2021-08-16,154
2021-08-17,144
2021-08-18,139
2021-08-19,141
2021-08-20,143
2021-08-21,145
2021-08-22,152
2021-08-23,151
2021-08-24,148
2021-08-25,144
2021-08-26,150
2021-08-27,144
2021-08-28,143
2021-08-29,148
2021-08-30,149
2021-08-31,136
2021-09-01,131
2021-09-02,140
2021-09-03,136
2021-09-04,139
2021-09-05,138
2021-09-06,140
2021-09-07,135
2021-09-08,135
2021-09-09,127
2021-09-10,118
2021-09-11,121
2021-09-12,120
2021-09-13,119
2021-09-14,116
2021-09-15,119
2021-09-16,103
2021-09-17,97
2021-09-18,90
2021-09-19,86
2021-09-20,82
2021-09-21,78
2021-09-22,78
2021-09-23,75
2021-09-24,76
2021-09-25,83
2021-09-26,83
2021-09-27,79
2021-09-28,74
2021-09-29,68
2021-09-30,66
2021-10-01,67
2021-10-02,65
2021-10-03,69
2021-10-04,68
2021-10-05,62
2021-10-06,60
2021-10-07,57
2021-10-08,52
2021-10-09,55
2021-10-10,55
2021-10-11,58
2021-10-12,56
2021-10-13,54
2021-10-14,56
2021-10-15,55
2021-10-16,59
2021-10-17,61
2021-10-18,62
2021-10-19,60
2021-10-20,58
2021-10-21,58
2021-10-22,60
2021-10-23,55
2021-10-24,52
2021-10-25,59
2021-10-26,62
2021-10-27,61
2021-10-28,60
2021-10-29,65
2021-10-30,64
2021-10-31,59
2021-11-01,60
2021-11-02,59
2021-11-03,67
2021-11-04,73
2021-11-05,66
2021-11-06,62
2021-11-07,64
2021-11-08,62
2021-11-09,60
2021-11-10,62
