dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-01,25
2020-03-02,70
2020-03-03,131
2020-03-04,171
2020-03-05,251
2020-03-06,332
2020-03-07,411
2020-03-08,495
2020-03-09,670
2020-03-10,976
2020-03-11,1556
2020-03-12,2494
2020-03-13,4045
2020-03-14,5298
2020-03-15,6249
2020-03-16,7932
2020-03-17,10236
2020-03-18,12701
2020-03-19,15199
2020-03-20,18414
2020-03-21,20930
2020-03-22,23039
2020-03-23,27220
2020-03-24,32247
2020-03-25,37566
2020-03-26,44260
2020-03-27,52173
2020-03-28,59066
2020-03-29,64098
2020-03-30,72084
2020-03-31,80046
2020-04-01,88696
2020-04-02,97995
2020-04-03,107474
2020-04-04,116632
2020-04-05,123348
2020-04-06,132717
2020-04-07,143340
2020-04-08,155031
2020-04-09,167240
2020-04-10,177456
2020-04-11,186577
2020-04-12,191787
2020-04-13,200731
2020-04-14,212651
2020-04-15,226300
2020-04-16,239774
2020-04-17,254494
2020-04-18,267289
2020-04-19,276791
2020-04-20,287880
2020-04-21,302810
2020-04-22,318341
2020-04-23,333524
2020-04-24,348341
2020-04-25,361787
2020-04-26,370028
2020-04-27,382235
2020-04-28,397751
2020-04-29,412525
2020-04-30,428963
2020-05-01,441636
2020-05-02,452219
2020-05-03,460659
2020-05-04,472548
2020-05-05,488705
2020-05-06,504479
2020-05-07,520512
2020-05-08,535940
2020-05-09,549462
2020-05-10,556969
2020-05-11,569706
2020-05-12,586350
2020-05-13,604565
2020-05-14,622894
2020-05-15,643492
2020-05-16,659486
2020-05-17,668456
2020-05-18,680564
2020-05-19,696759
2020-05-20,712201
2020-05-21,727547
2020-05-22,742731
2020-05-23,753514
2020-05-24,759328
2020-05-25,771258
2020-05-26,786363
2020-05-27,803584
2020-05-28,820547
2020-05-29,836682
2020-05-30,849332
2020-05-31,855879
2020-06-01,867514
2020-06-02,883154
2020-06-03,900384
2020-06-04,917591
2020-06-05,932900
2020-06-06,944336
2020-06-07,950950
2020-06-08,962160
2020-06-09,975681
2020-06-10,983389
2020-06-11,988153
2020-06-12,999066
2020-06-13,1007039
2020-06-14,1011793
2020-06-15,1023036
2020-06-16,1037801
2020-06-17,1052868
2020-06-18,1066559
2020-06-19,1081272
2020-06-20,1090308
2020-06-21,1096953
2020-06-22,1108979
2020-06-23,1124863
2020-06-24,1138788
2020-06-25,1152367
2020-06-26,1168133
2020-06-27,1178485
2020-06-28,1184838
2020-06-29,1197379
2020-06-30,1213284
2020-07-01,1229740
2020-07-02,1245275
2020-07-03,1260187
2020-07-04,1273082
2020-07-05,1280126
2020-07-06,1292333
2020-07-07,1309023
2020-07-08,1326203
2020-07-09,1341461
2020-07-10,1357268
2020-07-11,1369504
2020-07-12,1376134
2020-07-13,1389313
2020-07-14,1407557
2020-07-15,1423731
2020-07-16,1439402
2020-07-17,1455468
2020-07-18,1467990
2020-07-19,1475526
2020-07-20,1489188
2020-07-21,1506400
2020-07-22,1522147
2020-07-23,1537906
2020-07-24,1553152
2020-07-25,1564987
2020-07-26,1571409
2020-07-27,1584742
2020-07-28,1601697
2020-07-29,1618409
2020-07-30,1633147
2020-07-31,1648558
2020-08-01,1660708
2020-08-02,1667828
2020-08-03,1682148
2020-08-04,1699438
2020-08-05,1716598
2020-08-06,1731171
2020-08-07,1746114
2020-08-08,1756912
2020-08-09,1765293
2020-08-10,1778370
2020-08-11,1795482
2020-08-12,1811820
2020-08-13,1826605
2020-08-14,1842918
2020-08-15,1853540
2020-08-16,1861560
2020-08-17,1875922
2020-08-18,1894464
2020-08-19,1911284
2020-08-20,1925628
2020-08-21,1940450
2020-08-22,1951952
2020-08-23,1960366
2020-08-24,1974262
2020-08-25,1992202
2020-08-26,2008571
2020-08-27,2023568
2020-08-28,2040220
2020-08-29,2052270
2020-08-30,2060532
2020-08-31,2076192
2020-09-01,2095137
2020-09-02,2113266
2020-09-03,2130429
2020-09-04,2147890
2020-09-05,2161813
2020-09-06,2171303
2020-09-07,2186985
2020-09-08,2208088
2020-09-09,2229812
2020-09-10,2249785
2020-09-11,2272063
2020-09-12,2288591
2020-09-13,2300687
2020-09-14,2320088
2020-09-15,2343802
2020-09-16,2367667
2020-09-17,2389366
2020-09-18,2411474
2020-09-19,2427645
2020-09-20,2438739
2020-09-21,2458617
2020-09-22,2482438
2020-09-23,2505215
2020-09-24,2526557
2020-09-25,2550801
2020-09-26,2568030
2020-09-27,2579442
2020-09-28,2599691
2020-09-29,2626242
2020-09-30,2652552
2020-10-01,2677082
2020-10-02,2701780
2020-10-03,2719373
2020-10-04,2731259
2020-10-05,2743047
2020-10-06,2766238
2020-10-07,2795512
2020-10-08,2823258
