dates,covid19mobilitytrend_localbusiness
2020-02-15,-3
2020-02-16,-7
2020-02-17,0
2020-02-18,-3
2020-02-19,-4
2020-02-20,-1
2020-02-21,-4
2020-02-22,-2
2020-02-23,-3
2020-02-24,1
2020-02-25,-7
2020-02-26,-4
2020-02-27,0
2020-02-28,2
2020-02-29,4
2020-03-01,2
2020-03-02,4
2020-03-03,2
2020-03-04,0
2020-03-05,2
2020-03-06,1
2020-03-07,3
2020-03-08,0
2020-03-09,0
2020-03-10,-1
2020-03-11,-13
2020-03-12,-14
2020-03-13,-20
2020-03-14,-27
2020-03-15,-41
2020-03-16,-35
2020-03-17,-41
2020-03-18,-48
2020-03-19,-48
2020-03-20,-48
2020-03-21,-69
2020-03-22,-74
2020-03-23,-69
2020-03-24,-72
2020-03-25,-72
2020-03-26,-70
2020-03-27,-70
2020-03-28,-70
2020-03-29,-68
2020-03-30,-55
2020-03-31,-52
2020-04-01,-59
2020-04-02,-61
2020-04-03,-64
2020-04-04,-70
2020-04-05,-73
2020-04-06,-70
2020-04-07,-66
2020-04-08,-67
2020-04-09,-75
2020-04-10,-87
2020-04-11,-75
2020-04-12,-70
2020-04-13,-60
2020-04-14,-57
2020-04-15,-60
2020-04-16,-57
2020-04-17,-58
2020-04-18,-62
2020-04-19,-65
2020-04-20,-54
2020-04-21,-54
2020-04-22,-55
2020-04-23,-55
2020-04-24,-56
2020-04-25,-59
2020-04-26,-64
2020-04-27,-51
2020-04-28,-49
2020-04-29,-50
2020-04-30,-43
2020-05-01,-70
2020-05-02,-56
2020-05-03,-60
2020-05-04,-42
2020-05-05,-43
2020-05-06,-43
2020-05-07,-41
2020-05-08,-44
2020-05-09,-47
2020-05-10,-54
2020-05-11,-38
2020-05-12,-44
2020-05-13,-35
2020-05-14,-38
2020-05-15,-62
2020-05-16,-51
2020-05-17,-56
2020-05-18,-36
2020-05-19,-37
2020-05-20,-38
2020-05-21,-41
2020-05-22,-49
2020-05-23,-47
2020-05-24,-53
2020-05-25,-33
2020-05-26,-34
2020-05-27,-34
2020-05-28,-31
2020-05-29,-33
2020-05-30,-35
2020-05-31,-50
2020-06-01,-33
2020-06-02,-30
2020-06-03,-32
2020-06-04,-43
2020-06-05,-42
2020-06-06,-34
2020-06-07,-43
2020-06-08,-28
2020-06-09,-31
2020-06-10,-30
2020-06-11,-25
2020-06-12,-43
2020-06-13,-39
2020-06-14,-44
2020-06-15,-25
2020-06-16,-25
2020-06-17,-27
2020-06-18,-27
2020-06-19,-28
2020-06-20,-25
2020-06-21,-36
2020-06-22,-28
2020-06-23,-28
2020-06-24,-31
2020-06-25,-35
2020-06-26,-36
2020-06-27,-33
2020-06-28,-42
2020-06-29,-28
2020-06-30,-29
2020-07-01,-28
