dates,covid19mobilitytrend_park
2020-02-15,-13
2020-02-16,-25
2020-02-17,0
2020-02-18,-8
2020-02-19,-3
2020-02-20,0
2020-02-21,-8
2020-02-22,-7
2020-02-23,-14
2020-02-24,3
2020-02-25,-16
2020-02-26,-6
2020-02-27,1
2020-02-28,-2
2020-02-29,-6
2020-03-01,-12
2020-03-02,1
2020-03-03,-2
2020-03-04,-2
2020-03-05,0
2020-03-06,-6
2020-03-07,-7
2020-03-08,-11
2020-03-09,-2
2020-03-10,-4
2020-03-11,-14
2020-03-12,-15
2020-03-13,-24
2020-03-14,-32
2020-03-15,-49
2020-03-16,-37
2020-03-17,-41
2020-03-18,-50
2020-03-19,-49
2020-03-20,-51
2020-03-21,-68
2020-03-22,-76
2020-03-23,-63
2020-03-24,-66
2020-03-25,-65
2020-03-26,-62
2020-03-27,-65
2020-03-28,-68
2020-03-29,-71
2020-03-30,-52
2020-03-31,-52
2020-04-01,-56
2020-04-02,-58
2020-04-03,-60
2020-04-04,-68
2020-04-05,-75
2020-04-06,-65
2020-04-07,-62
2020-04-08,-61
2020-04-09,-66
2020-04-10,-78
2020-04-11,-71
2020-04-12,-72
2020-04-13,-57
2020-04-14,-55
2020-04-15,-55
2020-04-16,-53
2020-04-17,-56
2020-04-18,-62
2020-04-19,-70
2020-04-20,-51
2020-04-21,-52
2020-04-22,-52
2020-04-23,-50
2020-04-24,-56
2020-04-25,-60
2020-04-26,-68
2020-04-27,-50
2020-04-28,-50
2020-04-29,-49
2020-04-30,-43
2020-05-01,-66
2020-05-02,-60
2020-05-03,-67
2020-05-04,-42
2020-05-05,-46
2020-05-06,-45
2020-05-07,-41
2020-05-08,-46
2020-05-09,-52
2020-05-10,-61
2020-05-11,-41
2020-05-12,-51
2020-05-13,-41
2020-05-14,-42
2020-05-15,-57
2020-05-16,-54
2020-05-17,-61
2020-05-18,-37
2020-05-19,-38
2020-05-20,-36
2020-05-21,-41
2020-05-22,-55
2020-05-23,-54
2020-05-24,-58
2020-05-25,-36
2020-05-26,-37
2020-05-27,-35
2020-05-28,-31
2020-05-29,-36
2020-05-30,-41
2020-05-31,-61
2020-06-01,-40
2020-06-02,-36
2020-06-03,-33
2020-06-04,-51
2020-06-05,-52
2020-06-06,-45
2020-06-07,-52
2020-06-08,-32
2020-06-09,-35
2020-06-10,-33
2020-06-11,-27
2020-06-12,-41
2020-06-13,-48
2020-06-14,-52
2020-06-15,-27
2020-06-16,-28
2020-06-17,-27
2020-06-18,-27
2020-06-19,-32
2020-06-20,-34
2020-06-21,-46
2020-06-22,-26
2020-06-23,-28
2020-06-24,-30
2020-06-25,-39
2020-06-26,-42
2020-06-27,-41
2020-06-28,-49
2020-06-29,-32
2020-06-30,-37
2020-07-01,-33
2020-07-02,-33
2020-07-03,-36
2020-07-04,-36
2020-07-05,-48
2020-07-06,-33
2020-07-07,-51
2020-07-08,-43
2020-07-09,-33
2020-07-10,-34
2020-07-11,-35
2020-07-12,-44
2020-07-13,-31
2020-07-14,-33
2020-07-15,-31
2020-07-16,-26
2020-07-17,-32
2020-07-18,-32
2020-07-19,-37
2020-07-20,-24
2020-07-21,-26
2020-07-22,-25
2020-07-23,-23
2020-07-24,-41
2020-07-25,-40
2020-07-26,-44
2020-07-27,-24
2020-07-28,-38
2020-07-29,-31
2020-07-30,-26
2020-07-31,-31
2020-08-01,-29
2020-08-02,-36
2020-08-03,-22
2020-08-04,-23
2020-08-05,-22
2020-08-06,-19
2020-08-07,-26
2020-08-08,-28
2020-08-09,-30
2020-08-10,-16
2020-08-11,-25
2020-08-12,-40
2020-08-13,-29
2020-08-14,-31
2020-08-15,-37
2020-08-16,-39
2020-08-17,-25
2020-08-18,-32
2020-08-19,-32
2020-08-20,-36
2020-08-21,-40
2020-08-22,-41
2020-08-23,-49
2020-08-24,-26
2020-08-25,-27
2020-08-26,-28
2020-08-27,-25
2020-08-28,-30
2020-08-29,-35
2020-08-30,-50
2020-08-31,-26
2020-09-01,-28
2020-09-02,-32
2020-09-03,-29
2020-09-04,-33
2020-09-05,-34
2020-09-06,-45
2020-09-07,-33
2020-09-08,-30
2020-09-09,-27
2020-09-10,-23
2020-09-11,-30
2020-09-12,-34
2020-09-13,-39
2020-09-14,-34
2020-09-15,-32
2020-09-16,-35
2020-09-17,-29
2020-09-18,-32
2020-09-19,-35
2020-09-20,-42
2020-09-21,-27
2020-09-22,-32
2020-09-23,-35
2020-09-24,-32
2020-09-25,-37
2020-09-26,-37
2020-09-27,-46
2020-09-28,-30
2020-09-29,-31
2020-09-30,-33
2020-10-01,-35
2020-10-02,-36
2020-10-03,-36
2020-10-04,-36
2020-10-05,-25
2020-10-06,-25
2020-10-07,-27
2020-10-08,-29
2020-10-09,-34
2020-10-10,-29
2020-10-11,-27
2020-10-12,-23
2020-10-13,-30
2020-10-14,-40
2020-10-15,-30
2020-10-16,-29
2020-10-17,-28
2020-10-18,-28
2020-10-19,-23
2020-10-20,-26
2020-10-21,-22
2020-10-22,-18
2020-10-23,-24
2020-10-24,-24
2020-10-25,-25
2020-10-26,-31
2020-10-27,-21
2020-10-28,-22
2020-10-29,-26
2020-10-30,-27
2020-10-31,-23
2020-11-01,-23
2020-11-02,-18
2020-11-03,-22
2020-11-04,-23
2020-11-05,-21
2020-11-06,-26
2020-11-07,-25
2020-11-08,-35
2020-11-09,-43
2020-11-10,-37
2020-11-11,-26
2020-11-12,-25
2020-11-13,-28
2020-11-14,-30
2020-11-15,-48
2020-11-16,-26
2020-11-17,-29
2020-11-18,-33
2020-11-19,-23
2020-11-20,-28
2020-11-21,-26
2020-11-22,-27
2020-11-23,-22
2020-11-24,-24
2020-11-25,-24
2020-11-26,-46
2020-11-27,-29
2020-11-28,-28
2020-11-29,-37
2020-11-30,-39
2020-12-01,-24
2020-12-02,-30
2020-12-03,-36
2020-12-04,-49
2020-12-05,-33
2020-12-06,-32
2020-12-07,-16
2020-12-08,-28
2020-12-09,-26
2020-12-10,-22
2020-12-11,-28
2020-12-12,-28
2020-12-13,-46
2020-12-14,-26
2020-12-15,-23
2020-12-16,-44
2020-12-17,-20
2020-12-18,-28
2020-12-19,-28
2020-12-20,-49
2020-12-21,-16
2020-12-22,-17
2020-12-23,-15
2020-12-24,-19
2020-12-25,-36
2020-12-26,-33
2020-12-27,-32
2020-12-28,-21
2020-12-29,-22
2020-12-30,-18
2020-12-31,-22
2021-01-01,-19
2021-01-02,-24
2021-01-03,-24
2021-01-04,-24
2021-01-05,-28
2021-01-06,-32
2021-01-07,-28
2021-01-08,-29
2021-01-09,-41
2021-01-10,-34
2021-01-11,-21
2021-01-12,-37
2021-01-13,-30
2021-01-14,-30
2021-01-15,-35
2021-01-16,-40
2021-01-17,-54
2021-01-18,-29
2021-01-19,-31
2021-01-20,-32
2021-01-21,-32
2021-01-22,-41
2021-01-23,-39
2021-01-24,-42
2021-01-25,-32
2021-01-26,-39
2021-01-27,-35
2021-01-28,-38
2021-01-29,-35
2021-01-30,-34
2021-01-31,-45
2021-02-01,-35
2021-02-02,-42
2021-02-03,-34
2021-02-04,-26
2021-02-05,-29
2021-02-06,-27
2021-02-07,-27
2021-02-08,-22
2021-02-09,-26
2021-02-10,-35
2021-02-11,-30
2021-02-12,-33
2021-02-13,-28
2021-02-14,-28
2021-02-15,-25
2021-02-16,-27
2021-02-17,-27
2021-02-18,-24
2021-02-19,-29
2021-02-20,-29
2021-02-21,-31
2021-02-22,-25
2021-02-23,-28
2021-02-24,-29
2021-02-25,-28
2021-02-26,-27
2021-02-27,-25
2021-02-28,-25
2021-03-01,-19
2021-03-02,-27
2021-03-03,-34
2021-03-04,-30
2021-03-05,-31
2021-03-06,-30
2021-03-07,-31
2021-03-08,-22
2021-03-09,-25
2021-03-10,-28
2021-03-11,-26
2021-03-12,-31
2021-03-13,-32
2021-03-14,-36
2021-03-15,-30
2021-03-16,-31
2021-03-17,-43
2021-03-18,-33
2021-03-19,-38
2021-03-20,-38
2021-03-21,-61
2021-03-22,-34
2021-03-23,-35
2021-03-24,-35
2021-03-25,-32
2021-03-26,-36
2021-03-27,-55
2021-03-28,-66
2021-03-29,-45
2021-03-30,-40
2021-03-31,-39
2021-04-01,-50
2021-04-02,-61
2021-04-03,-51
2021-04-04,-54
2021-04-05,-36
2021-04-06,-39
2021-04-07,-34
2021-04-08,-31
2021-04-09,-37
2021-04-10,-37
2021-04-11,-56
2021-04-12,-35
2021-04-13,-35
2021-04-14,-34
2021-04-15,-37
2021-04-16,-43
2021-04-17,-38
2021-04-18,-42
2021-04-19,-31
2021-04-20,-34
2021-04-21,-33
2021-04-22,-39
2021-04-23,-42
2021-04-24,-60
2021-04-25,-50
2021-04-26,-35
2021-04-27,-37
2021-04-28,-38
2021-04-29,-33
2021-04-30,-35
2021-05-01,-41
2021-05-02,-41
2021-05-03,-28
2021-05-04,-35
2021-05-05,-46
2021-05-06,-47
