dates,cumulativecount_vaccine_covid_19_administered
2021-02-22,200
2021-02-23,546
2021-02-24,1001
2021-02-25,1361
2021-02-26,1521
2021-02-28,1522
2021-03-01,1523
2021-03-02,1634
2021-03-03,1702
2021-03-04,1733
2021-03-05,1783
2021-03-06,1784
2021-03-08,1884
2021-03-09,1934
2021-03-10,2895
2021-03-11,4726
2021-03-12,7864
2021-03-13,9932
2021-03-14,11667
2021-03-15,12103
2021-03-16,13129
2021-03-17,14007
2021-03-18,14545
2021-03-19,14785
2021-03-20,14790
2021-03-21,14793
2021-03-22,14821
2021-03-23,19062
2021-03-24,24815
2021-03-25,30791
2021-03-26,35917
2021-03-27,38279
2021-03-28,39227
2021-03-29,42575
2021-03-30,44982
2021-03-31,46348
2021-04-01,46419
2021-04-03,46728
2021-04-04,46731
2021-04-05,47292
2021-04-06,47970
2021-04-07,49365
2021-04-08,51527
2021-04-09,53967
2021-04-10,56053
2021-04-11,57754
2021-04-12,62422
2021-04-13,70770
2021-04-14,78722
2021-04-15,85894
2021-04-16,91464
2021-04-17,92691
2021-04-18,93056
2021-04-19,95615
2021-04-20,97806
2021-04-21,99599
2021-04-22,101290
2021-04-23,102677
2021-04-24,102933
2021-04-25,103070
2021-04-26,104139
2021-04-27,109255
2021-04-28,116585
2021-04-29,126375
2021-04-30,134680
2021-05-01,135374
2021-05-02,135915
2021-05-03,143597
2021-05-04,151011
2021-05-05,158538
2021-05-06,164978
2021-05-07,170832
2021-05-08,171954
2021-05-09,172797
2021-05-10,184880
2021-05-11,199199
2021-05-12,214439
2021-05-13,232673
2021-05-14,242213
2021-05-15,244012
2021-05-16,246156
2021-05-17,258364
2021-05-18,279316
2021-05-19,299231
2021-05-20,318803
2021-05-21,335822
2021-05-22,344560
2021-05-23,344679
2021-05-24,353582
2021-05-25,364261
2021-05-26,379957
2021-05-27,398806
2021-05-28,414365
2021-05-29,417613
2021-05-30,418574
2021-05-31,436936
2021-06-01,453294
2021-06-02,468574
2021-06-03,484707
2021-06-04,500838
2021-06-05,506340
2021-06-06,507894
2021-06-07,523447
2021-06-08,536151
2021-06-09,548438
2021-06-10,563565
2021-06-11,579647
2021-06-12,603497
2021-06-13,629791
2021-06-14,657479
2021-06-15,681847
2021-06-16,702008
2021-06-17,730179
2021-06-18,751509
2021-06-19,756172
2021-06-20,757066
2021-06-21,783408
2021-06-22,809524
2021-06-23,836174
2021-06-24,848192
2021-06-25,865093
2021-06-26,871066
2021-06-27,873949
2021-06-28,897683
2021-06-29,917170
2021-06-30,936503
2021-07-01,965924
2021-07-02,985554
2021-07-03,1017969
2021-07-04,1060147
2021-07-05,1101032
2021-07-06,1152330
2021-07-07,1209588
2021-07-08,1227517
2021-07-09,1245458
2021-07-10,1246075
2021-07-11,1246213
2021-07-12,1346377
2021-07-13,1453983
2021-07-14,1570665
2021-07-15,1661158
2021-07-16,1740542
2021-07-17,1757174
2021-07-18,1764680
2021-07-19,1860944
2021-07-20,1911936
2021-07-21,2045055
2021-07-22,2186151
2021-07-23,2239190
2021-07-24,2288891
2021-07-25,2308046
2021-07-26,2427296
2021-07-27,2521582
2021-07-28,2593193
2021-07-29,2607031
2021-07-30,2615642
2021-07-31,2616835
2021-08-01,2616866
2021-08-02,2688388
2021-08-03,2754431
2021-08-04,2841656
2021-08-05,2908588
2021-08-06,2957986
2021-08-07,3017146
2021-08-08,3038751
2021-08-09,3100348
2021-08-10,3136259
2021-08-11,3242292
2021-08-12,3358681
2021-08-13,3435784
2021-08-14,3515083
2021-08-15,3559985
2021-08-16,3675208
2021-08-17,3770345
2021-08-18,3850053
2021-08-19,3864589
2021-08-20,3875222
2021-08-21,3876055
2021-08-22,3876106
2021-08-23,3885177
2021-08-24,3896898
2021-08-25,3914416
2021-08-26,3961197
2021-08-27,4013624
2021-08-28,4014209
2021-08-29,4014226
2021-08-30,4036572
2021-08-31,4059098
2021-09-01,4083148
2021-09-02,4085003
2021-09-03,4089382
2021-09-04,4095680
2021-09-05,4095681
2021-09-10,4271051
2021-09-17,4401222
2021-09-24,4477723
2021-09-25,4488153
2021-10-01,4640590
2021-10-08,4836914
2021-10-15,4926677
2021-10-22,5165112
2021-10-29,5289785
2021-11-05,5316775
2021-11-12,5746121
2021-11-19,5921882
2021-11-29,6060065
2021-12-03,6216388
2021-12-10,6324638
2021-12-17,6489760
2021-12-23,6640918
2021-12-29,6833614
2022-01-07,7088227
2022-01-14,7281308
2022-01-21,7410811
2022-01-28,7478535
2022-02-04,7669087
2022-02-11,7854618
2022-02-18,7977415
2022-02-25,8070750
2022-03-02,8124983
2022-03-04,8183512
2022-03-11,8218163
2022-03-16,8298325
2022-03-18,8375280
2022-03-25,8428214
2022-04-01,8472594
2022-04-15,8621956
2022-05-13,8677904
2022-05-27,8765455
2022-06-08,8798904
2022-06-10,8838289
2022-06-17,8889187
2022-06-24,8890636
2022-06-30,8918755
2022-07-01,8952310
2022-07-08,9079229
2022-07-15,9166555
2022-07-22,9215489
2022-07-29,9228436
2022-08-05,9257248
2022-08-12,9313856
2022-09-02,9332812
2022-09-09,9386134
2022-09-30,9390960
2022-10-07,9398544
2022-10-14,9407422
2022-10-21,9419313
2022-11-11,9449337
2022-11-18,9458873
2022-12-02,9475354
2022-12-09,9481519
2022-12-16,9486776
2023-01-03,9492529
2023-01-06,9505712
2023-01-12,9514267
2023-01-13,9524376
2023-01-20,9529244
2023-01-27,9538513
2023-02-10,9568675
2023-03-03,9602560
2023-03-10,9610340
2023-03-31,9621361
