dates,incrementalcount_medicaltest_conditioncovid_19
2020-03-11,7
2020-03-12,6
2020-03-13,17
2020-03-14,15
2020-03-15,33
2020-03-16,27
2020-03-17,26
2020-03-18,24
2020-03-19,32
2020-03-20,44
2020-03-21,68
2020-03-22,37
2020-03-23,89
2020-03-24,91
2020-03-25,51
2020-03-26,78
2020-03-27,101
2020-03-28,60
2020-03-29,105
2020-03-30,68
2020-03-31,90
2020-04-01,95
2020-04-02,116
2020-04-03,165
2020-04-04,192
2020-04-05,200
2020-04-06,162
2020-04-07,212
2020-04-08,242
2020-04-09,223
2020-04-10,220
2020-04-11,230
2020-04-12,259
2020-04-13,248
2020-04-14,246
2020-04-15,379
2020-04-16,345
2020-04-17,338
2020-04-18,304
2020-04-19,247
2020-04-20,377
2020-04-21,414
2020-04-22,306
2020-04-23,319
2020-04-24,405
2020-04-25,308
2020-04-26,295
2020-04-27,519
2020-04-28,447
2020-04-29,563
2020-04-30,449
2020-05-01,439
2020-05-02,424
2020-05-03,340
2020-05-04,349
2020-05-05,458
2020-05-06,584
2020-05-07,599
2020-05-08,750
2020-05-09,800
2020-05-10,800
2020-05-11,709
2020-05-12,762
2020-05-13,672
2020-05-14,595
2020-05-15,672
2020-05-16,452
2020-05-17,816
2020-05-18,305
2020-05-19,692
2020-05-20,421
2020-05-21,445
2020-05-22,881
2020-05-23,937
2020-05-24,1007
2020-05-25,404
2020-05-26,953
2020-05-27,591
2020-05-28,665
2020-05-29,912
2020-05-30,816
2020-05-31,851
2020-06-01,830
2020-06-02,1272
2020-06-03,975
2020-06-04,1159
2020-06-05,1018
2020-06-06,1115
2020-06-07,1159
2020-06-08,1410
2020-06-09,1090
2020-06-10,1670
2020-06-11,1590
2020-06-12,1840
2020-06-13,1476
2020-06-14,1473
2020-06-15,648
2020-06-16,1249
2020-06-17,1200
2020-06-18,1471
2020-06-19,1629
2020-06-20,1549
2020-06-21,1165
2020-06-22,903
2020-06-23,1559
2020-06-24,1357
2020-06-25,1573
2020-06-26,1590
2020-06-27,1631
2020-06-28,1361
2020-06-29,1061
2020-06-30,1316
2020-07-01,1347
2020-07-02,1629
2020-07-03,1769
2020-07-04,1989
2020-07-05,1802
2020-07-06,1486
2020-07-07,2076
2020-07-08,1533
2020-07-09,2017
2020-07-10,2212
2020-07-11,2141
2020-07-12,1937
2020-07-13,1161
2020-07-14,1886
2020-07-15,1732
2020-07-16,2028
2020-07-17,2227
2020-07-18,2469
2020-07-19,2338
2020-07-20,1223
2020-07-21,1688
2020-07-22,1841
2020-07-23,2165
2020-07-24,2006
2020-07-25,1861
2020-07-26,1656
2020-07-27,1694
2020-07-28,1687
2020-07-29,1886
2020-07-30,2532
2020-07-31,2249
2020-08-01,1099
2020-08-02,1015
2020-08-03,1062
2020-08-04,1325
2020-08-05,1711
2020-08-06,1455
2020-08-07,1002
2020-08-08,1021
2020-08-09,1115
2020-08-10,1821
2020-08-11,2158
2020-08-12,2123
2020-08-13,1767
2020-08-14,3065
2020-08-15,2078
2020-08-16,2965
2020-08-17,2219
2020-08-18,3055
2020-08-19,2657
2020-08-20,3787
2020-08-21,3150
2020-08-22,2292
2020-08-23,1788
2020-08-24,2312
2020-08-25,2119
2020-08-26,2835
2020-08-27,2185
2020-08-28,3130
2020-08-29,2638
2020-08-30,1610
2020-08-31,2296
2020-09-01,3089
2020-09-02,3066
2020-09-03,3130
2020-09-04,2470
2020-09-05,2263
2020-09-06,2719
2020-09-07,2754
2020-09-08,3020
2020-09-09,2667
2020-09-10,2650
2020-09-11,3010
