dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,3
2020-03-04,7
2020-03-05,8
2020-03-06,8
2020-03-07,8
2020-03-08,11
2020-03-09,12
2020-03-10,15
2020-03-11,18
2020-03-12,24
2020-03-13,262
2020-03-14,262
2020-03-15,320
2020-03-16,337
2020-03-17,337
2020-03-18,439
2020-03-19,442
2020-03-20,442
2020-03-21,460
2020-03-22,470
2020-03-23,481
2020-03-24,494
2020-03-25,501
2020-03-26,526
2020-03-27,537
2020-03-28,537
2020-03-29,562
2020-03-30,590
2020-03-31,634
2020-04-01,693
2020-04-02,781
2020-04-03,835
2020-04-04,949
2020-04-05,1075
2020-04-06,1325
2020-04-07,1604
2020-04-08,1832
2020-04-09,2057
2020-04-10,2210
2020-04-11,2376
2020-04-12,2512
2020-04-13,2728
2020-04-14,2979
2020-04-15,3231
2020-04-16,3428
2020-04-17,3711
2020-04-18,4103
2020-04-19,4663
2020-04-20,5008
2020-04-21,5448
2020-04-22,6015
2020-04-23,6533
2020-04-24,7141
2020-04-25,7764
2020-04-26,8525
2020-04-27,9358
2020-04-28,10287
2020-04-29,11244
2020-04-30,11921
2020-05-01,12564
2020-05-02,13409
2020-05-03,14096
2020-05-04,14872
2020-05-05,15551
2020-05-06,16191
2020-05-07,17142
2020-05-08,17972
2020-05-09,18890
2020-05-10,20201
2020-05-11,21331
2020-05-12,22520
2020-05-13,23623
2020-05-14,25149
2020-05-15,26539
2020-05-16,28272
2020-05-17,29425
2020-05-18,30972
2020-05-19,32604
2020-05-20,33969
2020-05-21,35606
2020-05-22,37097
2020-05-23,38651
2020-05-24,40481
2020-05-25,42213
2020-05-26,43714
2020-05-27,45465
2020-05-28,47207
2020-05-29,48947
2020-05-30,50914
2020-05-31,52907
2020-06-01,55262
2020-06-02,56910
2020-06-03,58433
2020-06-04,60259
2020-06-05,62160
2020-06-06,63741
2020-06-07,65495
2020-06-08,67195
2020-06-09,68790
2020-06-10,70158
2020-06-11,71879
2020-06-12,73595
2020-06-13,75071
2020-06-14,76588
2020-06-15,78416
2020-06-16,79602
2020-06-17,80876
2020-06-18,82077
2020-06-19,83174
2020-06-20,84441
2020-06-21,85462
2020-06-22,86488
2020-06-23,87369
2020-06-24,88403
2020-06-25,89579
2020-06-26,90778
2020-06-27,91838
2020-06-28,92784
2020-06-29,93663
2020-06-30,94413
2020-07-01,95106
2020-07-02,96088
2020-07-03,97003
2020-07-04,97897
2020-07-05,98653
2020-07-06,99183
2020-07-07,99799
2020-07-08,100345
2020-07-09,100945
2020-07-10,101553
2020-07-11,102110
2020-07-12,102630
2020-07-13,103128
2020-07-14,103598
2020-07-15,104016
2020-07-16,104533
2020-07-17,104983
2020-07-18,105477
2020-07-19,105898
2020-07-20,106308
2020-07-21,106648
2020-07-22,107037
2020-07-23,107430
2020-07-24,107871
2020-07-25,108244
2020-07-26,108638
2020-07-27,109036
2020-07-28,109305
2020-07-29,109597
2020-07-30,109880
2020-07-31,110153
2020-08-01,110460
2020-08-02,110695
2020-08-03,110911
2020-08-04,111107
2020-08-05,111322
2020-08-06,111538
2020-08-07,111805
2020-08-08,112092
2020-08-09,112383
2020-08-10,112650
2020-08-11,112947
2020-08-12,113262
2020-08-13,113646
2020-08-14,113938
2020-08-15,114281
2020-08-16,114532
2020-08-17,114809
2020-08-18,115080
2020-08-19,115368
2020-08-20,115661
2020-08-21,115956
2020-08-22,116224
2020-08-23,116481
2020-08-24,116765
2020-08-25,117008
2020-08-26,117266
2020-08-27,117498
2020-08-28,117742
2020-08-29,117988
2020-08-30,118196
2020-08-31,118407
2020-09-01,118575
2020-09-02,118778
2020-09-03,118994
2020-09-04,119206
2020-09-05,119420
2020-09-06,119637
2020-09-07,119864
2020-09-08,120095
2020-09-09,120348
2020-09-10,120579
2020-09-11,120846
2020-09-12,121052
2020-09-13,121287
2020-09-14,121523
2020-09-15,121740
2020-09-16,121975
2020-09-17,122214
2020-09-18,122449
2020-09-19,122693
2020-09-20,122917
2020-09-21,123146
2020-09-22,123376
2020-09-23,123604
2020-09-24,123917
2020-09-25,124175
2020-09-26,124425
2020-09-27,124650
2020-09-28,124850
2020-09-29,125084
2020-09-30,125311
2020-10-01,125533
2020-10-02,125760
2020-10-03,125959
2020-10-04,126164
2020-10-05,126339
2020-10-06,126498
2020-10-07,126692
2020-10-08,126943
2020-10-09,127181
2020-10-10,127394
2020-10-11,127600
2020-10-12,127778
2020-10-13,127985
2020-10-14,128191
2020-10-15,128405
2020-10-16,128603
2020-10-17,128803
2020-10-18,128992
2020-10-19,129227
2020-10-20,129431
2020-10-21,129671
2020-10-22,129944
2020-10-23,130210
2020-10-24,130462
2020-10-25,130711
2020-10-26,130965
2020-10-27,131170
2020-10-28,131432
2020-10-29,131689
2020-10-30,131939
2020-10-31,132150
2020-11-01,132343
2020-11-02,132556
2020-11-03,132720
2020-11-04,132917
2020-11-05,133143
2020-11-06,133370
2020-11-07,133619
2020-11-08,133811
2020-11-09,134013
2020-11-10,134203
2020-11-11,134433
2020-11-12,134663
2020-11-13,134887
2020-11-14,135132
2020-11-15,135367
2020-11-16,135570
2020-11-17,135785
2020-11-18,136028
2020-11-19,136222
2020-11-20,136441
2020-11-21,136649
2020-11-22,136888
2020-11-23,137062
2020-11-24,137229
2020-11-25,137415
2020-11-26,137642
2020-11-27,137851
2020-11-28,138066
2020-11-29,138250
2020-11-30,138477
2020-12-01,138648
2020-12-02,138833
2020-12-03,139001
2020-12-04,139256
2020-12-05,139477
2020-12-06,139643
2020-12-07,139783
2020-12-08,139908
2020-12-09,140086
2020-12-10,140203
2020-12-11,140353
2020-12-12,140516
2020-12-13,140680
2020-12-14,140827
2020-12-15,140961
2020-12-16,141121
2020-12-17,141272
2020-12-18,141417
2020-12-19,141557
2020-12-20,141716
2020-12-21,141858
2020-12-22,142001
2020-12-23,142159
2020-12-24,142308
2020-12-25,142448
2020-12-26,142605
2020-12-27,142734
2020-12-28,142903
2020-12-29,143062
2020-12-30,143222
2020-12-31,143428
2021-01-01,143621
2021-01-02,143834
2021-01-03,144042
2021-01-04,144240
2021-01-05,144437
2021-01-06,144644
2021-01-07,144852
2021-01-08,145061
2021-01-09,145271
2021-01-10,145466
2021-01-11,145672
2021-01-12,145865
2021-01-13,146068
2021-01-14,146279
2021-01-15,146480
2021-01-16,146689
2021-01-17,146885
2021-01-18,147089
2021-01-19,147277
2021-01-20,147504
2021-01-21,147729
2021-01-22,148000
2021-01-23,148258
2021-01-24,148521
2021-01-25,148772
2021-01-26,149019
2021-01-27,149296
2021-01-28,149595
2021-01-29,149933
2021-01-30,150280
2021-01-31,150621
2021-02-01,150984
2021-02-02,151335
2021-02-03,151720
2021-02-04,152095
2021-02-05,152491
2021-02-06,152898
2021-02-07,153296
2021-02-08,153690
2021-02-09,154098
2021-02-10,154525
2021-02-11,155002
2021-02-12,155453
2021-02-13,155901
2021-02-14,156351
2021-02-15,156804
2021-02-16,157244
2021-02-17,157692
2021-02-18,158138
2021-02-19,158591
2021-02-20,159053
2021-02-21,159518
2021-02-22,159967
2021-02-23,160426
2021-02-24,160889
2021-02-25,161344
2021-02-26,161803
2021-02-27,162268
2021-02-28,162737
2021-03-01,163197
2021-03-02,163664
2021-03-03,164137
2021-03-04,164600
2021-03-05,165071
2021-03-06,165546
2021-03-07,166015
2021-03-08,166475
2021-03-09,166949
2021-03-10,167417
2021-03-11,167888
2021-03-12,168361
2021-03-13,168829
2021-03-14,169284
2021-03-15,169767
2021-03-16,170252
2021-03-17,170733
2021-03-18,171212
2021-03-19,171701
2021-03-20,172200
2021-03-21,172697
2021-03-22,173206
2021-03-23,173709
2021-03-24,174228
2021-03-25,174762
2021-03-26,175332
2021-03-27,175919
2021-03-28,176521
2021-03-29,177135
2021-03-30,177774
2021-03-31,178464
2021-04-01,179184
2021-04-02,179964
2021-04-03,180804
2021-04-04,181678
2021-04-05,182548
2021-04-06,183424
2021-04-07,184334
2021-04-08,185261
2021-04-09,186201
2021-04-10,187150
2021-04-11,188100
2021-04-12,189064
2021-04-13,190025
2021-04-14,190998
2021-04-15,191979
2021-04-16,192963
2021-04-17,193952
2021-04-18,194930
2021-04-19,195757
2021-04-20,196580
2021-04-21,197476
2021-04-22,198361
2021-04-23,199180
2021-04-24,199980
2021-04-25,200778
2021-04-26,201496
2021-04-27,202201
2021-04-28,202904
2021-04-29,203599
2021-04-30,204289
2021-05-01,204976
2021-05-02,205652
2021-05-03,206302
2021-05-04,206948
2021-05-05,207592
2021-05-06,208232
2021-05-07,208877
2021-05-08,209470
2021-05-09,210070
2021-05-10,210603
2021-05-11,210992
2021-05-12,211389
2021-05-13,211732
2021-05-14,212124
2021-05-15,212423
2021-05-16,212667
2021-05-17,212927
2021-05-18,213183
2021-05-19,213485
2021-05-20,213855
2021-05-21,214150
2021-05-22,214463
2021-05-23,214830
2021-05-24,215160
2021-05-25,215443
2021-05-26,215742
2021-05-27,216091
2021-05-28,216397
2021-05-29,216683
2021-05-30,216885
2021-05-31,217041
2021-06-01,217230
2021-06-02,217458
2021-06-03,217688
2021-06-04,217882
2021-06-05,218080
2021-06-06,218263
2021-06-07,218455
2021-06-08,218627
2021-06-09,218798
2021-06-10,218980
2021-06-11,219138
2021-06-12,219281
2021-06-13,219466
2021-06-14,219613
2021-06-15,219730
2021-06-16,219887
2021-06-17,220033
2021-06-18,220198
2021-06-19,220325
2021-06-20,220509
2021-06-21,220693
2021-06-22,220800
2021-06-23,220930
2021-06-24,221119
2021-06-25,221273
2021-06-26,221378
2021-06-27,221465
