dates,incrementalcount_medicaltest_conditioncovid_19
2021-03-23,10811
2021-03-24,12460
2021-03-25,12680
2021-03-26,11300
2021-03-27,11825
2021-03-28,12703
2021-03-29,12300
2021-03-30,13589
2021-03-31,14233
2021-04-03,100000
2021-04-04,30000
2021-04-05,11502
2021-04-06,11494
2021-04-07,11682
2021-04-08,11349
2021-04-09,13547
2021-04-10,12240
2021-04-11,14493
2021-04-12,14383
2021-04-13,13120
2021-04-14,11120
2021-04-15,12175
2021-04-16,10439
2021-04-17,10793
2021-04-18,11829
2021-04-19,12359
2021-07-15,24928
2021-07-16,21653
2021-07-17,18615
2021-07-18,20129
2021-07-19,20134
2021-07-20,15109
2021-07-21,19063
2021-07-22,14702
2021-07-23,15995
2021-07-24,17492
2021-07-25,17240
2021-07-26,15020
2021-07-27,20468
2021-07-29,18306
2021-07-30,18668
2021-07-31,17095
2021-08-01,17922
2021-08-02,20120
2021-08-03,19619
2021-08-04,18537
2021-08-05,20695
2021-08-06,20562
2021-08-07,19869
2021-08-08,18777
2021-08-09,21722
2021-08-10,22711
2021-08-11,21962
2021-08-12,21602
2021-08-13,23783
2021-08-14,22250
2021-08-15,24715
2021-08-16,29276
2021-08-17,28742
2021-08-18,25887
2021-08-19,27603
2021-08-20,24736
2021-08-21,25114
2021-08-22,20883
2021-08-23,24862
2021-08-24,26039
2021-08-25,28600
2021-08-26,26121
2021-08-27,27444
2021-08-28,28159
2021-08-29,26491
2021-08-30,32086
2021-08-31,28722
2021-09-01,28010
2021-09-02,29123
2021-09-03,30314
2021-09-04,26559
2021-09-05,22213
2021-09-06,27772
2021-09-07,27009
2021-09-08,27057
2021-09-09,26065
2021-09-10,25952
2021-09-11,24204
2021-09-12,23201
2021-09-13,24373
2021-09-14,25063
2021-09-15,25092
2021-09-16,24548
2021-09-17,20950
2021-09-18,21559
2021-09-19,22849
2021-09-20,22131
2021-09-21,24744
2021-09-22,23670
2021-09-23,23439
2021-09-24,22840
2021-09-25,21303
2021-09-26,22533
2021-09-27,22769
2021-09-28,23037
2021-09-29,26554
2021-09-30,24020
2021-10-01,23541
2021-10-02,22605
2021-10-03,24397
2021-10-04,20123
2021-10-05,23703
2021-10-06,23442
2021-10-07,23490
2021-10-08,17877
2021-10-09,18470
2021-10-10,22647
2021-10-11,22039
2021-10-12,21604
2021-10-13,22137
2021-10-14,23999
2021-10-15,18627
2021-10-16,17398
2021-10-17,19235
2021-10-18,21196
2021-10-19,21586
2021-10-20,22307
2021-10-21,20430
2021-10-22,17866
2021-10-23,17933
2021-10-24,23078
2021-10-25,22269
2021-10-26,19540
2021-10-27,26939
2021-10-28,21999
2021-10-29,20202
2021-10-30,17638
2021-10-31,23226
2021-11-01,23281
2021-11-02,23483
2021-11-03,24498
2021-11-04,21509
2021-11-05,17767
2021-11-06,17902
2021-11-07,23269
2021-11-08,22880
2021-11-09,22176
2021-11-10,18751
2021-11-11,21259
2021-11-12,18889
2021-11-13,21096
2021-11-14,20531
2021-11-15,18115
