dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,0
2020-02-28,2
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,0
2020-03-06,1
2020-03-07,6
2020-03-08,2
2020-03-09,2
2020-03-10,8
2020-03-11,20
2020-03-12,19
2020-03-13,25
2020-03-14,24
2020-03-15,26
2020-03-16,23
2020-03-17,33
2020-03-18,22
2020-03-19,43
2020-03-20,17
2020-03-21,31
2020-03-22,59
2020-03-23,66
2020-03-24,143
2020-03-25,186
2020-03-26,144
2020-03-27,123
2020-03-28,263
2020-03-29,160
2020-03-30,308
2020-03-31,192
2020-04-01,293
2020-04-02,215
2020-04-03,278
2020-04-04,445
2020-04-05,430
2020-04-06,251
2020-04-07,193
2020-04-08,360
2020-04-09,344
2020-04-10,441
2020-04-11,265
2020-04-12,523
2020-04-13,310
2020-04-14,333
2020-04-15,246
2020-04-16,337
2020-04-17,491
2020-04-18,360
2020-04-19,351
2020-04-20,328
2020-04-21,190
2020-04-22,306
2020-04-23,468
2020-04-24,386
2020-04-25,321
2020-04-26,218
2020-04-27,401
2020-04-28,303
2020-04-29,277
2020-04-30,362
2020-05-01,262
2020-05-02,327
2020-05-03,165
2020-05-04,431
2020-05-05,349
2020-05-06,325
2020-05-07,270
2020-05-08,392
2020-05-09,312
2020-05-10,320
2020-05-11,231
2020-05-12,226
2020-05-13,190
2020-05-14,224
2020-05-15,245
2020-05-16,190
2020-05-17,267
2020-05-18,167
2020-05-19,165
2020-05-20,155
2020-05-21,196
2020-05-22,198
2020-05-23,127
2020-05-24,145
2020-05-25,213
2020-05-26,213
2020-05-27,146
2020-05-28,165
2020-05-29,197
2020-05-30,191
2020-05-31,151
2020-06-01,124
2020-06-02,141
2020-06-03,119
2020-06-04,152
2020-06-05,238
2020-06-06,196
2020-06-07,187
2020-06-08,189
2020-06-09,125
2020-06-10,145
2020-06-11,196
2020-06-12,237
2020-06-13,222
2020-06-14,275
2020-06-15,320
2020-06-16,166
2020-06-17,250
2020-06-18,345
2020-06-19,320
2020-06-20,320
2020-06-21,330
2020-06-22,315
2020-06-23,246
2020-06-24,214
2020-06-25,321
2020-06-26,460
2020-06-27,411
2020-06-28,325
2020-06-29,291
2020-06-30,269
2020-07-01,388
2020-07-02,326
2020-07-03,450
2020-07-04,420
2020-07-05,416
2020-07-06,391
2020-07-07,250
2020-07-08,397
2020-07-09,555
2020-07-10,614
2020-07-11,592
2020-07-12,698
2020-07-13,456
2020-07-14,413
2020-07-15,637
2020-07-16,641
2020-07-17,777
2020-07-18,799
2020-07-19,889
2020-07-20,767
2020-07-21,681
2020-07-22,994
2020-07-23,1030
2020-07-24,1112
2020-07-25,1119
2020-07-26,1284
2020-07-27,1120
2020-07-28,1104
2020-07-29,1151
2020-07-30,1182
2020-07-31,1356
2020-08-01,1295
2020-08-02,1225
2020-08-03,1075
2020-08-04,823
2020-08-05,1232
2020-08-06,1309
2020-08-07,1345
2020-08-08,1378
2020-08-09,1350
2020-08-10,1145
2020-08-11,779
2020-08-12,1215
2020-08-13,1415
2020-08-14,1454
2020-08-15,1415
2020-08-16,1328
2020-08-17,1087
2020-08-18,733
2020-08-19,1014
2020-08-20,1409
2020-08-21,1346
2020-08-22,1392
2020-08-23,1189
2020-08-24,961
2020-08-25,825
2020-08-26,1060
2020-08-27,1256
2020-08-28,1504
2020-08-29,1318
2020-08-30,1365
2020-08-31,952
2020-09-01,755
2020-09-02,1053
2020-09-03,1298
2020-09-04,1365
2020-09-05,1339
2020-09-06,1269
2020-09-07,1150
2020-09-08,883
2020-09-09,1136
2020-09-10,1271
2020-09-11,1380
2020-09-12,1391
2020-09-13,1311
2020-09-14,1109
2020-09-15,692
2020-09-16,1111
2020-09-17,1713
2020-09-18,1679
2020-09-19,1527
2020-09-20,1333
2020-09-21,1231
2020-09-22,808
2020-09-23,1059
2020-09-24,1767
2020-09-25,1639
2020-09-26,1629
2020-09-27,1552
2020-09-28,1438
2020-09-29,1271
2020-09-30,1470
2020-10-01,2158
2020-10-02,2086
2020-10-03,2343
2020-10-04,2064
2020-10-05,1835
2020-10-06,1591
2020-10-07,2121
2020-10-08,2958
2020-10-09,3130
2020-10-10,3186
2020-10-11,3517
2020-10-12,2880
2020-10-13,2069
2020-10-14,3109
2020-10-15,4016
2020-10-16,4013
2020-10-17,4026
2020-10-18,3952
2020-10-19,3920
2020-10-20,2466
2020-10-21,3400
2020-10-22,4848
2020-10-23,4902
2020-10-24,5028
2020-10-25,4761
2020-10-26,3855
2020-10-27,2844
2020-10-28,4724
2020-10-29,5343
2020-10-30,6481
2020-10-31,6546
2020-11-01,5753
2020-11-02,5324
2020-11-03,4041
2020-11-04,7733
2020-11-05,8651
2020-11-06,9714
2020-11-07,10260
2020-11-08,9937
2020-11-09,6752
2020-11-10,3240
2020-11-11,7304
2020-11-12,9799
2020-11-13,10142
2020-11-14,9489
2020-11-15,9460
2020-11-16,7096
2020-11-17,4931
2020-11-18,8262
2020-11-19,10269
2020-11-20,10108
2020-11-21,9272
2020-11-22,9685
2020-11-23,5837
2020-11-24,4207
2020-11-25,7753
2020-11-26,9739
2020-11-27,9005
2020-11-28,8499
2020-11-29,8134
2020-11-30,5554
2020-12-01,3826
2020-12-02,4272
2020-12-03,4916
2020-12-04,7661
2020-12-05,8062
2020-12-06,8072
2020-12-07,5231
2020-12-08,3660
2020-12-09,7439
2020-12-10,7365
2020-12-11,7067
2020-12-12,6460
2020-12-13,6333
2020-12-14,4435
2020-12-15,3252
2020-12-16,6171
2020-12-17,5991
2020-12-18,5697
2020-12-19,5340
2020-12-20,5158
2020-12-21,3350
2020-12-22,2489
2020-12-23,5009
2020-12-24,5459
2020-12-25,4310
2020-12-26,3812
2020-12-27,1387
2020-12-28,2049
2020-12-29,2620
2020-12-30,4637
2020-12-31,4875
2021-01-01,4322
2021-01-02,3938
2021-01-03,1194
2021-01-04,3034
2021-01-05,3130
2021-01-06,4729
2021-01-07,5719
2021-01-08,4951
2021-01-09,4841
2021-01-10,4403
2021-01-11,3082
2021-01-12,1987
2021-01-13,3697
2021-01-14,4424
2021-01-15,3525
2021-01-16,3353
2021-01-17,3218
2021-01-18,2156
2021-01-19,1509
2021-01-20,2745
2021-01-21,3000
2021-01-22,2878
2021-01-23,2699
2021-01-24,2719
2021-01-25,1816
2021-01-26,1551
2021-01-27,2877
2021-01-28,3174
2021-01-29,2901
2021-01-30,2737
2021-01-31,2668
2021-02-01,1825
2021-02-02,1313
2021-02-03,2676
2021-02-04,2752
2021-02-05,2668
2021-02-06,2580
2021-02-07,2611
2021-02-08,1975
2021-02-09,1319
2021-02-10,2797
2021-02-11,3048
2021-02-12,2644
2021-02-13,2550
2021-02-14,2415
2021-02-15,1872
2021-02-16,1331
2021-02-17,2676
2021-02-18,2815
2021-02-19,3058
2021-02-20,2712
2021-02-21,2721
2021-02-22,2419
2021-02-23,1634
2021-02-24,3382
2021-02-25,3337
2021-02-26,3923
2021-02-27,3761
2021-02-28,3432
2021-03-01,2830
2021-03-02,2096
2021-03-03,3950
2021-03-04,4278
2021-03-05,4271
2021-03-06,4342
2021-03-07,4064
2021-03-08,3288
2021-03-09,2280
2021-03-10,4989
2021-03-11,4564
2021-03-12,5236
2021-03-13,5010
2021-03-14,4964
2021-03-15,4383
2021-03-16,2972
2021-03-17,6118
2021-03-18,6186
2021-03-19,6174
2021-03-20,5593
2021-03-21,6096
2021-03-22,4267
2021-03-23,3743
2021-03-24,6149
2021-03-25,6136
2021-03-26,6651
2021-03-27,6516
2021-03-28,5869
2021-03-29,4439
2021-03-30,3825
2021-03-31,6204
2021-04-01,6156
2021-04-02,6115
2021-04-03,5808
2021-04-04,5498
2021-04-05,4151
2021-04-06,3611
2021-04-07,5231
2021-04-08,5407
2021-04-09,4989
2021-04-10,4942
2021-04-11,4310
2021-04-12,3302
2021-04-13,2323
2021-04-14,3883
2021-04-15,4076
2021-04-16,3852
2021-04-17,3264
2021-04-18,3474
2021-04-19,2265
2021-04-20,1768
2021-04-21,2931
2021-04-22,3006
2021-04-23,2989
2021-04-24,2523
2021-04-25,2201
2021-04-26,1542
2021-04-27,1256
2021-04-28,2019
2021-04-29,2240
2021-04-30,1850
2021-05-01,1636
2021-05-02,1307
2021-05-03,1083
2021-05-04,682
2021-05-05,994
2021-05-06,1564
2021-05-07,1632
2021-05-08,1422
2021-05-09,1305
2021-05-10,857
2021-05-11,620
2021-05-12,1156
2021-05-13,930
2021-05-14,953
2021-05-15,835
2021-05-16,729
2021-05-17,565
2021-05-18,392
2021-05-19,681
2021-05-20,707
2021-05-21,618
2021-05-22,484
2021-05-23,455
2021-05-24,307
2021-05-25,230
2021-05-26,381
2021-05-27,379
2021-05-28,307
2021-05-29,321
2021-05-30,265
2021-05-31,158
2021-06-01,153
2021-06-02,241
2021-06-03,164
2021-06-04,196
2021-06-05,225
2021-06-06,179
2021-06-07,121
2021-06-08,89
2021-06-09,202
2021-06-10,140
2021-06-11,133
2021-06-12,103
2021-06-13,127
2021-06-14,69
2021-06-15,50
2021-06-16,103
2021-06-17,104
2021-06-18,87
2021-06-19,70
2021-06-20,63
2021-06-21,53
2021-06-22,26
2021-06-23,41
2021-06-24,66
2021-06-25,68
2021-06-26,65
2021-06-27,62
2021-06-28,46
2021-06-29,37
2021-06-30,73
2021-07-01,52
2021-07-02,31
2021-07-03,37
2021-07-04,58
2021-07-05,33
2021-07-06,28
2021-07-07,51
2021-07-08,60
2021-07-09,30
2021-07-10,54
2021-07-11,36
2021-07-12,26
2021-07-13,39
2021-07-14,51
2021-07-15,79
2021-07-16,62
