dates,covid19mobilitytrend_transporthub
2020-02-15,8
2020-02-16,6
2020-02-17,3
2020-02-18,5
2020-02-19,4
2020-02-20,7
2020-02-21,9
2020-02-22,10
2020-02-23,4
2020-02-24,-20
2020-02-25,5
2020-02-26,4
2020-02-27,5
2020-02-28,5
2020-02-29,8
2020-03-01,11
2020-03-02,4
2020-03-03,6
2020-03-04,7
2020-03-05,9
2020-03-06,10
2020-03-07,14
2020-03-08,14
2020-03-09,-15
2020-03-10,6
2020-03-11,7
2020-03-12,6
2020-03-13,4
2020-03-14,9
2020-03-15,4
2020-03-16,4
2020-03-17,2
2020-03-18,-2
2020-03-19,-5
2020-03-20,-6
2020-03-21,-6
2020-03-22,-8
2020-03-23,-12
2020-03-24,-12
2020-03-25,-10
2020-03-26,-11
2020-03-27,-11
2020-03-28,-22
2020-03-29,-30
2020-03-30,-46
2020-03-31,-51
2020-04-01,-57
2020-04-02,-60
2020-04-03,-58
2020-04-04,-55
2020-04-05,-53
2020-04-06,-52
2020-04-07,-49
2020-04-08,-49
2020-04-09,-47
2020-04-10,-47
2020-04-11,-46
2020-04-12,-45
2020-04-13,-47
2020-04-14,-47
2020-04-15,-48
2020-04-16,-50
2020-04-17,-49
2020-04-18,-48
2020-04-19,-50
2020-04-20,-50
2020-04-21,-48
2020-04-22,-49
2020-04-23,-48
2020-04-24,-48
2020-04-25,-45
2020-04-26,-42
2020-04-27,-45
2020-04-28,-44
2020-04-29,-43
2020-04-30,-38
2020-05-01,-52
2020-05-02,-45
2020-05-03,-39
2020-05-04,-50
2020-05-05,-49
2020-05-06,-42
2020-05-07,-41
2020-05-08,-40
2020-05-09,-42
2020-05-10,-37
2020-05-11,-44
2020-05-12,-35
2020-05-13,-36
2020-05-14,-36
2020-05-15,-35
2020-05-16,-32
2020-05-17,-30
2020-05-18,-35
2020-05-19,-33
2020-05-20,-32
2020-05-21,-34
2020-05-22,-33
2020-05-23,-29
2020-05-24,-27
2020-05-25,-29
2020-05-26,-28
2020-05-27,-26
2020-05-28,-26
2020-05-29,-29
2020-05-30,-22
2020-05-31,-27
2020-06-01,-25
2020-06-02,-24
2020-06-03,-23
2020-06-04,-24
2020-06-05,-22
2020-06-06,-16
2020-06-07,-10
2020-06-08,-18
2020-06-09,-16
2020-06-10,-15
2020-06-11,-9
2020-06-12,-28
2020-06-13,-20
2020-06-14,-7
2020-06-15,-11
2020-06-16,-9
2020-06-17,-10
2020-06-18,-11
2020-06-19,-12
2020-06-20,-10
2020-06-21,-6
2020-06-22,-10
2020-06-23,-6
2020-06-24,-18
2020-06-25,-10
2020-06-26,-9
2020-06-27,-6
2020-06-28,-3
2020-06-29,-8
2020-06-30,-4
2020-07-01,-14
2020-07-02,-6
2020-07-03,-6
2020-07-04,-4
2020-07-05,1
2020-07-06,-4
2020-07-07,-3
2020-07-08,-6
2020-07-09,-5
2020-07-10,-4
2020-07-11,-2
2020-07-12,5
2020-07-13,-5
2020-07-14,-5
2020-07-15,-4
2020-07-16,-4
2020-07-17,-5
2020-07-18,-1
2020-07-19,5
2020-07-20,-5
2020-07-21,-4
2020-07-22,-6
2020-07-23,-5
2020-07-24,-5
2020-07-25,0
2020-07-26,6
2020-07-27,-4
2020-07-28,-4
2020-07-29,-4
2020-07-30,-4
2020-07-31,-6
2020-08-01,-2
2020-08-02,5
2020-08-03,-4
2020-08-04,-3
2020-08-05,-2
2020-08-06,-3
2020-08-07,-4
2020-08-08,1
2020-08-09,7
2020-08-10,-3
2020-08-11,-3
2020-08-12,-3
2020-08-13,-5
2020-08-14,-4
2020-08-15,4
2020-08-16,11
2020-08-17,-1
2020-08-18,0
2020-08-19,-2
2020-08-20,-2
2020-08-21,-2
2020-08-22,4
2020-08-23,10
2020-08-24,-1
2020-08-25,2
2020-08-26,0
2020-08-27,1
2020-08-28,0
