dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,4
2020-03-07,4
2020-03-08,7
2020-03-09,7
2020-03-10,7
2020-03-11,7
2020-03-12,20
2020-03-13,34
2020-03-14,34
2020-03-15,34
2020-03-16,34
2020-03-17,93
2020-03-18,93
2020-03-19,147
2020-03-20,199
2020-03-21,253
2020-03-22,306
2020-03-23,438
2020-03-24,495
2020-03-25,658
2020-03-26,840
2020-03-27,1036
2020-03-28,1264
2020-03-29,1534
2020-03-30,1837
2020-03-31,2337
2020-04-01,2777
2020-04-02,2777
2020-04-03,3548
2020-04-04,4149
2020-04-05,4731
2020-04-06,5389
2020-04-07,6343
2020-04-08,7497
2020-04-09,10131
2020-04-10,11917
2020-04-11,13584
2020-04-12,15770
2020-04-13,18328
2020-04-14,21102
2020-04-15,24490
2020-04-16,27938
2020-04-17,32008
2020-04-18,36793
2020-04-19,42853
2020-04-20,47121
2020-04-21,52763
2020-04-22,57999
2020-04-23,62773
2020-04-24,68622
2020-04-25,74588
2020-04-26,80949
2020-04-27,87147
2020-04-28,93558
2020-04-29,99399
2020-04-30,106498
2020-05-01,114431
2020-05-02,124054
2020-05-03,134687
2020-05-04,145268
2020-05-05,155370
2020-05-06,165929
2020-05-07,177160
2020-05-08,187859
2020-05-09,198676
2020-05-10,209688
2020-05-11,221344
2020-05-12,232243
2020-05-13,242271
2020-05-14,252245
2020-05-15,262843
2020-05-16,272043
2020-05-17,281752
2020-05-18,290678
2020-05-19,299941
2020-05-20,308705
2020-05-21,317554
2020-05-22,326448
2020-05-23,335882
2020-05-24,344481
2020-05-25,353427
2020-05-26,362342
2020-05-27,370680
2020-05-28,379051
2020-05-29,387623
2020-05-30,396575
2020-05-31,405843
2020-06-01,414878
2020-06-02,423741
2020-06-03,432277
2020-06-04,441108
2020-06-05,449834
2020-06-06,458689
2020-06-07,467673
2020-06-08,476658
2020-06-09,485253
2020-06-10,493657
2020-06-11,502436
2020-06-12,511423
2020-06-13,520129
2020-06-14,528964
2020-06-15,537210
2020-06-16,545458
2020-06-17,553301
2020-06-18,561091
2020-06-19,569063
2020-06-20,576952
2020-06-21,584680
2020-06-22,592280
2020-06-23,599705
2020-06-24,606881
2020-06-25,613994
2020-06-26,620794
2020-06-27,627646
2020-06-28,634437
2020-06-29,641156
2020-06-30,647849
2020-07-01,654405
2020-07-02,661165
2020-07-03,667883
2020-07-04,674515
2020-07-05,681251
2020-07-06,687862
2020-07-07,694230
2020-07-08,700792
2020-07-09,707301
2020-07-10,713936
2020-07-11,720547
2020-07-12,727162
2020-07-13,733699
2020-07-14,739947
2020-07-15,746369
2020-07-16,752797
2020-07-17,759203
2020-07-18,765437
2020-07-19,771546
2020-07-20,777486
2020-07-21,783328
2020-07-22,789190
2020-07-23,795038
2020-07-24,800849
2020-07-25,806720
2020-07-26,812485
2020-07-27,818120
2020-07-28,823515
2020-07-29,828990
2020-07-30,834499
2020-07-31,839981
2020-08-01,845443
2020-08-02,850870
2020-08-03,856264
2020-08-04,861423
2020-08-05,866627
2020-08-06,871894
2020-08-07,877135
2020-08-08,882347
2020-08-09,887536
2020-08-10,892654
2020-08-11,897599
2020-08-12,902701
2020-08-13,907758
2020-08-14,912823
2020-08-15,917884
2020-08-16,922853
2020-08-17,927745
2020-08-18,932493
2020-08-19,937321
2020-08-20,942106
2020-08-21,946976
2020-08-22,951897
2020-08-23,956749
2020-08-24,961493
2020-08-25,966189
2020-08-26,970865
2020-08-27,975576
2020-08-28,980405
2020-08-29,985346
2020-08-30,990326
2020-08-31,995319
2020-09-01,1000048
2020-09-02,1005000
2020-09-03,1009995
2020-09-04,1015105
2020-09-05,1020310
2020-09-06,1025505
2020-09-07,1030690
2020-09-08,1035789
2020-09-09,1041007
2020-09-10,1046370
2020-09-11,1051874
2020-09-12,1057362
2020-09-13,1062811
2020-09-14,1068320
2020-09-15,1073849
2020-09-16,1079519
2020-09-17,1085281
2020-09-18,1091186
2020-09-19,1097251
2020-09-20,1103399
2020-09-21,1109595
2020-09-22,1115810
2020-09-23,1122241
2020-09-24,1128836
2020-09-25,1136048
2020-09-26,1143571
2020-09-27,1151438
2020-09-28,1159573
2020-09-29,1167805
2020-09-30,1176286
2020-10-01,1185231
2020-10-02,1194643
2020-10-03,1204502
2020-10-04,1215001
2020-10-05,1225889
2020-10-06,1237504
2020-10-07,1248619
2020-10-08,1260112
2020-10-09,1272238
2020-10-10,1285084
2020-10-11,1298718
2020-10-12,1312310
2020-10-13,1326178
2020-10-14,1340409
2020-10-15,1354163
2020-10-16,1369313
2020-10-17,1384235
2020-10-18,1399334
2020-10-19,1415316
2020-10-20,1431635
2020-10-21,1447335
2020-10-22,1463306
2020-10-23,1480646
2020-10-24,1497167
2020-10-25,1513877
2020-10-26,1531224
2020-10-27,1547774
2020-10-28,1563976
2020-10-29,1581693
2020-10-30,1599976
2020-10-31,1618116
2020-11-01,1636781
2020-11-02,1655034
2020-11-03,1673686
2020-11-04,1693454
2020-11-05,1712858
2020-11-06,1733440
2020-11-07,1753836
2020-11-08,1774334
2020-11-09,1796132
2020-11-10,1817109
2020-11-11,1836960
2020-11-12,1858568
2020-11-13,1880551
2020-11-14,1903253
2020-11-15,1925825
2020-11-16,1948603
2020-11-17,1971013
2020-11-18,1991998
2020-11-19,2015608
2020-11-20,2039926
2020-11-21,2064748
2020-11-22,2089329
2020-11-23,2114502
2020-11-24,2138828
2020-11-25,2162503
2020-11-26,2187990
2020-11-27,2215533
2020-11-28,2242633
2020-11-29,2269316
2020-11-30,2295654
2020-12-01,2322056
2020-12-02,2347401
2020-12-03,2375546
2020-12-04,2402949
2020-12-05,2431731
2020-12-06,2460770
2020-12-07,2488912
2020-12-08,2515009
2020-12-09,2541199
2020-12-10,2569126
2020-12-11,2597711
2020-12-12,2625848
2020-12-13,2653928
2020-12-14,2681256
2020-12-15,2707945
2020-12-16,2734454
2020-12-17,2762668
2020-12-18,2791220
2020-12-19,2819429
2020-12-20,2848377
2020-12-21,2877727
2020-12-22,2906503
2020-12-23,2933753
2020-12-24,2963688
2020-12-25,2992706
2020-12-26,3021964
2020-12-27,3050248
2020-12-28,3078035
2020-12-29,3105037
2020-12-30,3131550
2020-12-31,3159297
2021-01-01,3186336
2021-01-02,3212637
2021-01-03,3236787
2021-01-04,3260138
2021-01-05,3284384
2021-01-06,3308601
2021-01-07,3332142
2021-01-08,3355794
2021-01-09,3379103
2021-01-10,3401954
2021-01-11,3425269
2021-01-12,3448203
2021-01-13,3471053
2021-01-14,3495816
2021-01-15,3520531
2021-01-16,3544623
2021-01-17,3568209
2021-01-18,3591066
2021-01-19,3612800
2021-01-20,3633952
2021-01-21,3655839
2021-01-22,3677352
2021-01-23,3698273
2021-01-24,3719400
2021-01-25,3738690
2021-01-26,3756931
2021-01-27,3774672
2021-01-28,3793810
2021-01-29,3813048
2021-01-30,3832080
2021-01-31,3850439
2021-02-01,3868087
2021-02-02,3884730
2021-02-03,3901204
2021-02-04,3917918
2021-02-05,3934606
2021-02-06,3951233
2021-02-07,3967281
2021-02-08,3983197
2021-02-09,3998216
2021-02-10,4012710
2021-02-11,4027748
2021-02-12,4042837
2021-02-13,4057698
2021-02-14,4071883
2021-02-15,4086090
2021-02-16,4099323
2021-02-17,4112151
2021-02-18,4125598
2021-02-19,4139031
2021-02-20,4151984
2021-02-21,4164726
2021-02-22,4177330
2021-02-23,4189153
2021-02-24,4200902
2021-02-25,4212100
2021-02-26,4223186
2021-02-27,4234720
2021-02-28,4246079
2021-03-01,4257650
2021-03-02,4268215
2021-03-03,4278750
2021-03-04,4290135
2021-03-05,4301159
2021-03-06,4312181
2021-03-07,4322776
2021-03-08,4333029
2021-03-09,4342474
2021-03-10,4351553
2021-03-11,4360823
2021-03-12,4370617
2021-03-13,4380525
2021-03-14,4390608
2021-03-15,4400045
2021-03-16,4409438
2021-03-17,4418436
2021-03-18,4428239
2021-03-19,4437938
2021-03-20,4447570
2021-03-21,4456869
2021-03-22,4466153
2021-03-23,4474610
2021-03-24,4483471
2021-03-25,4492692
2021-03-26,4501859
2021-03-27,4510744
2021-03-28,4519832
2021-03-29,4528543
2021-03-30,4536820
2021-03-31,4545095
2021-04-01,4554264
2021-04-02,4563056
2021-04-03,4572077
2021-04-04,4580894
2021-04-05,4589540
2021-04-06,4597868
2021-04-07,4606162
2021-04-08,4614834
2021-04-09,4623984
2021-04-10,4632688
2021-04-11,4641390
2021-04-12,4649710
2021-04-13,4657883
2021-04-14,4666209
2021-04-15,4675153
2021-04-16,4684148
2021-04-17,4693469
2021-04-18,4702101
2021-04-19,4710690
2021-04-20,4718854
2021-04-21,4727125
2021-04-22,4736121
2021-04-23,4744961
2021-04-24,4753789
2021-04-25,4762569
2021-04-26,4771372
2021-04-27,4779425
2021-04-28,4787273
2021-04-29,4796557
2021-04-30,4805288
2021-05-01,4814558
2021-05-02,4823255
2021-05-03,4831744
2021-05-04,4839514
2021-05-05,4847489
2021-05-06,4855128
2021-05-07,4863514
2021-05-08,4871843
2021-05-09,4880262
2021-05-10,4888727
2021-05-11,4896842
2021-05-12,4905059
2021-05-13,4913439
2021-05-14,4922901
2021-05-15,4931691
2021-05-16,4940245
2021-05-17,4949573
2021-05-18,4957756
2021-05-19,4965676
2021-05-20,4974908
2021-05-21,4983845
2021-05-22,4992554
2021-05-23,5001505
2021-05-24,5009911
2021-05-25,5017795
2021-05-26,5026168
2021-05-27,5035207
2021-05-28,5044459
2021-05-29,5053748
2021-05-30,5063442
