dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,2
2020-03-27,3
2020-03-28,4
2020-03-29,8
2020-03-30,9
2020-03-31,17
2020-04-01,24
2020-04-02,24
2020-04-03,30
2020-04-04,34
2020-04-05,43
2020-04-06,45
2020-04-07,47
2020-04-08,58
2020-04-09,76
2020-04-10,94
2020-04-11,106
2020-04-12,130
2020-04-13,148
2020-04-14,170
2020-04-15,198
2020-04-16,232
2020-04-17,273
2020-04-18,313
2020-04-19,361
2020-04-20,405
2020-04-21,456
2020-04-22,513
2020-04-23,555
2020-04-24,615
2020-04-25,681
2020-04-26,747
2020-04-27,794
2020-04-28,867
2020-04-29,972
2020-04-30,1073
2020-05-01,1169
2020-05-02,1222
2020-05-03,1280
2020-05-04,1356
2020-05-05,1451
2020-05-06,1537
2020-05-07,1625
2020-05-08,1723
2020-05-09,1827
2020-05-10,1915
2020-05-11,2009
2020-05-12,2116
2020-05-13,2212
2020-05-14,2305
2020-05-15,2418
2020-05-16,2537
2020-05-17,2631
2020-05-18,2722
2020-05-19,2837
2020-05-20,2972
2020-05-21,3099
2020-05-22,3249
2020-05-23,3388
2020-05-24,3541
2020-05-25,3633
2020-05-26,3807
2020-05-27,3968
2020-05-28,4142
2020-05-29,4374
2020-05-30,4555
2020-05-31,4693
2020-06-01,4855
2020-06-02,5037
2020-06-03,5215
2020-06-04,5384
2020-06-05,5528
2020-06-06,5725
2020-06-07,5859
2020-06-08,5971
2020-06-09,6142
2020-06-10,6358
2020-06-11,6532
2020-06-12,6715
2020-06-13,6829
2020-06-14,6948
2020-06-15,7091
2020-06-16,7284
2020-06-17,7478
2020-06-18,7660
2020-06-19,7841
2020-06-20,8002
2020-06-21,8111
2020-06-22,8206
2020-06-23,8359
2020-06-24,8513
2020-06-25,8605
2020-06-26,8781
2020-06-27,8969
2020-06-28,9073
2020-06-29,9166
2020-06-30,9320
2020-07-01,9536
2020-07-02,9683
2020-07-03,9859
2020-07-04,10027
2020-07-05,10161
2020-07-06,10296
2020-07-07,10494
2020-07-08,10667
2020-07-09,10843
2020-07-10,11017
2020-07-11,11205
2020-07-12,11335
2020-07-13,11439
2020-07-14,11614
2020-07-15,11770
2020-07-16,11937
2020-07-17,12123
2020-07-18,12247
2020-07-19,12342
2020-07-20,12427
2020-07-21,12580
2020-07-22,12745
2020-07-23,12892
2020-07-24,13046
2020-07-25,13192
2020-07-26,13269
2020-07-27,13354
2020-07-28,13504
2020-07-29,13673
2020-07-30,13802
2020-07-31,13963
2020-08-01,14058
2020-08-02,14128
2020-08-03,14207
2020-08-04,14351
2020-08-05,14490
2020-08-06,14606
2020-08-07,14725
2020-08-08,14854
2020-08-09,14931
2020-08-10,15001
2020-08-11,15131
2020-08-12,15260
2020-08-13,15384
2020-08-14,15498
2020-08-15,15617
2020-08-16,15685
2020-08-17,15740
2020-08-18,15872
2020-08-19,15989
2020-08-20,16099
2020-08-21,16189
2020-08-22,16310
2020-08-23,16383
2020-08-24,16448
2020-08-25,16568
2020-08-26,16683
2020-08-27,16804
2020-08-28,16914
2020-08-29,17025
2020-08-30,17093
2020-08-31,17176
2020-09-01,17299
2020-09-02,17414
2020-09-03,17528
2020-09-04,17649
2020-09-05,17759
2020-09-06,17820
2020-09-07,17871
2020-09-08,17993
2020-09-09,18135
2020-09-10,18263
2020-09-11,18365
2020-09-12,18484
2020-09-13,18578
2020-09-14,18635
2020-09-15,18785
2020-09-16,18917
2020-09-17,19061
2020-09-18,19195
2020-09-19,19339
2020-09-20,19418
2020-09-21,19489
2020-09-22,19649
2020-09-23,19799
2020-09-24,19948
2020-09-25,20056
2020-09-26,20225
2020-09-27,20324
2020-09-28,20385
2020-09-29,20545
2020-09-30,20722
2020-10-01,20891
2020-10-02,21077
2020-10-03,21251
2020-10-04,21358
2020-10-05,21475
2020-10-06,21663
2020-10-07,21865
2020-10-08,22056
2020-10-09,22257
2020-10-10,22454
2020-10-11,22597
2020-10-12,22722
2020-10-13,22966
2020-10-14,23205
2020-10-15,23491
2020-10-16,23723
2020-10-17,24002
2020-10-18,24187
2020-10-19,24366
2020-10-20,24635
2020-10-21,24952
2020-10-22,25242
2020-10-23,25525
2020-10-24,25821
2020-10-25,26050
2020-10-26,26269
2020-10-27,26589
2020-10-28,26935
2020-10-29,27301
2020-10-30,27656
2020-10-31,27990
2020-11-01,28235
2020-11-02,28473
2020-11-03,28828
2020-11-04,29217
2020-11-05,29509
2020-11-06,29887
2020-11-07,30251
2020-11-08,30537
2020-11-09,30793
2020-11-10,31161
2020-11-11,31593
2020-11-12,32032
2020-11-13,32443
2020-11-14,32834
2020-11-15,33186
2020-11-16,33489
2020-11-17,33931
2020-11-18,34387
2020-11-19,34850
2020-11-20,35311
2020-11-21,35778
2020-11-22,36179
2020-11-23,36540
2020-11-24,37031
2020-11-25,37538
2020-11-26,38062
2020-11-27,38558
2020-11-28,39068
2020-11-29,39527
2020-11-30,39895
2020-12-01,40464
2020-12-02,41053
2020-12-03,41607
2020-12-04,42176
2020-12-05,42684
2020-12-06,43141
2020-12-07,43597
2020-12-08,44159
2020-12-09,44718
2020-12-10,45280
2020-12-11,45893
2020-12-12,46453
2020-12-13,46941
2020-12-14,47391
2020-12-15,47968
2020-12-16,48564
2020-12-17,49151
2020-12-18,49762
2020-12-19,50347
2020-12-20,50858
2020-12-21,51351
2020-12-22,51912
2020-12-23,52461
2020-12-24,53096
2020-12-25,53659
2020-12-26,54226
2020-12-27,54778
2020-12-28,55265
2020-12-29,55827
2020-12-30,56426
2020-12-31,57019
2021-01-01,57555
2021-01-02,58002
2021-01-03,58506
2021-01-04,58988
2021-01-05,59506
2021-01-06,59951
2021-01-07,60457
2021-01-08,60911
2021-01-09,61381
2021-01-10,61837
2021-01-11,62273
2021-01-12,62804
2021-01-13,63370
2021-01-14,63940
2021-01-15,64495
2021-01-16,65085
2021-01-17,65566
2021-01-18,66037
2021-01-19,66623
2021-01-20,67220
2021-01-21,67832
2021-01-22,68412
2021-01-23,68971
2021-01-24,69462
2021-01-25,69918
2021-01-26,70482
2021-01-27,71076
2021-01-28,71651
2021-01-29,72185
2021-01-30,72697
2021-01-31,73182
2021-02-01,73619
2021-02-02,74158
2021-02-03,74684
2021-02-04,75205
2021-02-05,75732
2021-02-06,76229
2021-02-07,76661
2021-02-08,77068
2021-02-09,77598
2021-02-10,78134
2021-02-11,78687
2021-02-12,79194
2021-02-13,79696
2021-02-14,80126
2021-02-15,80520
2021-02-16,80979
2021-02-17,81446
2021-02-18,81926
2021-02-19,82396
2021-02-20,82876
2021-02-21,83293
2021-02-22,83630
2021-02-23,84047
2021-02-24,84430
2021-02-25,84876
2021-02-26,85304
2021-02-27,85743
2021-02-28,86122
2021-03-01,86455
2021-03-02,86896
2021-03-03,87348
2021-03-04,87823
2021-03-05,88285
2021-03-06,88726
2021-03-07,89100
2021-03-08,89473
2021-03-09,89809
2021-03-10,90275
2021-03-11,90734
2021-03-12,91220
2021-03-13,91695
2021-03-14,92090
2021-03-15,92494
2021-03-16,92937
2021-03-17,93364
2021-03-18,93824
2021-03-19,94267
2021-03-20,94659
2021-03-21,95030
2021-03-22,95391
2021-03-23,95818
2021-03-24,96219
2021-03-25,96612
2021-03-26,97017
2021-03-27,97404
2021-03-28,97740
2021-03-29,98033
2021-03-30,98442
2021-03-31,98850
2021-04-01,99233
2021-04-02,99633
2021-04-03,100017
2021-04-04,100374
2021-04-05,100717
2021-04-06,101106
2021-04-07,101480
2021-04-08,101845
2021-04-09,102247
2021-04-10,102649
2021-04-11,102986
2021-04-12,103263
2021-04-13,103601
2021-04-14,104000
2021-04-15,104398
2021-04-16,104795
2021-04-17,105193
2021-04-18,105582
2021-04-19,105928
2021-04-20,106307
2021-04-21,106706
2021-04-22,107103
2021-04-23,107501
2021-04-24,107900
2021-04-25,108232
2021-04-26,108588
2021-04-27,108980
2021-04-28,109367
2021-04-29,109731
2021-04-30,110128
2021-05-01,110520
2021-05-02,110862
2021-05-03,111198
2021-05-04,111535
2021-05-05,111895
2021-05-06,112246
2021-05-07,112622
2021-05-08,112992
2021-05-09,113326
2021-05-10,113647
2021-05-11,113976
2021-05-12,114331
2021-05-13,114723
2021-05-14,115116
2021-05-15,115480
2021-05-16,115871
2021-05-17,116211
2021-05-18,116575
2021-05-19,116965
2021-05-20,117361
2021-05-21,117739
2021-05-22,118125
2021-05-23,118482
2021-05-24,118801
2021-05-25,119194
2021-05-26,119600
2021-05-27,120002
2021-05-28,120406
2021-05-29,120807
2021-05-30,121162
2021-05-31,121501
2021-06-01,121873
2021-06-02,122267
2021-06-03,122660
2021-06-04,123037
2021-06-05,123436
2021-06-06,123787
2021-06-07,124117
2021-06-08,124496
2021-06-09,124895
2021-06-10,125278
2021-06-11,125674
2021-06-12,126073
2021-06-13,126430
2021-06-14,126801
2021-06-15,127180
2021-06-16,127576
2021-06-17,127992
2021-06-18,128445
2021-06-19,128911
2021-06-20,129361
2021-06-21,129801
2021-06-22,130347
2021-06-23,130895
2021-06-24,131463
2021-06-25,132064
2021-06-26,132683
2021-06-27,133282
2021-06-28,133893
2021-06-29,134545
2021-06-30,135214
