dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-04,46414
2020-03-05,51366
2020-03-06,55688
2020-03-07,59960
2020-03-08,63191
2020-03-10,70601
2020-03-11,76963
2020-03-13,94852
2020-03-14,104883
2020-03-15,109939
2020-03-16,116061
2020-03-17,122854
2020-03-18,133101
2020-03-19,143519
2020-03-20,156016
2020-03-21,163529
2020-03-22,165772
2020-03-23,185918
2020-03-24,192824
2020-03-25,197251
2020-03-26,223509
2020-03-27,243377
2020-03-28,263888
2020-03-29,343523
2020-03-31,406500
2020-04-01,536000
2020-04-02,575103
2020-04-03,639606
2020-04-04,697004
2020-04-05,758401
2020-04-06,795523
2020-04-07,910221
2020-04-08,1004719
2020-04-09,1092811
2020-04-10,1184442
2020-04-11,1278747
2020-04-12,1359993
2020-04-13,1426014
2020-04-14,1517992
2020-04-15,1613413
2020-04-16,1718019
2020-04-17,1831892
2020-04-18,1949813
2020-04-19,2053319
2020-04-20,2142604
2020-04-21,2252539
2020-04-22,2401616
2020-04-23,2552000
2020-04-24,2721500
2020-04-25,2877699
2020-04-26,3019434
2020-04-27,3139258
2020-04-28,3303717
2020-04-29,3498308
2020-04-30,3723807
2020-05-01,3945518
2020-05-02,4099999
2020-05-03,4303243
2020-05-04,4460357
2020-05-05,4633731
2020-05-06,4803192
2020-05-07,4987468
2020-05-08,5221964
2020-05-09,5448463
2020-05-10,5636763
2020-05-11,5805404
2020-05-12,5982558
2020-05-13,6188102
2020-05-14,6413948
2020-05-15,6656340
2020-05-16,6916088
2020-05-17,7147014
2020-05-18,7352316
2020-05-19,7578029
2020-05-20,7840880
2020-05-21,8126626
2020-05-22,8402747
2020-05-23,8685305
2020-05-24,8945384
2020-05-25,9160590
2020-05-26,9415992
2020-05-27,9701280
2020-05-28,10000061
2020-05-29,10316200
2020-05-30,10643124
2020-05-31,10923108
2020-06-01,11151622
2020-06-02,11426045
2020-06-03,11733051
2020-06-04,12053663
2020-06-05,12388968
2020-06-06,12721549
2020-06-07,13016023
2020-06-08,13254678
2020-06-09,13545303
2020-06-10,13875097
2020-06-11,14218674
2020-06-12,14574117
2020-06-13,14880172
2020-06-14,15161152
2020-06-15,15395417
2020-06-16,15679724
2020-06-17,15991697
2020-06-18,16321964
2020-06-19,16661287
2020-06-20,16998453
2020-06-21,17289691
2020-06-22,17522752
2020-06-23,17803955
2020-06-24,18115830
2020-06-25,18402719
2020-06-26,18707946
2020-06-27,19044954
2020-06-28,19334442
2020-06-29,19562440
2020-06-30,19852167
2020-07-01,20168904
2020-07-02,20451110
2020-07-03,20752406
2020-07-05,21335394
2020-07-06,21537771
2020-07-07,21790705
2020-07-08,22079294
2020-07-09,22388195
2020-07-10,22708416
2020-07-11,23031056
2020-07-12,23292630
2020-07-13,23495752
2020-07-14,23754645
2020-07-15,24053516
2020-07-16,24364568
2020-07-17,24676930
2020-07-18,24991740
2020-07-19,25251614
2020-07-20,25449167
2020-07-21,25704372
2020-07-22,26000908
2020-07-23,26300652
2020-07-24,26610623
2020-07-25,26902291
2020-07-26,27141966
2020-07-27,27327570
2020-07-28,27569646
2020-07-29,27857850
2020-07-30,28161461
2020-07-31,28478012
2020-08-01,28793260
2020-08-02,29029900
2020-08-03,29201862
2020-08-04,29433890
2020-08-05,29716907
2020-08-06,30038123
2020-08-07,30341344
2020-08-08,30640020
2020-08-09,30886160
2020-08-10,31063187
2020-08-11,31307764
2020-08-12,31598302
2020-08-13,31903055
2020-08-14,32221546
2020-08-15,32533818
2020-08-16,32784478
2020-08-17,32968759
2020-08-18,33217468
2020-08-19,33509273
2020-08-20,33814105
2020-08-22,34447560
2020-08-23,34695406
2020-08-24,34883220
2020-08-25,35128661
2020-08-26,35423783
