dates,covid19mobilitytrend_transporthub
2020-02-15,12
2020-02-16,5
2020-02-17,5
2020-02-18,0
2020-02-19,1
2020-02-20,2
2020-02-21,9
2020-02-22,16
2020-02-23,5
2020-02-24,3
2020-02-25,1
2020-02-26,7
2020-02-27,9
2020-02-28,9
2020-02-29,3
2020-03-01,14
2020-03-02,5
2020-03-03,4
2020-03-04,9
2020-03-05,8
2020-03-06,12
2020-03-07,23
2020-03-08,17
2020-03-09,7
2020-03-10,4
2020-03-11,7
2020-03-12,9
2020-03-13,6
2020-03-14,17
2020-03-15,-8
2020-03-16,-2
2020-03-17,-13
2020-03-18,-15
2020-03-19,-13
2020-03-20,-22
2020-03-21,-27
2020-03-22,-60
2020-03-23,-68
2020-03-24,-71
2020-03-25,-72
2020-03-26,-73
2020-03-27,-76
2020-03-28,-73
2020-03-29,-75
2020-03-30,-75
2020-03-31,-73
2020-04-01,-71
2020-04-02,-71
2020-04-03,-75
2020-04-04,-72
2020-04-05,-75
2020-04-06,-73
2020-04-07,-80
2020-04-08,-73
2020-04-09,-73
2020-04-10,-77
2020-04-11,-72
2020-04-12,-77
2020-04-13,-78
2020-04-14,-74
2020-04-15,-73
2020-04-16,-74
2020-04-17,-76
2020-04-18,-73
2020-04-19,-76
2020-04-20,-72
2020-04-21,-73
2020-04-22,-72
2020-04-23,-73
2020-04-24,-74
2020-04-25,-72
2020-04-26,-75
2020-04-27,-73
2020-04-28,-71
2020-04-29,-71
2020-04-30,-69
2020-05-01,-74
2020-05-02,-71
2020-05-03,-75
2020-05-04,-43
2020-05-05,-40
2020-05-06,-39
2020-05-07,-35
2020-05-08,-42
2020-05-09,-40
2020-05-10,-51
2020-05-11,-37
2020-05-12,-37
2020-05-13,-35
2020-05-14,-34
2020-05-15,-40
2020-05-16,-37
2020-05-17,-49
2020-05-18,-36
2020-05-19,-34
2020-05-20,-33
2020-05-21,-31
2020-05-22,-39
2020-05-23,-35
2020-05-24,-48
2020-05-25,-39
2020-05-26,-34
2020-05-27,-33
2020-05-28,-29
2020-05-29,-36
