dates,cumulativecount_medicaltest_conditioncovid_19
2020-03-02,160
2020-03-03,400
2020-03-04,698
2020-03-05,1185
2020-03-06,2209
2020-03-07,4191
2020-03-08,5979
2020-03-09,8180
2020-03-10,11835
2020-03-11,14834
2020-03-12,18478
2020-03-13,22368
2020-03-14,25351
2020-03-15,28055
2020-03-16,31610
2020-03-17,35818
2020-03-18,39423
2020-03-19,43661
2020-03-20,48437
2020-03-21,54135
2020-03-22,60168
2020-03-23,67170
2020-03-24,73081
2020-03-25,78078
2020-03-26,83751
2020-03-27,89860
2020-03-28,95804
2020-03-29,102069
2020-03-30,108963
2020-03-31,116325
2020-04-01,123706
2020-04-02,131394
2020-04-03,139406
2020-04-04,147185
2020-04-05,153963
2020-04-06,160795
2020-04-07,167179
2020-04-08,173566
2020-04-09,180385
2020-04-10,187826
2020-04-11,196819
2020-04-12,204184
2020-04-13,212403
2020-04-14,220791
2020-04-15,228460
2020-04-16,236716
2020-04-17,245722
2020-04-18,254455
2020-04-19,264033
2020-04-20,273293
2020-04-21,282515
2020-04-22,292855
2020-04-23,301402
2020-04-24,311605
2020-04-25,320660
2020-04-26,329627
2020-04-27,338952
2020-04-28,349839
2020-04-29,359497
2020-04-30,368785
2020-05-01,381605
2020-05-02,394385
2020-05-03,406391
2020-05-04,417905
2020-05-05,430957
2020-05-06,446983
2020-05-07,460020
2020-05-08,474798
2020-05-09,490942
2020-05-10,508667
2020-05-11,523672
2020-05-12,538246
2020-05-13,554885
2020-05-14,571563
2020-05-15,589321
2020-05-16,627703
2020-05-17,643252
2020-05-18,659382
2020-05-19,677476
2020-05-20,692456
2020-05-21,708355
2020-05-22,725913
2020-05-23,744832
2020-05-24,763377
2020-05-25,780041
2020-05-26,795566
2020-05-27,811994
2020-05-28,828763
2020-05-29,847867
2020-05-30,864067
2020-05-31,879921
2020-06-01,895285
2020-06-02,912261
2020-06-03,928507
2020-06-04,950270
2020-06-05,974499
2020-06-06,999535
2020-06-07,1018113
2020-06-08,1038971
2020-06-09,1061110
