dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,1
2020-03-07,3
2020-03-08,0
2020-03-09,2
2020-03-10,4
2020-03-11,10
2020-03-12,0
2020-03-13,10
2020-03-14,24
2020-03-15,31
2020-03-16,17
2020-03-17,0
2020-03-18,30
2020-03-19,38
2020-03-20,67
2020-03-21,36
2020-03-22,70
2020-03-23,48
2020-03-24,119
2020-03-25,51
2020-03-26,205
2020-03-27,133
2020-03-28,112
2020-03-29,92
2020-03-30,99
2020-03-31,96
2020-04-01,154
2020-04-02,110
2020-04-03,157
2020-04-04,165
2020-04-05,154
2020-04-06,140
2020-04-07,223
2020-04-08,203
2020-04-09,190
2020-04-10,137
2020-04-11,355
2020-04-12,364
2020-04-13,382
2020-04-14,429
2020-04-15,472
2020-04-16,435
2020-04-17,493
2020-04-18,518
2020-04-19,762
2020-04-20,1132
2020-04-21,1088
2020-04-22,1122
2020-04-23,1147
2020-04-24,1141
2020-04-25,1158
2020-04-26,1172
2020-04-27,1197
2020-04-28,1223
2020-04-29,1289
2020-04-30,1266
2020-05-01,1325
2020-05-02,1351
2020-05-03,1344
2020-05-04,1362
2020-05-05,1552
2020-05-06,1645
2020-05-07,1595
2020-05-08,1687
2020-05-09,1793
2020-05-10,1701
2020-05-11,1704
2020-05-12,1912
2020-05-13,1966
2020-05-14,1911
2020-05-15,1905
2020-05-16,2039
2020-05-17,2307
2020-05-18,2840
2020-05-19,2736
2020-05-20,2593
2020-05-21,2509
2020-05-22,2691
2020-05-23,2532
2020-05-24,2642
2020-05-25,2442
2020-05-26,2399
2020-05-27,2235
2020-05-28,1931
2020-05-29,1815
2020-05-30,1644
2020-05-31,1581
2020-06-01,1618
2020-06-02,1877
2020-06-03,1881
2020-06-04,1869
2020-06-05,2171
2020-06-06,1975
2020-06-07,2591
2020-06-08,3121
2020-06-09,3045
2020-06-10,3369
2020-06-11,3288
2020-06-12,3717
2020-06-13,3733
2020-06-14,3921
2020-06-15,3366
2020-06-16,4233
2020-06-17,4507
2020-06-18,4267
2020-06-19,4919
2020-06-20,4757
2020-06-21,4301
2020-06-22,3941
2020-06-23,3379
2020-06-24,3393
2020-06-25,3139
2020-06-26,3123
2020-06-27,3372
2020-06-28,3938
2020-06-29,3927
2020-06-30,3989
2020-07-01,3943
2020-07-02,4387
2020-07-03,3402
2020-07-04,3383
2020-07-05,4193
2020-07-06,4128
2020-07-07,3580
2020-07-08,4207
2020-07-09,3392
2020-07-10,3036
2020-07-11,3183
2020-07-12,3159
2020-07-13,2994
2020-07-14,2779
2020-07-15,2852
2020-07-16,2692
2020-07-17,2671
2020-07-18,2764
2020-07-19,2613
2020-07-20,2565
2020-07-21,2504
2020-07-22,2429
2020-07-23,2476
2020-07-24,2331
2020-07-25,2238
2020-07-26,2378
2020-07-27,2201
2020-07-28,1968
2020-07-29,1993
2020-07-30,1897
2020-07-31,1759
2020-08-01,1629
2020-08-02,1686
2020-08-03,1573
2020-08-04,1357
2020-08-05,1258
2020-08-06,1342
2020-08-07,1389
2020-08-08,1402
2020-08-09,1567
2020-08-10,1469
2020-08-11,1428
2020-08-12,1257
2020-08-13,1521
2020-08-14,1569
2020-08-15,1482
2020-08-16,1383
2020-08-17,1413
2020-08-18,1227
2020-08-19,1372
2020-08-20,1409
2020-08-21,1363
2020-08-22,1287
2020-08-23,1213
2020-08-24,1184
2020-08-25,1109
2020-08-26,1175
2020-08-27,1114
2020-08-28,1068
2020-08-29,1019
2020-08-30,1069
2020-08-31,987
2020-09-01,910
2020-09-02,951
2020-09-03,898
2020-09-04,816
2020-09-05,833
2020-09-06,822
2020-09-07,791
2020-09-08,895
2020-09-09,629
2020-09-10,781
2020-09-11,775
2020-09-12,708
2020-09-13,687
2020-09-14,643
2020-09-15,601
2020-09-16,607
2020-09-17,672
2020-09-18,621
2020-09-19,593
2020-09-20,576
2020-09-21,551
2020-09-22,483
2020-09-23,492
2020-09-24,552
2020-09-25,561
2020-09-26,498
2020-09-27,472
2020-09-28,461
2020-09-29,403
2020-09-30,455
2020-10-01,539
2020-10-02,418
2020-10-03,492
2020-10-04,481
2020-10-05,419
2020-10-06,390
2020-10-07,379
2020-10-08,477
2020-10-09,468
2020-10-10,421
2020-10-11,407
2020-10-12,405
2020-10-13,323
2020-10-14,348
2020-10-15,474
2020-10-16,501
2020-10-17,472
2020-10-18,433
2020-10-19,359
2020-10-20,348
2020-10-21,381
2020-10-22,385
2020-10-23,405
2020-10-24,401
2020-10-25,383
2020-10-26,395
2020-10-27,323
2020-10-28,357
2020-10-29,399
2020-10-30,416
2020-10-31,435
2020-11-01,398
2020-11-02,402
2020-11-03,374
2020-11-04,381
2020-11-05,473
2020-11-06,426
2020-11-07,450
2020-11-08,436
2020-11-09,407
2020-11-10,363
2020-11-11,392
2020-11-12,471
2020-11-13,394
2020-11-14,311
2020-11-15,441
2020-11-16,349
2020-11-17,305
2020-11-18,301
2020-11-19,362
2020-11-20,290
2020-11-21,319
2020-11-22,286
2020-11-23,221
2020-11-24,224
2020-11-25,231
2020-11-26,252
2020-11-27,326
2020-11-28,322
2020-11-29,302
2020-11-30,220
2020-12-01,217
2020-12-02,232
2020-12-03,263
2020-12-04,249
2020-12-05,230
2020-12-06,234
2020-12-07,190
2020-12-08,187
2020-12-09,209
2020-12-10,193
2020-12-11,159
2020-12-12,141
2020-12-13,168
2020-12-14,166
2020-12-15,139
2020-12-16,125
2020-12-17,142
2020-12-18,180
2020-12-19,181
2020-12-20,174
2020-12-21,158
2020-12-22,162
2020-12-23,168
2020-12-24,181
2020-12-25,177
2020-12-26,189
2020-12-27,178
2020-12-28,163
2020-12-29,154
2020-12-30,119
2020-12-31,149
2021-01-01,113
2021-01-02,140
2021-01-03,137
2021-01-04,101
2021-01-05,82
2021-01-06,94
2021-01-07,104
2021-01-08,118
2021-01-09,108
2021-01-10,97
2021-01-11,110
2021-01-12,117
2021-01-13,140
2021-01-14,147
2021-01-15,175
2021-01-16,169
2021-01-17,173
2021-01-18,140
2021-01-19,176
2021-01-20,170
2021-01-21,226
2021-01-22,238
2021-01-23,212
2021-01-24,213
2021-01-25,197
2021-01-26,186
2021-01-27,213
2021-01-28,223
2021-01-29,216
2021-01-30,253
2021-01-31,267
2021-02-01,270
2021-02-02,261
2021-02-03,255
2021-02-04,310
2021-02-05,306
2021-02-06,303
2021-02-07,327
2021-02-08,386
2021-02-09,317
2021-02-10,356
2021-02-11,353
2021-02-12,369
2021-02-13,364
2021-02-14,353
2021-02-15,337
2021-02-16,322
2021-02-17,314
2021-02-18,322
2021-02-19,334
2021-02-20,327
2021-02-21,337
2021-02-22,325
2021-02-23,315
2021-02-24,327
2021-02-25,335
2021-02-26,353
2021-02-27,356
2021-02-28,346
2021-03-01,338
2021-03-02,322
2021-03-03,317
2021-03-04,302
2021-03-05,331
2021-03-06,375
2021-03-07,384
2021-03-08,382
2021-03-09,357
2021-03-10,351
2021-03-11,390
2021-03-12,386
2021-03-13,390
2021-03-14,360
2021-03-15,351
2021-03-16,348
2021-03-17,345
2021-03-18,354
2021-03-19,393
2021-03-20,381
2021-03-21,391
2021-03-22,382
2021-03-23,367
2021-03-24,404
2021-03-25,410
2021-03-26,466
2021-03-27,482
2021-03-28,510
2021-03-29,502
2021-03-30,531
2021-03-31,541
2021-04-01,556
2021-04-02,585
2021-04-03,590
2021-04-04,728
2021-04-05,684
2021-04-06,673
2021-04-07,695
2021-04-08,792
2021-04-09,783
2021-04-10,902
2021-04-11,904
2021-04-12,878
2021-04-13,799
2021-04-14,842
2021-04-15,951
2021-04-16,929
2021-04-17,985
2021-04-18,964
2021-04-19,948
2021-04-20,916
2021-04-21,970
2021-04-22,1070
2021-04-23,1028
2021-04-24,1055
2021-04-25,1098
2021-04-26,1072
2021-04-27,953
2021-04-28,958
2021-04-29,1045
2021-04-30,1062
2021-05-01,1026
2021-05-02,1056
2021-05-03,1048
2021-05-04,937
2021-05-05,953
2021-05-06,999
2021-05-07,1016
2021-05-08,1090
2021-05-09,1039
2021-05-10,997
2021-05-11,942
2021-05-12,986
2021-05-13,999
2021-05-14,1020
2021-05-15,1116
2021-05-16,927
2021-05-17,837
2021-05-18,825
2021-05-19,886
2021-05-20,1047
2021-05-21,1212
2021-05-22,1330
2021-05-23,1136
2021-05-24,1142
2021-05-25,1067
2021-05-26,1157
2021-05-27,1389
2021-05-28,1320
2021-05-29,1183
2021-05-30,1215
2021-05-31,1106
2021-06-01,907
2021-06-02,1245
2021-06-03,1251
2021-06-04,1269
2021-06-05,1261
2021-06-06,1201
2021-06-07,1144
2021-06-08,984
2021-06-09,1161
2021-06-10,1261
2021-06-11,1274
2021-06-12,1286
2021-06-13,1175
2021-06-14,1077
2021-06-15,1017
2021-06-16,1109
2021-06-17,1269
2021-06-18,1239
2021-06-19,1309
2021-06-20,1236
2021-06-21,1153
2021-06-22,1079
2021-06-23,1212
2021-06-24,1479
2021-06-25,1253
2021-06-26,1255
2021-06-27,1312
2021-06-28,1301
2021-06-29,1218
2021-06-30,1318
2021-07-01,1567
2021-07-02,1486
2021-07-03,1534
2021-07-04,1338
2021-07-05,1148
2021-07-06,1173
2021-07-07,1247
2021-07-08,1277
2021-07-09,1207
2021-07-10,1257
2021-07-11,1133
2021-07-12,1177
2021-07-13,1112
2021-07-14,1244
2021-07-15,1295
2021-07-16,1226
2021-07-17,1165
2021-07-18,1298
2021-07-19,1098
2021-07-20,1055
2021-07-21,1293
2021-07-22,1273
2021-07-23,1142
2021-07-24,1162
