dates,covid19mobilitytrend_transporthub
2020-02-15,-3
2020-02-16,0
2020-02-17,0
2020-02-18,-4
2020-02-19,-6
2020-02-20,-2
2020-02-21,-3
2020-02-22,-4
2020-02-23,-3
2020-02-24,-1
2020-02-25,-11
2020-02-26,-9
2020-02-27,-3
2020-02-28,-2
2020-02-29,-1
2020-03-01,1
2020-03-02,2
2020-03-03,-1
2020-03-04,-1
2020-03-05,-1
2020-03-06,-2
2020-03-07,0
2020-03-08,-1
2020-03-09,0
2020-03-10,-3
2020-03-11,-4
2020-03-12,-3
2020-03-13,-3
2020-03-14,-7
2020-03-15,-7
2020-03-16,-7
2020-03-17,-11
2020-03-18,-17
2020-03-19,-20
2020-03-20,-22
2020-03-21,-30
2020-03-22,-38
2020-03-23,-36
2020-03-24,-45
2020-03-25,-47
2020-03-26,-48
2020-03-27,-51
2020-03-28,-52
2020-03-29,-50
2020-03-30,-45
2020-03-31,-49
2020-04-01,-48
2020-04-02,-47
2020-04-03,-48
2020-04-04,-53
2020-04-05,-50
2020-04-06,-44
2020-04-07,-47
2020-04-08,-48
2020-04-09,-48
2020-04-10,-49
2020-04-11,-49
2020-04-12,-51
2020-04-13,-55
2020-04-14,-48
2020-04-15,-48
2020-04-16,-48
2020-04-17,-51
2020-04-18,-52
2020-04-19,-52
2020-04-20,-48
2020-04-21,-51
2020-04-22,-51
2020-04-23,-50
2020-04-24,-52
2020-04-25,-57
2020-04-26,-59
2020-04-27,-55
2020-04-28,-57
2020-04-29,-56
2020-04-30,-53
2020-05-01,-62
2020-05-02,-58
2020-05-03,-58
2020-05-04,-52
2020-05-05,-52
2020-05-06,-54
2020-05-07,-48
2020-05-08,-54
2020-05-09,-52
2020-05-10,-54
2020-05-11,-50
2020-05-12,-47
2020-05-13,-50
2020-05-14,-47
2020-05-15,-48
2020-05-16,-47
2020-05-17,-53
2020-05-18,-43
2020-05-19,-47
2020-05-20,-45
2020-05-21,-49
2020-05-22,-40
2020-05-23,-36
2020-05-24,-57
2020-05-25,-62
2020-05-26,-49
2020-05-27,-44
2020-05-28,-43
2020-05-29,-42
2020-05-30,-44
2020-05-31,-47
2020-06-01,-47
2020-06-02,-41
2020-06-03,-41
2020-06-04,-38
2020-06-05,-39
2020-06-06,-39
2020-06-07,-42
2020-06-08,-29
2020-06-09,-34
2020-06-10,-35
2020-06-11,-32
2020-06-12,-35
2020-06-13,-34
2020-06-14,-39
2020-06-15,-28
2020-06-16,-33
2020-06-17,-33
2020-06-18,-34
2020-06-19,-36
2020-06-20,-35
2020-06-21,-40
2020-06-22,-28
2020-06-23,-32
2020-06-24,-34
2020-06-25,-34
2020-06-26,-35
2020-06-27,-34
2020-06-28,-41
2020-06-29,-25
2020-06-30,-29
2020-07-01,-30
2020-07-02,-26
2020-07-03,-26
2020-07-04,-25
2020-07-05,-34
2020-07-06,-17
2020-07-07,-22
2020-07-08,-24
2020-07-09,-19
2020-07-10,-23
2020-07-11,-23
2020-07-12,-34
2020-07-13,-15
2020-07-14,-27
2020-07-15,-22
2020-07-16,-21
2020-07-17,-23
2020-07-18,-23
2020-07-19,-26
2020-07-20,-16
2020-07-21,-33
2020-07-22,-21
2020-07-23,-17
2020-07-24,-18
2020-07-25,-18
2020-07-26,-12
2020-07-27,-5
2020-07-28,-7
2020-07-29,0
2020-07-30,4
2020-07-31,-56
2020-08-01,-57
2020-08-02,-38
2020-08-03,-34
2020-08-04,-33
2020-08-05,-32
2020-08-06,-31
2020-08-07,-33
2020-08-08,-30
2020-08-09,-31
2020-08-10,-21
2020-08-11,-26
2020-08-12,-27
2020-08-13,-25
2020-08-14,-30
2020-08-15,-35
2020-08-16,-31
2020-08-17,-19
2020-08-18,-24
2020-08-19,-27
2020-08-20,-29
2020-08-21,-35
2020-08-22,-27
2020-08-23,-33
2020-08-24,-21
2020-08-25,-26
2020-08-26,-32
2020-08-27,-27
2020-08-28,-25
2020-08-29,-35
2020-08-30,-38
2020-08-31,-21
2020-09-01,-24
2020-09-02,-29
2020-09-03,-25
2020-09-04,-24
2020-09-05,-38
2020-09-06,-37
2020-09-07,-18
2020-09-08,-18
2020-09-09,-24
2020-09-10,-17
2020-09-11,-23
2020-09-12,-22
2020-09-13,-27
2020-09-14,-14
2020-09-15,-16
2020-09-16,-21
2020-09-17,-20
2020-09-18,-23
2020-09-19,-24
2020-09-20,-32
2020-09-21,-18
2020-09-22,-20
2020-09-23,-22
2020-09-24,-24
2020-09-25,-23
2020-09-26,-24
2020-09-27,-27
2020-09-28,-17
2020-09-29,-19
2020-09-30,-19
2020-10-01,-19
2020-10-02,-17
2020-10-03,-17
2020-10-04,-19
2020-10-05,-34
2020-10-06,-57
2020-10-07,-41
2020-10-08,-29
2020-10-09,-31
2020-10-10,-30
2020-10-11,-30
2020-10-12,-18
2020-10-13,-22
2020-10-14,-22
2020-10-15,-17
2020-10-16,-22
2020-10-17,-23
2020-10-18,-27
2020-10-19,-19
2020-10-20,-24
2020-10-21,-24
2020-10-22,-20
2020-10-23,-23
2020-10-24,-24
2020-10-25,-27
2020-10-26,-20
2020-10-27,-19
2020-10-28,-16
2020-10-29,-26
2020-10-30,-48
2020-10-31,-33
2020-11-01,-27
2020-11-02,-17
2020-11-03,-19
2020-11-04,-21
2020-11-05,-20
2020-11-06,-21
2020-11-07,-20
2020-11-08,-24
2020-11-09,-14
2020-11-10,-16
2020-11-11,-16
2020-11-12,-15
2020-11-13,-18
2020-11-14,-17
2020-11-15,-23
2020-11-16,-14
2020-11-17,-20
2020-11-18,-20
2020-11-19,-18
2020-11-20,-21
2020-11-21,-23
2020-11-22,-28
2020-11-23,-17
2020-11-24,-19
2020-11-25,-20
2020-11-26,-19
2020-11-27,-21
2020-11-28,-22
2020-11-29,-28
2020-11-30,-12
2020-12-01,-17
2020-12-02,-15
2020-12-03,-11
2020-12-04,-11
2020-12-05,-14
2020-12-06,-21
2020-12-07,-10
2020-12-08,-14
2020-12-09,-17
2020-12-10,-8
2020-12-11,-10
2020-12-12,-11
2020-12-13,-15
2020-12-14,-7
2020-12-15,-9
2020-12-16,-8
2020-12-17,-6
2020-12-18,-9
2020-12-19,-9
2020-12-20,-14
2020-12-21,-4
2020-12-22,-9
2020-12-23,-6
2020-12-24,3
2020-12-25,-27
2020-12-26,-15
2020-12-27,-15
2020-12-28,-3
2020-12-29,-10
2020-12-30,-5
2020-12-31,2
2021-01-01,-36
2021-01-02,-18
2021-01-03,-10
2021-01-04,-2
2021-01-05,-10
2021-01-06,-11
2021-01-07,-7
2021-01-08,-9
2021-01-09,-14
2021-01-10,-20
2021-01-11,-6
2021-01-12,-14
2021-01-13,-16
2021-01-14,-18
2021-01-15,-23
2021-01-16,-27
2021-01-17,-32
2021-01-18,-19
2021-01-19,-25
2021-01-20,-24
2021-01-21,-22
2021-01-22,-26
2021-01-23,-27
2021-01-24,-32
2021-01-25,-19
2021-01-26,-25
2021-01-27,-21
2021-01-28,-19
2021-01-29,-18
2021-01-30,-18
2021-01-31,-25
2021-02-01,-14
2021-02-02,-17
2021-02-03,-22
2021-02-04,-21
2021-02-05,-25
2021-02-06,-22
2021-02-07,-25
2021-02-08,-16
2021-02-09,-20
2021-02-10,-21
2021-02-11,-20
2021-02-12,-23
2021-02-13,-24
2021-02-14,-29
2021-02-15,-16
2021-02-16,-21
2021-02-17,-22
2021-02-18,-18
2021-02-19,-20
2021-02-20,-22
2021-02-21,-29
2021-02-22,-16
2021-02-23,-22
2021-02-24,-21
2021-02-25,-18
2021-02-26,-21
2021-02-27,-21
2021-02-28,-27
2021-03-01,-13
2021-03-02,-19
2021-03-03,-29
2021-03-04,-22
2021-03-05,-48
2021-03-06,-41
2021-03-07,-34
2021-03-08,-49
2021-03-09,-30
2021-03-10,-24
2021-03-11,-18
2021-03-12,-20
2021-03-13,-19
2021-03-14,-18
2021-03-15,-5
2021-03-16,-10
2021-03-17,-12
2021-03-18,-10
2021-03-19,-12
2021-03-20,-13
2021-03-21,-18
2021-03-22,-5
2021-03-23,-9
2021-03-24,-11
2021-03-25,-7
2021-03-26,-10
2021-03-27,-9
2021-03-28,-14
2021-03-29,-1
2021-03-30,-7
2021-03-31,-4
2021-04-01,4
2021-04-02,2
2021-04-03,0
2021-04-04,-13
2021-04-05,-15
2021-04-06,3
