dates,cumulativecount_medicaltest_conditioncovid_19
2020-02-28,1
2020-03-03,3
2020-03-04,14
2020-03-06,16
2020-03-07,18
2020-03-08,20
2020-03-09,26
2020-03-10,27
2020-03-11,35
2020-03-12,41
2020-03-13,53
2020-03-14,56
2020-03-15,58
2020-03-16,67
2020-03-17,111
2020-03-18,138
2020-03-19,160
2020-03-20,216
2020-03-21,247
2020-03-22,332
2020-03-23,392
2020-03-24,451
2020-03-25,593
2020-03-26,723
2020-03-27,867
2020-03-28,965
2020-03-29,1116
2020-03-30,1203
2020-03-31,1300
2020-04-01,1443
2020-04-02,1570
2020-04-03,1723
2020-04-04,1900
2020-04-05,1992
2020-04-06,2087
2020-04-07,2197
2020-04-08,2305
2020-04-09,2504
2020-04-10,2699
2020-04-11,2872
2020-04-12,2976
2020-04-13,3120
2020-04-14,3392
2020-04-15,3619
2020-04-16,4054
2020-04-17,4341
2020-04-18,4567
2020-04-19,4880
2020-04-20,5161
2020-04-21,5627
2020-04-22,6109
2020-04-23,6496
2020-04-24,7024
2020-04-25,7727
2020-04-26,8306
2020-04-27,8983
2020-04-28,9856
2020-04-29,10656
2020-04-30,11817
2020-05-01,12718
2020-05-02,13908
2020-05-03,14718
2020-05-04,15525
2020-05-05,16227
2020-05-06,17409
2020-05-07,18436
2020-05-08,19308
2020-05-09,20156
2020-05-10,21512
2020-05-11,22429
2020-05-12,23528
2020-05-13,24448
2020-05-14,25440
2020-05-15,26568
2020-05-16,27557
2020-05-17,28373
2020-05-18,29545
2020-05-19,30475
2020-05-20,31517
2020-05-21,32732
2020-05-22,33931
2020-05-23,34865
2020-05-24,35754
2020-05-25,36845
2020-05-26,37396
2020-05-27,38357
2020-05-28,39348
2020-05-29,40584
2020-05-30,41954
2020-05-31,42978
2020-06-01,44798
2020-06-02,46137
2020-06-03,47686
2020-06-04,49034
2020-06-05,50734
2020-06-06,51900
2020-06-07,53166
2020-06-08,54176
2020-06-09,55578
2020-06-10,56783
2020-06-11,57947
2020-06-12,58952
2020-06-13,60330
2020-06-14,61553
2020-06-15,62807
2020-06-16,63806
2020-06-17,64776
2020-06-18,66182
2020-06-19,67799
2020-06-20,69046
2020-06-21,70024
2020-06-22,71064
2020-06-23,72109
2020-06-24,73096
2020-06-25,74081
2020-06-26,75138
2020-06-27,76147
2020-06-28,77326
2020-06-29,78282
2020-06-30,79556
2020-07-01,80463
2020-07-02,81623
2020-07-03,82701
2020-07-04,83660
2020-07-05,84416
2020-07-06,85254
2020-07-07,85947
2020-07-08,86735
2020-07-09,87705
2020-07-10,88573
2020-07-11,89363
2020-07-12,90471
2020-07-13,91181
2020-07-14,91945
2020-07-15,92749
2020-07-16,93922
2020-07-17,94996
2020-07-18,95786
2020-07-19,96498
2020-07-20,97137
2020-07-21,97506
2020-07-22,98750
2020-07-23,99920
2020-07-24,101522
2020-07-25,102837
2020-07-26,104204
2020-07-27,105287
2020-07-28,106111
2020-07-29,108074
2020-07-30,109621
2020-07-31,110995
2020-08-01,111845
2020-08-02,112760
2020-08-03,113706
2020-08-04,114784
2020-08-05,116025
2020-08-06,117942
2020-08-07,119653
2020-08-08,121229
2020-08-09,122885
2020-08-10,124287
2020-08-11,125163
2020-08-12,127005
2020-08-13,128735
2020-08-14,130687
2020-08-15,132573
2020-08-16,133890
2020-08-17,134939
2020-08-18,135865
2020-08-19,137328
2020-08-20,138847
2020-08-21,140268
2020-08-22,141820
2020-08-23,143070
2020-08-24,143882
2020-08-25,144698
2020-08-26,146082
2020-08-27,147324
2020-08-28,148574
2020-08-29,149912
2020-08-30,151188
2020-08-31,152278
2020-09-01,153222
2020-09-02,154409
2020-09-03,155441
2020-09-04,156787
2020-09-05,158100
2020-09-06,159266
2020-09-07,160348
2020-09-08,161136
2020-09-09,162453
2020-09-10,163386
2020-09-11,164647
2020-09-12,165740
2020-09-13,166946
2020-09-14,167798
2020-09-15,168525
2020-09-16,169694
2020-09-17,171006
2020-09-18,172160
2020-09-19,173494
2020-09-20,174718
2020-09-21,175715
2020-09-22,176572
2020-09-23,177577
2020-09-24,178582
2020-09-25,179752
2020-09-26,180893
2020-09-27,182188
2020-09-28,183117
2020-09-29,184037
2020-09-30,185303
2020-10-01,186654
2020-10-02,187867
2020-10-03,189204
2020-10-04,190335
2020-10-05,191264
2020-10-06,192041
2020-10-07,193083
2020-10-08,194070
2020-10-09,195129
2020-10-10,196306
2020-10-11,197397
2020-10-12,198036
2020-10-13,198960
2020-10-14,200253
2020-10-15,201358
2020-10-16,202442
2020-10-17,203424
2020-10-18,204580
2020-10-19,205409
2020-10-20,206225
2020-10-21,207235
2020-10-22,208134
2020-10-23,209513
2020-10-24,210450
2020-10-25,211467
2020-10-26,212043
2020-10-27,212496
2020-10-28,213217
2020-10-29,213906
2020-10-30,214711
2020-10-31,215665
2020-11-01,216703
2020-11-02,217356
2020-11-03,217756
2020-11-04,218525
2020-11-05,219265
2020-11-06,220033
2020-11-07,221001
2020-11-08,221798
2020-11-09,222342
2020-11-10,222939
2020-11-11,223677
2020-11-12,224390
2020-11-13,225039
2020-11-14,226108
2020-11-15,226970
2020-11-16,227578
2020-11-17,228129
2020-11-18,228915
2020-11-19,229715
2020-11-20,230509
2020-11-21,231487
2020-11-22,232378
2020-11-23,233062
2020-11-24,233586
2020-11-25,234329
2020-11-26,235288
2020-11-27,236209
2020-11-28,237259
2020-11-29,238288
2020-11-30,239010
2020-12-01,239690
2020-12-02,240743
2020-12-03,241659
2020-12-04,242713
2020-12-05,243937
2020-12-06,244862
2020-12-07,246093
2020-12-08,246937
2020-12-09,247938
2020-12-10,249222
2020-12-11,250619
2020-12-12,251947
2020-12-13,253174
2020-12-14,254296
2020-12-15,255234
2020-12-16,256513
2020-12-17,258057
2020-12-18,259546
2020-12-19,261365
2020-12-20,262721
2020-12-21,264125
2020-12-22,265078
2020-12-23,266517
2020-12-24,268677
2020-12-25,270041
2020-12-26,271590
2020-12-27,272790
2020-12-28,273984
2020-12-29,274968
2020-12-30,276347
2020-12-31,277749
2021-01-01,279467
2021-01-02,281121
2021-01-03,282824
2021-01-04,284117
2021-01-05,285446
2021-01-06,286986
2021-01-07,288761
2021-01-08,291031
2021-01-09,293586
2021-01-10,295367
2021-01-11,297294
2021-01-12,298356
2021-01-13,300065
2021-01-14,301902
2021-01-15,304188
2021-01-16,306715
2021-01-17,308954
2021-01-18,310842
2021-01-19,312285
2021-01-20,313665
2021-01-21,316165
2021-01-22,318435
2021-01-23,320824
2021-01-24,323272
2021-01-25,325371
2021-01-26,326886
2021-01-27,328584
2021-01-28,330846
2021-01-29,332948
2021-01-30,335128
2021-01-31,337211
2021-02-01,339622
2021-02-02,341079
2021-02-03,342866
2021-02-04,345389
2021-02-05,347720
2021-02-06,350749
2021-02-07,353047
2021-02-08,355408
2021-02-09,356737
2021-02-10,358390
2021-02-11,361250
2021-02-12,363938
2021-02-13,366225
2021-02-14,368341
2021-02-15,370397
2021-02-16,371952
2021-02-17,374144
2021-02-18,376272
2021-02-19,378440
2021-02-20,381026
2021-02-21,383374
2021-02-22,385305
2021-02-23,386938
2021-02-24,388978
2021-02-25,391525
2021-02-26,394287
2021-02-27,396497
2021-02-28,398805
2021-03-01,400551
2021-03-02,401824
2021-03-03,403841
2021-03-04,405911
2021-03-05,408000
2021-03-06,409856
2021-03-07,411913
2021-03-08,413140
2021-03-09,414168
2021-03-10,415558
2021-03-11,417506
2021-03-12,419441
2021-03-13,421143
2021-03-14,422960
2021-03-15,424290
2021-03-16,425406
2021-03-17,427298
2021-03-18,429187
2021-03-19,430842
2021-03-20,433056
2021-03-21,434950
2021-03-22,436348
2021-03-23,437080
2021-03-24,438986
2021-03-25,440557
2021-03-26,442143
2021-03-27,443985
2021-03-28,445835
2021-03-29,446974
2021-03-30,448047
2021-03-31,449654
2021-04-01,451313
2021-04-02,453136
2021-04-03,454771
2021-04-04,456605
2021-04-05,458026
2021-04-06,458819
2021-04-07,459686
2021-04-08,461107
2021-04-09,462548
2021-04-10,464063
2021-04-11,465873
2021-04-12,467160
2021-04-13,468159
2021-04-14,469670
2021-04-15,470985
2021-04-16,472560
2021-04-17,474232
2021-04-18,475768
2021-04-19,476989
2021-04-20,477900
2021-04-21,479549
2021-04-22,480941
2021-04-23,482166
2021-04-24,483804
2021-04-25,485256
2021-04-26,486450
2021-04-27,487330
2021-04-28,488561
2021-04-29,489870
2021-04-30,491150
2021-05-01,492702
2021-05-02,494482
2021-05-03,495450
2021-05-04,496398
2021-05-05,497597
2021-05-06,498626
2021-05-07,499939
2021-05-08,501311
2021-05-09,502364
2021-05-10,503203
2021-05-11,504045
2021-05-12,505139
2021-05-13,506129
2021-05-14,507184
2021-05-15,508145
2021-05-16,509653
2021-05-17,510757
2021-05-18,511626
2021-05-19,512984
2021-05-20,514219
2021-05-21,515657
2021-05-22,517290
2021-05-23,519065
2021-05-24,520421
2021-05-25,521314
2021-05-26,522416
2021-05-27,524183
2021-05-28,525625
2021-05-29,527562
2021-05-30,529397
2021-05-31,530923
2021-06-01,531974
2021-06-02,533660
2021-06-03,534935
2021-06-04,536146
2021-06-05,537894
2021-06-06,539763
2021-06-07,541131
2021-06-08,542110
2021-06-09,543752
2021-06-10,545101
2021-06-11,546423
2021-06-12,548407
2021-06-13,550202
2021-06-14,551528
2021-06-15,552501
2021-06-16,554128
2021-06-17,555475
2021-06-18,556891
2021-06-19,558697
2021-06-20,560596
2021-06-21,562025
2021-06-22,563098
2021-06-23,564943
2021-06-24,566525
2021-06-25,567710
2021-06-26,569655
2021-06-27,571515
2021-06-28,572968
2021-06-29,574168
2021-06-30,576200
2021-07-01,578224
2021-07-02,580434
2021-07-03,582516
2021-07-04,584620
2021-07-05,586437
2021-07-06,587692
2021-07-07,590080
2021-07-08,592246
2021-07-09,594350
2021-07-10,597112
2021-07-11,599827
2021-07-12,601852
2021-07-13,603659
2021-07-14,606513
2021-07-15,609130
2021-07-16,612043
2021-07-17,615858
2021-07-18,620277
2021-07-19,622634
2021-07-20,625207
2021-07-21,628257
2021-07-22,630382
2021-07-23,633335
2021-07-24,636583
2021-07-25,638924
2021-07-26,641606
2021-07-27,644192
2021-07-28,647502
2021-07-29,650666
2021-07-30,654867
2021-07-31,658655
2021-08-01,662198
2021-08-02,664754
2021-08-03,667477
2021-08-04,670556
2021-08-05,673759
2021-08-06,678230
2021-08-07,682280
2021-08-08,686373
2021-08-09,689594
2021-08-10,691802
2021-08-11,695974
2021-08-12,699252
2021-08-13,702833
2021-08-14,706507
2021-08-15,710004
2021-08-16,712812
2021-08-17,714791
2021-08-18,717841
2021-08-19,720412
2021-08-20,723384
2021-08-21,726264
2021-08-22,729768
2021-08-23,732145
2021-08-24,733828
2021-08-25,736997
2021-08-26,739238
2021-08-27,741932
2021-08-28,744595
2021-08-29,747797
2021-08-30,750083
2021-08-31,751536
2021-09-01,754568
2021-09-02,756743
2021-09-03,759189
2021-09-04,761496
2021-09-05,764247
2021-09-06,766255
2021-09-07,768084
2021-09-08,770483
2021-09-09,772305
2021-09-10,774592
2021-09-11,776801
2021-09-12,779532
2021-09-13,781275
2021-09-14,782718
2021-09-15,784792
2021-09-16,787356
2021-09-17,789268
2021-09-18,791537
2021-09-19,793724
2021-09-20,795203
2021-09-21,796429
2021-09-22,798337
2021-09-23,800025
2021-09-24,801576
2021-09-25,803446
2021-09-26,805334
2021-09-27,806766
2021-09-28,807939
2021-09-29,809338
2021-09-30,811094
2021-10-01,812527
2021-10-02,814246
2021-10-03,815963
2021-10-04,817374
2021-10-05,818785
2021-10-06,820434
2021-10-07,822101
2021-10-08,823440
2021-10-09,825239
2021-10-10,827148
2021-10-11,828577
2021-10-12,829561
