dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,1
2020-04-02,2
2020-04-03,2
2020-04-04,2
2020-04-05,4
2020-04-06,6
2020-04-07,6
2020-04-08,6
2020-04-09,7
2020-04-10,7
2020-04-11,8
2020-04-12,10
2020-04-13,10
2020-04-14,10
2020-04-15,13
2020-04-16,13
2020-04-17,15
2020-04-18,26
2020-04-19,30
2020-04-20,35
2020-04-21,43
2020-04-22,50
2020-04-23,61
2020-04-24,64
2020-04-25,83
2020-04-26,86
2020-04-27,93
2020-04-28,99
2020-04-29,104
2020-04-30,116
2020-05-01,124
2020-05-02,136
2020-05-03,155
2020-05-04,166
2020-05-05,178
2020-05-06,199
2020-05-07,225
2020-05-08,231
2020-05-09,257
2020-05-10,291
2020-05-11,307
2020-05-12,338
2020-05-13,338
2020-05-14,387
2020-05-15,408
2020-05-16,447
2020-05-17,462
2020-05-18,505
2020-05-19,519
2020-05-20,534
2020-05-21,570
2020-05-22,585
2020-05-23,606
2020-05-24,621
2020-05-25,721
2020-05-26,735
2020-05-27,754
2020-05-28,782
2020-05-29,812
2020-05-30,829
2020-05-31,852
2020-06-01,861
2020-06-02,865
2020-06-03,896
2020-06-04,909
2020-06-05,914
2020-06-06,929
2020-06-07,946
2020-06-08,969
2020-06-09,1001
2020-06-10,1025
2020-06-11,1062
2020-06-12,1085
2020-06-13,1103
2020-06-14,1132
2020-06-15,1169
2020-06-16,1176
2020-06-17,1225
2020-06-18,1249
2020-06-19,1272
2020-06-20,1298
2020-06-21,1309
2020-06-22,1327
2020-06-23,1340
2020-06-24,1347
2020-06-25,1354
2020-06-26,1381
2020-06-27,1394
2020-06-28,1410
2020-06-29,1427
2020-06-30,1450
2020-07-01,1462
2020-07-02,1498
2020-07-03,1518
2020-07-04,1524
2020-07-05,1533
2020-07-06,1542
2020-07-07,1547
2020-07-08,1572
2020-07-09,1584
2020-07-10,1598
2020-07-11,1613
2020-07-12,1618
2020-07-13,1635
2020-07-14,1642
2020-07-15,1651
2020-07-16,1668
2020-07-17,1678
2020-07-18,1688
2020-07-19,1701
2020-07-20,1711
2020-07-21,1711
2020-07-22,1727
2020-07-23,1731
2020-07-24,1752
2020-07-25,1765
2020-07-26,1768
2020-07-27,1783
2020-07-28,1783
2020-07-29,1786
2020-07-30,1803
2020-07-31,1818
2020-08-01,1823
2020-08-02,1835
2020-08-03,1843
2020-08-04,1848
2020-08-05,1855
2020-08-06,1860
2020-08-07,1877
2020-08-08,1887
2020-08-09,1895
2020-08-10,1916
2020-08-11,1917
2020-08-12,1932
2020-08-13,1937
2020-08-14,1940
2020-08-15,1947
2020-08-16,1954
2020-08-17,1956
2020-08-18,1956
2020-08-19,1959
2020-08-20,1961
2020-08-21,1969
2020-08-22,1972
2020-08-23,1980
2020-08-24,1992
2020-08-25,1997
2020-08-26,2001
2020-08-27,2003
2020-08-28,2013
2020-08-29,2015
2020-08-30,2019
2020-08-31,2022
2020-09-01,2026
2020-09-02,2028
2020-09-03,2029
2020-09-04,2035
2020-09-05,2041
2020-09-06,2043
2020-09-07,2054
2020-09-08,2055
2020-09-09,2064
2020-09-10,2067
2020-09-11,2069
2020-09-12,2087
2020-09-13,2096
2020-09-14,2109
2020-09-15,2111
2020-09-16,2126
2020-09-17,2133
2020-09-18,2137
2020-09-19,2153
2020-09-20,2159
2020-09-21,2168
2020-09-22,2168
2020-09-23,2174
2020-09-24,2183
2020-09-25,2188
2020-09-26,2199
2020-09-27,2208
2020-09-28,2215
2020-09-29,2215
2020-09-30,2222
2020-10-01,2231
2020-10-02,2238
2020-10-03,2252
2020-10-04,2259
2020-10-05,2269
2020-10-06,2269
2020-10-07,2277
2020-10-08,2287
2020-10-09,2287
2020-10-10,2295
2020-10-11,2300
2020-10-12,2306
2020-10-13,2306
2020-10-14,2309
2020-10-15,2315
2020-10-16,2323
2020-10-17,2325
2020-10-18,2327
2020-10-19,2330
2020-10-20,2331
2020-10-21,2336
2020-10-22,2336
2020-10-23,2340
2020-10-24,2343
2020-10-25,2345
2020-10-26,2346
2020-10-27,2346
2020-10-28,2350
2020-10-29,2354
2020-10-30,2362
2020-10-31,2365
2020-11-01,2366
2020-11-02,2366
2020-11-03,2366
2020-11-04,2368
2020-11-05,2369
2020-11-06,2373
2020-11-07,2373
2020-11-08,2381
2020-11-09,2383
2020-11-10,2386
2020-11-11,2386
2020-11-12,2386
2020-11-13,2386
2020-11-14,2389
2020-11-15,2391
2020-11-16,2391
2020-11-17,2391
2020-11-18,2392
2020-11-19,2397
2020-11-20,2397
2020-11-21,2399
2020-11-22,2405
2020-11-23,2405
2020-11-24,2406
2020-11-25,2406
2020-11-26,2408
2020-11-27,2409
2020-11-28,2410
2020-11-29,2410
2020-11-30,2411
2020-12-01,2412
2020-12-02,2413
2020-12-03,2416
2020-12-04,2416
2020-12-05,2420
2020-12-06,2420
2020-12-07,2426
2020-12-08,2428
2020-12-09,2428
2020-12-10,2434
2020-12-11,2435
2020-12-12,2438
2020-12-13,2440
2020-12-14,2442
2020-12-15,2445
2020-12-16,2451
2020-12-17,2460
2020-12-18,2464
2020-12-19,2486
2020-12-20,2497
2020-12-21,2509
2020-12-22,2509
2020-12-23,2518
2020-12-24,2524
2020-12-25,2531
2020-12-26,2549
2020-12-27,2549
2020-12-28,2560
2020-12-29,2560
2020-12-30,2569
2020-12-31,2583
2021-01-01,2611
2021-01-02,2635
2021-01-03,2646
2021-01-04,2673
2021-01-05,2687
2021-01-06,2724
2021-01-07,2739
2021-01-08,2757
2021-01-09,2782
2021-01-10,2803
2021-01-11,2834
2021-01-12,2846
2021-01-13,2864
2021-01-14,2887
2021-01-15,2933
2021-01-16,2959
2021-01-17,2970
2021-01-18,3006
2021-01-19,3014
2021-01-20,3030
2021-01-21,3051
2021-01-22,3081
2021-01-23,3093
2021-01-24,3120
2021-01-25,3139
2021-01-26,3173
2021-01-27,3194
2021-01-28,3236
2021-01-29,3282
2021-01-30,3382
2021-01-31,3528
2021-02-01,3593
2021-02-02,3634
2021-02-03,3660
2021-02-04,3699
2021-02-05,3728
2021-02-06,3759
2021-02-07,3772
2021-02-08,3785
2021-02-09,3789
2021-02-10,3801
2021-02-11,3803
2021-02-12,3813
2021-02-13,3817
2021-02-14,3821
2021-02-15,3823
2021-02-16,3823
2021-02-17,3825
2021-02-18,3825
2021-02-19,3829
2021-02-20,3841
2021-02-21,3849
2021-02-22,3855
2021-02-23,3857
2021-02-24,3862
2021-02-25,3880
2021-02-26,3884
2021-02-27,3884
2021-02-28,3887
2021-03-01,3887
2021-03-02,3887
2021-03-03,3889
2021-03-04,3900
2021-03-05,3900
2021-03-06,3909
2021-03-07,3918
2021-03-08,3920
2021-03-09,3921
2021-03-10,3922
2021-03-11,3928
2021-03-12,3932
2021-03-13,3934
2021-03-14,3937
2021-03-15,3937
2021-03-16,3938
2021-03-17,3939
2021-03-18,3942
2021-03-19,3947
2021-03-20,3947
2021-03-21,3948
2021-03-22,3948
2021-03-23,3948
2021-03-24,3949
2021-03-25,3953
2021-03-26,3953
2021-03-27,3962
2021-03-28,3962
2021-03-29,3970
2021-03-30,3970
2021-03-31,3970
2021-04-01,3980
2021-04-02,3981
2021-04-03,3987
2021-04-04,3987
2021-04-05,3988
2021-04-06,3989
2021-04-07,3990
2021-04-08,3993
2021-04-09,3993
2021-04-10,3995
2021-04-11,3995
2021-04-12,4005
2021-04-13,4008
2021-04-14,4009
2021-04-15,4013
2021-04-16,4016
2021-04-17,4016
2021-04-18,4020
2021-04-19,4028
2021-04-20,4038
2021-04-21,4041
2021-04-22,4042
2021-04-23,4044
2021-04-24,4044
2021-04-25,4044
2021-04-26,4044
2021-04-27,4046
2021-04-28,4046
2021-04-29,4049
2021-04-30,4053
2021-05-01,4054
2021-05-02,4057
2021-05-03,4062
2021-05-04,4062
2021-05-05,4068
2021-05-06,4068
2021-05-07,4068
2021-05-08,4068
2021-05-09,4068
2021-05-10,4068
2021-05-11,4089
2021-05-12,4089
2021-05-13,4090
2021-05-14,4096
2021-05-15,4103
2021-05-16,4105
2021-05-17,4107
2021-05-18,4109
2021-05-19,4111
2021-05-20,4115
2021-05-21,4115
2021-05-22,4117
2021-05-23,4121
2021-05-24,4121
2021-05-25,4121
2021-05-26,4122
2021-05-27,4130
2021-05-28,4133
2021-05-29,4140
2021-05-30,4141
2021-05-31,4147
2021-06-01,4147
2021-06-02,4148
2021-06-03,4156
2021-06-04,4162
2021-06-05,4168
2021-06-06,4188
2021-06-07,4201
2021-06-08,4208
2021-06-09,4219
2021-06-10,4251
2021-06-11,4289
2021-06-12,4312
2021-06-13,4312
2021-06-14,4388
2021-06-15,4433
2021-06-16,4449
2021-06-17,4505
2021-06-18,4553
2021-06-19,4631
2021-06-20,4702
2021-06-21,4816
2021-06-22,4879
2021-06-23,4963
2021-06-24,5052
2021-06-25,5155
2021-06-26,5253
2021-06-27,5306
2021-06-28,5381
2021-06-29,5443
2021-06-30,5495
2021-07-01,5575
2021-07-02,5652
2021-07-03,5702
2021-07-04,5748
