dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,2
2020-04-24,3
2020-04-25,4
2020-04-26,4
2020-04-27,5
2020-04-28,5
2020-04-29,5
2020-04-30,6
2020-05-01,8
2020-05-02,9
2020-05-03,9
2020-05-04,9
2020-05-05,10
2020-05-06,12
2020-05-07,15
2020-05-08,17
2020-05-09,18
2020-05-10,19
2020-05-11,19
2020-05-12,20
2020-05-13,21
2020-05-14,22
2020-05-15,27
2020-05-16,28
2020-05-17,30
2020-05-18,33
2020-05-19,34
2020-05-20,34
2020-05-21,35
2020-05-22,36
2020-05-23,39
2020-05-24,40
2020-05-25,41
2020-05-26,43
2020-05-27,45
2020-05-28,46
2020-05-29,46
2020-05-30,46
2020-05-31,47
2020-06-01,47
2020-06-02,47
2020-06-03,47
2020-06-04,48
2020-06-05,48
2020-06-06,48
2020-06-07,49
2020-06-08,49
2020-06-09,50
2020-06-10,51
2020-06-11,51
2020-06-12,51
2020-06-13,52
2020-06-14,52
2020-06-15,52
2020-06-16,52
2020-06-17,52
2020-06-18,52
2020-06-19,52
2020-06-20,54
2020-06-21,54
2020-06-22,56
2020-06-23,56
2020-06-24,56
2020-06-25,57
2020-06-26,57
2020-06-27,60
2020-06-28,60
2020-06-29,61
2020-06-30,61
2020-07-01,61
2020-07-02,61
2020-07-03,61
2020-07-04,63
2020-07-05,63
2020-07-06,63
2020-07-07,63
2020-07-08,64
2020-07-09,64
2020-07-10,64
2020-07-11,64
2020-07-12,64
2020-07-13,64
2020-07-14,64
2020-07-15,65
2020-07-16,65
2020-07-17,65
2020-07-18,65
2020-07-19,65
2020-07-20,65
2020-07-21,65
2020-07-22,65
2020-07-23,65
2020-07-24,65
2020-07-25,65
2020-07-26,65
2020-07-27,65
2020-07-28,67
2020-07-29,67
2020-07-30,68
2020-07-31,68
2020-08-01,68
2020-08-02,68
2020-08-03,68
2020-08-04,68
2020-08-05,68
2020-08-06,68
2020-08-07,69
2020-08-08,69
2020-08-09,69
2020-08-10,69
2020-08-11,70
2020-08-12,70
2020-08-13,70
2020-08-14,70
2020-08-15,70
2020-08-16,70
2020-08-17,70
2020-08-18,70
2020-08-19,70
2020-08-20,70
2020-08-21,70
2020-08-22,70
2020-08-23,70
2020-08-24,70
2020-08-25,70
2020-08-26,70
2020-08-27,70
2020-08-28,71
2020-08-29,71
2020-08-30,71
2020-08-31,71
2020-09-01,71
2020-09-02,72
2020-09-03,72
2020-09-04,72
2020-09-05,72
2020-09-06,72
2020-09-07,72
2020-09-08,72
2020-09-09,73
2020-09-10,73
2020-09-11,73
2020-09-12,73
2020-09-13,73
2020-09-14,73
2020-09-15,73
2020-09-16,73
2020-09-17,73
2020-09-18,73
2020-09-19,73
2020-09-20,73
2020-09-21,73
2020-09-22,73
2020-09-23,73
2020-09-24,73
2020-09-25,73
2020-09-26,73
2020-09-27,73
2020-09-28,73
2020-09-29,73
2020-09-30,73
2020-10-01,73
2020-10-02,73
2020-10-03,73
2020-10-04,73
2020-10-05,73
2020-10-06,73
2020-10-07,73
2020-10-08,73
2020-10-09,73
2020-10-10,73
2020-10-11,73
2020-10-12,73
2020-10-13,73
2020-10-14,73
2020-10-15,74
2020-10-16,74
2020-10-17,74
2020-10-18,74
2020-10-19,74
2020-10-20,74
2020-10-21,74
2020-10-22,74
2020-10-23,74
2020-10-24,75
2020-10-25,75
2020-10-26,75
2020-10-27,75
2020-10-28,75
2020-10-29,75
2020-10-30,75
2020-10-31,75
2020-11-01,75
2020-11-02,75
2020-11-03,75
2020-11-04,75
2020-11-05,75
2020-11-06,75
2020-11-07,75
2020-11-08,75
2020-11-09,75
2020-11-10,75
2020-11-11,75
2020-11-12,75
2020-11-13,75
2020-11-14,75
2020-11-15,75
2020-11-16,75
2020-11-17,75
2020-11-18,75
2020-11-19,75
2020-11-20,75
2020-11-21,75
2020-11-22,75
2020-11-23,75
2020-11-24,75
2020-11-25,75
2020-11-26,75
2020-11-27,75
2020-11-28,75
2020-11-29,75
2020-11-30,75
2020-12-01,75
2020-12-02,75
2020-12-03,75
2020-12-04,75
2020-12-05,75
2020-12-06,75
2020-12-07,75
2020-12-08,75
2020-12-09,75
2020-12-10,75
2020-12-11,76
2020-12-12,76
2020-12-13,76
2020-12-14,76
2020-12-15,76
2020-12-16,76
2020-12-17,76
2020-12-18,76
2020-12-19,76
2020-12-20,76
2020-12-21,76
2020-12-22,76
2020-12-23,76
2020-12-24,76
2020-12-25,76
2020-12-26,76
2020-12-27,76
2020-12-28,76
2020-12-29,76
2020-12-30,76
2020-12-31,76
2021-01-01,76
2021-01-02,76
2021-01-03,76
2021-01-04,76
2021-01-05,76
2021-01-06,76
2021-01-07,76
2021-01-08,77
2021-01-09,77
2021-01-10,77
2021-01-11,77
2021-01-12,77
2021-01-13,77
2021-01-14,77
2021-01-15,77
2021-01-16,77
2021-01-17,77
2021-01-18,77
2021-01-19,77
2021-01-20,77
2021-01-21,77
2021-01-22,77
2021-01-23,77
2021-01-24,77
2021-01-25,77
2021-01-26,77
2021-01-27,77
2021-01-28,77
2021-01-29,77
2021-01-30,79
2021-01-31,79
2021-02-01,79
2021-02-02,79
2021-02-03,79
2021-02-04,79
2021-02-05,79
2021-02-06,79
2021-02-07,79
2021-02-08,79
2021-02-09,79
2021-02-10,79
2021-02-11,79
2021-02-12,79
2021-02-13,79
2021-02-14,79
2021-02-15,79
2021-02-16,79
2021-02-17,79
2021-02-18,79
2021-02-19,79
2021-02-20,79
2021-02-21,79
2021-02-22,79
2021-02-23,79
2021-02-24,79
2021-02-25,79
2021-02-26,79
2021-02-27,79
2021-02-28,79
2021-03-01,79
2021-03-02,79
2021-03-03,79
2021-03-04,79
2021-03-05,79
2021-03-06,79
2021-03-07,79
2021-03-08,79
2021-03-09,79
2021-03-10,79
2021-03-11,79
2021-03-12,79
2021-03-13,79
2021-03-14,79
2021-03-15,79
2021-03-16,79
2021-03-17,79
2021-03-18,79
2021-03-19,79
2021-03-20,79
2021-03-21,79
2021-03-22,79
2021-03-23,79
2021-03-24,79
2021-03-25,79
2021-03-26,79
2021-03-27,79
2021-03-28,79
2021-03-29,79
2021-03-30,79
2021-03-31,79
2021-04-01,79
2021-04-02,79
2021-04-03,79
2021-04-04,79
2021-04-05,79
2021-04-06,79
2021-04-07,79
2021-04-08,79
2021-04-09,79
2021-04-10,79
2021-04-11,79
2021-04-12,79
2021-04-13,79
2021-04-14,79
2021-04-15,79
2021-04-16,79
2021-04-17,79
2021-04-18,79
2021-04-19,79
2021-04-20,79
2021-04-21,79
2021-04-22,79
2021-04-23,79
2021-04-24,79
2021-04-25,79
2021-04-26,79
2021-04-27,79
2021-04-28,79
2021-04-29,79
2021-04-30,79
2021-05-01,79
2021-05-02,79
2021-05-03,79
2021-05-04,79
2021-05-05,79
2021-05-06,79
2021-05-07,79
2021-05-08,79
2021-05-09,79
2021-05-10,79
2021-05-11,79
2021-05-12,79
2021-05-13,79
2021-05-14,79
2021-05-15,79
2021-05-16,79
2021-05-17,79
2021-05-18,79
2021-05-19,79
2021-05-20,79
2021-05-21,79
2021-05-22,79
2021-05-23,79
2021-05-24,79
2021-05-25,79
2021-05-26,79
2021-05-27,79
2021-05-28,79
2021-05-29,79
2021-05-30,79
2021-05-31,79
2021-06-01,79
2021-06-02,79
2021-06-03,79
2021-06-04,79
2021-06-05,79
2021-06-06,79
2021-06-07,79
2021-06-08,79
2021-06-09,82
2021-06-10,82
2021-06-11,82
2021-06-12,82
2021-06-13,82
2021-06-14,82
2021-06-15,82
2021-06-16,82
2021-06-17,82
2021-06-18,82
2021-06-19,82
2021-06-20,82
2021-06-21,82
2021-06-22,82
2021-06-23,84
2021-06-24,86
2021-06-25,87
2021-06-26,87
2021-06-27,93
2021-06-28,94
2021-06-29,97
2021-06-30,98
2021-07-01,100
2021-07-02,102
2021-07-03,104
2021-07-04,104
2021-07-05,104
2021-07-06,107
2021-07-07,108
2021-07-08,108
2021-07-09,108
2021-07-10,109
2021-07-11,110
2021-07-12,112
2021-07-13,112
2021-07-14,113
2021-07-15,113
2021-07-16,113
2021-07-17,114
2021-07-18,115
2021-07-19,115
2021-07-20,115
2021-07-21,116
2021-07-22,116
2021-07-23,117
2021-07-24,118
2021-07-25,118
2021-07-26,118
2021-07-27,118
2021-07-28,119
2021-07-29,119
2021-07-30,120
2021-07-31,120
2021-08-01,120
2021-08-02,120
2021-08-03,120
2021-08-04,120
2021-08-05,120
2021-08-06,120
2021-08-07,120
2021-08-08,120
2021-08-09,121
2021-08-10,121
2021-08-11,121
2021-08-12,121
2021-08-13,121
2021-08-14,121
2021-08-15,121
2021-08-16,121
