dates,covid19mobilitytrend_park
2020-02-15,0
2020-02-16,1
2020-02-17,-3
2020-02-18,0
2020-02-19,-1
2020-02-20,-4
2020-02-21,-4
2020-02-22,-3
2020-02-23,0
2020-02-24,-3
2020-02-25,-3
2020-02-26,3
2020-02-27,-2
2020-02-28,-3
2020-02-29,-2
2020-03-01,2
2020-03-02,-1
2020-03-03,-3
2020-03-04,0
2020-03-05,-3
2020-03-06,-2
2020-03-07,-3
2020-03-08,-3
2020-03-09,-4
2020-03-10,-4
2020-03-11,1
2020-03-12,-9
2020-03-13,-11
2020-03-14,-15
2020-03-15,-22
2020-03-16,-17
2020-03-17,-23
2020-03-18,-25
2020-03-19,-35
2020-03-20,-44
2020-03-21,-50
2020-03-22,-74
2020-03-23,-66
2020-03-24,-69
2020-03-25,-67
2020-03-26,-68
2020-03-27,-67
2020-03-28,-70
2020-03-29,-72
2020-03-30,-60
2020-03-31,-61
2020-04-01,-60
2020-04-02,-62
2020-04-03,-64
2020-04-04,-68
2020-04-05,-70
2020-04-06,-62
2020-04-07,-66
2020-04-08,-66
2020-04-09,-70
2020-04-10,-77
2020-04-11,-76
2020-04-12,-75
2020-04-13,-67
2020-04-14,-66
2020-04-15,-63
2020-04-16,-63
2020-04-17,-65
2020-04-18,-70
2020-04-19,-75
2020-04-20,-64
2020-04-21,-66
2020-04-22,-65
2020-04-23,-66
2020-04-24,-65
2020-04-25,-69
2020-04-26,-74
2020-04-27,-62
2020-04-28,-62
2020-04-29,-60
2020-04-30,-58
2020-05-01,-69
2020-05-02,-65
2020-05-03,-71
2020-05-04,-59
2020-05-05,-60
2020-05-06,-56
2020-05-07,-73
2020-05-08,-74
2020-05-09,-75
2020-05-10,-72
2020-05-11,-69
2020-05-12,-70
2020-05-13,-69
2020-05-14,-67
2020-05-15,-68
2020-05-16,-72
2020-05-17,-74
2020-05-18,-67
2020-05-19,-66
2020-05-20,-65
2020-05-21,-66
2020-05-22,-66
2020-05-23,-69
2020-05-24,-74
2020-05-25,-65
2020-05-26,-64
2020-05-27,-62
2020-05-28,-63
2020-05-29,-66
2020-05-30,-72
2020-05-31,-76
2020-06-01,-69
2020-06-02,-65
2020-06-03,-62
2020-06-04,-65
2020-06-05,-67
2020-06-06,-68
2020-06-07,-67
2020-06-08,-60
2020-06-09,-61
2020-06-10,-59
2020-06-11,-58
2020-06-12,-59
2020-06-13,-63
2020-06-14,-66
2020-06-15,-53
2020-06-16,-48
2020-06-17,-52
2020-06-18,-54
2020-06-19,-53
2020-06-20,-55
2020-06-21,-61
2020-06-22,-50
2020-06-23,-50
2020-06-24,-50
2020-06-25,-50
2020-06-26,-52
2020-06-27,-54
2020-06-28,-60
2020-06-29,-50
2020-06-30,-48
2020-07-01,-48
2020-07-02,-50
2020-07-03,-52
2020-07-04,-54
2020-07-05,-60
2020-07-06,-51
2020-07-07,-50
2020-07-08,-50
2020-07-09,-52
2020-07-10,-56
2020-07-11,-53
2020-07-12,-58
2020-07-13,-50
2020-07-14,-50
2020-07-15,-48
2020-07-16,-49
2020-07-17,-49
2020-07-18,-50
2020-07-19,-55
2020-07-20,-49
2020-07-21,-49
2020-07-22,-47
2020-07-23,-47
2020-07-24,-47
2020-07-25,-48
2020-07-26,-53
2020-07-27,-45
2020-07-28,-47
2020-07-29,-44
2020-07-30,-44
2020-07-31,-43
2020-08-01,-42
2020-08-02,-48
2020-08-03,-43
2020-08-04,-42
2020-08-05,-46
2020-08-06,-52
2020-08-07,-47
2020-08-08,-47
2020-08-09,-52
2020-08-10,-44
2020-08-11,-42
2020-08-12,-40
2020-08-13,-44
2020-08-14,-45
2020-08-15,-39
2020-08-16,-46
2020-08-17,-42
2020-08-18,-43
2020-08-19,-42
2020-08-20,-45
2020-08-21,-46
2020-08-22,-47
2020-08-23,-50
2020-08-24,-41
2020-08-25,-40
2020-08-26,-37
2020-08-27,-40
2020-08-28,-37
2020-08-29,-38
2020-08-30,-38
2020-08-31,-34
2020-09-01,-34
2020-09-02,-31
2020-09-03,-39
2020-09-04,-36
2020-09-05,-35
2020-09-06,-38
2020-09-07,-36
2020-09-08,-36
2020-09-09,-30
2020-09-10,-34
2020-09-11,-37
2020-09-12,-36
2020-09-13,-34
2020-09-14,-31
2020-09-15,-35
2020-09-16,-27
2020-09-17,-34
2020-09-18,-34
2020-09-19,-34
2020-09-20,-33
2020-09-21,-34
2020-09-22,-38
2020-09-23,-36
2020-09-24,-41
2020-09-25,-41
2020-09-26,-39
2020-09-27,-34
2020-09-28,-39
2020-09-29,-40
2020-09-30,-32
2020-10-01,-35
2020-10-02,-37
2020-10-03,-37
2020-10-04,-33
2020-10-05,-34
2020-10-06,-35
2020-10-07,-32
2020-10-08,-37
2020-10-09,-37
2020-10-10,-34
2020-10-11,-27
2020-10-12,-36
2020-10-13,-40
2020-10-14,-33
2020-10-15,-36
2020-10-16,-36
2020-10-17,-33
2020-10-18,-25
2020-10-19,-37
2020-10-20,-36
2020-10-21,-26
2020-10-22,-30
2020-10-23,-30
2020-10-24,-29
2020-10-25,-32
2020-10-26,-31
2020-10-27,-31
2020-10-28,-30
2020-10-29,-31
2020-10-30,-28
2020-10-31,-26
2020-11-01,-16
2020-11-02,-34
2020-11-03,-36
2020-11-04,-42
2020-11-05,-48
2020-11-06,-44
2020-11-07,-41
2020-11-08,-35
2020-11-09,-40
2020-11-10,-37
2020-11-11,-31
2020-11-12,-34
2020-11-13,-34
2020-11-14,-28
2020-11-15,-22
2020-11-16,-32
2020-11-17,-42
2020-11-18,-46
2020-11-19,-35
2020-11-20,-32
2020-11-21,-32
2020-11-22,-25
2020-11-23,-32
2020-11-24,-31
2020-11-25,-24
2020-11-26,-28
2020-11-27,-31
2020-11-28,-27
2020-11-29,-20
2020-11-30,-25
2020-12-01,-26
2020-12-02,-20
2020-12-03,-26
2020-12-04,-27
2020-12-05,-23
2020-12-06,-16
2020-12-07,-26
2020-12-08,-26
2020-12-09,-20
2020-12-10,-22
2020-12-11,-24
2020-12-12,-19
2020-12-13,-11
2020-12-14,-25
2020-12-15,-20
2020-12-16,-14
2020-12-17,-17
2020-12-18,-15
2020-12-19,-14
2020-12-20,-6
2020-12-21,-15
2020-12-22,-10
2020-12-23,0
2020-12-24,3
