dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,5
2020-03-26,9
2020-03-27,13
2020-03-28,13
2020-03-29,19
2020-03-30,24
2020-03-31,30
2020-04-01,32
2020-04-02,32
2020-04-03,41
2020-04-04,46
2020-04-05,56
2020-04-06,62
2020-04-07,69
2020-04-08,78
2020-04-09,93
2020-04-10,103
2020-04-11,117
2020-04-12,118
2020-04-13,125
2020-04-14,137
2020-04-15,149
2020-04-16,159
2020-04-17,164
2020-04-18,177
2020-04-19,190
2020-04-20,201
2020-04-21,218
2020-04-22,225
2020-04-23,237
2020-04-24,250
2020-04-25,261
2020-04-26,274
2020-04-27,298
2020-04-28,323
2020-04-29,345
2020-04-30,377
2020-05-01,395
2020-05-02,424
2020-05-03,446
2020-05-04,490
2020-05-05,555
2020-05-06,587
2020-05-07,633
2020-05-08,695
2020-05-09,742
2020-05-10,784
2020-05-11,889
2020-05-12,958
2020-05-13,998
2020-05-14,1037
2020-05-15,1112
2020-05-16,1210
2020-05-17,1265
2020-05-18,1338
2020-05-19,1413
2020-05-20,1498
2020-05-21,1571
2020-05-22,1640
2020-05-23,1725
2020-05-24,1819
2020-05-25,1915
2020-05-26,1983
2020-05-27,2042
2020-05-28,2109
2020-05-29,2194
2020-05-30,2278
2020-05-31,2395
2020-06-01,2517
2020-06-02,2582
2020-06-03,2653
2020-06-04,2705
2020-06-05,2781
2020-06-06,2849
2020-06-07,2934
2020-06-08,3015
2020-06-09,3104
2020-06-10,3191
2020-06-11,3274
2020-06-12,3373
2020-06-13,3481
2020-06-14,3603
2020-06-15,3720
2020-06-16,3826
2020-06-17,3941
2020-06-18,4066
2020-06-19,4200
2020-06-20,4329
2020-06-21,4475
2020-06-22,4626
2020-06-23,4808
2020-06-24,4973
2020-06-25,5150
2020-06-26,5336
2020-06-27,5517
2020-06-28,5727
2020-06-29,5934
2020-06-30,6173
2020-07-01,6438
2020-07-02,6736
2020-07-03,7000
2020-07-04,7267
2020-07-05,7507
2020-07-06,7777
2020-07-07,8027
2020-07-08,8307
2020-07-09,8566
2020-07-10,8844
2020-07-11,9142
2020-07-12,9391
2020-07-13,9674
2020-07-14,9978
2020-07-15,10303
2020-07-16,10645
2020-07-17,10957
2020-07-18,11207
2020-07-19,11508
2020-07-20,11846
2020-07-21,12207
2020-07-22,12582
2020-07-23,12975
2020-07-24,13377
2020-07-25,13792
2020-07-26,14221
2020-07-27,14630
2020-07-28,15035
2020-07-29,15446
2020-07-30,15841
2020-07-31,16230
2020-08-01,16632
2020-08-02,17050
2020-08-03,17448
2020-08-04,17843
2020-08-05,18262
2020-08-06,18701
2020-08-07,19126
2020-08-08,19544
2020-08-09,19978
2020-08-10,20423
2020-08-11,20872
2020-08-12,21269
2020-08-13,21644
2020-08-14,21993
2020-08-15,22314
2020-08-16,22619
2020-08-17,22912
2020-08-18,23193
2020-08-19,23462
2020-08-20,23717
2020-08-21,23964
2020-08-22,24200
2020-08-23,24420
2020-08-24,24622
2020-08-25,24811
2020-08-26,24986
2020-08-27,25140
2020-08-28,25284
2020-08-29,25415
2020-08-30,25537
2020-08-31,25635
2020-09-01,25729
2020-09-02,25820
2020-09-03,25904
2020-09-04,26000
2020-09-05,26099
2020-09-06,26206
2020-09-07,26308
2020-09-08,26413
2020-09-09,26511
2020-09-10,26602
2020-09-11,26688
2020-09-12,26773
2020-09-13,26851
2020-09-14,26928
2020-09-15,27009
2020-09-16,27088
2020-09-17,27163
2020-09-18,27249
2020-09-19,27346
2020-09-20,27428
2020-09-21,27553
2020-09-22,27798
2020-09-23,27798
2020-09-24,27954
2020-09-25,28201
2020-09-26,28415
2020-09-27,28415
2020-09-28,28630
2020-09-29,28809
2020-09-30,28981
2020-10-01,29077
2020-10-02,29175
2020-10-03,29175
2020-10-04,29358
2020-10-05,29450
2020-10-06,29539
2020-10-07,29634
2020-10-08,29737
2020-10-09,29842
2020-10-10,29951
2020-10-11,30070
2020-10-12,30196
2020-10-13,30196
2020-10-14,30480
2020-10-15,30766
2020-10-16,31061
2020-10-17,31265
2020-10-18,31456
2020-10-19,31666
2020-10-20,31666
2020-10-21,31975
2020-10-22,32120
2020-10-23,32262
2020-10-24,32421
2020-10-25,32585
2020-10-26,32585
2020-10-27,32925
2020-10-28,32925
2020-10-29,32925
2020-10-30,33445
2020-10-31,33445
2020-11-01,33445
2020-11-02,34015
2020-11-03,34015
2020-11-04,34015
2020-11-05,34015
2020-11-06,34782
2020-11-07,34966
2020-11-08,35145
2020-11-09,35145
2020-11-10,35145
2020-11-11,35145
2020-11-12,35145
2020-11-13,36030
2020-11-14,36195
2020-11-15,36358
2020-11-16,36358
2020-11-17,36669
2020-11-18,36669
2020-11-19,36965
2020-11-20,36965
2020-11-21,37250
2020-11-22,37250
2020-11-23,37562
2020-11-24,37562
2020-11-25,37884
2020-11-26,37884
2020-11-27,37884
2020-11-28,38405
2020-11-29,38405
2020-11-30,38405
2020-12-01,38405
2020-12-02,39130
2020-12-03,39130
2020-12-04,39130
2020-12-05,39718
2020-12-06,39718
2020-12-07,40131
2020-12-08,40345
2020-12-09,40345
2020-12-10,40741
2020-12-11,40741
2020-12-12,40741
2020-12-13,41394
2020-12-14,41394
2020-12-15,41880
2020-12-16,42132
2020-12-17,42397
2020-12-18,42397
2020-12-19,42397
2020-12-20,43195
2020-12-21,43477
2020-12-22,43772
2020-12-23,43772
2020-12-24,43772
2020-12-25,44619
2020-12-26,44619
2020-12-27,44619
2020-12-28,44619
2020-12-29,45415
2020-12-30,45415
2020-12-31,45960
2021-01-01,45960
2021-01-02,45960
2021-01-03,46242
2021-01-04,46803
2021-01-05,47087
2021-01-06,47355
2021-01-07,47355
2021-01-08,47948
2021-01-09,48255
2021-01-10,48574
2021-01-11,48905
2021-01-12,48905
2021-01-13,48905
2021-01-14,49539
2021-01-15,50157
2021-01-16,50157
2021-01-17,50157
2021-01-18,50784
2021-01-19,51437
2021-01-20,51437
2021-01-21,51437
2021-01-22,52388
2021-01-23,52672
2021-01-24,52672
2021-01-25,53218
2021-01-26,53479
2021-01-27,53479
2021-01-28,53989
2021-01-29,53989
2021-01-30,53989
2021-01-31,53989
2021-02-01,54966
2021-02-02,55195
2021-02-03,55195
2021-02-04,55623
2021-02-05,55821
2021-02-06,56025
2021-02-07,56237
2021-02-08,56237
2021-02-09,56653
2021-02-10,56653
2021-02-11,56653
2021-02-12,56653
2021-02-13,56653
2021-02-14,57428
2021-02-15,57428
2021-02-16,58023
2021-02-17,58023
2021-02-18,58023
2021-02-19,58023
2021-02-20,58546
2021-02-21,58546
2021-02-22,58546
2021-02-23,59235
2021-02-24,59235
2021-02-25,59235
2021-02-26,59235
2021-02-27,59866
2021-02-28,59866
2021-03-01,59866
2021-03-02,59866
2021-03-03,59866
2021-03-04,60491
2021-03-05,60491
2021-03-06,60800
2021-03-07,60800
2021-03-08,60800
2021-03-09,60800
2021-03-10,61539
2021-03-11,61677
2021-03-12,61814
2021-03-13,61947
2021-03-14,62086
2021-03-15,62086
2021-03-16,62377
2021-03-17,62531
2021-03-18,62531
2021-03-19,62531
2021-03-20,62531
2021-03-21,62531
2021-03-22,63344
2021-03-23,63344
2021-03-24,63344
2021-03-25,63766
2021-03-26,63766
2021-03-27,63766
2021-03-28,63766
2021-03-29,63766
2021-03-30,64431
2021-03-31,64431
2021-04-01,64431
2021-04-02,64431
2021-04-03,64431
2021-04-04,64431
2021-04-05,64431
2021-04-06,65491
2021-04-07,65491
2021-04-08,65491
2021-04-09,65491
2021-04-10,65491
2021-04-11,65491
2021-04-12,66489
2021-04-13,66489
2021-04-14,66816
2021-04-15,66816
2021-04-16,67099
2021-04-17,67249
2021-04-18,67404
2021-04-19,67557
2021-04-20,67557
2021-04-21,67557
2021-04-22,68007
2021-04-23,68007
2021-04-24,68318
2021-04-25,68318
2021-04-26,68468
2021-04-27,68468
2021-04-28,68922
2021-04-29,68922
2021-04-30,69198
2021-05-01,69198
2021-05-02,69198
2021-05-03,69198
2021-05-04,69465
2021-05-05,69727
2021-05-06,69997
2021-05-07,69997
2021-05-08,70255
2021-05-09,70255
2021-05-10,70380
2021-05-11,70380
2021-05-12,70380
2021-05-13,70380
2021-05-14,70915
2021-05-15,70915
2021-05-16,70915
2021-05-17,71479
2021-05-18,71479
2021-05-19,71479
2021-05-20,71479
2021-05-21,71479
2021-05-22,72220
2021-05-23,72220
2021-05-24,72220
2021-05-25,72220
2021-05-26,72821
2021-05-27,72821
2021-05-28,72821
2021-05-29,72821
2021-05-30,73246
2021-05-31,73246
2021-06-01,73246
2021-06-02,73702
2021-06-03,73702
2021-06-04,73702
2021-06-05,74141
2021-06-06,74141
2021-06-07,74141
2021-06-08,74141
2021-06-09,74141
2021-06-10,74983
2021-06-11,74983
2021-06-12,75351
2021-06-13,75351
2021-06-14,75351
2021-06-15,75351
2021-06-16,75351
2021-06-17,76297
2021-06-18,76495
2021-06-19,76495
2021-06-20,76697
2021-06-21,76697
2021-06-22,77484
2021-06-23,77484
2021-06-24,77484
2021-06-25,77484
2021-06-26,77484
2021-06-27,77484
2021-06-28,77484
2021-06-29,78766
2021-06-30,78766
2021-07-01,78766
