dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,4
2020-03-26,4
2020-03-27,4
2020-03-28,0
2020-03-29,6
2020-03-30,5
2020-03-31,6
2020-04-01,2
2020-04-02,0
2020-04-03,9
2020-04-04,5
2020-04-05,10
2020-04-06,6
2020-04-07,7
2020-04-08,9
2020-04-09,15
2020-04-10,10
2020-04-11,14
2020-04-12,1
2020-04-13,7
2020-04-14,12
2020-04-15,12
2020-04-16,10
2020-04-17,5
2020-04-18,13
2020-04-19,13
2020-04-20,11
2020-04-21,17
2020-04-22,7
2020-04-23,12
2020-04-24,13
2020-04-25,11
2020-04-26,13
2020-04-27,24
2020-04-28,25
2020-04-29,22
2020-04-30,32
2020-05-01,18
2020-05-02,29
2020-05-03,22
2020-05-04,44
2020-05-05,65
2020-05-06,32
2020-05-07,46
2020-05-08,62
2020-05-09,47
2020-05-10,42
2020-05-11,105
2020-05-12,69
2020-05-13,40
2020-05-14,39
2020-05-15,75
2020-05-16,98
2020-05-17,55
2020-05-18,73
2020-05-19,75
2020-05-20,85
2020-05-21,73
2020-05-22,69
2020-05-23,85
2020-05-24,94
2020-05-25,96
2020-05-26,68
2020-05-27,59
2020-05-28,67
2020-05-29,85
2020-05-30,84
2020-05-31,117
2020-06-01,122
2020-06-02,65
2020-06-03,71
2020-06-04,52
2020-06-05,76
2020-06-06,68
2020-06-07,85
2020-06-08,81
2020-06-09,89
2020-06-10,87
2020-06-11,83
2020-06-12,99
2020-06-13,108
2020-06-14,122
2020-06-15,117
2020-06-16,106
2020-06-17,115
2020-06-18,125
2020-06-19,134
2020-06-20,129
2020-06-21,146
2020-06-22,151
2020-06-23,182
2020-06-24,165
2020-06-25,177
2020-06-26,186
2020-06-27,181
2020-06-28,210
2020-06-29,207
2020-06-30,239
2020-07-01,265
2020-07-02,298
2020-07-03,264
2020-07-04,267
2020-07-05,240
2020-07-06,270
2020-07-07,250
2020-07-08,280
2020-07-09,259
2020-07-10,278
2020-07-11,298
2020-07-12,249
2020-07-13,283
2020-07-14,304
2020-07-15,325
2020-07-16,342
2020-07-17,312
2020-07-18,250
2020-07-19,301
2020-07-20,338
2020-07-21,361
2020-07-22,375
2020-07-23,393
2020-07-24,402
2020-07-25,415
2020-07-26,429
2020-07-27,409
2020-07-28,405
2020-07-29,411
2020-07-30,395
2020-07-31,389
2020-08-01,402
2020-08-02,418
2020-08-03,398
2020-08-04,395
2020-08-05,419
2020-08-06,439
2020-08-07,425
2020-08-08,418
2020-08-09,434
2020-08-10,445
2020-08-11,449
2020-08-12,397
2020-08-13,375
2020-08-14,349
2020-08-15,321
2020-08-16,305
2020-08-17,293
2020-08-18,281
2020-08-19,269
2020-08-20,255
2020-08-21,247
2020-08-22,236
2020-08-23,220
2020-08-24,202
2020-08-25,189
2020-08-26,175
2020-08-27,154
2020-08-28,144
2020-08-29,131
2020-08-30,122
2020-08-31,98
2020-09-01,94
2020-09-02,91
2020-09-03,84
2020-09-04,96
2020-09-05,99
2020-09-06,107
2020-09-07,102
2020-09-08,105
2020-09-09,98
2020-09-10,91
2020-09-11,86
2020-09-12,85
2020-09-13,78
2020-09-14,77
2020-09-15,81
2020-09-16,79
2020-09-17,75
2020-09-18,86
2020-09-19,97
2020-09-20,82
2020-09-21,125
2020-09-22,245
2020-09-23,0
2020-09-24,156
2020-09-25,247
2020-09-26,214
2020-09-27,0
2020-09-28,215
2020-09-29,179
2020-09-30,172
2020-10-01,96
2020-10-02,98
2020-10-03,0
2020-10-04,183
2020-10-05,92
2020-10-06,89
2020-10-07,95
2020-10-08,103
2020-10-09,105
2020-10-10,109
2020-10-11,119
2020-10-12,126
2020-10-13,0
2020-10-14,284
2020-10-15,286
2020-10-16,295
2020-10-17,204
2020-10-18,191
2020-10-19,210
2020-10-20,0
2020-10-21,309
2020-10-22,145
2020-10-23,142
2020-10-24,159
2020-10-25,164
2020-10-26,0
2020-10-27,340
2020-10-28,0
2020-10-29,0
2020-10-30,520
2020-10-31,0
2020-11-01,0
2020-11-02,570
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,767
2020-11-07,184
2020-11-08,179
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,885
2020-11-14,165
2020-11-15,163
2020-11-16,0
2020-11-17,311
2020-11-18,0
2020-11-19,296
2020-11-20,0
2020-11-21,285
2020-11-22,0
2020-11-23,312
2020-11-24,0
2020-11-25,322
2020-11-26,0
2020-11-27,0
2020-11-28,521
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,725
2020-12-03,0
2020-12-04,0
2020-12-05,588
2020-12-06,0
2020-12-07,413
2020-12-08,214
2020-12-09,0
2020-12-10,396
2020-12-11,0
2020-12-12,0
2020-12-13,653
2020-12-14,0
2020-12-15,486
2020-12-16,252
2020-12-17,265
2020-12-18,0
2020-12-19,0
2020-12-20,798
2020-12-21,282
2020-12-22,295
2020-12-23,0
2020-12-24,0
2020-12-25,847
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,796
2020-12-30,0
2020-12-31,545
2021-01-01,0
2021-01-02,0
2021-01-03,282
2021-01-04,561
2021-01-05,284
2021-01-06,268
2021-01-07,0
2021-01-08,593
2021-01-09,307
2021-01-10,319
2021-01-11,331
2021-01-12,0
2021-01-13,0
2021-01-14,634
2021-01-15,618
2021-01-16,0
2021-01-17,0
2021-01-18,627
2021-01-19,653
2021-01-20,0
2021-01-21,0
2021-01-22,951
2021-01-23,284
2021-01-24,0
2021-01-25,546
2021-01-26,261
2021-01-27,0
2021-01-28,510
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,977
2021-02-02,229
2021-02-03,0
2021-02-04,428
2021-02-05,198
2021-02-06,204
2021-02-07,212
2021-02-08,0
2021-02-09,416
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,775
2021-02-15,0
2021-02-16,595
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,523
2021-02-21,0
2021-02-22,0
2021-02-23,689
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,631
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,625
2021-03-05,0
2021-03-06,309
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,739
2021-03-11,138
2021-03-12,137
2021-03-13,133
2021-03-14,139
2021-03-15,0
2021-03-16,291
2021-03-17,154
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,813
2021-03-23,0
2021-03-24,0
2021-03-25,422
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,665
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,1060
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,998
2021-04-13,0
2021-04-14,327
2021-04-15,0
2021-04-16,283
2021-04-17,150
2021-04-18,155
2021-04-19,153
2021-04-20,0
2021-04-21,0
2021-04-22,450
2021-04-23,0
2021-04-24,311
2021-04-25,0
2021-04-26,150
2021-04-27,0
2021-04-28,454
2021-04-29,0
2021-04-30,276
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,267
2021-05-05,262
2021-05-06,270
2021-05-07,0
2021-05-08,258
2021-05-09,0
2021-05-10,125
2021-05-11,0
2021-05-12,0
2021-05-13,0
2021-05-14,535
2021-05-15,0
2021-05-16,0
2021-05-17,564
2021-05-18,0
2021-05-19,0
2021-05-20,0
2021-05-21,0
2021-05-22,741
2021-05-23,0
2021-05-24,0
2021-05-25,0
2021-05-26,601
2021-05-27,0
2021-05-28,0
2021-05-29,0
2021-05-30,425
2021-05-31,0
2021-06-01,0
2021-06-02,456
2021-06-03,0
2021-06-04,0
2021-06-05,439
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,842
2021-06-11,0
2021-06-12,368
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-16,0
2021-06-17,946
2021-06-18,198
2021-06-19,0
2021-06-20,202
2021-06-21,0
2021-06-22,787
2021-06-23,0
2021-06-24,0
2021-06-25,0
2021-06-26,0
2021-06-27,0
2021-06-28,0
2021-06-29,1282
2021-06-30,0
2021-07-01,0
2021-07-02,0
2021-07-03,0
2021-07-04,1024
2021-07-05,0
2021-07-06,0
2021-07-07,445
2021-07-08,0
2021-07-09,697
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,712
2021-07-14,0
2021-07-15,719
2021-07-16,0
2021-07-17,242
2021-07-18,247
2021-07-19,0
2021-07-20,0
2021-07-21,0
2021-07-22,0
2021-07-23,1292
2021-07-24,0
2021-07-25,547
2021-07-26,0
2021-07-27,0
2021-07-28,1088
2021-07-29,280
2021-07-30,0
2021-07-31,561
2021-08-01,0
2021-08-02,0
2021-08-03,0
2021-08-04,878
2021-08-05,0
2021-08-06,0
2021-08-07,873
2021-08-08,0
2021-08-09,0
2021-08-10,0
2021-08-11,0
2021-08-12,1455
2021-08-13,303
2021-08-14,0
2021-08-15,0
2021-08-16,0
