dates,incrementalcount_medicaltest_conditioncovid_19
2020-04-05,405
2020-04-10,512
2020-04-11,457
2020-04-12,466
2020-04-13,501
2020-04-14,555
2020-04-15,548
2020-04-16,934
2020-04-17,924
2020-04-18,969
2020-04-19,1050
2020-04-20,1142
2020-04-21,1023
2020-04-22,1010
2020-04-23,1033
2020-04-24,1005
2020-04-25,1263
2020-04-26,1423
2020-04-27,1255
2020-04-28,1229
2020-04-29,1464
2020-04-30,1435
2020-05-01,1469
2020-05-02,1635
2020-05-03,1791
2020-05-04,1643
2020-05-05,1598
2020-05-06,1783
2020-05-07,1895
2020-05-08,1773
2020-05-09,2011
2020-05-10,1953
2020-05-11,1883
2020-05-12,1905
2020-05-13,2082
2020-05-14,2229
2020-05-15,2270
2020-05-16,2282
2020-05-17,2189
2020-05-18,2458
2020-05-19,2497
2020-05-20,2388
2020-05-21,2437
2020-05-22,2562
2020-05-23,2391
2020-05-24,2530
2020-05-25,2336
2020-05-26,2229
2020-05-27,2532
2020-05-28,2407
2020-05-29,2322
2020-05-30,2386
2020-05-31,2479
2020-06-01,2435
2020-06-02,2375
2020-06-03,2531
2020-06-04,2426
2020-06-05,2456
2020-06-06,2488
2020-06-07,2376
2020-06-08,2350
2020-06-09,2382
2020-06-10,2371
2020-06-11,2456
2020-06-12,2458
2020-06-13,2419
2020-06-14,2399
2020-06-15,2445
2020-06-16,2473
2020-06-17,2474
2020-06-18,2419
2020-06-19,2426
2020-06-20,2433
2020-06-21,2457
2020-06-22,2455
2020-06-23,2430
2020-06-24,2481
2020-06-25,2477
2020-06-26,2572
2020-06-27,2498
2020-06-28,2417
2020-06-29,2495
2020-06-30,2450
2020-07-01,2423
2020-07-02,2433
2020-07-03,2438
2020-07-04,2475
2020-07-05,2436
2020-07-06,2496
2020-07-07,2499
2020-07-08,2470
2020-07-09,2485
2020-07-10,2430
2020-07-11,2460
2020-07-12,2449
2020-07-13,2496
2020-07-14,2486
2020-07-15,2489
2020-07-16,2483
2020-07-17,2415
2020-07-18,2422
2020-07-19,2450
2020-07-20,2547
2020-07-21,2473
2020-07-22,2475
2020-07-23,2429
2020-07-24,2442
2020-07-25,2456
2020-07-26,2468
2020-07-27,2498
2020-07-28,2402
2020-07-29,2415
2020-07-30,2416
2020-07-31,2442
2020-08-01,2483
2020-08-02,2460
2020-08-03,2489
2020-08-04,2480
2020-08-05,2441
2020-08-06,2464
2020-08-07,2471
2020-08-08,2483
2020-08-09,2457
2020-08-10,2492
2020-08-11,2460
2020-08-12,2518
2020-08-13,2452
2020-08-14,2484
2020-08-15,2452
2020-08-16,2498
2020-08-17,2452
2020-08-18,2498
2020-08-19,2414
2020-08-20,2434
2020-08-21,2477
2020-08-22,2447
2020-08-23,2447
2020-08-24,2422
2020-08-25,2497
2020-08-26,2461
2020-08-27,2485
2020-08-28,2467
2020-08-29,2405
2020-08-30,2471
2020-08-31,2489
2020-09-01,2458
2020-09-02,2499
2020-09-03,2473
2020-09-04,2480
2020-09-05,2491
2020-09-06,2454
2020-09-07,2435
2020-09-08,2432
2020-09-09,2465
2020-09-10,2422
2020-09-11,2500
2020-09-12,2494
2020-09-13,2486
2020-09-14,2481
2020-09-15,2500
2020-09-16,2430
2020-09-17,2456
2020-09-18,2264
2020-09-19,2464
2020-09-20,3427
2020-09-21,3467
2020-09-22,3434
2020-09-23,3452
2020-09-24,5498
2020-09-25,2454
2020-09-26,2423
2020-09-27,2403
2020-09-28,2421
2020-09-29,2449
2020-09-30,2480
2020-10-01,2448
2020-10-02,2496
2020-10-03,2462
2020-10-04,2405
2020-10-05,2410
2020-10-06,2414
2020-10-07,2403
2020-10-08,2441
2020-10-09,2483
2020-10-10,2495
2020-10-11,2437
2020-10-12,2414
2020-10-13,3409
2020-10-14,3463
2020-10-15,3438
2020-10-16,3471
2020-10-17,2433
2020-10-18,2420
2020-10-19,2459
2020-10-20,2482
2020-10-21,2442
2020-10-22,2476
2020-10-23,2428
2020-10-24,2450
2020-10-25,2465
2020-10-26,2452
2020-10-27,2485
2020-10-28,2431
2020-10-29,2483
2020-10-30,2406
2020-10-31,2421
2020-11-01,2461
2020-11-02,2443
2020-11-03,2247
2020-11-04,2408
2020-11-05,2430
2020-11-06,2414
2020-11-07,2412
2020-11-08,2457
2020-11-09,2476
2020-11-10,2494
2020-11-11,2493
2020-11-12,2438
2020-11-13,2431
2020-11-14,2461
2020-11-15,2420
2020-11-16,2437
2020-11-17,2467
2020-11-18,2452
2020-11-19,2444
2020-11-20,2453
2020-11-21,2469
2020-11-22,3455
2020-11-23,2460
2020-11-24,2474
2020-11-25,2439
2020-11-26,2499
2020-11-27,2453
2020-11-28,2443
2020-11-29,2472
2020-11-30,2483
2020-12-01,2460
2020-12-02,2476
2020-12-03,2474
2020-12-04,2414
2020-12-05,2474
2020-12-06,2405
2020-12-07,2463
2020-12-08,2492
2020-12-09,2469
2020-12-10,2502
2020-12-11,2453
2020-12-12,2471
2020-12-13,2470
2020-12-14,2435
2020-12-15,2462
2020-12-16,2465
2020-12-17,2627
2020-12-18,2427
2020-12-19,2422
2020-12-20,2453
2020-12-21,2497
2020-12-22,2487
2020-12-23,2492
2020-12-24,2466
2020-12-26,2436
2020-12-27,2438
2020-12-28,2470
2020-12-29,2416
2020-12-30,2404
2020-12-31,2441
2021-01-02,2487
2021-01-03,2224
2021-01-04,2428
2021-01-05,2416
2021-01-06,2439
2021-01-07,2445
2021-01-08,2412
2021-01-09,2433
2021-01-10,2479
2021-01-11,2426
2021-01-12,2449
2021-01-13,2484
2021-01-14,2465
2021-01-15,2463
2021-01-16,2405
2021-01-17,2417
2021-01-18,2437
2021-01-19,2417
2021-01-20,2431
2021-01-21,2422
2021-01-22,2486
2021-01-23,2430
2021-01-24,2418
2021-01-25,2458
2021-01-26,2463
2021-01-27,2452
2021-01-28,2459
2021-01-29,2484
2021-01-30,2488
2021-01-31,3447
2021-02-01,2412
2021-02-02,2433
2021-02-03,2418
2021-02-04,2500
2021-02-05,2519
2021-02-06,2496
2021-02-07,2471
2021-02-08,2421
2021-02-09,2454
2021-02-10,2432
2021-02-11,2494
2021-02-12,2440
2021-02-13,2411
2021-02-14,2432
2021-02-15,2454
2021-02-16,2417
2021-02-17,2437
2021-02-18,2408
2021-02-19,2456
2021-02-20,2432
2021-02-21,2457
2021-02-22,2483
2021-02-23,2413
2021-02-24,2485
2021-02-25,2450
2021-02-26,2483
2021-02-27,2516
2021-02-28,2474
2021-03-01,2423
2021-03-02,2477
2021-03-03,2465
2021-03-04,2567
2021-03-05,2550
2021-03-06,2593
2021-03-07,2532
2021-03-08,2578
2021-03-09,2515
2021-03-10,2495
2021-03-11,2506
2021-03-12,2478
2021-03-13,2608
2021-03-14,2440
2021-03-15,2457
2021-03-16,2475
2021-03-17,2592
2021-03-18,2529
2021-03-19,2502
2021-03-20,2469
2021-03-21,2508
2021-03-22,2530
2021-03-23,2509
2021-03-24,2453
2021-03-25,2462
2021-03-26,2474
2021-03-27,2458
2021-03-28,2432
2021-03-29,2445
2021-03-30,2515
2021-03-31,2491
2021-04-01,2445
2021-04-02,2428
2021-04-03,2439
2021-04-04,2487
2021-04-05,2457
2021-04-06,2416
2021-04-07,2486
2021-04-08,2418
2021-04-09,2456
2021-04-10,2492
2021-04-11,2490
2021-04-12,2505
2021-04-13,2415
2021-04-14,2452
2021-04-15,2545
2021-04-16,2433
2021-04-17,2410
2021-04-18,1432
2021-04-19,2439
2021-04-20,2484
2021-04-21,2468
2021-04-22,2487
2021-09-16,2489
2021-09-17,2427
2021-09-18,2454
2021-09-19,2420
2021-09-20,2457
2021-09-21,2441
2021-09-22,2486
2021-09-23,2444
2021-09-24,2469
2021-09-25,2496
2021-09-26,2429
2021-09-27,2440
2021-09-28,2438
2021-09-29,2468
2021-09-30,2414
2021-10-01,2494
2021-10-02,2446
2021-10-03,2410
