dates,incrementalcount_vaccine_covid_19_administered
2021-03-02,305
2021-03-03,303
2021-03-04,500
2021-03-05,497
2021-03-06,459
2021-03-09,365
2021-03-10,603
2021-03-11,616
2021-03-12,522
2021-03-13,26
2021-03-14,298
2021-03-15,300
2021-03-16,657
2021-03-17,651
2021-03-18,590
2021-03-19,595
2021-03-23,531
2021-03-24,377
2021-03-31,582
2021-04-03,525
2021-04-07,695
2021-04-08,876
2021-04-09,734
2021-04-10,482
2021-04-16,960
2021-04-17,6
2021-04-18,515
2021-04-21,990
2021-04-22,879
2021-04-23,884
2021-04-27,857
2021-05-05,922
2021-05-24,120
2021-05-25,260
2021-05-26,1
2021-05-27,28
2021-05-31,405
2021-06-01,1
2021-06-07,230
2021-06-14,145
2021-06-15,19
2021-06-16,1
2021-06-21,315
2021-06-22,7
2021-06-23,1
2021-06-30,84
2021-07-29,377
2021-08-04,13
2021-08-05,9
2021-08-17,2
2021-08-18,4
2021-08-25,8
2021-09-09,9
