dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,2
2020-03-29,3
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,5
2020-04-03,5
2020-04-04,5
2020-04-05,7
2020-04-06,7
2020-04-07,7
2020-04-08,7
2020-04-09,8
2020-04-10,12
2020-04-11,12
2020-04-12,21
2020-04-13,21
2020-04-14,25
2020-04-15,60
2020-04-16,60
2020-04-17,80
2020-04-18,80
2020-04-19,116
2020-04-20,135
2020-04-21,164
2020-04-22,237
2020-04-23,286
2020-04-24,286
2020-04-25,328
2020-04-26,328
2020-04-27,390
2020-04-28,436
2020-04-29,480
2020-04-30,528
2020-05-01,582
2020-05-02,601
2020-05-03,601
2020-05-04,671
2020-05-05,722
2020-05-06,756
2020-05-07,835
2020-05-08,873
2020-05-09,928
2020-05-10,928
2020-05-11,997
2020-05-12,1054
2020-05-13,1089
2020-05-14,1170
2020-05-15,1219
2020-05-16,1284
2020-05-17,1284
2020-05-18,1357
2020-05-19,1421
2020-05-20,1455
2020-05-21,1502
2020-05-22,1573
2020-05-23,1594
2020-05-24,1594
2020-05-25,1594
2020-05-26,1594
2020-05-27,1689
2020-05-28,1711
2020-05-29,1731
2020-05-30,1828
2020-05-31,1828
2020-06-01,1916
2020-06-02,1976
2020-06-03,2023
2020-06-04,2089
2020-06-05,2146
2020-06-06,2204
2020-06-07,2204
2020-06-08,2289
2020-06-09,2334
2020-06-10,2368
2020-06-11,2416
2020-06-12,2452
2020-06-13,2513
2020-06-14,2513
2020-06-15,2579
2020-06-16,2603
2020-06-17,2642
2020-06-18,2658
2020-06-19,2696
2020-06-20,2719
2020-06-21,2719
2020-06-22,2755
2020-06-23,2779
2020-06-24,2812
2020-06-25,2835
2020-06-26,2860
2020-06-27,2878
2020-06-28,2878
2020-06-29,2878
2020-06-30,2894
2020-07-01,2904
2020-07-02,2924
2020-07-03,2924
2020-07-04,2944
2020-07-05,2944
2020-07-06,2961
2020-07-07,2997
2020-07-08,3006
2020-07-09,3015
2020-07-10,3028
2020-07-11,3038
2020-07-12,3038
2020-07-13,3051
2020-07-14,3059
2020-07-15,3072
2020-07-16,3076
2020-07-17,3083
2020-07-18,3106
2020-07-19,3106
2020-07-20,3111
2020-07-21,3119
2020-07-22,3130
2020-07-23,3135
2020-07-24,3161
2020-07-25,3171
2020-07-26,3171
2020-07-27,3178
2020-07-28,3178
2020-07-29,3196
2020-07-30,3212
2020-07-31,3212
2020-08-01,3212
2020-08-02,3212
2020-08-03,3212
2020-08-04,3220
2020-08-05,3220
2020-08-06,3220
2020-08-07,3227
2020-08-08,3227
2020-08-09,3227
2020-08-10,3227
2020-08-11,3227
2020-08-12,3227
2020-08-13,3227
2020-08-14,3227
2020-08-15,3227
2020-08-16,3250
2020-08-17,3256
2020-08-18,3256
2020-08-19,3257
2020-08-20,3257
2020-08-21,3265
2020-08-22,3265
2020-08-23,3265
2020-08-24,3269
2020-08-25,3269
2020-08-26,3269
2020-08-27,3269
2020-08-28,3269
2020-08-29,3269
2020-08-30,3275
2020-08-31,3310
2020-09-01,3310
2020-09-02,3310
2020-09-03,3310
2020-09-04,3310
2020-09-05,3310
2020-09-06,3332
2020-09-07,3362
2020-09-08,3362
2020-09-09,3362
2020-09-10,3362
2020-09-11,3371
2020-09-12,3376
2020-09-13,3376
2020-09-14,3376
2020-09-15,3389
2020-09-16,3389
2020-09-17,3390
2020-09-18,3390
2020-09-19,3390
2020-09-20,3390
2020-09-21,3401
2020-09-22,3442
2020-09-23,3465
2020-09-24,3465
2020-09-25,3465
2020-09-26,3465
2020-09-27,3465
2020-09-28,3588
2020-09-29,3588
2020-09-30,3588
2020-10-01,3588
2020-10-02,3588
2020-10-03,3593
2020-10-04,3593
2020-10-05,3593
2020-10-06,3745
2020-10-07,3745
2020-10-08,3745
2020-10-09,3745
2020-10-10,3745
2020-10-11,3745
2020-10-12,3847
2020-10-13,3864
2020-10-14,3864
2020-10-15,3864
2020-10-16,3864
2020-10-17,3864
2020-10-18,3864
2020-10-19,3864
2020-10-20,3864
2020-10-21,3864
2020-10-22,3890
2020-10-23,3890
2020-10-24,3897
2020-10-25,3897
2020-10-26,3897
2020-10-27,3941
2020-10-28,3941
2020-10-29,3941
2020-10-30,3941
2020-10-31,3941
2020-11-01,3941
2020-11-02,3941
2020-11-03,3941
2020-11-04,3941
2020-11-05,4229
2020-11-06,4229
2020-11-07,4229
2020-11-08,4229
2020-11-09,4229
2020-11-10,4229
2020-11-11,4301
2020-11-12,4301
2020-11-13,4301
2020-11-14,4301
2020-11-15,4301
2020-11-16,4301
2020-11-17,4301
2020-11-18,4301
2020-11-19,4382
2020-11-20,4382
2020-11-21,4382
2020-11-22,4382
2020-11-23,4382
2020-11-24,4445
2020-11-25,4445
2020-11-26,4445
2020-11-27,4451
2020-11-28,4451
2020-11-29,4451
2020-11-30,4451
2020-12-01,4451
2020-12-02,4451
2020-12-03,4451
2020-12-04,4525
2020-12-05,4525
2020-12-06,4525
2020-12-07,4525
2020-12-08,4525
2020-12-09,4579
2020-12-10,4579
2020-12-11,4579
2020-12-12,4579
2020-12-13,4579
2020-12-14,4579
2020-12-15,4579
2020-12-16,4579
2020-12-17,4579
2020-12-18,4579
2020-12-19,4662
2020-12-20,4662
2020-12-21,4662
2020-12-22,4662
2020-12-23,4662
2020-12-24,4690
2020-12-25,4690
2020-12-26,4690
2020-12-27,4690
2020-12-28,4690
2020-12-29,4690
2020-12-30,4690
2020-12-31,4690
2021-01-01,4714
2021-01-02,4714
2021-01-03,4714
2021-01-04,4714
2021-01-05,4714
2021-01-06,4714
2021-01-07,4714
2021-01-08,4726
2021-01-09,4726
2021-01-10,4726
2021-01-11,4726
2021-01-12,4726
2021-01-13,4726
2021-01-14,4726
2021-01-15,4726
2021-01-16,4744
2021-01-17,4744
2021-01-18,4744
2021-01-19,4744
2021-01-20,4744
2021-01-21,4744
2021-01-22,4744
2021-01-23,4744
2021-01-24,4744
2021-01-25,4754
2021-01-26,4754
2021-01-27,4754
2021-01-28,4784
2021-01-29,4784
2021-01-30,4784
2021-01-31,4784
2021-02-01,4784
2021-02-02,4784
2021-02-03,4784
2021-02-04,4784
2021-02-05,4814
2021-02-06,4814
2021-02-07,4814
2021-02-08,4854
2021-02-09,4862
2021-02-10,4862
2021-02-11,4862
2021-02-12,4935
2021-02-13,5013
2021-02-14,5075
2021-02-15,5092
2021-02-16,5183
2021-02-17,5273
2021-02-18,5373
2021-02-19,5500
2021-02-20,5632
2021-02-21,5632
2021-02-22,5889
2021-02-23,6017
2021-02-24,6246
2021-02-25,6444
2021-02-26,6549
2021-02-27,6687
2021-02-28,6687
2021-03-01,6991
2021-03-02,7257
2021-03-03,7392
2021-03-04,7518
2021-03-05,7727
2021-03-06,7850
2021-03-07,7850
2021-03-08,8041
2021-03-09,8321
2021-03-10,8438
2021-03-11,8577
2021-03-12,8713
2021-03-13,8820
2021-03-14,8820
2021-03-15,8946
2021-03-16,9190
2021-03-17,9328
2021-03-18,9437
2021-03-19,9600
2021-03-20,9600
2021-03-21,9925
2021-03-22,9968
2021-03-23,10085
2021-03-24,10214
2021-03-25,10369
2021-03-26,10531
2021-03-27,10664
2021-03-28,10664
2021-03-29,10838
2021-03-30,10838
2021-03-31,11164
2021-04-01,11164
2021-04-02,11398
2021-04-03,11398
2021-04-04,11504
2021-04-05,11623
2021-04-06,11783
2021-04-07,11908
2021-04-08,11978
2021-04-09,11978
2021-04-10,12271
2021-04-11,12271
2021-04-12,12271
2021-04-13,12406
2021-04-14,12566
2021-04-15,12566
2021-04-16,12837
2021-04-17,12837
2021-04-18,12837
2021-04-19,12837
2021-04-20,13079
2021-04-21,13324
2021-04-22,13324
2021-04-23,13459
2021-04-24,13459
2021-04-25,13459
2021-04-26,13459
2021-04-27,13670
2021-04-28,13812
2021-04-29,13915
2021-04-30,13915
2021-05-01,13915
2021-05-02,13915
2021-05-03,13915
2021-05-04,13915
2021-05-05,14121
2021-05-06,14121
2021-05-07,14368
2021-05-08,14368
2021-05-09,14368
2021-05-10,14415
2021-05-11,14415
2021-05-12,14415
2021-05-13,14486
2021-05-14,14486
2021-05-15,14486
2021-05-16,14486
2021-05-17,14486
2021-05-18,14486
2021-05-19,14486
2021-05-20,14575
2021-05-21,14575
2021-05-22,14594
2021-05-23,14594
2021-05-24,14623
2021-05-25,14632
2021-05-26,14632
2021-05-27,14632
2021-05-28,14632
2021-05-29,14647
2021-05-30,14647
2021-05-31,14653
2021-06-01,14660
2021-06-02,14662
2021-06-03,14667
2021-06-04,14691
2021-06-05,14699
2021-06-06,14699
2021-06-07,14729
2021-06-08,14748
2021-06-09,14768
2021-06-10,14776
2021-06-11,14779
2021-06-12,14779
2021-06-13,14779
2021-06-14,14779
2021-06-15,14817
2021-06-16,14817
2021-06-17,14823
2021-06-18,14827
2021-06-19,14841
2021-06-20,14841
2021-06-21,14852
2021-06-22,14852
2021-06-23,14867
2021-06-24,14868
2021-06-25,14868
2021-06-26,14875
2021-06-27,14875
2021-06-28,14892
2021-06-29,14892
2021-06-30,14933
2021-07-01,14933
