dates,count_medicalconditionincident_covid_19_patienthospitalized
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,3
2020-03-11,12
2020-03-12,19
2020-03-13,21
2020-03-14,23
2020-03-15,23
2020-03-16,29
2020-03-17,38
2020-03-18,48
2020-03-19,55
2020-03-20,71
2020-03-21,88
2020-03-22,97
2020-03-23,125
2020-03-24,152
2020-03-25,203
2020-03-26,250
2020-03-27,302
2020-03-28,334
2020-03-29,331
2020-03-30,540
2020-04-01,648
2020-04-02,783
2020-04-03,874
2020-04-04,1046
2020-04-05,1082
2020-04-06,1197
2020-04-07,1394
2020-04-08,1705
2020-04-09,1907
2020-04-10,2107
2020-04-11,2436
2020-04-12,2684
2020-04-13,2890
2020-04-14,3006
2020-04-15,3245
2020-04-16,3511
2020-04-17,3765
2020-04-18,3853
2020-04-19,3900
2020-04-20,3703
2020-04-21,3660
2020-04-22,3266
2020-04-23,3477
2020-04-24,3164
2020-04-25,3135
2020-04-26,3044
2020-04-27,2701
2020-04-28,2517
2020-04-29,2470
2020-04-30,2479
2020-05-01,2375
2020-05-02,2286
2020-05-03,2116
2020-05-04,2023
2020-05-05,1855
2020-05-06,1750
2020-05-07,1710
2020-05-08,1577
2020-05-09,1437
2020-05-10,1380
2020-05-11,1123
2020-05-12,1085
2020-05-13,992
2020-05-14,949
2020-05-15,837
2020-05-16,766
2020-05-17,764
2020-05-18,805
2020-05-19,808
2020-05-20,766
2020-05-21,743
2020-05-22,744
2020-05-23,665
2020-05-24,658
2020-05-25,657
2020-05-26,621
2020-05-27,622
2020-05-28,558
2020-05-29,558
2020-05-30,555
2020-05-31,516
2020-06-01,468
2020-06-02,475
2020-06-03,466
2020-06-04,470
2020-06-05,390
2020-06-06,437
2020-06-07,475
2020-06-08,457
2020-06-09,447
2020-06-10,432
2020-06-11,488
2020-06-12,512
2020-06-13,553
2020-06-14,545
2020-06-15,551
2020-06-16,546
2020-06-17,568
2020-06-18,589
2020-06-19,628
2020-06-20,654
2020-06-21,686
2020-06-22,731
2020-06-23,775
2020-06-24,861
2020-06-25,954
