dates,covid19mobilitytrend_park
2020-02-15,18
2020-02-16,52
2020-02-17,57
2020-02-18,21
2020-02-19,21
2020-02-20,4
2020-02-21,1
2020-02-22,24
2020-02-23,33
2020-02-24,2
2020-02-25,35
2020-02-26,15
2020-02-27,-4
2020-02-28,-18
2020-02-29,12
2020-03-01,16
2020-03-02,19
2020-03-03,4
2020-03-04,-10
2020-03-05,19
2020-03-06,-10
2020-03-07,-6
2020-03-08,-10
2020-03-09,-4
2020-03-10,0
2020-03-11,18
2020-03-12,41
2020-03-13,2
2020-03-14,-12
2020-03-15,-12
2020-03-16,-21
2020-03-17,-8
2020-03-18,-15
2020-03-19,-12
2020-03-20,-21
2020-03-21,-26
2020-03-22,-63
2020-03-23,-60
2020-03-24,-65
2020-03-25,-63
2020-03-26,-60
2020-03-27,-57
2020-03-28,-48
2020-03-29,-56
2020-03-30,-55
2020-03-31,-54
2020-04-01,-58
2020-04-02,-52
2020-04-03,-49
2020-04-04,-62
2020-04-05,-87
2020-04-06,-44
2020-04-07,-37
2020-04-08,-34
2020-04-09,-32
2020-04-10,-31
2020-04-11,-83
2020-04-12,-82
2020-04-13,-29
2020-04-14,-49
2020-04-15,-31
2020-04-16,-21
2020-04-17,-22
2020-04-18,-81
2020-04-19,-81
2020-04-20,-79
2020-04-21,-29
2020-04-22,-17
2020-04-23,-13
2020-04-24,-13
2020-04-25,-80
2020-04-26,-78
2020-04-27,-5
2020-04-28,1
2020-04-29,-12
2020-04-30,0
2020-05-01,-75
2020-05-02,-50
2020-05-03,-24
2020-05-04,-21
2020-05-05,-8
2020-05-06,-29
2020-05-07,18
2020-05-08,14
2020-05-09,28
2020-05-10,41
2020-05-11,14
2020-05-12,7
2020-05-13,29
2020-05-14,9
2020-05-15,10
2020-05-16,21
2020-05-17,11
2020-05-18,13
2020-07-03,15
2020-07-04,35
2020-07-05,50
2020-07-06,35
2020-07-07,29
2020-07-08,56
2020-07-09,47
2020-07-10,30
2020-07-11,34
2020-07-12,22
2020-07-13,33
2020-07-14,52
2020-07-15,50
2020-07-16,44
2020-07-17,-15
2020-07-18,8
2020-07-19,14
2020-07-20,41
2020-07-21,65
2020-07-22,60
2020-07-23,36
2020-07-24,31
2020-07-25,7
2020-07-26,43
2020-07-27,46
2020-07-28,67
2020-07-29,65
2020-07-30,63
2020-07-31,37
2020-08-01,52
2020-08-02,83
2020-08-03,53
2020-08-04,49
2020-08-05,7
2020-08-06,53
2020-08-07,23
2020-08-08,49
2020-08-09,62
2020-08-10,58
2020-08-11,78
2020-08-12,74
2020-08-13,77
2020-08-14,46
2020-08-15,32
2020-08-16,63
2020-08-17,55
2020-08-18,30
2020-08-19,62
2020-08-20,68
2020-08-21,52
2020-08-22,62
2020-08-23,73
2020-08-24,46
2020-08-25,38
2020-08-26,67
2020-08-27,64
2020-08-28,53
2020-08-29,54
2020-08-30,65
2020-08-31,39
2020-09-01,42
2020-09-02,51
2020-09-03,45
2020-09-04,37
2020-09-05,51
2020-09-06,64
2020-09-07,36
2020-09-08,50
2020-09-09,54
2020-09-10,56
2020-09-11,45
2020-09-12,52
2020-09-13,65
2020-09-14,38
2020-09-15,51
2020-09-16,51
2020-09-17,49
2020-09-18,29
2020-09-19,46
2020-09-20,56
2020-09-21,35
2020-09-22,38
2020-09-23,28
2020-09-24,34
2020-09-25,9
2020-09-26,0
2020-09-27,26
2020-09-28,-2
2020-09-29,4
2020-09-30,0
2020-10-01,8
2020-10-02,25
2020-10-03,36
2020-10-04,43
2020-10-05,13
2020-10-06,22
2020-10-07,3
2020-10-08,0
2020-10-09,18
2020-10-10,31
2020-10-11,37
2020-10-12,-16
2020-10-13,-10
2020-10-14,21
2020-10-15,-8
2020-10-16,-7
2020-10-17,-9
2020-10-18,11
2020-10-19,-3
2020-10-20,12
2020-10-21,18
2020-10-22,24
2020-10-23,18
2020-10-24,-2
2020-10-25,-2
2020-10-26,9
2020-10-27,27
2020-10-28,9
2020-10-29,3
2020-10-30,-2
2020-10-31,-11
2020-11-01,21
2020-11-02,-3
2020-11-03,10
2020-11-04,-1
2020-11-05,-14
2020-11-06,-10
2020-11-07,6
2020-11-08,12
2020-11-09,-22
2020-11-10,-8
2020-11-11,-2
2020-11-12,-6
2020-11-13,-16
2020-11-14,-9
2020-11-15,-2
2020-11-16,-11
2020-11-17,-21
2020-11-18,-11
2020-11-19,-7
2020-11-20,-29
2020-11-21,-31
2020-11-22,-22
2020-11-23,-22
2020-11-24,-20
2020-11-25,-15
2020-11-26,-25
2020-11-27,-30
2020-11-28,-32
2020-11-29,-30
2020-11-30,-29
2020-12-01,-23
2020-12-02,-26
2020-12-03,-30
2020-12-04,-32
2020-12-05,-10
2020-12-06,-11
2020-12-07,-39
2020-12-08,-21
2020-12-09,-31
2020-12-10,-11
2020-12-11,-25
2020-12-12,-14
2020-12-13,-20
2020-12-14,-25
2020-12-15,-13
2020-12-16,-6
2020-12-17,-12
2020-12-18,-20
2020-12-19,-22
2020-12-20,-7
2020-12-21,-9
2020-12-22,4
2020-12-23,24
2020-12-24,20
2020-12-25,-25
2020-12-26,-24
2020-12-27,-17
2020-12-28,-2
2020-12-29,18
2020-12-30,8
2020-12-31,4
2021-01-01,13
2021-01-02,22
2021-01-03,13
2021-01-04,-14
2021-01-05,21
2021-01-06,1
2021-01-07,-1
2021-01-08,-30
2021-01-09,-15
2021-01-10,-19
2021-01-11,-14
2021-01-12,-10
2021-01-13,-10
2021-01-14,-21
2021-01-15,-26
2021-01-16,-28
2021-01-17,-19
2021-01-18,-29
2021-01-19,-13
2021-01-20,-14
2021-01-21,-3
