dates,incrementalcount_medicaltest_conditioncovid_19
2020-08-03,166
2020-08-04,128
2020-08-05,240
2020-08-06,201
2020-08-07,142
2020-08-10,307
2020-08-11,219
2020-08-13,308
2020-08-17,190
2020-08-18,449
2020-08-24,154
2020-08-26,257
2020-08-30,472
2020-08-31,237
2020-09-03,335
2020-09-04,364
2020-09-09,300
2020-09-14,33
2020-09-16,182
2020-09-17,105
2020-09-21,54
2020-09-22,98
2020-09-23,120
2020-09-27,145
2020-09-28,66
2020-10-01,125
2020-10-02,241
2020-10-09,191
2020-10-15,208
2020-10-16,294
2020-10-19,53
2020-10-26,141
2020-10-28,165
2020-10-29,147
2020-10-30,155
2020-10-31,71
2020-11-05,75
2020-11-09,36
2020-11-11,165
2020-11-12,141
2020-11-16,35
2020-11-19,105
2020-11-23,34
2020-11-26,75
2020-11-29,82
2020-11-30,30
2020-12-02,99
2020-12-03,93
2020-12-06,117
2020-12-07,24
2020-12-09,80
2020-12-14,47
2020-12-17,140
2020-12-19,217
2020-12-21,120
2020-12-23,328
2020-12-28,233
2020-12-30,411
2020-12-31,368
2021-01-05,274
2021-01-14,355
2021-01-16,430
2021-01-18,242
2021-01-19,342
2021-01-25,336
2021-02-01,133
2021-02-03,63
2021-02-10,242
2021-02-15,90
2021-02-17,202
2021-02-19,121
2021-02-22,119
2021-02-24,130
2021-02-28,102
2021-03-01,108
2021-03-04,186
2021-03-13,159
2021-03-17,53
2021-03-27,116
2021-03-29,66
2021-04-04,68
2021-04-13,92
2021-04-15,281
2021-04-18,177
2021-04-24,253
2021-04-26,176
2021-04-29,330
2021-04-30,349
2021-05-03,200
2021-05-06,303
2021-05-10,289
2021-05-11,248
2021-05-14,463
2021-05-16,306
2021-05-18,374
2021-05-24,420
2021-05-31,519
2021-06-05,740
2021-06-14,604
2021-06-16,544
2021-06-17,715
2021-06-18,626
2021-06-21,599
2021-06-28,562
2021-06-29,226
2021-06-30,434
2021-07-01,573
2021-07-05,489
2021-07-12,242
2021-07-20,139
2021-07-21,527
2021-07-26,265
2021-07-29,390
2021-07-30,439
2021-08-02,135
2021-08-09,252
2021-08-13,473
2021-08-16,225
2021-08-20,507
2021-08-23,281
2021-08-25,651
2021-08-26,652
2021-08-27,585
2021-08-28,650
2021-08-29,471
2021-08-31,276
2021-09-02,726
2021-09-03,712
2021-09-04,423
2021-09-05,916
2021-09-06,616
2021-09-09,1037
2021-09-12,718
2021-09-14,926
2021-09-18,1510
2021-09-25,1175
2021-09-27,371
2021-09-28,1128
2021-09-29,1140
2021-09-30,1137
2021-10-01,479
2021-10-02,547
2021-10-05,1122
2021-10-06,904
2021-10-11,66
2021-10-18,285
2021-10-25,304
2021-10-27,833
2021-10-30,403
2021-11-03,664
2021-11-07,258
2021-11-08,168
2021-11-22,126
2021-12-02,448
2021-12-06,115
2021-12-09,399
2021-12-10,308
2021-12-18,301
2021-12-20,111
2021-12-22,365
2021-12-23,274
2021-12-26,97
2021-12-28,573
2021-12-29,516
2021-12-30,893
2021-12-31,738
2022-01-14,1177
2022-01-15,2235
2022-01-17,875
2022-01-20,2452
2022-01-22,1685
2022-01-23,946
2022-01-24,702
2022-01-25,1921
2022-01-27,1177
2022-01-28,1226
2022-01-29,968
2022-01-30,608
2022-01-31,373
2022-02-02,1163
2022-02-04,774
2022-02-10,649
2022-02-13,168
2022-02-15,512
2022-02-17,408
2022-02-20,149
2022-02-21,502
2022-02-23,345
2022-02-24,356
2022-02-25,261
2022-02-26,147
2022-02-27,146
2022-02-28,493
2022-03-01,420
2022-03-02,362
2022-03-03,333
2022-03-04,289
2022-03-05,180
2022-03-06,127
2022-03-07,434
2022-03-08,355
2022-03-10,323
2022-03-12,129
2022-03-13,68
2022-03-20,93
2022-03-24,177
2022-03-27,29
2022-03-31,87
2022-04-07,103
2022-04-14,143
2022-04-21,117
2022-04-28,126
2022-05-04,116
2022-05-11,202
2022-05-18,384
2022-05-25,358
2022-06-02,251
2022-06-08,258
2022-06-15,198
2022-06-22,165
