dates,incrementalcount_vaccine_covid_19_administered
2021-03-20,2683
2021-03-23,967
2021-03-24,1282
2021-03-27,2394
2021-03-28,927
2021-03-31,1529
2021-04-13,602
2021-04-22,353
2021-04-28,1193
2021-05-08,1532
2021-05-20,7431
2021-05-21,3508
2021-05-26,2080
2021-05-29,2227
2021-06-02,2334
2021-06-03,2544
2021-06-06,5904
2021-06-07,5464
2021-06-08,2317
2021-06-09,1807
2021-06-13,9775
2021-06-14,7562
2021-06-15,2152
2021-06-16,9102
2021-06-21,1534
2021-06-24,2115
2021-06-25,2860
2021-06-28,1012
2021-07-01,1529
2021-07-02,1748
2021-07-05,954
2021-07-06,1199
2021-07-07,1388
2021-07-12,6360
2021-07-15,1879
2021-07-16,2751
2021-07-17,1587
2021-07-18,1406
2021-07-19,930
2021-07-20,1084
2021-07-21,1312
2021-07-22,1219
2021-07-23,1874
2021-07-24,996
2021-07-25,619
2021-07-26,1020
2021-07-27,2396
2021-07-28,1864
2021-07-29,1261
2021-07-30,1682
2021-07-31,1593
2021-08-01,811
2021-08-02,1836
2021-08-03,2487
2021-08-04,2282
2021-08-05,1825
2021-08-06,184
2021-08-07,2463
2021-08-08,3539
2021-08-09,2425
2021-08-10,1336
2021-08-11,1510
2021-08-12,1319
2021-08-13,3680
2021-08-14,4055
2021-08-15,2360
2021-08-16,2370
2021-08-17,2836
2021-08-18,1928
2021-08-19,3013
2021-08-20,4580
2021-08-21,6922
2021-08-22,618
2021-08-23,8107
2021-08-24,4189
2021-08-25,2317
2021-08-26,4852
2021-08-27,3829
2021-08-28,4892
2021-08-29,4492
2021-08-30,1828
2021-08-31,2268
2021-09-01,2899
2021-09-02,2744
2021-09-03,3102
2021-09-04,3303
2021-09-05,2438
2021-09-06,2036
2021-09-07,2917
2021-09-08,3088
2021-09-09,2164
2021-09-10,2617
2021-09-11,562
2021-09-12,1811
2021-09-13,1761
2021-09-14,1931
2021-09-15,1932
2021-09-16,3613
2021-09-17,563
2021-09-20,410
2021-09-21,4375
2021-09-22,2479
2021-09-23,2127
2021-09-24,3129
2021-09-25,1304
2021-09-28,2201
2021-09-29,1376
2021-09-30,3636
2021-10-01,2212
2021-10-02,222
2021-10-05,2337
2021-10-06,2038
2021-10-07,2191
2021-10-08,1724
2021-10-09,741
2021-10-10,2778
2021-10-13,2250
2021-10-14,1032
2021-10-15,2934
2021-10-19,3856
2021-10-20,1717
2021-10-21,2436
2021-10-22,3233
2021-10-23,1018
2021-10-24,1476
2021-10-25,522
2021-10-26,1919
2021-10-27,1406
2021-10-28,1916
2021-10-31,1833
2021-11-01,993
2021-11-02,1122
2021-11-03,1186
2021-11-04,446
2021-11-07,669
2021-11-08,709
2021-11-09,1035
2021-11-10,1164
2021-11-11,1331
2021-11-12,1485
2021-11-13,88
2021-11-18,722
2021-11-19,1788
2021-11-20,181
2021-11-21,1485
2021-11-22,269
2021-11-23,843
2021-11-29,1008
2021-12-02,2074
2021-12-06,740
2021-12-07,541
2021-12-08,1186
2021-12-09,370
2021-12-10,210
2021-12-11,1094
2021-12-23,495
2022-01-06,880
2022-01-13,362
2022-01-28,995
2022-02-13,162
2022-03-14,10
2022-03-19,398
