dates,covid19mobilitytrend_residence
2020-02-15,-3
2020-02-16,-3
2020-02-17,1
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,-4
2020-02-23,-3
2020-02-24,1
2020-02-25,1
2020-02-26,4
2020-02-27,2
2020-02-28,1
2020-02-29,0
2020-03-01,2
2020-03-02,0
2020-03-03,1
2020-03-04,0
2020-03-05,-1
2020-03-06,1
2020-03-07,0
2020-03-08,-2
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,11
2020-03-14,11
2020-03-15,8
2020-03-16,20
2020-03-17,22
2020-03-18,23
2020-03-19,23
2020-03-20,26
2020-03-21,16
2020-03-22,15
2020-03-23,26
2020-03-24,28
2020-03-25,28
2020-03-26,29
2020-03-27,29
2020-03-28,15
2020-03-29,13
2020-03-30,28
2020-03-31,27
2020-04-01,26
2020-04-02,25
2020-04-03,28
2020-04-04,16
2020-04-05,13
2020-04-06,23
2020-04-07,23
2020-04-08,23
2020-04-09,22
2020-04-10,26
2020-04-11,15
2020-04-12,11
2020-04-13,33
2020-04-14,25
2020-04-15,22
2020-04-16,21
2020-04-17,23
2020-04-18,11
2020-04-19,10
2020-04-20,21
2020-04-21,20
2020-04-22,19
2020-04-23,18
2020-04-24,20
2020-04-25,9
2020-04-26,8
2020-04-27,28
2020-04-28,16
2020-04-29,21
2020-04-30,14
2020-05-01,31
2020-05-02,11
2020-05-03,3
2020-05-04,12
2020-05-05,15
2020-05-06,13
2020-05-07,12
2020-05-08,13
2020-05-09,2
2020-05-10,2
2020-05-11,13
2020-05-12,16
2020-05-13,13
2020-05-14,11
2020-05-15,13
2020-05-16,4
2020-05-17,3
2020-05-18,8
2020-05-19,11
2020-05-20,9
2020-05-21,7
2020-05-22,7
2020-05-23,-1
2020-05-24,-1
2020-05-25,7
2020-05-26,7
2020-05-27,6
2020-05-28,7
2020-05-29,6
2020-05-30,0
2020-05-31,0
2020-06-01,4
2020-06-02,4
2020-06-03,3
2020-06-04,5
2020-06-05,5
2020-06-06,-2
2020-06-07,-2
2020-06-08,6
2020-06-09,4
2020-06-10,3
2020-06-11,2
2020-06-12,0
2020-06-13,-6
2020-06-14,-3
2020-06-15,4
2020-06-16,2
2020-06-17,2
2020-06-18,1
2020-06-19,0
2020-06-20,-4
2020-06-21,-2
2020-06-22,0
2020-06-23,0
2020-06-24,-4
2020-06-25,16
2020-06-26,6
2020-06-27,-6
2020-06-28,-8
2020-06-29,3
2020-06-30,1
2020-07-01,1
2020-07-02,1
2020-07-03,2
2020-07-04,-5
2020-07-05,-7
2020-07-06,1
2020-07-07,1
2020-07-08,0
2020-07-09,1
2020-07-10,0
2020-07-11,0
2020-07-12,-5
2020-07-13,1
2020-07-14,1
2020-07-15,1
2020-07-16,2
2020-07-17,3
2020-07-18,-3
2020-07-19,-6
2020-07-20,0
2020-07-21,1
2020-07-22,4
2020-07-23,2
2020-07-24,4
2020-07-25,-3
2020-07-26,-6
2020-07-27,1
2020-07-28,2
2020-07-29,3
2020-07-30,2
2020-07-31,2
2020-08-01,-6
