dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,3
2020-03-25,6
2020-03-26,6
2020-03-27,8
2020-03-28,10
2020-03-29,12
2020-03-30,13
2020-03-31,18
2020-04-01,19
2020-04-02,20
2020-04-03,23
2020-04-04,26
2020-04-05,30
2020-04-06,33
2020-04-07,40
2020-04-08,42
2020-04-09,46
2020-04-10,48
2020-04-11,54
2020-04-12,57
2020-04-13,61
2020-04-14,64
2020-04-15,65
2020-04-16,65
2020-04-17,71
2020-04-18,75
2020-04-19,78
2020-04-20,83
2020-04-21,84
2020-04-22,87
2020-04-23,87
2020-04-24,88
2020-04-25,89
2020-04-26,90
2020-04-27,90
2020-04-28,93
2020-04-29,96
2020-04-30,97
2020-05-01,100
2020-05-02,102
2020-05-03,104
2020-05-04,105
2020-05-05,105
2020-05-06,107
2020-05-07,107
2020-05-08,108
2020-05-09,109
2020-05-10,110
2020-05-11,110
2020-05-12,110
2020-05-13,111
2020-05-14,111
2020-05-15,111
2020-05-16,111
2020-05-17,111
2020-05-18,111
2020-05-19,111
2020-05-20,112
2020-05-21,113
2020-05-22,113
2020-05-23,113
2020-05-24,113
2020-05-25,113
2020-05-26,113
2020-05-27,113
2020-05-28,113
2020-05-29,113
2020-05-30,113
2020-05-31,113
2020-06-01,113
2020-06-02,113
2020-06-03,113
2020-06-04,113
2020-06-05,113
2020-06-06,113
2020-06-07,113
2020-06-08,113
2020-06-09,113
2020-06-10,113
2020-06-11,113
2020-06-12,113
2020-06-13,113
2020-06-14,113
2020-06-15,113
2020-06-16,113
2020-06-17,113
2020-06-18,113
2020-06-19,113
2020-06-20,113
2020-06-21,113
2020-06-22,113
2020-06-23,113
2020-06-24,113
2020-06-25,113
2020-06-26,113
2020-06-27,113
2020-06-28,113
2020-06-29,113
2020-06-30,113
2020-07-01,113
2020-07-02,113
2020-07-03,113
2020-07-04,113
2020-07-05,113
2020-07-06,113
2020-07-07,113
2020-07-08,113
2020-07-09,113
2020-07-10,113
2020-07-11,113
2020-07-12,113
2020-07-13,113
2020-07-14,113
2020-07-15,113
2020-07-16,113
2020-07-17,113
2020-07-18,113
2020-07-19,113
2020-07-20,114
2020-07-21,115
2020-07-22,116
2020-07-23,116
2020-07-24,116
2020-07-25,117
2020-07-26,117
2020-07-27,118
2020-07-28,118
2020-07-29,119
2020-07-30,119
2020-07-31,120
2020-08-01,120
2020-08-02,121
2020-08-03,123
2020-08-04,124
2020-08-05,125
2020-08-06,125
2020-08-07,125
2020-08-08,126
2020-08-09,128
2020-08-10,129
2020-08-11,130
2020-08-12,130
2020-08-13,130
2020-08-14,130
2020-08-15,130
2020-08-16,130
2020-08-17,130
2020-08-18,130
2020-08-19,130
2020-08-20,130
2020-08-21,131
2020-08-22,131
2020-08-23,131
2020-08-24,132
2020-08-25,132
2020-08-26,132
2020-08-27,132
2020-08-28,132
2020-08-29,132
2020-08-30,132
2020-08-31,132
2020-09-01,132
2020-09-02,132
2020-09-03,132
2020-09-04,132
2020-09-05,133
2020-09-06,133
2020-09-07,133
2020-09-08,133
2020-09-09,134
2020-09-10,134
2020-09-11,134
2020-09-12,135
2020-09-13,136
2020-09-14,136
2020-09-15,136
2020-09-16,136
2020-09-17,137
2020-09-18,141
2020-09-19,143
2020-09-20,144
2020-09-21,144
2020-09-22,145
2020-09-23,146
2020-09-24,148
2020-09-25,149
2020-09-26,150
2020-09-27,151
2020-09-28,153
2020-09-29,153
2020-09-30,154
2020-10-01,156
2020-10-02,158
2020-10-03,158
2020-10-04,158
2020-10-05,160
2020-10-06,165
2020-10-07,165
2020-10-08,166
2020-10-09,168
2020-10-10,175
2020-10-11,175
2020-10-12,177
2020-10-13,180
2020-10-14,185
2020-10-15,188
2020-10-16,196
2020-10-17,201
2020-10-18,207
2020-10-19,211
2020-10-20,217
2020-10-21,228
2020-10-22,236
2020-10-23,245
2020-10-24,265
2020-10-25,270
2020-10-26,287
2020-10-27,302
2020-10-28,318
2020-10-29,338
2020-10-30,363
2020-10-31,390
2020-11-01,417
2020-11-02,439
2020-11-03,471
2020-11-04,502
2020-11-05,533
2020-11-06,561
2020-11-07,596
2020-11-08,617
2020-11-09,643
2020-11-10,671
2020-11-11,714
2020-11-12,763
2020-11-13,806
2020-11-14,847
2020-11-15,880
2020-11-16,914
2020-11-17,958
2020-11-18,1003
2020-11-19,1046
2020-11-20,1083
2020-11-21,1126
2020-11-22,1152
2020-11-23,1205
2020-11-24,1261
2020-11-25,1305
2020-11-26,1359
2020-11-27,1406
2020-11-28,1469
2020-11-29,1515
2020-11-30,1566
2020-12-01,1624
2020-12-02,1688
2020-12-03,1737
2020-12-04,1811
2020-12-05,1862
2020-12-06,1911
2020-12-07,1970
2020-12-08,2030
2020-12-09,2073
2020-12-10,2128
2020-12-11,2185
2020-12-12,2238
2020-12-13,2277
2020-12-14,2323
2020-12-15,2378
2020-12-16,2430
2020-12-17,2473
2020-12-18,2512
2020-12-19,2554
2020-12-20,2594
2020-12-21,2621
2020-12-22,2666
2020-12-23,2703
2020-12-24,2735
2020-12-25,2770
2020-12-26,2803
2020-12-27,2830
2020-12-28,2878
2020-12-29,2922
2020-12-30,2953
2020-12-31,2981
2021-01-01,3023
2021-01-02,3058
2021-01-03,3093
2021-01-04,3126
2021-01-05,3156
2021-01-06,3193
2021-01-07,3217
2021-01-08,3246
2021-01-09,3274
2021-01-10,3307
2021-01-11,3327
2021-01-12,3356
2021-01-13,3379
2021-01-14,3398
2021-01-15,3423
2021-01-16,3453
2021-01-17,3487
2021-01-18,3518
2021-01-19,3546
2021-01-20,3571
2021-01-21,3600
2021-01-22,3624
2021-01-23,3651
2021-01-24,3681
2021-01-25,3705
2021-01-26,3728
2021-01-27,3752
2021-01-28,3768
2021-01-29,3794
2021-01-30,3816
2021-01-31,3833
2021-02-01,3854
2021-02-02,3870
2021-02-03,3894
2021-02-04,3919
2021-02-05,3935
2021-02-06,3948
2021-02-07,3965
2021-02-08,3973
2021-02-09,3991
2021-02-10,4003
2021-02-11,4013
2021-02-12,4030
2021-02-13,4045
2021-02-14,4054
2021-02-15,4064
2021-02-16,4070
2021-02-17,4076
2021-02-18,4084
2021-02-19,4089
2021-02-20,4096
2021-02-21,4100
2021-02-22,4105
2021-02-23,4111
2021-02-24,4121
2021-02-25,4128
2021-02-26,4140
2021-02-27,4150
2021-02-28,4160
2021-03-01,4171
2021-03-02,4177
2021-03-03,4184
2021-03-04,4193
2021-03-05,4200
2021-03-06,4202
2021-03-07,4206
2021-03-08,4209
2021-03-09,4216
2021-03-10,4223
2021-03-11,4235
2021-03-12,4242
2021-03-13,4247
2021-03-14,4251
2021-03-15,4255
2021-03-16,4259
2021-03-17,4267
2021-03-18,4270
2021-03-19,4280
2021-03-20,4290
2021-03-21,4296
2021-03-22,4304
2021-03-23,4312
2021-03-24,4324
2021-03-25,4330
2021-03-26,4339
2021-03-27,4345
2021-03-28,4351
2021-03-29,4357
2021-03-30,4368
2021-03-31,4380
2021-04-01,4387
2021-04-02,4398
2021-04-03,4404
2021-04-04,4413
2021-04-05,4418
2021-04-06,4427
2021-04-07,4433
2021-04-08,4438
2021-04-09,4441
2021-04-10,4453
2021-04-11,4457
2021-04-12,4462
2021-04-13,4469
2021-04-14,4475
2021-04-15,4479
2021-04-16,4488
2021-04-17,4495
2021-04-18,4499
2021-04-19,4508
2021-04-20,4516
2021-04-21,4521
2021-04-22,4535
2021-04-23,4537
2021-04-24,4546
2021-04-25,4554
2021-04-26,4563
2021-04-27,4565
2021-04-28,4577
2021-04-29,4586
2021-04-30,4594
2021-05-01,4603
2021-05-02,4607
2021-05-03,4615
2021-05-04,4618
2021-05-05,4626
2021-05-06,4628
2021-05-07,4631
2021-05-08,4631
2021-05-09,4638
2021-05-10,4645
2021-05-11,4647
2021-05-12,4652
2021-05-13,4657
2021-05-14,4664
2021-05-15,4666
2021-05-16,4669
2021-05-17,4674
2021-05-18,4678
2021-05-19,4682
2021-05-20,4687
2021-05-21,4689
2021-05-22,4691
2021-05-23,4692
2021-05-24,4694
2021-05-25,4695
2021-05-26,4699
2021-05-27,4700
2021-05-28,4703
2021-05-29,4706
2021-05-30,4710
2021-05-31,4712
2021-06-01,4713
2021-06-02,4716
2021-06-03,4718
2021-06-04,4721
2021-06-05,4722
2021-06-06,4724
2021-06-07,4726
2021-06-08,4729
2021-06-09,4729
2021-06-10,4732
2021-06-11,4735
2021-06-12,4738
2021-06-13,4743
2021-06-14,4746
2021-06-15,4749
2021-06-16,4750
2021-06-17,4750
2021-06-18,4751
2021-06-19,4751
2021-06-20,4753
2021-06-21,4755
2021-06-22,4757
2021-06-23,4757
2021-06-24,4758
2021-06-25,4759
2021-06-26,4761
2021-06-27,4761
2021-06-28,4761
2021-06-29,4761
2021-06-30,4761
2021-07-01,4761
2021-07-02,4761
2021-07-03,4761
2021-07-04,4761
2021-07-05,4762
2021-07-06,4763
2021-07-07,4766
2021-07-08,4766
2021-07-09,4768
2021-07-10,4768
2021-07-11,4768
2021-07-12,4769
2021-07-13,4769
2021-07-14,4769
2021-07-15,4769
2021-07-16,4769
2021-07-17,4769
2021-07-18,4769
2021-07-19,4769
2021-07-20,4769
