dates,count_medicalconditionincident_covid_19_patienthospitalized
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,5
2020-03-17,82
2020-03-18,176
2020-03-19,181
2020-03-20,215
2020-03-21,248
2020-03-22,261
2020-03-23,298
2020-03-24,483
2020-03-25,664
2020-03-26,717
2020-03-27,810
2020-03-28,819
2020-03-29,829
2020-03-30,960
2020-03-31,999
2020-04-01,1099
2020-04-02,1142
2020-04-03,1335
2020-04-04,1348
2020-04-05,1370
2020-04-06,1674
2020-04-07,1701
2020-04-08,1912
2020-04-09,1946
2020-04-10,1984
2020-04-11,2046
2020-04-12,2103
2020-04-13,2135
2020-04-14,2225
2020-04-15,2214
2020-04-16,2325
2020-04-17,2296
2020-04-18,2271
2020-04-19,2341
2020-04-20,2412
2020-04-21,2246
2020-04-22,2260
2020-04-23,2255
2020-04-24,2227
2020-04-25,2209
2020-04-26,2249
2020-04-27,2313
2020-04-28,2322
2020-04-29,2214
2020-04-30,2212
2020-05-01,2160
2020-05-02,2133
2020-05-03,2169
2020-05-04,2215
2020-05-05,2251
2020-05-06,2198
2020-05-07,2140
2020-05-08,2103
2020-05-09,2044
2020-05-10,2002
2020-05-11,2044
2020-05-12,2002
2020-05-13,1946
2020-05-14,1956
2020-05-15,1870
2020-05-16,1791
2020-05-17,1787
2020-05-18,1845
2020-05-19,1813
2020-05-20,1794
2020-05-21,1846
2020-05-22,1742
2020-05-23,1698
2020-05-24,1717
2020-05-25,1758
2020-05-26,1761
2020-05-27,1727
2020-05-28,1680
2020-05-29,1666
2020-05-30,1620
2020-05-31,1632
2020-06-01,1671
2020-06-02,1634
2020-06-03,1607
2020-06-04,1502
2020-06-05,1532
2020-06-06,1532
2020-06-07,1532
2020-06-08,1589
2020-06-09,1489
2020-06-10,1465
2020-06-11,1398
2020-06-12,1378
2020-06-13,1378
2020-06-14,1378
2020-06-15,1319
2020-06-16,1239
2020-06-17,1238
2020-06-18,1207
2020-06-19,1207
2020-06-20,1207
2020-06-21,1207
2020-06-22,1157
2020-06-23,1161
2020-06-24,1099
2020-06-25,1006
2020-06-26,967
2020-06-27,967
2020-06-28,967
2020-06-29,925
2020-06-30,842
2020-07-01,819
2020-07-02,783
2020-07-03,761
2020-07-04,761
2020-07-05,761
2020-07-06,662
2020-07-07,631
2020-07-08,612
2020-07-09,551
2020-07-10,512
2020-07-11,512
2020-07-12,512
