dates,covid19mobilitytrend_park
2020-02-15,3
2020-02-16,-30
2020-02-17,-3
2020-02-18,13
2020-02-19,26
2020-02-20,-1
2020-02-21,22
2020-02-22,-10
2020-02-23,23
2020-02-24,24
2020-02-25,8
2020-02-26,4
2020-02-27,10
2020-02-28,16
2020-02-29,8
2020-03-01,-7
2020-03-02,10
2020-03-03,5
2020-03-04,-2
2020-03-05,8
2020-03-06,24
2020-03-07,36
2020-03-08,0
2020-03-09,8
2020-03-10,3
2020-03-11,10
2020-03-12,-17
2020-03-13,-4
2020-03-14,59
2020-03-15,-15
2020-03-16,11
2020-03-17,2
2020-03-18,1
2020-03-19,40
2020-03-20,11
2020-03-21,66
2020-03-22,57
2020-03-23,8
2020-03-24,22
2020-03-25,25
2020-03-26,48
2020-03-27,43
2020-03-28,52
2020-03-29,43
2020-03-30,8
2020-03-31,27
2020-04-01,27
2020-04-02,-6
2020-04-03,6
2020-04-04,57
2020-04-05,69
2020-04-06,92
2020-04-07,65
2020-04-08,77
2020-04-09,81
2020-04-10,129
2020-04-11,84
2020-04-12,54
2020-04-13,43
2020-04-14,32
2020-04-15,63
2020-04-16,50
2020-04-17,56
2020-04-18,83
2020-04-19,104
2020-04-20,78
2020-04-21,129
2020-04-22,124
2020-04-23,105
2020-04-24,50
2020-04-25,73
2020-04-26,82
2020-04-27,17
2020-04-28,23
2020-04-29,35
2020-04-30,44
2020-05-01,35
2020-05-02,81
2020-05-03,94
2020-05-04,31
2020-05-05,72
2020-05-06,85
2020-05-07,86
2020-05-08,84
2020-05-09,146
2020-05-10,34
2020-05-11,45
2020-05-12,33
2020-05-13,48
2020-05-14,49
2020-05-15,47
2020-05-16,56
2020-05-17,48
2020-05-18,61
2020-05-19,75
2020-05-20,137
2020-05-21,268
2020-05-22,184
2020-05-23,61
2020-05-24,63
2020-05-25,95
2020-05-26,163
2020-05-27,86
2020-05-28,110
2020-05-29,144
2020-05-30,186
2020-05-31,202
2020-06-01,191
2020-06-02,182
2020-06-03,150
2020-06-04,116
2020-06-05,75
2020-06-06,53
2020-06-07,119
2020-06-08,125
2020-06-09,177
2020-06-10,181
2020-06-11,166
2020-06-12,174
2020-06-13,232
2020-06-14,246
2020-06-15,193
2020-06-16,140
2020-06-17,154
2020-06-18,237
2020-06-19,285
2020-06-20,227
2020-06-21,169
2020-06-22,154
