dates,covid19mobilitytrend_transporthub
2020-02-15,4
2020-02-16,-11
2020-02-17,-6
2020-02-18,-4
2020-02-19,-3
2020-02-20,-6
2020-02-21,-2
2020-02-22,-2
2020-02-23,0
2020-02-24,-3
2020-02-25,-3
2020-02-26,-5
2020-02-27,-2
2020-02-28,-1
2020-02-29,5
2020-03-01,-6
2020-03-02,-3
2020-03-03,-4
2020-03-04,-5
2020-03-05,-4
2020-03-06,-1
2020-03-07,6
2020-03-08,-6
2020-03-09,-5
2020-03-10,-6
2020-03-11,-7
2020-03-12,-16
2020-03-13,-19
2020-03-14,-13
2020-03-15,-30
2020-03-16,-25
2020-03-17,-32
2020-03-18,-37
2020-03-19,-35
2020-03-20,-37
2020-03-21,-28
2020-03-22,-33
2020-03-23,-38
2020-03-24,-37
2020-03-25,-36
2020-03-26,-35
2020-03-27,-35
2020-03-28,-29
2020-03-29,-36
2020-03-30,-39
2020-03-31,-37
2020-04-01,-38
2020-04-02,-43
2020-04-03,-41
2020-04-04,-32
2020-04-05,-37
2020-04-06,-35
2020-04-07,-37
2020-04-08,-36
2020-04-09,-37
2020-04-10,-54
2020-04-11,-36
2020-04-12,-43
2020-04-13,-61
2020-04-14,-38
2020-04-15,-35
2020-04-16,-37
2020-04-17,-36
2020-04-18,-26
2020-04-19,-31
2020-04-20,-32
2020-04-21,-29
2020-04-22,-30
2020-04-23,-31
2020-04-24,-34
2020-04-25,-24
2020-04-26,-31
2020-04-27,-36
2020-04-28,-36
2020-04-29,-34
2020-04-30,-35
2020-05-01,-60
2020-05-02,-27
2020-05-03,-30
2020-05-04,-36
2020-05-05,-33
2020-05-06,-31
2020-05-07,-31
2020-05-08,-31
2020-05-09,-17
2020-05-10,-39
2020-05-11,-34
2020-05-12,-34
2020-05-13,-34
2020-05-14,-34
2020-05-15,-33
2020-05-16,-26
2020-05-17,-35
2020-05-18,-32
2020-05-19,-30
2020-05-20,-23
2020-05-21,-42
2020-05-22,-35
2020-05-23,-30
2020-05-24,-30
2020-05-25,-28
2020-05-26,-24
2020-05-27,-28
2020-05-28,-26
2020-05-29,-23
2020-05-30,-7
2020-05-31,-12
2020-06-01,-22
2020-06-02,-23
2020-06-03,-23
2020-06-04,-25
2020-06-05,-28
2020-06-06,-26
2020-06-07,-21
2020-06-08,-24
2020-06-09,-21
2020-06-10,-21
2020-06-11,-23
2020-06-12,-23
2020-06-13,-4
2020-06-14,-11
2020-06-15,-23
2020-06-16,-26
2020-06-17,-23
2020-06-18,-19
2020-06-19,-42
2020-06-20,-22
2020-06-21,-19
2020-06-22,-27
2020-06-23,-21
2020-06-24,-21
2020-06-25,-20
2020-06-26,-20
2020-06-27,1
2020-06-28,-15
2020-06-29,-26
2020-06-30,-30
2020-07-01,-27
2020-07-02,-26
2020-07-03,-26
2020-07-04,-17
2020-07-05,-28
2020-07-06,-33
2020-07-07,-29
2020-07-08,-30
2020-07-09,-27
2020-07-10,-30
2020-07-11,-8
2020-07-12,-14
2020-07-13,-29
2020-07-14,-32
2020-07-15,-32
2020-07-16,-27
2020-07-17,-25
2020-07-18,0
2020-07-19,-9
2020-07-20,-31
2020-07-21,-30
2020-07-22,-28
2020-07-23,-30
2020-07-24,-32
2020-07-25,1
2020-07-26,-14
2020-07-27,-27
2020-07-28,-32
2020-07-29,-32
2020-07-30,-33
2020-07-31,-27
2020-08-01,4
2020-08-02,-12
2020-08-03,-27
2020-08-04,-25
2020-08-05,-30
2020-08-06,-26
2020-08-07,-24
2020-08-08,2
2020-08-09,-7
2020-08-10,-25
2020-08-11,-24
2020-08-12,-24
2020-08-13,-24
2020-08-14,-24
2020-08-15,1
2020-08-16,-8
2020-08-17,-24
2020-08-18,-21
2020-08-19,-22
2020-08-20,-23
2020-08-21,-22
2020-08-22,-11
2020-08-23,-19
2020-08-24,-24
2020-08-25,-20
