dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,2
2020-02-28,3
2020-02-29,11
2020-03-01,14
2020-03-02,14
2020-03-03,19
2020-03-04,32
2020-03-05,62
2020-03-06,87
2020-03-07,146
2020-03-08,179
2020-03-09,225
2020-03-10,326
2020-03-11,424
2020-03-12,620
2020-03-13,771
2020-03-14,923
2020-03-15,994
2020-03-16,1063
2020-03-17,1146
2020-03-18,1265
2020-03-19,1410
2020-03-20,1553
2020-03-21,1733
2020-03-22,1869
2020-03-23,1987
2020-03-24,2169
2020-03-25,2399
2020-03-26,2713
2020-03-27,2999
2020-03-28,3364
2020-03-29,3664
2020-03-30,3944
2020-03-31,4360
2020-04-01,4834
2020-04-02,5320
2020-04-03,5874
2020-04-04,6476
2020-04-05,6833
2020-04-06,7173
2020-04-07,7562
2020-04-08,8301
2020-04-09,8955
2020-04-10,9600
2020-04-11,10054
2020-04-12,10449
2020-04-13,10913
2020-04-14,11350
2020-04-15,11829
2020-04-16,12433
2020-04-17,13056
2020-04-18,13745
2020-04-19,14277
2020-04-20,14665
2020-04-21,15126
2020-04-22,15833
2020-04-23,16556
2020-04-24,17314
2020-04-25,18095
2020-04-26,18568
2020-04-27,18868
2020-04-28,19431
2020-04-29,20173
2020-04-30,20972
2020-05-01,21608
2020-05-02,22140
2020-05-03,22439
2020-05-04,22700
2020-05-05,23177
2020-05-06,23834
2020-05-07,24579
2020-05-08,25364
2020-05-09,26065
2020-05-10,26574
2020-05-11,26853
2020-05-12,27308
2020-05-13,28062
2020-05-14,28760
2020-05-15,29417
2020-05-16,30105
2020-05-17,30463
2020-05-18,30722
2020-05-19,31152
2020-05-20,31818
2020-05-21,32626
2020-05-22,33236
2020-05-23,33768
2020-05-24,34171
2020-05-25,34381
2020-05-26,34871
2020-05-27,35617
2020-05-28,36417
2020-05-29,37191
2020-05-30,37964
2020-05-31,38396
2020-06-01,38661
2020-06-02,39309
2020-06-03,40209
2020-06-04,41255
2020-06-05,42294
2020-06-06,43440
2020-06-07,44220
2020-06-08,44682
2020-06-09,45359
2020-06-10,46296
2020-06-11,47733
2020-06-12,49026
2020-06-13,50355
2020-06-14,51387
2020-06-15,51805
2020-06-16,52490
2020-06-17,53699
2020-06-18,55156
2020-06-19,56650
2020-06-20,57859
2020-06-21,58557
2020-06-22,58878
2020-06-23,59678
2020-06-24,60987
2020-06-25,62683
2020-06-26,63959
2020-06-27,65163
2020-06-28,65918
2020-06-29,66333
2020-06-30,67059
2020-07-01,67867
2020-07-02,68552
2020-07-03,69239
2020-07-04,69933
2020-07-05,70297
2020-07-06,70612
2020-07-07,70863
2020-07-08,71141
2020-07-09,71674
2020-07-10,72008
2020-07-11,72377
2020-07-12,72685
2020-07-13,72791
2020-07-14,72961
2020-07-15,73273
2020-07-16,73560
2020-07-17,73828
2020-07-18,74112
2020-07-19,74303
2020-07-20,74413
2020-07-21,74544
2020-07-22,74770
2020-07-23,75067
2020-07-24,75287
2020-07-25,75549
2020-07-26,75687
2020-07-27,75729
2020-07-28,75800
2020-07-29,76083
2020-07-30,76384
2020-07-31,76686
2020-08-01,76944
2020-08-02,77247
2020-08-03,77285
2020-08-04,77450
2020-08-05,77783
2020-08-06,78208
2020-08-07,78586
2020-08-08,78966
2020-08-09,79226
2020-08-10,79299
2020-08-11,79495
2020-08-12,79912
2020-08-13,80355
2020-08-14,80718
2020-08-15,81062
2020-08-16,81288
2020-08-17,81351
2020-08-18,81525
2020-08-19,81839
2020-08-20,82190
2020-08-21,82523
2020-08-22,82821
2020-08-23,82981
2020-08-24,83038
2020-08-25,83212
2020-08-26,83434
2020-08-27,83678
2020-08-28,83880
2020-08-29,84059
2020-08-30,84190
2020-08-31,84238
2020-09-01,84400
2020-09-02,84571
2020-09-03,84784
2020-09-04,85070
2020-09-05,85332
2020-09-06,85503
2020-09-07,85570
2020-09-08,85755
2020-09-09,85991
2020-09-10,86305
2020-09-11,86559
2020-09-12,86850
2020-09-13,87056
2020-09-14,87162
2020-09-15,87382
2020-09-16,87674
2020-09-17,88004
2020-09-18,88393
2020-09-19,88830
2020-09-20,89109
2020-09-21,89242
2020-09-22,89508
2020-09-23,89946
2020-09-24,90499
2020-09-25,91039
2020-09-26,91669
2020-09-27,91994
2020-09-28,92161
2020-09-29,92539
2020-09-30,93152
2020-10-01,93841
2020-10-02,94474
2020-10-03,95186
2020-10-04,95647
2020-10-05,95803
2020-10-06,96177
2020-10-07,96963
2020-10-08,97794
2020-10-09,98628
2020-10-10,99411
2020-10-11,99920
2020-10-12,100081
2020-10-13,100718
2020-10-14,101634
2020-10-15,102602
2020-10-16,103504
2020-10-17,104683
2020-10-18,105380
2020-10-19,105701
2020-10-20,106472
2020-10-21,107761
2020-10-22,109332
2020-10-23,110998
2020-10-24,112865
2020-10-25,114342
2020-10-26,114856
2020-10-27,115925
2020-10-28,118339
2020-10-29,121728
2020-10-30,124990
2020-10-31,129046
2020-11-01,132033
2020-11-02,133330
2020-11-03,134899
2020-11-04,138507
2020-11-05,142989
2020-11-06,147733
2020-11-07,152187
2020-11-08,156638
2020-11-09,158735
2020-11-10,162460
2020-11-11,166957
2020-11-12,172666
2020-11-13,178230
2020-11-14,184960
2020-11-15,188473
2020-11-16,190054
2020-11-17,192598
2020-11-18,197056
2020-11-19,202017
2020-11-20,209626
2020-11-21,215084
2020-11-22,219576
2020-11-23,221998
2020-11-24,225875
2020-11-25,231549
2020-11-26,237615
2020-11-27,244518
2020-11-28,250980
2020-11-29,254805
2020-11-30,257558
2020-12-01,261038
2020-12-02,266857
2020-12-03,273404
2020-12-04,280390
2020-12-05,287728
2020-12-06,292592
2020-12-07,294395
2020-12-08,298177
2020-12-09,305623
2020-12-10,314021
2020-12-11,320714
2020-12-12,328431
2020-12-13,334969
2020-12-14,338026
2020-12-15,341560
2020-12-16,348561
2020-12-17,357385
2020-12-18,367025
2020-12-19,374942
2020-12-20,380451
2020-12-21,384203
2020-12-22,389363
2020-12-23,395958
2020-12-24,407334
2020-12-25,412370
2020-12-26,415163
2020-12-27,418129
2020-12-28,421337
2020-12-29,428428
2020-12-30,437300
2020-12-31,447759
2021-01-01,454758
2021-01-02,457376
2021-01-03,459906
2021-01-04,462660
2021-01-05,469642
2021-01-06,477188
2021-01-07,482216
2021-01-08,489364
2021-01-09,495054
2021-01-10,499789
2021-01-11,502106
2021-01-12,506754
2021-01-13,512088
2021-01-14,518683
2021-01-15,523426
2021-01-16,527631
2021-01-17,529791
2021-01-18,531041
2021-01-19,533152
2021-01-20,537884
2021-01-21,542830
2021-01-22,547026
2021-01-23,550748
2021-01-24,553116
2021-01-25,554263
2021-01-26,556147
2021-01-27,560333
2021-01-28,564438
2021-01-29,566806
2021-01-30,571059
2021-01-31,573754
2021-02-01,574918
2021-02-02,576469
2021-02-03,580784
2021-02-04,584521
2021-02-05,587917
2021-02-06,591177
2021-02-07,593509
2021-02-08,594522
2021-02-09,596027
2021-02-10,600095
2021-02-11,604448
2021-02-12,608252
2021-02-13,611821
2021-02-14,614592
2021-02-15,615803
2021-02-16,617704
2021-02-17,621909
2021-02-18,626874
2021-02-19,631008
2021-02-20,635036
2021-02-21,637817
2021-02-22,639416
2021-02-23,641954
2021-02-24,647358
2021-02-25,652335
2021-02-26,657165
2021-02-27,661747
2021-02-28,664854
2021-03-01,666096
2021-03-02,668922
2021-03-03,675111
2021-03-04,679981
2021-03-05,684864
2021-03-06,688933
2021-03-07,692385
2021-03-08,693836
2021-03-09,695818
2021-03-10,701746
2021-03-11,707072
2021-03-12,712404
2021-03-13,717398
2021-03-14,721351
2021-03-15,722391
2021-03-16,725105
2021-03-17,731891
2021-03-18,738322
2021-03-19,744058
2021-03-20,749464
2021-03-21,753844
2021-03-22,755423
2021-03-23,758110
2021-03-24,765762
2021-03-25,773468
2021-03-26,779833
2021-03-27,786127
2021-03-28,791323
2021-03-29,793303
2021-03-30,796265
2021-03-31,804732
2021-04-01,813022
2021-04-02,819998
2021-04-03,826834
2021-04-04,830237
2021-04-05,831686
2021-04-06,834789
2021-04-07,841602
2021-04-08,849426
2021-04-09,857186
2021-04-10,864811
2021-04-11,870437
2021-04-12,872827
2021-04-13,876298
2021-04-14,885167
2021-04-15,892260
2021-04-16,899925
2021-04-17,906365
2021-04-18,911348
2021-04-19,913862
2021-04-20,916575
2021-04-21,924113
2021-04-22,931819
2021-04-23,938067
2021-04-24,943568
2021-04-25,948136
2021-04-26,949892
2021-04-27,952961
2021-04-28,960228
2021-04-29,967372
2021-04-30,973303
2021-05-01,978727
2021-05-02,983480
2021-05-03,985198
2021-05-04,988266
2021-05-05,995300
2021-05-06,1001782
2021-05-07,1007498
2021-05-08,1012742
2021-05-09,1017218
2021-05-10,1018875
2021-05-11,1021335
2021-05-12,1027646
2021-05-13,1032915
2021-05-14,1036833
2021-05-15,1039413
2021-05-16,1043383
2021-05-17,1044791
2021-05-18,1046898
2021-05-19,1051540
2021-05-20,1054950
2021-05-21,1058116
2021-05-22,1060434
2021-05-23,1062343
2021-05-24,1062963
2021-05-25,1064157
2021-05-26,1066896
2021-05-27,1068314
2021-05-28,1068406
2021-05-29,1068703
2021-05-30,1068988
2021-05-31,1070936
2021-06-01,1072834
2021-06-02,1075617
2021-06-03,1076981
2021-06-04,1078062
2021-06-05,1079051
2021-06-06,1079809
2021-06-07,1080031
2021-06-08,1080522
2021-06-09,1081706
2021-06-10,1082531
2021-06-11,1083260
2021-06-12,1083744
2021-06-13,1084268
2021-06-14,1084427
2021-06-15,1084427
2021-06-16,1084428
2021-06-17,1084464
2021-06-18,1086654
2021-06-19,1087255
2021-06-20,1087274
2021-06-21,1087275
