dates,cumulativecount_vaccine_covid_19_administered
2021-01-03,2478
2021-01-17,132915
2021-01-24,249734
2021-01-31,341322
2021-02-07,441832
2021-02-14,560304
2021-02-21,715504
2021-02-28,872614
2021-03-07,1063238
2021-03-14,1285158
2021-03-21,1460252
2021-03-28,1659155
2021-04-04,1925792
2021-04-11,2273034
2021-04-18,2749413
2021-04-25,3191230
2021-05-02,3592072
2021-05-09,4051876
2021-05-16,4478725
2021-05-23,4934139
2021-05-30,5420100
2021-06-06,6006634
2021-06-13,6689145
2021-06-20,7463760
2021-06-27,8102654
2021-07-04,8837474
2021-07-11,9435951
2021-07-18,9947464
2021-07-25,10392715
2021-08-01,10792763
2021-08-08,11197704
2021-08-15,11670081
2021-08-22,12194528
2021-08-29,12671501
2021-09-05,13046186
2021-09-12,13331760
2021-09-19,13571536
2021-09-26,13756728
2021-10-03,13912506
2021-10-10,14058691
2021-10-17,14265541
2021-10-24,14466887
2021-10-31,14670059
2021-11-07,14800722
2021-11-14,15115268
2021-11-21,15520144
2021-11-28,15947914
2021-12-05,16382000
2021-12-12,16850477
2021-12-19,17388248
2021-12-26,17617810
2022-01-02,17797079
2022-01-09,18032591
2022-01-16,18505617
2022-01-23,19053131
2022-01-30,19521203
2022-02-06,19911499
2022-02-13,20209275
2022-02-20,20409962
2022-02-27,20575445
2022-03-06,20717327
2022-03-13,20851202
2022-03-20,21022442
2022-03-27,21139587
2022-04-03,21232373
2022-04-10,21436858
2022-04-17,21626231
2022-04-24,21842506
2022-05-01,22064889
2022-05-08,22231491
2022-05-15,22361852
2022-05-22,22466710
2022-05-29,22536422
2022-06-05,22598496
2022-06-12,22643246
2022-06-19,22684284
2022-06-26,22710195
2022-07-03,22736876
2022-07-10,22761670
2022-07-17,22790244
2022-07-24,22811123
2022-07-31,22830565
2022-08-07,22848552
2022-08-14,22865121
2022-08-21,22883343
2022-08-28,22910893
2022-09-04,23082059
2022-09-11,23403331
2022-09-18,23716249
2022-09-25,24024084
2022-10-02,24294763
2022-10-09,24505421
2022-10-16,24678420
2022-10-23,24817916
2022-10-30,24929603
2022-11-06,24994910
2022-11-13,25086592
2022-11-20,25166648
2022-11-27,25230500
2022-12-04,25288835
2022-12-11,25362396
2022-12-18,25452535
2022-12-25,25511046
2023-01-08,25543848
2023-01-15,25589520
2023-01-22,25619848
2023-01-29,25637656
2023-02-05,25649375
2023-02-12,25658609
2023-02-19,25667420
2023-02-26,25673731
2023-03-05,25704472
2023-03-12,25756027
2023-03-19,25814335
2023-03-26,25868309
2023-04-02,25911610
